Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
3.319	2.72e-03	E029 Primary monocytes from peripheral blood	Blood	H3K4me3	E029-H3K4me3.broadPeak.gz	cg00005390,cg00219816,cg00483030,cg00620733,cg01142676,cg01152073,cg01462353,cg01475577,cg01662869,cg02025573,cg02268192,cg02371119,cg02802072,cg04045089,cg04478251,cg05057534,cg05599723,cg05685023,cg05904013,cg06005892,cg06365898,cg06547715,cg07258167,cg07564563,cg07565956,cg07824422,cg07905054,cg08053935,cg08135234,cg08361238,cg08598221,cg09281154,cg09868035,cg10317164,cg11036936,cg11226328,cg11884933,cg11925488,cg12049875,cg12485428,cg13396713,cg13630493,cg13652008,cg13912027,cg14020320,cg14131038,cg14304515,cg14402591,cg14518948,cg14724918,cg15892280,cg16558770,cg16730908,cg16823105,cg17315426,cg17330838,cg17925829,cg18313182,cg18854765,cg19069360,cg19389293,cg21019522,cg21320567,cg21875274,cg22659356,cg22821930,cg23687466,cg24628744,cg25851425,cg26331625,cg26862175	E029	1.47e-01
0.198	4.58e-01	E032 Primary B cells from peripheral blood	Blood	H3K4me3	E032-H3K4me3.broadPeak.gz	cg00218914,cg00219816,cg00483030,cg00927495,cg00932104,cg01152073,cg01475577,cg01542693,cg01662869,cg01910727,cg02025573,cg02268192,cg02394698,cg03607951,cg04045089,cg04127455,cg04686354,cg05685023,cg05904013,cg05936516,cg06365898,cg07258167,cg07565956,cg07905054,cg08053935,cg08098128,cg08135234,cg08282812,cg08598221,cg08865208,cg09281154,cg11226328,cg11884933,cg11925488,cg12044689,cg13396713,cg13630493,cg13912027,cg14020320,cg14131038,cg14304515,cg14518948,cg14724918,cg15401642,cg15892280,cg16223079,cg16558770,cg16703762,cg16730908,cg16823105,cg17315426,cg17330838,cg17925829,cg18313182,cg20073686,cg20418394,cg21320567,cg21875274,cg22659356,cg22821930,cg23677272,cg23687466,cg24376214,cg24585377,cg24628744,cg25851425,cg26331625,cg26612727,cg26688911	E032	1.00e+00
-0.938	8.16e-01	E033 Primary T cells from cord blood	Blood	H3K4me3	E033-H3K4me3.broadPeak.gz	cg00218914,cg00219816,cg00483030,cg00620733,cg00927495,cg01152073,cg01475577,cg01542693,cg01910727,cg02025573,cg02268192,cg02371119,cg04045089,cg04127455,cg04730665,cg05142272,cg05645677,cg05685023,cg05904013,cg06365898,cg06432655,cg06547715,cg07258167,cg07565956,cg07905054,cg08053935,cg08098128,cg08135234,cg08361238,cg08598221,cg09281154,cg10118167,cg10206933,cg11226328,cg11670060,cg11884933,cg11925488,cg13630493,cg13912027,cg14020320,cg14131038,cg14304515,cg14518948,cg14648237,cg14724918,cg15892280,cg16703762,cg16730908,cg16823105,cg17315426,cg18313182,cg18924324,cg19509988,cg21320567,cg21546950,cg21875274,cg22659356,cg22821930,cg23687466,cg24312520,cg24628744,cg24866363,cg25851425,cg26331625,cg26612727,cg26688911	E033	1.00e+00
0.696	2.83e-01	E034 Primary T cells from peripheral blood	Blood	H3K4me3	E034-H3K4me3.broadPeak.gz	cg00005390,cg00219816,cg00483030,cg00620733,cg00927495,cg00932104,cg01152073,cg01475577,cg01542693,cg01662869,cg01910727,cg02025573,cg02268192,cg02371119,cg03607951,cg04045089,cg04478251,cg04730665,cg05599723,cg05685023,cg05904013,cg06365898,cg06432655,cg06547715,cg07258167,cg07302959,cg07565956,cg07905054,cg08053935,cg08098128,cg08135234,cg08361238,cg08598221,cg08864944,cg09281154,cg10118167,cg10206933,cg11226328,cg11670060,cg11884933,cg11925488,cg12485428,cg12978800,cg13282486,cg13335567,cg13630493,cg13912027,cg14020320,cg14131038,cg14304515,cg14518948,cg14648237,cg14724918,cg16730908,cg16823105,cg17315426,cg17330838,cg17925829,cg18313182,cg19069360,cg21019522,cg21320567,cg21546950,cg21875274,cg22381196,cg22659356,cg22821930,cg23687466,cg24312520,cg24585377,cg24866363,cg25664034,cg25851425,cg26331625,cg26612727,cg26688911	E034	1.00e+00
0.367	3.97e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K4me3	E046-H3K4me3.broadPeak.gz	cg00219816,cg00483030,cg01152073,cg01462353,cg01475577,cg01662869,cg01910727,cg02025573,cg02268192,cg02371119,cg04045089,cg05573550,cg05685023,cg05904013,cg06365898,cg06547715,cg06627532,cg07258167,cg07565956,cg07905054,cg08053935,cg08098128,cg08135234,cg08598221,cg09281154,cg10118167,cg11226328,cg11670060,cg11884933,cg11925488,cg12485428,cg13324779,cg13630493,cg13912027,cg14020320,cg14131038,cg14304515,cg14402591,cg14421700,cg14518948,cg14724918,cg15892280,cg16730908,cg16823105,cg17330838,cg17925829,cg18313182,cg18854765,cg19069360,cg20418394,cg21320567,cg21546950,cg21875274,cg22659356,cg22821930,cg23599820,cg23677272,cg23687466,cg24534743,cg24628744,cg24815792,cg24866363,cg25851425,cg26331625,cg26612727,cg26688911	E046	1.00e+00
3.548	5.78e-04	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me3	E050-H3K4me3.broadPeak.gz	cg00005390,cg00218914,cg00219816,cg00236249,cg00483030,cg00620733,cg00927495,cg00932104,cg01142676,cg01152073,cg01475577,cg01542693,cg01910727,cg02025573,cg02069619,cg02268192,cg02371119,cg02802072,cg03120555,cg03308839,cg03378003,cg03450829,cg03607951,cg04045089,cg04127455,cg04347477,cg04478251,cg04656424,cg04686354,cg04730665,cg05057534,cg05142272,cg05573550,cg05645677,cg05685023,cg05904013,cg05936516,cg06365898,cg06432655,cg06547715,cg06611426,cg07126783,cg07258167,cg07565956,cg07753510,cg07824422,cg07905054,cg08053935,cg08098128,cg08135234,cg08361238,cg08598221,cg09171638,cg09281154,cg09868035,cg10568066,cg10759927,cg11036936,cg11226328,cg11479156,cg11670060,cg11884933,cg11925488,cg12049875,cg12485428,cg13335567,cg13396713,cg13630493,cg13912027,cg14020320,cg14131038,cg14304515,cg14402591,cg14421700,cg14518948,cg14648237,cg14724918,cg15892280,cg16223079,cg16730908,cg16823105,cg17187521,cg17330838,cg17925829,cg18313182,cg18854765,cg18924324,cg19389293,cg20073686,cg20418394,cg21019522,cg21320567,cg21875274,cg22139500,cg22659356,cg22821930,cg23004174,cg23599820,cg23687466,cg24585377,cg24628744,cg24815792,cg24866363,cg25664034,cg25851425,cg26254667,cg26269677,cg26331625,cg26684776,cg26862175	E050	4.79e-02
4.466	2.11e-05	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me3	E051-H3K4me3.broadPeak.gz	cg00005390,cg00218914,cg00219816,cg00483030,cg00620733,cg00927495,cg00932104,cg01142676,cg01152073,cg01295399,cg01475577,cg01542693,cg01662869,cg01910727,cg02025573,cg02069619,cg02268192,cg02371119,cg03120555,cg03308839,cg03378003,cg03450829,cg03607951,cg04045089,cg04127455,cg04347477,cg04656424,cg04730665,cg05142272,cg05573550,cg05599723,cg05685023,cg05904013,cg05936516,cg06365898,cg06432655,cg06547715,cg06611426,cg06627532,cg07126783,cg07258167,cg07565956,cg07753510,cg07824422,cg07905054,cg08053935,cg08098128,cg08135234,cg08361238,cg08368934,cg08598221,cg09171638,cg09281154,cg09416908,cg09447811,cg09868035,cg10118167,cg10568066,cg10759927,cg11036936,cg11226328,cg11479156,cg11670060,cg11884933,cg11925488,cg12485428,cg13335567,cg13396713,cg13630493,cg13912027,cg14020320,cg14131038,cg14304515,cg14421700,cg14518948,cg14724918,cg15892280,cg16223079,cg16348470,cg16558770,cg16730908,cg16823105,cg17187521,cg17315426,cg17330838,cg17925829,cg18313182,cg18854765,cg19389293,cg20073686,cg20418394,cg21019522,cg21320567,cg21875274,cg22659356,cg22821930,cg23004174,cg23599820,cg23677272,cg23687466,cg24585377,cg24628744,cg24815792,cg24866363,cg25664034,cg25851425,cg26254667,cg26269677,cg26331625,cg26684776,cg26688911,cg26862175	E051	3.50e-03
-0.184	6.05e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K4me3	E028-H3K4me3.broadPeak.gz	cg00005390,cg00218914,cg00219816,cg00483030,cg00616572,cg00620733,cg00932104,cg01142676,cg01475577,cg01662869,cg01679682,cg01686739,cg01704698,cg02025573,cg02069619,cg02268192,cg02371119,cg03450829,cg03607951,cg04045089,cg04127455,cg04276715,cg04347477,cg04656424,cg04730665,cg05230906,cg05685023,cg05904013,cg05958206,cg06432655,cg07052231,cg07564563,cg07565956,cg07905054,cg08053935,cg08135234,cg08361238,cg09281154,cg09416908,cg11226328,cg11670060,cg11925488,cg12044689,cg12049875,cg13335567,cg13630493,cg13652008,cg13752093,cg14131038,cg14207539,cg14304515,cg14402591,cg14421700,cg14518948,cg14724918,cg15401642,cg15892280,cg16558770,cg16703762,cg16730908,cg16823105,cg17187521,cg17330838,cg18313182,cg19069360,cg21320567,cg21546950,cg21875274,cg22659356,cg22821930,cg23004174,cg23687466,cg23990942,cg24062389,cg24585377,cg24628744,cg24738611,cg24815792,cg25664034,cg25851425,cg26104196,cg26148020,cg26269677,cg26331625,cg26684776,cg26688911,cg26862175,cg26898932	E028	1.00e+00
-1.579	9.35e-01	E003 H1 Cells	ES Cell	H3K4me3	E003-H3K4me3.broadPeak.gz	cg00218914,cg00219816,cg00483030,cg00620733,cg00841141,cg00927495,cg01152073,cg01295399,cg01475577,cg02025573,cg02069619,cg02371119,cg04045089,cg04730665,cg05142272,cg05685023,cg05936516,cg06005892,cg06365898,cg06432655,cg06611426,cg07258167,cg07565956,cg07905054,cg08135234,cg08361238,cg08598221,cg09281154,cg09868035,cg10568066,cg11226328,cg11479156,cg11670060,cg11925488,cg13630493,cg14131038,cg14304515,cg14518948,cg14724918,cg15401642,cg15892280,cg16348470,cg16730908,cg16823105,cg17315426,cg17330838,cg18313182,cg18924324,cg19389293,cg20073686,cg20360688,cg21320567,cg21875274,cg22659356,cg22821930,cg23004174,cg23527387,cg23687466,cg24062389,cg24376214,cg24585377,cg24628744,cg24815792,cg25664034,cg25851425,cg26104196,cg26331625,cg26684776,cg26688911,cg26898932	E003	1.00e+00
-2.965	9.97e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K4me3	E004-H3K4me3.broadPeak.gz	cg00219816,cg00620733,cg01462353,cg01475577,cg02025573,cg02371119,cg02718078,cg04045089,cg04730665,cg04747180,cg05685023,cg06365898,cg06432655,cg07258167,cg07905054,cg08135234,cg08361238,cg08598221,cg09281154,cg11226328,cg11670060,cg11925488,cg13630493,cg13912027,cg14304515,cg14518948,cg14724918,cg15892280,cg16823105,cg17315426,cg17330838,cg19389293,cg20073686,cg20360688,cg21831174,cg21875274,cg22659356,cg22821930,cg24585377,cg24628744,cg24815792,cg24866363,cg25664034,cg25851425,cg26331625,cg26688911	E004	1.00e+00
1.373	8.58e-02	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	H3K4me3	E005-H3K4me3.broadPeak.gz	cg00219816,cg00236249,cg00483030,cg00616572,cg00620733,cg00841141,cg00927495,cg00932104,cg01142676,cg01152073,cg01475577,cg01542693,cg01910727,cg02025573,cg02069619,cg02268192,cg02802072,cg03308839,cg03399239,cg04045089,cg04099543,cg04276715,cg04478251,cg04656424,cg04686354,cg04730665,cg05142272,cg05230906,cg05599723,cg05645677,cg05685023,cg05904013,cg05936516,cg05958206,cg06219660,cg06365898,cg06432655,cg06611426,cg06627532,cg07052231,cg07126783,cg07565956,cg07824422,cg07905054,cg08053935,cg08098128,cg08135234,cg08160128,cg08361238,cg08368934,cg08598221,cg08961793,cg09171638,cg09281154,cg09416908,cg09784977,cg09802818,cg10118167,cg10206933,cg10568066,cg10759927,cg11036936,cg11226328,cg11670060,cg11884933,cg11925488,cg12049875,cg12978800,cg13282486,cg13346655,cg13630493,cg13752093,cg13912027,cg14020320,cg14131038,cg14207539,cg14304515,cg14414903,cg14421700,cg14518948,cg14724918,cg15392054,cg15401642,cg15892280,cg16223079,cg16348470,cg16558770,cg16703762,cg16730908,cg16823105,cg17187521,cg17232357,cg17315426,cg17330838,cg18313182,cg18924324,cg19060895,cg19069360,cg19389293,cg19509988,cg20360688,cg20418394,cg21019522,cg21875274,cg22139500,cg22218322,cg22396850,cg22659356,cg22821930,cg23004174,cg23085846,cg23599820,cg23687466,cg24312520,cg24376214,cg24534743,cg24585377,cg25422992,cg25664034,cg25851425,cg26104196,cg26331625,cg26612727,cg26684776,cg26688911	E005	1.00e+00
-0.312	6.69e-01	E006 H1 Derived Mesenchymal Stem Cells	ES Cell	H3K4me3	E006-H3K4me3.broadPeak.gz	cg00005390,cg00218914,cg00219816,cg00236249,cg00483030,cg00616572,cg00620733,cg00927495,cg00932104,cg01142676,cg01152073,cg01295399,cg01475577,cg01662869,cg02025573,cg02268192,cg02371119,cg02802072,cg03399239,cg03450829,cg04045089,cg04099543,cg04347477,cg04478251,cg04656424,cg04686354,cg04730665,cg05230906,cg05599723,cg05645677,cg05685023,cg05936516,cg05958206,cg06219660,cg06365898,cg06432655,cg06547715,cg06611426,cg07052231,cg07126783,cg07258167,cg07565956,cg07824422,cg07905054,cg08053935,cg08098128,cg08135234,cg08160128,cg08352575,cg08361238,cg08368934,cg08598221,cg08939373,cg08961793,cg09281154,cg09784977,cg09802818,cg09868035,cg10118167,cg10206933,cg10317164,cg10568066,cg10759927,cg11226328,cg11479156,cg11670060,cg11925488,cg12049875,cg12485428,cg13282486,cg13630493,cg14020320,cg14131038,cg14207539,cg14304515,cg14402591,cg14414903,cg14421700,cg14518948,cg14724918,cg15392054,cg15401642,cg16223079,cg16348470,cg16558770,cg16730908,cg16823105,cg16967583,cg17187521,cg17315426,cg17330838,cg18313182,cg18924324,cg19389293,cg19509988,cg20073686,cg21019522,cg21875274,cg22139500,cg22218322,cg22659356,cg22821930,cg23004174,cg23085846,cg23599820,cg23990942,cg24376214,cg24585377,cg24628744,cg24815792,cg24866363,cg25664034,cg25851425,cg26104196,cg26331625,cg26612727,cg26688911	E006	1.00e+00
0.731	2.47e-01	E007 H1 Derived Neuronal Progenitor Cultured Cells	ES Cell	H3K4me3	E007-H3K4me3.broadPeak.gz	cg00005390,cg00218914,cg00219816,cg00483030,cg00620733,cg00841141,cg00927495,cg00932104,cg01142676,cg01152073,cg01295399,cg01462353,cg01475577,cg01542693,cg01679682,cg01686739,cg01910727,cg02025573,cg02371119,cg02718078,cg02802072,cg03120555,cg03308839,cg03450829,cg04045089,cg04099543,cg04347477,cg04478251,cg04656424,cg04686354,cg04730665,cg05142272,cg05230906,cg05599723,cg05645677,cg05685023,cg05904013,cg06005892,cg06219660,cg06365898,cg06432655,cg06611426,cg07052231,cg07126783,cg07258167,cg07565956,cg07824422,cg07905054,cg08053935,cg08098128,cg08135234,cg08160128,cg08361238,cg08368934,cg08864944,cg08885198,cg09171638,cg09281154,cg09416908,cg09784977,cg10118167,cg10206933,cg10568066,cg11226328,cg11479156,cg11670060,cg11884933,cg11925488,cg12978800,cg13282486,cg13396713,cg13630493,cg14020320,cg14304515,cg14421700,cg14480116,cg14518948,cg14724918,cg15392054,cg15892280,cg16223079,cg16348470,cg16558770,cg16730908,cg16823105,cg17080697,cg17232357,cg17315426,cg17330838,cg18313182,cg18924324,cg19069360,cg19389293,cg19509988,cg20073686,cg21875274,cg22139500,cg22381196,cg22396850,cg22535089,cg22659356,cg22821930,cg23085846,cg23202722,cg23677272,cg23687466,cg23990942,cg24062389,cg24312520,cg24534743,cg24585377,cg24628744,cg24815792,cg25664034,cg25851425,cg26104196,cg26269677,cg26331625,cg26470958,cg26612727,cg26684776,cg26688911,cg26776551	E007	1.00e+00
