Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-4.695	1.00e+00	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg01780585,cg06958535,cg09667606,cg16154857,cg16664523,cg18854666,cg20114528,cg21370522,cg24195359,cg25924746	E063	1.00e+00
1.672	6.50e-02	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00123090,cg00157962,cg00427604,cg00483217,cg00813162,cg00946598,cg01201215,cg01514075,cg01582066,cg01770296,cg02000275,cg02102075,cg02255510,cg02364826,cg02459569,cg02640489,cg02736280,cg02847588,cg03054529,cg03074946,cg03676485,cg03695871,cg04536704,cg04657183,cg04868238,cg05125809,cg05446414,cg05465955,cg05474943,cg05524458,cg05753799,cg05830425,cg05878073,cg06363865,cg06607384,cg07571951,cg07691624,cg07800658,cg08092318,cg08122652,cg08127369,cg08166362,cg08442088,cg08491668,cg08608126,cg08992499,cg09305161,cg09411597,cg09424308,cg10516359,cg10526841,cg10726931,cg10755077,cg10866623,cg10914815,cg10975897,cg11130692,cg11700584,cg11736228,cg11931463,cg12096759,cg12167564,cg13692972,cg13831136,cg13876325,cg13948456,cg14226212,cg14467794,cg14660446,cg15070897,cg15241074,cg15382302,cg16160637,cg16568360,cg16651347,cg17886959,cg18599081,cg18790856,cg18801806,cg18981338,cg19205064,cg19215266,cg19311375,cg19733736,cg19827511,cg19904905,cg20189937,cg20378687,cg20405697,cg20802392,cg20981184,cg21193744,cg21882356,cg22747501,cg22858210,cg22996170,cg23358740,cg23415995,cg23536675,cg23705113,cg24139720,cg24318076,cg24902842,cg25003924,cg25392995,cg25587233,cg25758167,cg25900943,cg26234644,cg26240939,cg26284483,cg26529864,cg27345946,cg27449258	E063	1.00e+00
1.960	6.31e-02	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg04766834,cg04920630,cg06154903,cg09255910,cg19420720,cg20472746	E063	1.00e+00
-0.781	8.00e-01	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg00027232,cg00259404,cg00441899,cg00711896,cg01395261,cg01498832,cg01865484,cg02724461,cg02847674,cg02858808,cg03782778,cg04748546,cg05049312,cg05501357,cg05895018,cg06208130,cg06838038,cg07092805,cg07333021,cg07565042,cg07598021,cg08435683,cg08698580,cg08894588,cg09031958,cg09082617,cg09306188,cg09849319,cg10093679,cg10123293,cg10257332,cg11276093,cg11399195,cg11668148,cg11803859,cg11832534,cg12074090,cg12297501,cg12349832,cg13008492,cg13464573,cg13466180,cg13468144,cg13474450,cg13618969,cg13673960,cg13761421,cg13952914,cg14422240,cg14468280,cg14499387,cg14786757,cg15457217,cg15843572,cg16039867,cg16347361,cg16374333,cg16665335,cg16781287,cg17429587,cg17558547,cg17723958,cg17953136,cg18468726,cg18470038,cg18836689,cg19232164,cg19430164,cg19502671,cg19739468,cg20317437,cg20917241,cg20936529,cg21104363,cg21421984,cg22221575,cg22226398,cg22356061,cg23387863,cg23536830,cg24198896,cg24961970,cg25027273,cg25448062,cg25463483,cg25791430,cg26341831,cg26500143,cg26514623,cg26546155,cg26599989,cg26607897,cg26608667,cg26662732,cg26964704,cg27175380,cg27457201	E063	1.00e+00
1.689	4.74e-02	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00024471,cg00043800,cg00286717,cg00494183,cg00673191,cg00762550,cg00844155,cg00992055,cg01435442,cg01953317,cg02249119,cg02324789,cg02408850,cg02469356,cg02659854,cg02859042,cg02909097,cg02927618,cg02974085,cg02977682,cg03310874,cg03412153,cg03529189,cg03546806,cg03635073,cg03663120,cg03738384,cg03755957,cg03758697,cg03897489,cg04098763,cg04192168,cg04304048,cg04341806,cg04543901,cg04741118,cg05027554,cg05261759,cg05291773,cg05382012,cg05397010,cg05499338,cg05523603,cg05624954,cg05720226,cg06073302,cg06394229,cg06455422,cg06595153,cg06974428,cg07298431,cg07359306,cg07376561,cg07443710,cg07527324,cg07545306,cg07568841,cg07804973,cg07917644,cg08393937,cg08473752,cg08704934,cg08708079,cg09446896,cg09527886,cg09679862,cg10027934,cg10081994,cg10219223,cg10342963,cg10402121,cg10511467,cg10606176,cg10692528,cg11034318,cg11297046,cg11385906,cg12389611,cg12395689,cg12648297,cg12689055,cg12786452,cg13185218,cg13358873,cg13360526,cg13380995,cg13433891,cg13447033,cg13567986,cg13682598,cg13872812,cg14203426,cg14781394,cg15279832,cg15407058,cg15488596,cg15867698,cg15965716,cg15970259,cg15998761,cg16062253,cg16286925,cg16378015,cg16456087,cg16616599,cg16702362,cg16962115,cg17041511,cg17110052,cg17192381,cg17218270,cg17280398,cg17418387,cg17554464,cg17672035,cg17843665,cg18200389,cg18349241,cg18446472,cg18535456,cg18537383,cg19268453,cg19696679,cg19718359,cg19861623,cg20338754,cg20438472,cg20519581,cg20715953,cg20952652,cg21141030,cg21167563,cg21187669,cg21346154,cg21515785,cg22864500,cg22879292,cg22938901,cg23385838,cg23471393,cg23618218,cg23642826,cg24131359,cg24138234,cg24143196,cg24197477,cg24395672,cg24797501,cg25043129,cg25445707,cg25757820,cg25872816,cg26115667,cg26426690,cg26538164,cg26873338,cg27000590,cg27144670,cg27183435,cg27466532,cg27588384	E063	1.00e+00
5.334	2.45e-06	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg00287477,cg00390484,cg00852924,cg00967854,cg03152353,cg05914150,cg07081759,cg07236691,cg07651316,cg07824081,cg08447934,cg09262197,cg09310065,cg09912552,cg10668363,cg10718809,cg10818566,cg11046602,cg11589287,cg11671363,cg12098228,cg12181028,cg13672106,cg13821176,cg14090647,cg14469436,cg14774440,cg15424369,cg15458222,cg16638092,cg17446956,cg17647904,cg18906596,cg19388032,cg23145336,cg24709285,cg25950520,cg26633373,cg26837399,cg27128761,cg27178772	E063	1.87e-04
14.292	3.83e-39	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00355656,cg00578437,cg00638845,cg00864012,cg01093786,cg01097102,cg01204911,cg01205058,cg01442843,cg01445399,cg01455178,cg01632240,cg01656750,cg01893068,cg01910727,cg02033302,cg02046668,cg02050917,cg02137956,cg02226192,cg02246992,cg02402423,cg02688118,cg02930951,cg02941852,cg02947253,cg03106413,cg03130816,cg03208489,cg03292992,cg03332546,cg03392571,cg03534504,cg03691530,cg03850035,cg03919488,cg03919650,cg03981685,cg03983220,cg04057956,cg04067249,cg04204452,cg04389533,cg04505750,cg04813697,cg04814352,cg04977528,cg04986899,cg05155595,cg05209514,cg05246522,cg05296619,cg05370838,cg05380759,cg05455036,cg05541460,cg05599723,cg05942111,cg06333800,cg06419268,cg06483820,cg06496803,cg06536806,cg06710259,cg06740995,cg07377178,cg07456681,cg07621169,cg07795928,cg07809831,cg07875068,cg08086385,cg08088511,cg08182171,cg08268892,cg08291506,cg08377000,cg08380379,cg08726667,cg08782002,cg09187107,cg09274091,cg09387914,cg09470754,cg09480190,cg09569850,cg09668964,cg09678340,cg09841788,cg10045881,cg10092231,cg10097651,cg10163122,cg10498052,cg10511985,cg10575547,cg10618704,cg10675058,cg10684486,cg10733317,cg10815420,cg10827767,cg10859442,cg11153071,cg11276172,cg11399589,cg11554335,cg11566441,cg11576424,cg11588903,cg11608958,cg11626175,cg11690983,cg12081267,cg12147622,cg12201988,cg12402318,cg12580580,cg12664173,cg12776287,cg13241751,cg13276570,cg13316148,cg13666648,cg13687497,cg13908074,cg14012546,cg14016418,cg14099540,cg14109551,cg14195115,cg14307853,cg14360917,cg14394837,cg14609407,cg14643001,cg14674856,cg14832352,cg14852276,cg14917706,cg15042302,cg15312943,cg15349559,cg15535471,cg15722952,cg15778232,cg15889057,cg16077055,cg16101213,cg16204717,cg16267322,cg16296417,cg16303353,cg16306654,cg16528585,cg16565031,cg16592897,cg16770549,cg16785938,cg17030628,cg17560340,cg18332229,cg18399451,cg18455616,cg18912470,cg19081101,cg19393677,cg19546057,cg19993680,cg20044443,cg20063095,cg20176142,cg20226253,cg20359565,cg20405742,cg20700740,cg20713968,cg21221712,cg21229179,cg21422623,cg21442881,cg21678736,cg21706771,cg21931263,cg22032626,cg22230912,cg22372849,cg22386583,cg22396498,cg22400420,cg22755445,cg22848646,cg22885332,cg22925751,cg23032421,cg23205629,cg23207054,cg23275644,cg23280999,cg23327334,cg23452957,cg23514211,cg23525708,cg23645210,cg23701314,cg23716690,cg23840027,cg23866916,cg23999170,cg24085426,cg24095374,cg24118151,cg24182798,cg24188163,cg24200501,cg24279017,cg24847366,cg24882332,cg24913825,cg25105522,cg25132536,cg25138553,cg25211705,cg25305879,cg25318579,cg25608555,cg25646029,cg25727853,cg25889918,cg26118358,cg26196087,cg26282731,cg26291655,cg26313511,cg26419676,cg26470175,cg26689077,cg26776551,cg26793227,cg26795312,cg27156259,cg27278668,cg27576900,cg27640064	E063	5.39e-36
-2.157	1.00e+00	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed		E063	1.00e+00
-2.573	1.00e+00	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed	cg10044470,cg25119415	E063	1.00e+00
-1.372	9.64e-01	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg04464062	E063	1.00e+00
-2.137	9.94e-01	E063 Adipose Nuclei	Adipose	BivFlnk	erc2-chromatin15state-all-files/E063_11_BivFlnk.bed	cg03480346,cg03769939,cg14525310,cg24174608,cg24517501	E063	1.00e+00
-0.988	8.85e-01	E063 Adipose Nuclei	Adipose	EnhBiv	erc2-chromatin15state-all-files/E063_12_EnhBiv.bed	cg02806739,cg05875421,cg06068801,cg09395612,cg10876767,cg15732451,cg16505891,cg16951074,cg27230009	E063	1.00e+00
