Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-2.478	9.99e-01	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg01692968,cg02679745,cg05546863,cg11630411,cg23110422	E063	1.00e+00
3.267	5.15e-03	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00073090,cg00501876,cg01971407,cg02657160,cg03033176,cg03636183,cg05362168,cg05488681,cg05603985,cg06188083,cg06285727,cg06545367,cg07007621,cg07483304,cg08170787,cg08534147,cg10139742,cg10749994,cg11324953,cg11660018,cg11800635,cg12929983,cg13038618,cg13184736,cg13709639,cg14580211,cg16535752,cg16794579,cg16880946,cg18337963,cg19314352,cg19572487,cg20059012,cg21674153,cg23351584,cg23949925,cg24480695,cg24633390,cg24996979,cg26740249,cg26856289,cg27209729	E063	2.84e-01
7.171	5.24e-05	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg01937809,cg02583484,cg03707168,cg04545963,cg11147309,cg25749254,cg27637521	E063	5.80e-03
-1.252	9.55e-01	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg00703120,cg03877174,cg04340595,cg05302489,cg05478824,cg07162905,cg08118908,cg08896387,cg09996284,cg13909076,cg15228441,cg15787636,cg17953136,cg21604136,cg25512107	E063	1.00e+00
-1.132	9.47e-01	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00474696,cg01019344,cg01936839,cg02104648,cg04885881,cg06484123,cg06836480,cg07251887,cg10227678,cg12621745,cg12856965,cg13543355,cg14480046,cg15159987,cg20062806,cg21586223,cg22801799,cg22829394,cg26510500	E063	1.00e+00
0.110	5.70e-01	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg04772644,cg11390978,cg14712058,cg25500196	E063	1.00e+00
7.453	1.51e-09	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00762738,cg00831247,cg01901332,cg03358636,cg03450842,cg03630596,cg04273763,cg05284742,cg05673882,cg06672250,cg07037944,cg07339236,cg08173709,cg08271031,cg08396193,cg08956463,cg09022230,cg09502149,cg10025200,cg10691866,cg10750182,cg11902777,cg12075928,cg12639429,cg13203394,cg13579607,cg14099685,cg14264316,cg14316231,cg14389122,cg14624207,cg14753356,cg16329896,cg17809595,cg18826637,cg19137417,cg20059928,cg20692268,cg21322436,cg21411490,cg21443659,cg21611682,cg22851561,cg23098195,cg24610790,cg24999105,cg25748521,cg26361535	E063	5.86e-07
-2.158	1.00e+00	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed		E063	1.00e+00
-1.909	1.00e+00	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed		E063	1.00e+00
-0.754	6.89e-01	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg03611151	E063	1.00e+00
-0.784	8.74e-01	E063 Adipose Nuclei	Adipose	BivFlnk	erc2-chromatin15state-all-files/E063_11_BivFlnk.bed	cg08709672,cg11554391,cg23161492	E063	1.00e+00
3.649	4.00e-03	E063 Adipose Nuclei	Adipose	EnhBiv	erc2-chromatin15state-all-files/E063_12_EnhBiv.bed	cg00310412,cg01899089,cg01940273,cg03329539,cg05875421,cg07599366,cg07996594,cg09935388,cg14454127,cg24807547,cg25949550	E063	2.28e-01
-0.066	6.61e-01	E063 Adipose Nuclei	Adipose	ReprPC	erc2-chromatin15state-all-files/E063_13_ReprPC.bed	cg00300637,cg04716530,cg05575921,cg05616969,cg06258549,cg07178945,cg09662411,cg10720997,cg12333160,cg23615741,cg23667432	E063	1.00e+00
-1.875	9.93e-01	E063 Adipose Nuclei	Adipose	ReprPCWk	erc2-chromatin15state-all-files/E063_14_ReprPCWk.bed	cg00460916,cg01845501,cg03149958,cg05460226,cg06972908,cg17287155,cg19039583,cg20295214,cg21733098,cg24637035,cg25648203,cg26529655,cg27241845,cg27537125	E063	1.00e+00
-2.980	1.00e+00	E063 Adipose Nuclei	Adipose	Quies	erc2-chromatin15state-all-files/E063_15_Quies.bed	cg01177100,cg04398171,cg04934519,cg05898907,cg06533042,cg07986378,cg08840017,cg11436113,cg12107189,cg16174106,cg16331492,cg18625627,cg19188359,cg19259111,cg19614811,cg21393163,cg23079012,cg25305703	E063	1.00e+00
-3.692	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	TssA	erc2-chromatin15state-all-files/E080_1_TssA.bed	cg06545367,cg11630411,cg24480695	E080	1.00e+00
2.803	1.70e-02	E080 Fetal Adrenal Gland	Adrenal	TssAFlnk	erc2-chromatin15state-all-files/E080_2_TssAFlnk.bed	cg00073090,cg00501876,cg00762738,cg00831247,cg02657160,cg03033176,cg05603985,cg06285727,cg07007621,cg08170787,cg10749994,cg11324953,cg11660018,cg13184736,cg16794579,cg16880946,cg18337963,cg21322436,cg21674153,cg23351584,cg25500196,cg25949550	E080	7.62e-01
5.549	5.32e-04	E080 Fetal Adrenal Gland	Adrenal	TxFlnk	erc2-chromatin15state-all-files/E080_3_TxFlnk.bed	cg01937809,cg02583484,cg03707168,cg04545963,cg21411490,cg25749254	E080	4.21e-02
-0.885	9.05e-01	E080 Fetal Adrenal Gland	Adrenal	Tx	erc2-chromatin15state-all-files/E080_4_Tx.bed	cg00703120,cg01019344,cg03877174,cg04340595,cg04772644,cg04885881,cg05302489,cg07162905,cg08118908,cg09996284,cg11390978,cg12856965,cg13909076,cg14389122,cg15228441,cg15787636,cg17953136,cg21604136	E080	1.00e+00
0.118	6.09e-01	E080 Fetal Adrenal Gland	Adrenal	TxWk	erc2-chromatin15state-all-files/E080_5_TxWk.bed	cg01692968,cg02104648,cg06484123,cg07251887,cg07986378,cg08173709,cg08896387,cg10227678,cg12621745,cg13579607,cg14316231,cg14480046,cg19259111,cg22829394,cg24610790,cg26529655,cg26740249	E080	1.00e+00
2.209	4.49e-02	E080 Fetal Adrenal Gland	Adrenal	EnhG	erc2-chromatin15state-all-files/E080_6_EnhG.bed	cg01901332,cg05478824,cg09022230,cg09502149,cg11147309,cg11800635,cg14264316,cg14712058,cg21611682,cg22851561,cg23110422,cg25512107,cg26361535	E080	1.00e+00
6.590	1.36e-07	E080 Fetal Adrenal Gland	Adrenal	Enh	erc2-chromatin15state-all-files/E080_7_Enh.bed	cg00474696,cg03149958,cg03450842,cg04273763,cg05284742,cg05488681,cg05673882,cg06188083,cg07037944,cg10025200,cg10691866,cg10750182,cg12075928,cg12107189,cg12639429,cg12929983,cg13203394,cg13543355,cg13709639,cg14099685,cg14580211,cg14624207,cg14753356,cg15159987,cg16174106,cg16329896,cg16331492,cg16535752,cg17809595,cg18826637,cg19039583,cg19572487,cg20059928,cg21586223,cg23098195,cg23949925,cg24633390,cg24996979,cg24999105,cg25748521,cg26510500,cg26856289	E080	3.20e-05
-1.824	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	ZNF-Rpts	erc2-chromatin15state-all-files/E080_8_ZNF-Rpts.bed		E080	1.00e+00
-1.317	9.55e-01	E080 Fetal Adrenal Gland	Adrenal	Het	erc2-chromatin15state-all-files/E080_9_Het.bed	cg20062806	E080	1.00e+00
-1.119	9.19e-01	E080 Fetal Adrenal Gland	Adrenal	TssBiv	erc2-chromatin15state-all-files/E080_10_TssBiv.bed	cg20059012	E080	1.00e+00
-0.474	7.92e-01	E080 Fetal Adrenal Gland	Adrenal	BivFlnk	erc2-chromatin15state-all-files/E080_11_BivFlnk.bed	cg00310412,cg08534147,cg10139742,cg11554391,cg19314352,cg23161492,cg27637521	E080	1.00e+00
2.624	1.85e-02	E080 Fetal Adrenal Gland	Adrenal	EnhBiv	erc2-chromatin15state-all-files/E080_12_EnhBiv.bed	cg00300637,cg01940273,cg01971407,cg03329539,cg03636183,cg05362168,cg05546863,cg05575921,cg07339236,cg07996594,cg09662411,cg09935388,cg10720997,cg11902777,cg13038618,cg14454127,cg19137417,cg24807547,cg27209729	E080	8.07e-01
-1.108	9.49e-01	E080 Fetal Adrenal Gland	Adrenal	ReprPC	erc2-chromatin15state-all-files/E080_13_ReprPC.bed	cg01936839,cg02679745,cg03611151,cg03630596,cg04716530,cg05616969,cg05875421,cg06258549,cg06672250,cg07178945,cg07483304,cg07599366,cg08396193,cg08709672,cg08840017,cg11436113,cg12333160,cg20295214,cg23615741,cg23667432,cg25648203,cg27241845,cg27537125	E080	1.00e+00
-0.514	8.25e-01	E080 Fetal Adrenal Gland	Adrenal	ReprPCWk	erc2-chromatin15state-all-files/E080_14_ReprPCWk.bed	cg01177100,cg01899089,cg05460226,cg05898907,cg06836480,cg06972908,cg08271031,cg08956463,cg17287155,cg18625627,cg19188359,cg19614811,cg20692268,cg21393163,cg21443659,cg21733098,cg22801799	E080	1.00e+00
-2.715	9.99e-01	E080 Fetal Adrenal Gland	Adrenal	Quies	erc2-chromatin15state-all-files/E080_15_Quies.bed	cg00460916,cg01845501,cg03358636,cg04398171,cg04934519,cg06533042,cg23079012,cg24637035,cg25305703	E080	1.00e+00
-2.558	9.99e-01	E029 Primary monocytes from peripheral blood	Blood	TssA	erc2-chromatin15state-all-files/E029_1_TssA.bed	cg03033176,cg06285727,cg11630411,cg19572487	E029	1.00e+00
