Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
2.963	1.46e-03	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00350296,cg00357551,cg00381391,cg00501876,cg00563348,cg00769590,cg00802237,cg00813162,cg00930606,cg01219553,cg01403010,cg01419539,cg01431482,cg01817897,cg01844235,cg01885635,cg01901101,cg01947583,cg01966117,cg02003183,cg02145310,cg02203067,cg02239377,cg02304370,cg02314339,cg02647929,cg02968508,cg02977524,cg03165378,cg03214715,cg03281139,cg03297731,cg03413355,cg03485667,cg03517919,cg03519879,cg03721291,cg03877174,cg03919488,cg04011474,cg04070976,cg04428662,cg04460609,cg04514392,cg04754652,cg04864179,cg04983687,cg05255330,cg05261759,cg05339037,cg05417607,cg05439368,cg05503062,cg05544807,cg05670953,cg05822017,cg05915362,cg05969150,cg05987787,cg06017697,cg06024215,cg06141561,cg06158227,cg06244417,cg06560379,cg06638529,cg06653796,cg06853836,cg06975311,cg06997767,cg07211476,cg07248223,cg07551060,cg07615364,cg08329754,cg08392125,cg08529529,cg08537847,cg08998950,cg09478591,cg10031769,cg10072464,cg10295552,cg10371155,cg10427868,cg10557584,cg10632966,cg10755077,cg10960375,cg11143953,cg11405200,cg11466832,cg11555067,cg12013713,cg12065228,cg12137220,cg12303084,cg12486287,cg12498580,cg12655542,cg12756527,cg12836643,cg12853742,cg12993663,cg13091627,cg13126206,cg13408344,cg13551141,cg13561409,cg13726456,cg13819552,cg14029001,cg14120703,cg14145185,cg14195992,cg14550066,cg14728380,cg14897188,cg15536947,cg15701612,cg15763670,cg16113254,cg16151960,cg16292768,cg16339915,cg16407699,cg16410171,cg16544989,cg16739178,cg17097293,cg17183174,cg17822325,cg17974684,cg18194850,cg18352516,cg18398753,cg18509466,cg18642234,cg18655522,cg18771737,cg19267205,cg19458497,cg19570155,cg19610615,cg19908207,cg19908768,cg20004659,cg20676788,cg20777437,cg20782117,cg20965527,cg21586223,cg22164298,cg22386583,cg22801913,cg22825202,cg22860172,cg23198334,cg23227726,cg23258188,cg23304647,cg23509869,cg23659289,cg23889047,cg24052964,cg24136700,cg24423806,cg24714606,cg24860589,cg24935598,cg24996979,cg25020550,cg25423174,cg25711239,cg25767870,cg25799109,cg25941075,cg26009832,cg26257082,cg26340968,cg26420795,cg26488978,cg26718213,cg26916780,cg27118035,cg27589594,cg27652459,cg27653384	NA	2.18e-02
-0.488	7.10e-01	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg00313685,cg00563348,cg00930606,cg01901101,cg02003183,cg02145310,cg02203067,cg02541658,cg02543993,cg02714303,cg02977524,cg03281139,cg03297731,cg03413355,cg03450635,cg03485667,cg03517919,cg03529184,cg03721291,cg03877174,cg04173586,cg04428662,cg04583842,cg05527044,cg05670953,cg05681757,cg05915362,cg06024215,cg06141561,cg06158227,cg06644515,cg06653796,cg06690548,cg06975311,cg06983052,cg07211476,cg07248223,cg08529529,cg08763102,cg10955164,cg11555067,cg12137220,cg12303084,cg12486287,cg12498580,cg12993663,cg13726456,cg15197657,cg15260921,cg15962267,cg16151960,cg16407699,cg16544989,cg17378803,cg17822325,cg18352516,cg18398753,cg18702971,cg19051213,cg19136673,cg19267205,cg19458497,cg19837174,cg19910679,cg20945261,cg22164298,cg22460173,cg22825202,cg23048494,cg23051123,cg23198334,cg23205886,cg23599026,cg23889047,cg24307601,cg24819835,cg25423174,cg25711239,cg25799109,cg26257082,cg26488978,cg26718213,cg26912602	NA	1.00e+00
-2.412	9.94e-01	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg00346446,cg00357551,cg00563348,cg01419539,cg01844235,cg01885635,cg02003183,cg02145310,cg02203067,cg03413355,cg03517919,cg03529184,cg04158018,cg04428662,cg06141561,cg06975311,cg08142848,cg08529529,cg08604596,cg10031769,cg10755077,cg10960375,cg11701312,cg12303084,cg12655542,cg12756527,cg13461821,cg13726456,cg14750778,cg15903956,cg16100721,cg16151960,cg16196506,cg16407699,cg16702313,cg16735495,cg16855355,cg17378803,cg17822325,cg19136673,cg19837174,cg20945261,cg21898299,cg22164298,cg22460173,cg22825202,cg23509869,cg25711239,cg25799109,cg26257082,cg26718213,cg26912602,cg27370104,cg27653384	NA	1.00e+00
-0.579	7.40e-01	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00346446,cg00501876,cg00563348,cg00930606,cg01360720,cg01419539,cg01901101,cg02049979,cg02203067,cg02402423,cg02541658,cg02714303,cg02977524,cg03297731,cg03413355,cg03485667,cg03517919,cg03877174,cg04173586,cg04182865,cg04682133,cg05255330,cg05527044,cg05670953,cg05915362,cg06141561,cg06560379,cg06653796,cg06690548,cg06930757,cg06975311,cg06983052,cg07211476,cg07248223,cg07520810,cg08529529,cg08843513,cg10031769,cg10779317,cg10955164,cg10960375,cg11498582,cg11701312,cg12137220,cg12303084,cg12474798,cg12498580,cg12655542,cg12756527,cg13091627,cg13726456,cg14239983,cg14519777,cg14897188,cg15197657,cg15432711,cg15763670,cg15903956,cg16061953,cg16100721,cg16260349,cg16407699,cg16855355,cg17378803,cg17822325,cg18728493,cg19267205,cg19837174,cg20945261,cg21960364,cg22039458,cg22164298,cg22460173,cg23051123,cg23198334,cg23205886,cg23509869,cg23878206,cg24163210,cg24746938,cg24819835,cg24996979,cg25423174,cg25711239,cg25799109,cg26009832,cg26033520,cg26257082,cg26547506,cg26912602,cg26916780,cg27653384	NA	1.00e+00
1.511	7.34e-02	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00049440,cg00346446,cg00501876,cg00533183,cg00563348,cg00611192,cg00930606,cg01300684,cg01419539,cg01885635,cg01901101,cg01933228,cg02003183,cg02028663,cg02170577,cg02203067,cg02239377,cg02358653,cg02578470,cg02712949,cg02977524,cg03156547,cg03281139,cg03297731,cg03413355,cg03485667,cg03517919,cg03519879,cg03529184,cg03877174,cg04011474,cg04094640,cg04583842,cg04682133,cg04757168,cg04816311,cg04852339,cg04864179,cg05132782,cg05261759,cg05503062,cg05527044,cg05670953,cg05874806,cg05915362,cg05958351,cg06024215,cg06141561,cg06158227,cg06560379,cg06644515,cg06653796,cg06690548,cg06792126,cg06975311,cg06983052,cg06997767,cg07134252,cg07211476,cg07248223,cg07520810,cg07551060,cg07589342,cg07615364,cg07697428,cg08062273,cg08142848,cg08237401,cg08511818,cg08529529,cg08604596,cg08843513,cg08937734,cg09183671,cg09802688,cg10173620,cg10276404,cg10755077,cg10955164,cg10960375,cg11555067,cg11701312,cg11924638,cg12013713,cg12137220,cg12303084,cg12396368,cg12474798,cg12498580,cg12756527,cg13126206,cg13142374,cg13235761,cg13344587,cg13442969,cg13641778,cg13726456,cg13941801,cg13981001,cg14012686,cg14195992,cg14322343,cg14897188,cg15197657,cg15260921,cg15432711,cg15701612,cg15804598,cg15903956,cg16052901,cg16061953,cg16407699,cg16855355,cg16886828,cg17822325,cg17907525,cg17915189,cg18398753,cg18428542,cg18505752,cg18590502,cg19136673,cg19267205,cg19352832,cg19458497,cg19837174,cg19910679,cg20146909,cg20505728,cg20674658,cg20945261,cg20965527,cg21807262,cg21960364,cg22025064,cg22039458,cg22164298,cg22460173,cg22530519,cg22825202,cg23051123,cg23198334,cg23205886,cg23509869,cg23659289,cg23889047,cg24207616,cg24819835,cg24860589,cg24996979,cg25423174,cg25711239,cg25799109,cg26039141,cg26257082,cg26488978,cg26547506,cg26718213,cg26912602,cg26916780,cg27366007,cg27370104,cg27653384	NA	6.28e-01
0.458	3.42e-01	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00346446,cg00563348,cg01419539,cg01439754,cg01799015,cg01844235,cg01885635,cg01901101,cg02003183,cg02145310,cg02203067,cg02239377,cg02712949,cg02977524,cg03156547,cg03281139,cg03297731,cg03485667,cg03517919,cg03519879,cg03529184,cg03721291,cg03877174,cg04085571,cg04161859,cg04583842,cg04816311,cg04852339,cg04864179,cg05132782,cg05503062,cg05516004,cg05527044,cg05670953,cg05915362,cg05927789,cg06017697,cg06024215,cg06141561,cg06158227,cg06244417,cg06560379,cg06644515,cg06653796,cg06690548,cg06792126,cg06930757,cg06975311,cg07134252,cg07248223,cg07520810,cg07551060,cg07589342,cg07904865,cg08062273,cg08142848,cg08237401,cg08529529,cg08763102,cg09182678,cg09183671,cg09478591,cg09802688,cg10755077,cg10779317,cg10955164,cg11133226,cg11143953,cg11466832,cg11498582,cg11555067,cg11701312,cg12087627,cg12137220,cg12303084,cg12486287,cg12655542,cg12728588,cg12756527,cg12836643,cg12853742,cg13091627,cg13408344,cg13442969,cg13544027,cg13726456,cg14478589,cg15197657,cg15260921,cg15432711,cg15804598,cg15903956,cg16052901,cg16061953,cg16407699,cg16739178,cg16855355,cg16886828,cg16988611,cg17117243,cg17378803,cg17822325,cg17823346,cg17974684,cg18398753,cg18505752,cg18642234,cg18702971,cg19136673,cg19267205,cg19352832,cg19458497,cg19837174,cg20146909,cg20674658,cg20792590,cg20945261,cg20965527,cg21807262,cg21898299,cg21960364,cg22039458,cg22164298,cg22460173,cg22825202,cg23048494,cg23051123,cg23198334,cg23205886,cg23509869,cg23599026,cg23659289,cg23889047,cg24163210,cg24429533,cg24819835,cg24996979,cg25020550,cg25423174,cg25711239,cg25799109,cg26257082,cg26432350,cg26488978,cg26718213,cg26912602,cg26916780,cg27653384	NA	1.00e+00
0.275	4.14e-01	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00346446,cg00501876,cg01211396,cg01403010,cg01419539,cg01885635,cg02145310,cg02183564,cg02304370,cg02541658,cg02647929,cg03052004,cg03217337,cg03281139,cg03507593,cg03877174,cg03919488,cg03919650,cg05339037,cg05439368,cg05503062,cg05670953,cg05822017,cg05915362,cg05986288,cg06560379,cg06638529,cg06773488,cg06792126,cg06975311,cg07248223,cg07551060,cg08529529,cg08692676,cg08998950,cg09010791,cg09182678,cg09797463,cg10031769,cg10276404,cg11466832,cg11997536,cg12303084,cg12491115,cg12498580,cg12993663,cg13126206,cg13408344,cg13551141,cg13819552,cg14120703,cg14145185,cg14195992,cg14550066,cg14930065,cg15467116,cg16113254,cg16389345,cg16407699,cg16734795,cg17183174,cg17540192,cg18590502,cg18651578,cg18771737,cg19358608,cg19908768,cg20331980,cg21586223,cg22023664,cg22039458,cg22825202,cg23051123,cg23304647,cg23597162,cg23659289,cg24996979,cg25020550,cg25423174,cg25711239,cg25799109,cg25941075,cg26257082,cg27118035,cg27128761	NA	1.00e+00
-1.862	9.76e-01	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00049440,cg00346446,cg00357551,cg00896068,cg01211396,cg01419539,cg01885635,cg02028663,cg02712949,cg02968508,cg03281139,cg03297731,cg03485667,cg03721291,cg04682133,cg04983687,cg05339037,cg05575921,cg05670953,cg06017697,cg06024215,cg06158227,cg06638529,cg06644515,cg08064672,cg08529529,cg08802944,cg08998950,cg09478591,cg10031769,cg10632966,cg11555067,cg12013713,cg12041266,cg12065228,cg12087627,cg12271022,cg12303084,cg12498580,cg13726456,cg14145185,cg14239983,cg14369329,cg15763670,cg16734795,cg17183174,cg17378803,cg18505752,cg18771737,cg19136673,cg20782117,cg20995127,cg22164298,cg22825202,cg23304647,cg23599026,cg24429533,cg24714606,cg24996979,cg25247177,cg26191447,cg26257082,cg26413708,cg26420795,cg26577252,cg27118035,cg27653384	NA	1.00e+00
3.954	4.40e-05	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00049440,cg00218406,cg00290023,cg00346446,cg00350296,cg00357551,cg00381391,cg00501876,cg00563348,cg00769590,cg00802237,cg00813162,cg00853671,cg01211396,cg01403010,cg01419539,cg01439754,cg01885635,cg02003183,cg02028663,cg02151816,cg02183564,cg02203067,cg02239377,cg02304370,cg02541658,cg02647929,cg02977524,cg03052004,cg03066323,cg03165378,cg03217337,cg03281139,cg03297731,cg03485667,cg03507593,cg03519879,cg03529184,cg03721291,cg03919488,cg03919650,cg04006520,cg04011474,cg04173586,cg04428662,cg04864179,cg05201300,cg05261759,cg05339037,cg05439368,cg05503062,cg05670953,cg05822017,cg05915362,cg05986288,cg06017697,cg06024215,cg06244417,cg06559575,cg06560379,cg06638529,cg06653796,cg06792126,cg06975311,cg07248223,cg07551060,cg07714319,cg07815238,cg08352115,cg08409361,cg08529529,cg08692676,cg08998950,cg09010791,cg09182678,cg09264489,cg09797463,cg09802688,cg10031769,cg10254082,cg10276404,cg10371155,cg10632966,cg10960375,cg11460110,cg11534593,cg11935041,cg11997536,cg12137220,cg12303084,cg12486287,cg12491115,cg12498580,cg12644285,cg12756527,cg12836643,cg13054523,cg13091627,cg13126206,cg13408344,cg13551141,cg13726456,cg13819552,cg13832201,cg14029001,cg14120703,cg14195992,cg14239983,cg14369329,cg14550066,cg14897188,cg14959425,cg14976569,cg15467116,cg15616998,cg15763670,cg16151960,cg16407699,cg16717225,cg16734795,cg16855355,cg17183174,cg17540192,cg18642234,cg18655522,cg18702971,cg19136673,cg19267205,cg19358608,cg19458497,cg19837174,cg20004659,cg20138067,cg20146909,cg20674658,cg20722088,cg20965527,cg21586223,cg21698310,cg22023664,cg22039458,cg22386583,cg22460173,cg22534374,cg22615330,cg22825202,cg23051123,cg23198334,cg23304647,cg23509869,cg23597162,cg23659289,cg23903708,cg24052964,cg24163210,cg24207616,cg24260327,cg24497361,cg24819835,cg24860589,cg24935598,cg24996979,cg25020550,cg25423174,cg25711239,cg25767870,cg25799109,cg25941075,cg26257082,cg26417912,cg26432350,cg27118035,cg27493411,cg27653384	NA	8.79e-04
2.140	2.06e-02	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00218406,cg00290023,cg00563348,cg00769590,cg00802237,cg00813162,cg00930606,cg01211396,cg01403010,cg01419539,cg01885635,cg02028663,cg02145310,cg02183564,cg02203067,cg02239377,cg02304370,cg02541658,cg02647929,cg02968508,cg02977524,cg03052004,cg03066323,cg03165378,cg03217337,cg03297731,cg03507593,cg03529184,cg03590328,cg03919488,cg03919650,cg04006520,cg04173586,cg04682133,cg04864179,cg05201300,cg05339037,cg05439368,cg05503062,cg05670953,cg05822017,cg05915362,cg05986288,cg06017697,cg06244417,cg06560379,cg06638529,cg06773488,cg06792126,cg06975311,cg07054804,cg07248223,cg07248440,cg07551060,cg07815238,cg08529529,cg08604596,cg08692676,cg08998950,cg09010791,cg09182678,cg09264489,cg09797463,cg10632966,cg10955164,cg10960375,cg11143953,cg11534593,cg11555067,cg12120406,cg12303084,cg12486287,cg12491115,cg12498580,cg12801791,cg12836643,cg12993663,cg13126206,cg13408344,cg13551141,cg13567986,cg13726456,cg13819552,cg14120703,cg14145185,cg14195992,cg14550066,cg15073708,cg15260921,cg15467116,cg15763670,cg16061953,cg16113254,cg16151960,cg16407699,cg16618493,cg16734795,cg16855355,cg17183174,cg17540192,cg18655522,cg19136673,cg19358608,cg19458497,cg19837174,cg20004659,cg20970369,cg21483092,cg21586223,cg21960364,cg22534374,cg22593432,cg22720761,cg22801913,cg22825202,cg23051123,cg23198334,cg23227726,cg23304647,cg23509869,cg23597162,cg23659289,cg24052964,cg24163210,cg24207616,cg24375627,cg24497361,cg24860589,cg24996979,cg25423174,cg25711239,cg25799109,cg25941075,cg26257082,cg26432350,cg26547506,cg27118035,cg27370104,cg27493411,cg27653384	NA	1.90e-01
