Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-1.003	9.32e-01	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg00536792,cg00675133,cg00937681,cg00994804,cg01856645,cg02196294,cg02532700,cg02564134,cg02938205,cg03125400,cg03274456,cg03338220,cg06813382,cg06981386,cg07042914,cg07964538,cg08464824,cg09760963,cg10239860,cg10387769,cg10765212,cg11303738,cg11637005,cg14213394,cg15271616,cg16071219,cg17140307,cg20615848,cg21144928,cg22488352,cg24449302,cg24626003,cg24657523	E063	1.00e+00
7.365	5.42e-09	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00091633,cg00123478,cg00448814,cg00479240,cg00755980,cg01001533,cg02019125,cg02185666,cg02343823,cg02463253,cg02611770,cg02763617,cg03278643,cg03362840,cg03449398,cg03662049,cg03687532,cg03906115,cg04358214,cg04396550,cg04561804,cg04979435,cg05697249,cg05927068,cg06194982,cg06391982,cg06411551,cg07211044,cg08026735,cg08265933,cg08311343,cg08511651,cg08764927,cg09368188,cg09648727,cg09721659,cg09837361,cg10078511,cg10136560,cg10312186,cg10329418,cg10599571,cg10830889,cg12125332,cg12630461,cg13496596,cg13626863,cg13838969,cg13989852,cg14485097,cg15091747,cg15726169,cg15945287,cg16548362,cg17165695,cg17470251,cg17599609,cg17858880,cg18449062,cg20065768,cg20441135,cg20785560,cg23277376,cg23450038,cg23790219,cg24500683,cg24915511,cg25311764,cg25602536,cg25881170,cg25955817,cg26416971,cg26783428,cg26876647,cg26889659,cg27383418,cg27454064	E063	2.80e-06
-2.386	1.00e+00	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed		E063	1.00e+00
-3.609	1.00e+00	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed		E063	1.00e+00
-3.068	1.00e+00	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg11233340,cg12680719,cg15323873,cg17745339,cg24435571	E063	1.00e+00
-1.084	8.97e-01	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg14157435	E063	1.00e+00
1.941	7.87e-02	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00794911,cg01604380,cg03102841,cg03152121,cg03287658,cg04048634,cg05065239,cg05634495,cg09321403,cg10234985,cg10704395,cg11144555,cg11204974,cg11591485,cg11672277,cg11902777,cg13431464,cg15809578,cg20059928,cg20708516,cg21209395,cg21700511,cg24612707	E063	1.00e+00
0.344	3.63e-01	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed	cg15439725,cg26262573	E063	1.00e+00
-1.100	9.20e-01	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed	cg22456178	E063	1.00e+00
5.188	5.85e-04	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg01340163,cg04905201,cg08463485,cg08698721,cg08918020,cg15016771,cg17403609,cg18592365,cg20714328	E063	5.30e-02
