Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
5.894	2.53e-07	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg00159243,cg00490406,cg00705600,cg01026383,cg01409343,cg02538248,cg03819286,cg03860038,cg04523589,cg06164260,cg06383241,cg07558761,cg07719512,cg08352115,cg09349128,cg09849319,cg10045881,cg10460946,cg10926330,cg12635790,cg13745870,cg14237301,cg15551881,cg15809077,cg15901722,cg16267322,cg17588094,cg17602444,cg18995788,cg19821297,cg20510033,cg20995564,cg23761815,cg24002003,cg24954967,cg25739715,cg26340740,cg26804423,cg27307975,cg27310092	E029	4.19e-05
2.740	9.07e-03	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg00094412,cg00159243,cg00490406,cg01409343,cg01598596,cg02249390,cg02464912,cg02650017,cg03819286,cg03860038,cg04321224,cg05166473,cg06383241,cg07558761,cg07719512,cg09349128,cg09849319,cg10460946,cg10926330,cg10967866,cg12170787,cg12635790,cg14237301,cg15551881,cg16743273,cg17602444,cg17901584,cg19281794,cg21727145,cg24002003,cg24954967,cg25739715,cg26340740,cg27023597	E032	1.25e-01
3.501	1.70e-03	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg00159243,cg00490406,cg01409343,cg01598596,cg02249390,cg02464912,cg02650017,cg03819286,cg03860038,cg05166473,cg06383241,cg07558761,cg08450017,cg09349128,cg09849319,cg10460946,cg10926330,cg10967866,cg12170787,cg12635790,cg15551881,cg15901722,cg16536330,cg17602444,cg19281794,cg20510033,cg20937934,cg21727145,cg24002003,cg24954967,cg25739715,cg26340740,cg27023597	E033	4.04e-02
2.226	3.15e-02	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg00159243,cg00490406,cg01409343,cg01598596,cg02249390,cg02464912,cg02538248,cg02650017,cg04638265,cg06383241,cg08450017,cg09349128,cg09849319,cg10460946,cg10926330,cg12170787,cg12635790,cg14237301,cg15551881,cg15901722,cg16536330,cg17602444,cg18513344,cg19281794,cg20510033,cg20937934,cg21727145,cg24002003,cg25739715,cg27023597,cg27310092	E034	3.73e-01
1.990	4.18e-02	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg00093829,cg00159243,cg00490406,cg01409343,cg02464912,cg02538248,cg02650017,cg05166473,cg06164260,cg06383241,cg07558761,cg08450017,cg09349128,cg09849319,cg10460946,cg10926330,cg12170787,cg12635790,cg15551881,cg15901722,cg16536330,cg20510033,cg24002003,cg24954967,cg25739715,cg26340740,cg27023597,cg27310092	E046	4.63e-01
2.702	8.44e-03	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg00093829,cg00159243,cg00490406,cg01409343,cg02464912,cg02538248,cg02650017,cg03660096,cg03819286,cg03940776,cg06164260,cg06383241,cg07398517,cg07698196,cg09349128,cg09849319,cg10460946,cg10926330,cg10967866,cg12635790,cg12992827,cg13745870,cg15551881,cg15809077,cg15901722,cg16536330,cg17501210,cg18513344,cg18995788,cg19283354,cg20995564,cg24002003,cg24954967,cg25739715,cg26340740,cg27310092	E050	1.25e-01
0.549	3.30e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg00159243,cg01409343,cg02464912,cg02538248,cg02650017,cg06164260,cg06383241,cg07398517,cg07558761,cg09349128,cg09849319,cg10926330,cg10967866,cg12635790,cg13745870,cg15551881,cg15901722,cg16536330,cg17602444,cg20995564,cg24002003,cg24954967,cg25739715,cg27310092	E051	1.00e+00
3.656	7.86e-04	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg00093829,cg00159243,cg00506299,cg00705600,cg01409343,cg01598596,cg02464912,cg02538248,cg03940776,cg04389058,cg06164260,cg06383241,cg07398517,cg09349128,cg10045881,cg10460946,cg10926330,cg12635790,cg12992827,cg13745870,cg15551881,cg15809077,cg15901722,cg17501210,cg17588094,cg17901584,cg18860310,cg19821297,cg20510033,cg20937934,cg20995564,cg21727145,cg23689615,cg24002003,cg24954967,cg27023597,cg27310092,cg27661394	E028	2.17e-02
-2.519	9.96e-01	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg00093829,cg00094412,cg00569418,cg01153613,cg01409343,cg01598596,cg02464912,cg02650017,cg02991558,cg04086394,cg06164260,cg08352115,cg10926330,cg13745870,cg17588094,cg17901584,cg19821297,cg27023597,cg27310092	E003	1.00e+00
-2.242	9.92e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg00093829,cg00094412,cg00159243,cg01153613,cg01409343,cg01598596,cg02464912,cg02650017,cg03940776,cg04086394,cg06164260,cg10926330,cg11393173,cg13316148,cg13745870,cg17588094,cg17901584,cg27023597,cg27310092,cg27661394	E004	1.00e+00
-0.403	6.91e-01	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	DHS	E005-DNase.hotspot.fdr0.01.broad.bed.gz	cg00159243,cg00490406,cg01598596,cg02464912,cg03612357,cg04389058,cg05279866,cg06164260,cg07372520,cg10926330,cg13745870,cg17588094,cg17901584,cg18482303,cg22877129,cg23114435,cg27310092	E005	1.00e+00
