Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
3.551	1.36e-03	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00574958,cg01243823,cg02711608,cg04927537,cg06192883,cg06946797,cg07021906,cg07094298,cg07504977,cg07573872,cg10508317,cg10919522,cg12593793,cg13708645,cg17501210,cg17738521,cg17782974,cg18098839,cg19017142,cg21429551,cg23172671,cg26894079,cg26955383,cg27115863	NA	8.15e-03
2.874	6.75e-03	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg00574958,cg02711608,cg03725309,cg04286697,cg06192883,cg06690548,cg06946797,cg07021906,cg07094298,cg09664445,cg13708645,cg14476101,cg17738521,cg17782974,cg21429551	NA	3.24e-02
3.385	3.63e-03	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg00574958,cg03725309,cg04286697,cg06192883,cg06946797,cg07021906,cg07094298,cg08548559,cg09664445,cg10919522,cg13708645,cg17782974,cg26403843,cg26955383	NA	1.89e-02
4.051	5.17e-04	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00574958,cg03078551,cg03725309,cg04286697,cg06690548,cg06946797,cg07021906,cg07094298,cg08548559,cg09664445,cg10919522,cg13708645,cg14476101,cg17782974,cg19017142,cg21429551,cg25649826,cg26403843,cg26955383	NA	3.68e-03
5.434	1.76e-06	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00574958,cg01243823,cg02711608,cg03078551,cg03500056,cg03725309,cg04286697,cg04816311,cg04927537,cg06192883,cg06690548,cg06946797,cg07021906,cg07094298,cg08857797,cg10919522,cg12484113,cg13708645,cg14017402,cg14476101,cg17782974,cg17901584,cg18098839,cg19017142,cg21429551,cg24531955,cg25649826,cg26894079,cg26955383,cg27470213	NA	2.63e-05
5.782	7.26e-07	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00574958,cg01243823,cg02711608,cg03078551,cg03500056,cg03725309,cg04286697,cg04816311,cg04927537,cg06192883,cg06500161,cg06690548,cg06946797,cg07021906,cg07094298,cg07504977,cg09182678,cg09664445,cg10919522,cg13708645,cg14017402,cg14476101,cg17738521,cg17782974,cg19017142,cg21429551,cg26403843,cg26651978,cg26955383,cg27470213	NA	1.45e-05
3.202	3.90e-03	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg06192883,cg06946797,cg07094298,cg07504977,cg08548559,cg09182678,cg10919522,cg12458003,cg12593793,cg13708645,cg19017142,cg23172671,cg25392060,cg26894079,cg27115863	NA	1.95e-02
3.965	6.36e-04	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00574958,cg01368219,cg02711608,cg03500056,cg03725309,cg06192883,cg07094298,cg07504977,cg08857797,cg10508317,cg11024682,cg12593793,cg13708645,cg17738521,cg18098839,cg21429551,cg27470213	NA	4.01e-03
6.630	8.13e-08	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg01243823,cg02711608,cg03078551,cg03725309,cg06192883,cg06946797,cg07021906,cg07094298,cg07504977,cg07814318,cg08857797,cg09182678,cg10919522,cg12458003,cg12593793,cg13708645,cg14017402,cg16611584,cg17738521,cg17782974,cg18098839,cg19017142,cg19750657,cg23172671,cg24531955,cg24678869,cg25392060,cg26894079,cg26955383,cg27115863	NA	1.95e-06
4.144	1.99e-04	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00574958,cg01243823,cg02711608,cg03725309,cg06192883,cg06946797,cg07021906,cg07094298,cg07504977,cg08548559,cg09182678,cg10919522,cg12593793,cg13708645,cg17738521,cg19017142,cg23172671,cg24678869,cg25392060,cg25649826,cg26894079,cg26955383	NA	1.70e-03
