Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-5.244	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg00089430,cg00529978,cg00549064,cg02384859,cg02407068,cg03209707,cg03390830,cg03699103,cg04096477,cg04163638,cg04280657,cg04612248,cg04653326,cg04933135,cg05121110,cg05170183,cg06141378,cg08222192,cg08357961,cg08390732,cg09075096,cg09361598,cg09414922,cg09990194,cg11225266,cg11499236,cg11712187,cg12872535,cg13019030,cg13471408,cg13733008,cg14199978,cg14239540,cg14438279,cg16238475,cg16883145,cg17072045,cg17350632,cg18574822,cg18999855,cg19255656,cg19693031,cg19987248,cg21295453,cg21738270,cg21847062,cg21930227,cg21992594,cg22760338,cg23800023,cg25025574,cg25979148,cg26539024,cg26678144	E029	1.00e+00
-3.492	1.00e+00	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg00075331,cg00089430,cg00437441,cg00529978,cg00549064,cg00719568,cg01427388,cg02384859,cg02396110,cg02407068,cg03209707,cg03390830,cg03699103,cg04096477,cg04163638,cg04195858,cg04280657,cg04527989,cg04612248,cg04653326,cg04933135,cg05085499,cg05170183,cg05345866,cg06121113,cg06141378,cg06371243,cg06815489,cg06875670,cg07489413,cg07697733,cg08113064,cg08222192,cg08390732,cg08426368,cg08479615,cg08985282,cg09075096,cg09289684,cg09361598,cg09414922,cg09604901,cg09990194,cg09993711,cg10346658,cg10541183,cg11065972,cg11225266,cg11499236,cg11712187,cg11769360,cg12226453,cg12872535,cg13019030,cg13262212,cg13733008,cg13904286,cg14239540,cg14640244,cg15035920,cg15253892,cg16238475,cg16883145,cg17072045,cg17350632,cg18279341,cg18574822,cg19255656,cg19693031,cg19987248,cg20695534,cg20709984,cg20976607,cg21471225,cg21738270,cg21847062,cg21930227,cg21992594,cg22351103,cg23800023,cg23903774,cg24270163,cg24853857,cg25309493,cg25363789,cg25979148,cg26353322,cg26539024,cg26779688,cg27341384,cg27398401,cg27567544	E032	1.00e+00
-4.040	1.00e+00	E033 Primary T cells from cord blood	Blood	H3K36me3	E033-H3K36me3.broadPeak.gz	cg00065430,cg00075331,cg00089430,cg00437441,cg00529978,cg00549064,cg00719568,cg01427388,cg02384859,cg02407068,cg03209707,cg03390830,cg03699103,cg03702011,cg03842617,cg04096477,cg04195858,cg04527989,cg04653326,cg04933135,cg05170183,cg05345866,cg06815489,cg08113064,cg08222192,cg08357961,cg08390732,cg08426368,cg08479615,cg08985282,cg09289684,cg09361598,cg09414922,cg09990194,cg10784511,cg11099003,cg11225266,cg11499236,cg11769360,cg12226453,cg13019030,cg13262212,cg13733008,cg14199978,cg14239540,cg14438279,cg15253892,cg15892950,cg16238475,cg16883145,cg17072045,cg18574822,cg19693031,cg19987248,cg20109855,cg20181209,cg20709984,cg21295453,cg21519027,cg21738270,cg21847062,cg21992594,cg22488278,cg23800023,cg23898957,cg23903774,cg24853857,cg25979148,cg26353322,cg26539024,cg26863821,cg27313201,cg27398401	E033	1.00e+00
-1.689	9.63e-01	E034 Primary T cells from peripheral blood	Blood	H3K36me3	E034-H3K36me3.broadPeak.gz	cg00075331,cg00089430,cg00208912,cg00373663,cg00437441,cg00529978,cg00549064,cg00719568,cg00732815,cg01427388,cg02384859,cg02396110,cg02407068,cg02511590,cg03209707,cg03390830,cg03699103,cg04070847,cg04096477,cg04195858,cg04262623,cg04527989,cg04569233,cg04653326,cg04853616,cg04922682,cg04933135,cg05121110,cg05170183,cg05272587,cg05425909,cg06141378,cg06815489,cg07489413,cg07678273,cg08113064,cg08222192,cg08357961,cg08390732,cg08426368,cg08479615,cg08812177,cg09075096,cg09289684,cg09414922,cg09604901,cg09990194,cg09993711,cg10142452,cg10541183,cg10791278,cg11057867,cg11065972,cg11099003,cg11225266,cg11444477,cg11499236,cg11769360,cg12872535,cg13019030,cg13262212,cg13733008,cg13904286,cg14037114,cg14199978,cg14239540,cg14438279,cg14801356,cg15253892,cg15866363,cg15892950,cg16238475,cg16883145,cg16964791,cg17350632,cg18024141,cg18445418,cg18574822,cg19255656,cg19693031,cg19802564,cg19987248,cg20109855,cg20270159,cg20351582,cg20695534,cg20709984,cg21295453,cg21738270,cg21847062,cg21930227,cg22097677,cg22351103,cg22488278,cg22534310,cg23361114,cg23800023,cg23903774,cg24270163,cg24632943,cg24853857,cg25363789,cg25854725,cg25979148,cg26353322,cg26539024,cg26678144,cg26957356,cg27341384,cg27544046,cg27567544	E034	1.00e+00
-5.049	1.00e+00	E046 Primary Natural Killer cells from peripheral 	Blood	H3K36me3	E046-H3K36me3.broadPeak.gz	cg00089430,cg00529978,cg00549064,cg00719568,cg01427388,cg02384859,cg02396110,cg02407068,cg03209707,cg03390830,cg03699103,cg04096477,cg04262623,cg04612248,cg04653326,cg04933135,cg05170183,cg05425909,cg06141378,cg06815489,cg08222192,cg08390732,cg08426368,cg08812177,cg09075096,cg09289684,cg09414922,cg09990194,cg10541183,cg11225266,cg11499236,cg11769360,cg12872535,cg13019030,cg13262212,cg13733008,cg14037114,cg14239540,cg15892950,cg16883145,cg17350632,cg18445418,cg18574822,cg19255656,cg19693031,cg19987248,cg20709984,cg21295453,cg21738270,cg21847062,cg21930227,cg22351103,cg23800023,cg24270163,cg24853857,cg25979148,cg26539024,cg27341384	E046	1.00e+00
-2.995	9.99e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E050-H3K36me3.broadPeak.gz	cg00089430,cg00120147,cg00512337,cg00529978,cg00549064,cg00719568,cg01191349,cg02384859,cg02407068,cg02916920,cg03185827,cg03209707,cg03390830,cg03699103,cg04096477,cg04163638,cg04195858,cg04527989,cg04653326,cg04853616,cg04933135,cg05155047,cg05170183,cg05766896,cg06016811,cg06121113,cg06141378,cg06815489,cg07062156,cg07678273,cg08113064,cg08222192,cg08390732,cg08415493,cg08426368,cg09075096,cg09289684,cg09361598,cg09414922,cg09990194,cg10695722,cg11225266,cg11499236,cg11712187,cg11769360,cg11888727,cg12180319,cg12226453,cg12872535,cg13019030,cg13092433,cg13262212,cg13471408,cg13733008,cg13806230,cg14199978,cg14239540,cg14801356,cg15253892,cg15761598,cg16238475,cg16883145,cg17072045,cg17873675,cg18114649,cg18999855,cg19255656,cg19585415,cg19693031,cg19802564,cg20181209,cg21401359,cg21471225,cg21738270,cg21847062,cg21930227,cg22351103,cg22837763,cg22910540,cg23800023,cg25979148,cg26353322,cg26539024,cg27341384,cg27398401	E050	1.00e+00
-3.088	9.99e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E051-H3K36me3.broadPeak.gz	cg00075331,cg00089430,cg00120147,cg00512337,cg00529978,cg00549064,cg00719568,cg01191349,cg01427388,cg02384859,cg02407068,cg02916920,cg03086857,cg03185827,cg03209707,cg03390830,cg03582285,cg03699103,cg04096477,cg04195858,cg04612248,cg04653326,cg04853616,cg04933135,cg06016811,cg06121113,cg06141378,cg06815489,cg07062156,cg07380200,cg07678273,cg08030438,cg08113064,cg08222192,cg08357961,cg08390732,cg08426368,cg08479615,cg09289684,cg09361598,cg09414922,cg09418635,cg09527411,cg09990194,cg10142452,cg11225266,cg11499236,cg11769360,cg12180319,cg12226453,cg13019030,cg13092433,cg13262212,cg13733008,cg14199978,cg14239540,cg14801356,cg15253892,cg16041062,cg16238475,cg16264526,cg16883145,cg17072045,cg17873675,cg18114649,cg19255656,cg19693031,cg19802564,cg20695534,cg21401359,cg21471225,cg21738270,cg21847062,cg22837763,cg22910540,cg23800023,cg25979148,cg26353322,cg26539024,cg27341384,cg27398401	E051	1.00e+00
-1.434	9.35e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K36me3	E028-H3K36me3.broadPeak.gz	cg00075331,cg00214353,cg00529978,cg00719568,cg01237517,cg01421256,cg01559533,cg01958295,cg02384859,cg02407068,cg02556217,cg02739534,cg02916920,cg03185827,cg03209707,cg03390830,cg03699103,cg03928887,cg04096477,cg04195858,cg04262623,cg04280657,cg04612248,cg04653326,cg04766772,cg04853616,cg05063632,cg05085499,cg05170183,cg05272587,cg05345866,cg05361290,cg05425909,cg06016811,cg06139239,cg06141378,cg06815489,cg07027444,cg07380200,cg07678273,cg08222192,cg08426368,cg08479615,cg09361598,cg09414922,cg09993711,cg10142452,cg10980055,cg11099003,cg11499236,cg11712187,cg12058878,cg12180319,cg13019030,cg13085403,cg13185316,cg13456138,cg13733008,cg14037114,cg15253892,cg15258722,cg15892950,cg16238475,cg16264526,cg17072045,cg17588174,cg17873675,cg18642719,cg19585415,cg19693031,cg19730730,cg20181209,cg20373771,cg20503282,cg21471225,cg21738270,cg23800023,cg24270163,cg24312105,cg24782857,cg24853857,cg25979148,cg26090406,cg26353322,cg26539024,cg27341384,cg27398401,cg27508055,cg27565517	E028	1.00e+00
-1.321	9.21e-01	E003 H1 Cells	ES Cell	H3K36me3	E003-H3K36me3.broadPeak.gz	cg00088399,cg00089430,cg00120147,cg00437441,cg00513930,cg00529978,cg00549064,cg00719568,cg01276843,cg01372939,cg01392772,cg01427388,cg01486537,cg02022380,cg02113641,cg02150910,cg02384859,cg02407068,cg02693870,cg02916920,cg03083467,cg03185827,cg03209707,cg03390830,cg03595083,cg03699103,cg03928887,cg04045079,cg04096477,cg04262623,cg04280657,cg04527989,cg04633676,cg04653326,cg04714252,cg04794556,cg04933135,cg05063632,cg05155047,cg05167916,cg05170183,cg05272587,cg05361290,cg05569018,cg06068711,cg06121113,cg06139239,cg06371243,cg07027444,cg07404365,cg07463103,cg08113064,cg08222192,cg09414922,cg09604901,cg09990194,cg10283311,cg10436631,cg11065972,cg11099003,cg11131246,cg11225266,cg11747695,cg12058878,cg12180319,cg13019030,cg13092433,cg13262212,cg13279049,cg13432102,cg13733008,cg13937208,cg14199978,cg14239540,cg14801356,cg15253892,cg15258722,cg15440891,cg15990170,cg16212145,cg16238475,cg16522557,cg17072045,cg17090754,cg18096774,cg18147718,cg18235278,cg18445418,cg19223299,cg19234894,cg19693031,cg19730730,cg19987248,cg20109855,cg20181209,cg20330521,cg20373771,cg20976607,cg21009769,cg21930227,cg22097677,cg22275864,cg22351103,cg22730464,cg22837763,cg22910540,cg23057870,cg23800023,cg24066742,cg25238189,cg25363789,cg25474368,cg25979148,cg26353322,cg26730050,cg26872482,cg27155592,cg27208362,cg27398401	E003	1.00e+00
-0.448	7.01e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K36me3	E004-H3K36me3.broadPeak.gz	cg00065430,cg00088399,cg00120147,cg00320216,cg01309342,cg02150910,cg02384859,cg03209707,cg03699103,cg03732055,cg04922682,cg05345866,cg06089406,cg06815489,cg07380200,cg08415493,cg09414922,cg09990194,cg10142452,cg10662345,cg12180319,cg12412070,cg13019030,cg13072508,cg13279049,cg13452923,cg13471408,cg13733008,cg15253892,cg15483907,cg15761598,cg15990170,cg17072045,cg17725129,cg19693031,cg19730730,cg20503282,cg21738270,cg22243685,cg22665096,cg22760338,cg23057870,cg23800023,cg23898957,cg26539024,cg27567544	E004	1.00e+00
