Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
0.364	3.81e-01	HTR8svn	Blastula	DHS	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00058708,cg00106609,cg00250711,cg00446925,cg00583046,cg00733150,cg00805867,cg01190171,cg01203286,cg01213447,cg01378222,cg01670430,cg01745370,cg01770232,cg02114728,cg02197387,cg02226672,cg02246992,cg02516189,cg02527881,cg02841227,cg02909257,cg02991924,cg03289416,cg03295107,cg03316587,cg03808351,cg03922381,cg03987842,cg04123498,cg04173714,cg04458368,cg04607235,cg04657044,cg04849508,cg04964333,cg05490983,cg05508639,cg05888643,cg06035815,cg06201763,cg06211459,cg06218344,cg06253072,cg06366107,cg06474225,cg06512918,cg06530960,cg06635797,cg06653140,cg06751366,cg06793505,cg07414487,cg07441462,cg07645296,cg07716032,cg07751196,cg07807470,cg08312369,cg08347373,cg08403419,cg08525922,cg08841829,cg08946713,cg09134682,cg09188763,cg09191750,cg09326440,cg09399716,cg09419670,cg09484019,cg09612099,cg09626299,cg09754948,cg09803321,cg09915099,cg10121429,cg10183150,cg10241462,cg10298567,cg10494282,cg11465213,cg11753765,cg12743398,cg13084335,cg13127741,cg13374432,cg13474789,cg13729891,cg13863668,cg13866577,cg13990743,cg14310975,cg14343414,cg14823076,cg14853772,cg14921437,cg14987431,cg15105969,cg15146515,cg15273468,cg15696309,cg16060189,cg16576597,cg16586182,cg17030679,cg17265693,cg17342283,cg17475857,cg17554194,cg17589175,cg17652424,cg17765885,cg18180155,cg18334211,cg19801560,cg19875578,cg20592836,cg20814349,cg20962215,cg21235334,cg21497082,cg21864959,cg21934230,cg22278106,cg22587600,cg23079727,cg23202253,cg23259375,cg23378074,cg23691642,cg23722096,cg23744638,cg23886495,cg24900563,cg25143771,cg25462858,cg26188818,cg26456563,cg26663590,cg26690915,cg26841013,cg26899598,cg27204993	GSM816644	1.00e+00
1.980	2.34e-02	Adult_CD4+	Blood	DHS	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00022866,cg00058708,cg00106609,cg00140786,cg00250711,cg00277334,cg00310728,cg00334056,cg00425431,cg00446925,cg00571021,cg00601727,cg00631329,cg00655913,cg00663519,cg00692279,cg00713066,cg00733150,cg00805867,cg00852675,cg00893242,cg01108370,cg01140214,cg01190171,cg01378222,cg01548456,cg01732984,cg01745370,cg01770232,cg01922684,cg02114728,cg02164110,cg02197387,cg02527881,cg02732067,cg02841227,cg02909257,cg02991924,cg03084158,cg03212674,cg03224418,cg03264133,cg03289416,cg03315344,cg03316587,cg03669282,cg03808351,cg03987842,cg04173714,cg04270652,cg04340435,cg04405704,cg04458368,cg04607235,cg04657044,cg04770705,cg04964333,cg05140650,cg05180856,cg05343808,cg05490983,cg05508639,cg05801989,cg05867245,cg05888643,cg05926586,cg06211459,cg06253072,cg06294376,cg06371489,cg06530960,cg06635797,cg06751366,cg06793505,cg06826457,cg06891043,cg07033395,cg07077476,cg07178896,cg07250222,cg07414487,cg07441462,cg07452164,cg07645296,cg07716032,cg07751196,cg07807470,cg07876831,cg07910680,cg07983955,cg07991586,cg08005692,cg08133476,cg08312369,cg08403419,cg08525922,cg08586669,cg08772003,cg08841829,cg08849294,cg09032499,cg09134682,cg09188763,cg09191750,cg09326440,cg09399716,cg09419670,cg09484019,cg09626299,cg09754948,cg09886946,cg09915099,cg10241462,cg10298567,cg10494282,cg10653465,cg10802414,cg10833066,cg10962762,cg11216632,cg11308649,cg11465213,cg11731221,cg11753765,cg12057242,cg12241963,cg12271415,cg13127741,cg13313047,cg13318129,cg13344095,cg13474789,cg13523449,cg13614741,cg13644811,cg13729891,cg13863668,cg13864473,cg14019695,cg14069412,cg14218447,cg14251267,cg14310975,cg14758967,cg14823076,cg14853772,cg14921437,cg14987431,cg15029032,cg15105969,cg15146515,cg15155199,cg15231989,cg15448385,cg15665967,cg15673069,cg15866977,cg15911859,cg16066008,cg16264966,cg16586182,cg16691863,cg16760587,cg16967434,cg17030679,cg17247190,cg17265693,cg17329534,cg17342283,cg17475857,cg17554194,cg17589175,cg17765885,cg17862558,cg17908947,cg18064631,cg18180155,cg18183774,cg18334211,cg18461635,cg18612461,cg18783886,cg19799702,cg19875578,cg19945060,cg20592836,cg20737812,cg20814349,cg20985980,cg21104546,cg21235334,cg21438252,cg21589273,cg21864959,cg21934230,cg22581629,cg22923006,cg23079727,cg23202253,cg23341612,cg23378074,cg23691642,cg23886495,cg24032393,cg24051234,cg24221648,cg24648384,cg24855818,cg24900563,cg25044876,cg25143771,cg25240254,cg25423576,cg25457927,cg25542438,cg26188818,cg26339924,cg26456563,cg26489497,cg26841013,cg26899598,cg27204993,cg27326026	Lookup	3.48e-01
3.106	1.17e-03	CD14+	Blood	DHS	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	cg00022866,cg00045753,cg00058708,cg00106609,cg00250711,cg00277334,cg00310728,cg00334056,cg00425431,cg00446925,cg00631329,cg00655913,cg00733150,cg00805867,cg00893242,cg01108370,cg01190171,cg01378222,cg01670430,cg01678292,cg01697794,cg01732984,cg01745370,cg01770232,cg02114728,cg02156692,cg02197387,cg02226672,cg02516189,cg02527881,cg02732067,cg02841227,cg02909257,cg03084158,cg03224418,cg03264133,cg03289416,cg03315344,cg03316587,cg03808351,cg03935444,cg03987842,cg04173714,cg04340435,cg04412755,cg04607235,cg04657044,cg05140650,cg05180856,cg05490983,cg05801989,cg06035815,cg06211459,cg06253072,cg06474225,cg06512918,cg06530960,cg06635797,cg06751366,cg06826457,cg07056794,cg07356549,cg07414487,cg07441462,cg07452164,cg07645296,cg07716032,cg07807470,cg07866632,cg07884168,cg07983955,cg08086652,cg08312369,cg08403419,cg08586669,cg08672140,cg08841829,cg08849294,cg09009770,cg09134682,cg09188763,cg09191750,cg09322534,cg09326440,cg09397246,cg09419670,cg09484019,cg09754948,cg09886946,cg09915099,cg10061770,cg10121429,cg10183150,cg10241462,cg10298567,cg10378804,cg10494282,cg10653465,cg10833066,cg10962762,cg11465213,cg11731221,cg11753765,cg12101479,cg12685753,cg13127741,cg13344095,cg13367647,cg13374432,cg13578134,cg13609457,cg13729891,cg13863668,cg14186779,cg14310975,cg14689537,cg14823076,cg14921437,cg15029032,cg15105969,cg15146515,cg15911859,cg16060189,cg16264966,cg16450200,cg17030679,cg17265693,cg17329534,cg17342283,cg17475857,cg17554194,cg17589175,cg17652424,cg17765885,cg17908947,cg18180155,cg18183774,cg18334211,cg18461635,cg19023589,cg19159011,cg19799702,cg19875578,cg19945060,cg20231299,cg20592836,cg20737812,cg20765441,cg20814349,cg20962215,cg20985980,cg20992439,cg21235334,cg21300072,cg21589273,cg22157087,cg22278106,cg22716368,cg23093090,cg23378074,cg23691642,cg23744638,cg23762465,cg23886495,cg24105269,cg24221648,cg24648384,cg24900563,cg25457927,cg26188818,cg26339924,cg26489497,cg26663590,cg26690915,cg26899598,cg27204993,cg27326026,cg27386529	Lookup	8.39e-02
2.999	1.59e-03	CD20+	Blood	DHS	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	cg00022866,cg00045753,cg00058708,cg00240767,cg00250711,cg00277334,cg00310728,cg00334056,cg00425431,cg00446925,cg00571021,cg00631329,cg00655913,cg00692279,cg00733150,cg00805867,cg00852675,cg00893242,cg01108112,cg01108370,cg01190171,cg01203766,cg01670430,cg01678292,cg01697794,cg01732984,cg01745370,cg01770232,cg02053920,cg02114728,cg02156692,cg02246992,cg02412616,cg02527881,cg02732067,cg02841227,cg02909257,cg02991924,cg03017264,cg03224418,cg03264133,cg03289416,cg03316587,cg03555881,cg03669282,cg03808351,cg03987842,cg04173714,cg04340435,cg04412755,cg04607235,cg04657044,cg04964333,cg05180856,cg05392527,cg05490983,cg05801989,cg05840412,cg06035815,cg06106103,cg06211459,cg06253072,cg06366107,cg06512918,cg06530960,cg06635797,cg06751366,cg06793505,cg06826457,cg06891043,cg07077476,cg07235057,cg07441462,cg07452164,cg07645296,cg07716032,cg07884168,cg07983955,cg07991586,cg08005692,cg08086652,cg08312369,cg08403419,cg08525922,cg08586669,cg08841829,cg08849294,cg08946713,cg09134682,cg09188763,cg09247692,cg09322534,cg09326440,cg09397246,cg09419670,cg09484019,cg09626299,cg09754948,cg09769104,cg09915099,cg10121429,cg10183150,cg10241462,cg10415685,cg10494282,cg10653465,cg10833066,cg10962762,cg11216632,cg11465213,cg11716267,cg11731221,cg11753765,cg11876048,cg12685753,cg12738981,cg13127741,cg13344095,cg13523449,cg13578134,cg13609457,cg13644811,cg13729891,cg13863668,cg13866577,cg14218447,cg14310975,cg14343414,cg14689537,cg14823076,cg14853772,cg14921437,cg14987431,cg15029032,cg15035590,cg15105969,cg15146515,cg15273468,cg15552206,cg15866977,cg15911859,cg16009970,cg16060189,cg16095411,cg16264966,cg16450200,cg16586182,cg17030679,cg17247190,cg17265693,cg17342283,cg17393140,cg17475857,cg17554194,cg17589175,cg17652424,cg17765885,cg17908947,cg18032705,cg18064631,cg18180155,cg18265845,cg18334211,cg18612461,cg18783886,cg19159011,cg19296662,cg19799702,cg19875578,cg19945060,cg20592836,cg20737812,cg20814349,cg20962215,cg20985980,cg21235334,cg21300072,cg21438252,cg21589273,cg21717724,cg22025263,cg22278106,cg23093090,cg23691642,cg23744638,cg23762465,cg23886495,cg24032393,cg24134292,cg24221648,cg24900563,cg25321556,cg25457927,cg26188818,cg26339924,cg26690915,cg26841013,cg26899598,cg27092297,cg27204993,cg27326026,cg27386529	Lookup	8.39e-02
2.743	3.64e-03	CD34+	Blood	DHS	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	cg00022866,cg00045753,cg00058708,cg00106609,cg00250711,cg00277334,cg00334056,cg00425431,cg00446925,cg00598758,cg00631329,cg00632560,cg00655913,cg00692279,cg00733150,cg00805867,cg00893242,cg01108112,cg01108370,cg01132579,cg01190171,cg01203766,cg01213447,cg01548456,cg01670430,cg01697794,cg01732984,cg01745370,cg01770232,cg02053920,cg02114728,cg02156692,cg02197387,cg02246992,cg02516189,cg02527881,cg02732067,cg02841227,cg02909257,cg03212674,cg03224418,cg03289416,cg03315344,cg03316587,cg03613822,cg03653399,cg03669282,cg03719642,cg03808351,cg03922381,cg03987842,cg04173714,cg04340435,cg04405704,cg04412755,cg04458368,cg04607235,cg04657044,cg04770705,cg04964333,cg05140650,cg05180856,cg05490983,cg05801989,cg05840412,cg05926586,cg06035815,cg06106103,cg06211459,cg06218344,cg06253072,cg06294376,cg06366107,cg06512918,cg06530960,cg06635797,cg06751366,cg06793505,cg06826457,cg07077476,cg07250222,cg07441462,cg07452164,cg07645296,cg07716032,cg07807470,cg07866632,cg07884168,cg07983955,cg08005692,cg08086652,cg08312369,cg08347373,cg08403419,cg08525922,cg08586669,cg08650961,cg08672140,cg08772003,cg08841829,cg08849294,cg08946713,cg09134682,cg09188763,cg09191750,cg09326440,cg09397246,cg09419670,cg09484019,cg09626299,cg09754948,cg09769104,cg09886946,cg09915099,cg10061770,cg10121429,cg10183150,cg10241462,cg10298567,cg10378804,cg10415685,cg10473907,cg10494282,cg10653465,cg10962762,cg11465213,cg11731221,cg11753765,cg12241963,cg12271415,cg12685753,cg12738981,cg12743398,cg13127741,cg13137809,cg13318129,cg13344095,cg13367647,cg13374432,cg13578134,cg13609457,cg13729891,cg13863668,cg13866577,cg14069412,cg14218447,cg14251267,cg14310975,cg14350257,cg14689537,cg14823076,cg14853772,cg14921437,cg15029032,cg15105969,cg15146515,cg15273468,cg15673069,cg15866977,cg15911859,cg16009970,cg16060189,cg16264966,cg16327482,cg16362592,cg16450200,cg16586182,cg17030679,cg17247190,cg17265693,cg17329534,cg17342283,cg17475857,cg17554194,cg17589175,cg17652424,cg17765885,cg18032705,cg18064631,cg18180155,cg18183774,cg18334211,cg18612461,cg19799702,cg19875578,cg20592836,cg20814349,cg20962215,cg20985980,cg21235334,cg21300072,cg21589273,cg21717724,cg21934230,cg22157087,cg22278106,cg22716368,cg23093090,cg23691642,cg23744638,cg23762465,cg23886495,cg24032393,cg24221648,cg24648384,cg24900563,cg25044876,cg25143771,cg25240254,cg25321556,cg26188818,cg26339924,cg26663590,cg26690915,cg26871347,cg26899598,cg27204993,cg27326026,cg27386529	Lookup	1.31e-01
0.744	2.45e-01	CLL	Blood	DHS	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00022866,cg00045753,cg00106609,cg00250711,cg00334056,cg00446925,cg00655913,cg00663519,cg00692279,cg00733150,cg00805867,cg00893242,cg01108370,cg01132579,cg01190171,cg01548456,cg01678292,cg01770232,cg02053920,cg02114728,cg02156692,cg02516189,cg02527881,cg02841227,cg02909257,cg02991924,cg03095982,cg03224418,cg03289416,cg03316587,cg03639919,cg03669282,cg03808351,cg04173714,cg04340435,cg04412755,cg04458368,cg04607235,cg04770705,cg04964333,cg05008570,cg05392527,cg05508639,cg05636603,cg05801989,cg05888643,cg05907821,cg06035815,cg06211459,cg06253072,cg06294376,cg06366107,cg06474225,cg06530960,cg06635797,cg06751366,cg06793505,cg06826457,cg06891043,cg07178896,cg07441462,cg07452164,cg07645296,cg07751196,cg07884168,cg07983955,cg07991586,cg08086652,cg08312369,cg08525922,cg08672140,cg08772003,cg08841829,cg09134682,cg09188763,cg09322534,cg09326440,cg09419670,cg09754948,cg09915099,cg10121429,cg10241462,cg10494282,cg10684794,cg10962762,cg11308649,cg11465213,cg11731221,cg11976193,cg12241963,cg12271415,cg12738981,cg13127741,cg13367647,cg13644811,cg13729891,cg13863668,cg13864473,cg14069412,cg14218447,cg14310975,cg14853772,cg14921437,cg15029032,cg15035590,cg15105969,cg15146515,cg15273468,cg15471073,cg15665967,cg16264966,cg16691863,cg17030679,cg17265693,cg17342283,cg17475857,cg17554194,cg17589175,cg18064631,cg18180155,cg18183774,cg18334211,cg19799702,cg19875578,cg19945060,cg20592836,cg20814349,cg20962215,cg21235334,cg21300072,cg21934230,cg23079727,cg23093090,cg23378074,cg23691642,cg23762465,cg23886495,cg24032393,cg24900563,cg25044876,cg25143771,cg26188818,cg26339924,cg26871347,cg27204993,cg27656973	GSM816664	1.00e+00
3.028	1.72e-03	CMK	Blood	DHS	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	cg00022866,cg00058708,cg00106609,cg00250711,cg00277334,cg00310728,cg00334056,cg00446925,cg00631329,cg00632560,cg00713066,cg00733150,cg00893242,cg01108370,cg01190171,cg01670430,cg01745370,cg01770232,cg02156692,cg02246992,cg02516189,cg02732067,cg02841227,cg02909257,cg03224418,cg03266158,cg03289416,cg03653399,cg03669282,cg03719642,cg03808351,cg04173714,cg04270652,cg04340435,cg04607235,cg05180856,cg05246315,cg05490983,cg05888643,cg05986168,cg06035815,cg06211459,cg06218344,cg06366107,cg06512918,cg06530960,cg06635797,cg06751366,cg06826457,cg06891043,cg07033395,cg07056794,cg07437919,cg07441462,cg07452164,cg07807470,cg07884168,cg07983955,cg08005692,cg08086652,cg08123816,cg08312369,cg08403419,cg08525922,cg08946713,cg09134682,cg09188763,cg09322534,cg09326440,cg09397246,cg09419670,cg09484019,cg09754948,cg09915099,cg10061770,cg10241462,cg10378804,cg10473907,cg10494282,cg10802414,cg11216632,cg11465213,cg11569329,cg11753765,cg11801110,cg12271415,cg12640482,cg12738981,cg12743398,cg13127741,cg13318129,cg13367647,cg13374432,cg13578134,cg13729891,cg13863668,cg13866577,cg14069412,cg14310975,cg14689537,cg14823076,cg14921437,cg15105969,cg15146515,cg15273468,cg15552206,cg15911859,cg16060189,cg16264966,cg16327482,cg16450200,cg16586182,cg16691863,cg17030679,cg17247190,cg17265693,cg17329534,cg17342283,cg17475857,cg17554194,cg17589175,cg17908947,cg18180155,cg18334211,cg18612461,cg19799702,cg19875578,cg19945060,cg20592836,cg20814349,cg20962215,cg20985980,cg21235334,cg21300072,cg21438252,cg21549415,cg21589273,cg21864959,cg22016859,cg22025263,cg22278106,cg22716368,cg23691642,cg23762465,cg23886495,cg24134292,cg24182584,cg24900563,cg25044876,cg25143771,cg25240254,cg25337691,cg26188818,cg26339924,cg26489497,cg26841013,cg26899598,cg27386529	GSM736607	8.39e-02
1.750	4.65e-02	GM06990	Blood	DHS	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	cg00022866,cg00045753,cg00058708,cg00106609,cg00250711,cg00446925,cg00631329,cg00655913,cg00692279,cg00733150,cg00805867,cg00813135,cg00852675,cg00893242,cg01108370,cg01190171,cg01697794,cg01732984,cg01745370,cg01770232,cg02156692,cg02197387,cg02516189,cg02841227,cg02909257,cg02936049,cg03212674,cg03224418,cg03264133,cg03289416,cg03295107,cg03316587,cg03639919,cg03669282,cg03808351,cg04173714,cg04340435,cg04607235,cg05180856,cg05392527,cg06035815,cg06211459,cg06530960,cg06826457,cg07077476,cg07441462,cg07452164,cg07645296,cg07807470,cg07884168,cg07983955,cg08005692,cg08312369,cg08403419,cg08525922,cg08672140,cg08841829,cg09134682,cg09188763,cg09322534,cg09326440,cg09419670,cg09484019,cg09626299,cg09754948,cg09769104,cg09886946,cg09915099,cg10121429,cg10183150,cg10241462,cg10378804,cg10473907,cg10494282,cg11308649,cg11731221,cg11753765,cg12101479,cg12640482,cg12738981,cg12743398,cg13127741,cg13344095,cg13367647,cg13374432,cg13578134,cg13644811,cg13729891,cg13863668,cg13990743,cg14076923,cg14310975,cg14689537,cg14823076,cg14921437,cg15029032,cg15035590,cg15105969,cg15146515,cg15231989,cg15273468,cg16060189,cg16264966,cg16327482,cg16450200,cg17030679,cg17265693,cg17342283,cg17393140,cg17475857,cg17554194,cg17589175,cg17862558,cg18032705,cg18180155,cg18334211,cg18612461,cg19159011,cg19349920,cg19875578,cg20592836,cg20737812,cg20814349,cg20962215,cg20985980,cg21104546,cg21300072,cg22255690,cg22278106,cg23202253,cg23691642,cg23886495,cg24221648,cg24900563,cg25143771,cg25457927,cg26188818,cg26339924,cg26658897,cg26663590,cg26899598,cg27204993,cg27326026,cg27386529	"GSM736558,GSM736635"	5.08e-01
1.139	1.36e-01	GM12864	Blood	DHS	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	cg00022866,cg00058708,cg00106609,cg00240767,cg00310728,cg00446925,cg00631329,cg00663519,cg00733150,cg00805867,cg00813135,cg00893242,cg01108370,cg01190171,cg01678292,cg01745370,cg01770232,cg02053920,cg02156692,cg02164110,cg02732067,cg02841227,cg02909257,cg02936049,cg03224418,cg03289416,cg03295107,cg03316587,cg03808351,cg04173714,cg04607235,cg05454957,cg05508408,cg05801989,cg05840412,cg05907821,cg06035815,cg06211459,cg06253072,cg06366107,cg06530960,cg06635797,cg06751366,cg06793505,cg06826457,cg07077476,cg07178896,cg07452164,cg07645296,cg07807470,cg07884168,cg07983955,cg08005692,cg08086652,cg08312369,cg08403419,cg08525922,cg08586669,cg09009770,cg09134682,cg09188763,cg09326440,cg09626299,cg09754948,cg09769104,cg09886946,cg09915099,cg10183150,cg10241462,cg10494282,cg11465213,cg11731221,cg11753765,cg11801110,cg12640482,cg12738981,cg12743398,cg13127741,cg13344095,cg13367647,cg13374432,cg13557534,cg13609457,cg13729891,cg13863668,cg13866577,cg14069412,cg14310975,cg14418922,cg14689537,cg14823076,cg14853772,cg14921437,cg15035590,cg15105969,cg15146515,cg16060189,cg16264966,cg16327482,cg16450200,cg17265693,cg17342283,cg17475857,cg17554194,cg17589175,cg17652424,cg17862558,cg17908947,cg18060965,cg18180155,cg18183774,cg18334211,cg18631330,cg19349920,cg19875578,cg19891440,cg20592836,cg20814349,cg20962215,cg20985980,cg21300072,cg21438252,cg23202253,cg23483894,cg23691642,cg23744638,cg23886495,cg24051786,cg24221648,cg24900563,cg25457927,cg26188818,cg26339924,cg26658897,cg26757229,cg27204993,cg27386529	GSM736525	9.74e-01
1.568	6.47e-02	GM12865	Blood	DHS	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	cg00022866,cg00045753,cg00058708,cg00106609,cg00137918,cg00310728,cg00334056,cg00446925,cg00631329,cg00733150,cg00805867,cg00852675,cg00893242,cg01108112,cg01108370,cg01190171,cg01358620,cg01378222,cg01678292,cg01697794,cg01732984,cg01745370,cg01770232,cg02114728,cg02156692,cg02246992,cg02516189,cg02732067,cg02841227,cg02909257,cg02936049,cg02991924,cg03084158,cg03224418,cg03289416,cg03295107,cg03808351,cg04173714,cg04340435,cg04607235,cg04657044,cg04964333,cg05180856,cg05490983,cg05801989,cg05840412,cg06035815,cg06211459,cg06218344,cg06253072,cg06366107,cg06530960,cg06635797,cg06826457,cg07033395,cg07178896,cg07304760,cg07452164,cg07645296,cg07807470,cg07884168,cg07983955,cg08005692,cg08086652,cg08312369,cg08403419,cg08525922,cg08586669,cg08672140,cg08946713,cg09134682,cg09188763,cg09322534,cg09326440,cg09419670,cg09626299,cg09754948,cg09915099,cg10121429,cg10183150,cg10241462,cg10378804,cg10494282,cg11753765,cg11801110,cg12241963,cg12640482,cg12738981,cg12743398,cg13127741,cg13318129,cg13344095,cg13367647,cg13374432,cg13578134,cg13729891,cg13863668,cg13866577,cg14069412,cg14310975,cg14823076,cg14853772,cg14921437,cg15035590,cg15105969,cg15146515,cg15911859,cg16009970,cg16060189,cg16264966,cg16327482,cg16450200,cg17030679,cg17342283,cg17475857,cg17554194,cg17589175,cg17652424,cg17862558,cg17908947,cg18180155,cg18334211,cg18461635,cg18631330,cg19349920,cg19875578,cg20592836,cg20737812,cg20814349,cg20962215,cg20985980,cg21235334,cg21300072,cg21438252,cg21589273,cg22278106,cg23202253,cg23691642,cg23762465,cg23886495,cg24900563,cg25457927,cg26188818,cg26339924,cg26456563,cg26489497,cg26757229,cg26899598,cg27204993,cg27386529	"GSM736512,GSM736561"	5.98e-01
