Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-6.446	1.00e+00	HTR8svn	Blastula	DHS	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00035398,cg00333255,cg00421848,cg00628697,cg01254719,cg01971227,cg02407415,cg03292213,cg05594286,cg05719902,cg05860956,cg06102954,cg06495631,cg06549530,cg07655627,cg07889505,cg10030504,cg10038185,cg10317314,cg10816626,cg11840197,cg11846236,cg12844324,cg13727946,cg14003931,cg15236528,cg15747825,cg15864601,cg15977137,cg20954971,cg21519781,cg21891967,cg25426208,cg25924274,cg27132152	GSM816644	1.00e+00
-0.933	8.58e-01	Adult_CD4+	Blood	DHS	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00035398,cg00093095,cg00243480,cg00292513,cg00333255,cg00413089,cg00421848,cg00500507,cg00528572,cg00580965,cg00599530,cg00628697,cg00716277,cg00741945,cg00963378,cg01207473,cg01254719,cg01257975,cg01365486,cg01492330,cg01572810,cg01807241,cg01813335,cg01815292,cg01929855,cg01971227,cg02170386,cg02287371,cg02407415,cg02599361,cg02750792,cg03137131,cg03292213,cg03379552,cg03556669,cg03591606,cg03731646,cg04058153,cg04111992,cg04143909,cg04182912,cg04388244,cg04391540,cg04500879,cg04524933,cg05365033,cg05860956,cg06100807,cg06102954,cg06168204,cg06346838,cg06423211,cg06424894,cg06671706,cg07430760,cg07673020,cg07780517,cg07838106,cg07889505,cg07903023,cg07953201,cg08438366,cg08985785,cg09009380,cg09045262,cg09243445,cg09413529,cg09636214,cg09652312,cg10038185,cg10053622,cg10965131,cg11174855,cg11225357,cg12467933,cg12844324,cg13139630,cg13170051,cg13388277,cg13557773,cg13578160,cg14003931,cg14091258,cg14209399,cg14329783,cg14364186,cg14453935,cg14466863,cg14544666,cg15152912,cg15231205,cg15236528,cg15489799,cg15657936,cg15864601,cg15977137,cg16065768,cg16115627,cg16589260,cg16842187,cg17529386,cg18605031,cg18912209,cg19369780,cg20954971,cg20994022,cg21891967,cg22194188,cg23928763,cg25298319,cg25604594,cg25787956,cg25924274,cg25970575,cg27038439,cg27132152,cg27636330	Lookup	1.00e+00
-4.478	1.00e+00	CD14+	Blood	DHS	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	cg00035398,cg00219169,cg00232387,cg00292513,cg00333255,cg00599530,cg00628697,cg00716277,cg01207473,cg01807241,cg01929855,cg02407415,cg03137131,cg03292213,cg03591606,cg04143909,cg04388244,cg05312293,cg06100807,cg06102954,cg06424894,cg06549530,cg06671706,cg06955417,cg07430760,cg07780517,cg07838106,cg07889505,cg07903023,cg08985785,cg09636214,cg09652312,cg09666230,cg10965131,cg11225357,cg11846236,cg12467933,cg13228701,cg13578160,cg14003931,cg14329783,cg15231205,cg15236528,cg15489799,cg15864601,cg15977137,cg16766914,cg18605031,cg20954971,cg21864304,cg22194188,cg25924274	Lookup	1.00e+00
-4.855	1.00e+00	CD20+	Blood	DHS	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	cg00035398,cg00093095,cg00219169,cg00333255,cg00413089,cg00580965,cg00599530,cg00628697,cg00716277,cg01207473,cg01257975,cg01807241,cg01971227,cg02407415,cg03137131,cg03292213,cg03591606,cg04391540,cg06100807,cg06102954,cg06168204,cg06313676,cg06424894,cg06433816,cg06549530,cg06671706,cg06955417,cg07430760,cg07655627,cg07838106,cg07903023,cg07953201,cg09636214,cg09652312,cg10030504,cg10053622,cg10317314,cg10965131,cg11174855,cg11225357,cg12390516,cg12844324,cg13139630,cg13170051,cg13578160,cg14003931,cg14601038,cg15236528,cg15489799,cg15864601,cg15977137,cg16766914,cg18605031,cg18912209,cg20954971,cg20994022,cg22194188,cg25426208,cg25722727,cg25787956,cg25924274,cg27038439,cg27132152	Lookup	1.00e+00
-2.460	9.94e-01	CD34+	Blood	DHS	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	cg00035398,cg00093095,cg00219169,cg00243480,cg00292513,cg00333255,cg00413089,cg00580965,cg00599530,cg00628697,cg00632657,cg00716277,cg00741945,cg00935887,cg00963378,cg01207473,cg01257975,cg01492330,cg01572810,cg01807241,cg01813335,cg01815292,cg02393606,cg02407415,cg02548777,cg02750792,cg03137131,cg03292213,cg03556669,cg03591606,cg04388244,cg05491587,cg05719902,cg05860956,cg06100807,cg06102954,cg06313676,cg06424894,cg06433816,cg06549530,cg06671706,cg06955417,cg07430760,cg07655627,cg07673020,cg07780517,cg07838106,cg07889505,cg07903023,cg07953201,cg08985785,cg09009380,cg09045262,cg09636214,cg09652312,cg09666230,cg10317314,cg10965131,cg11225357,cg11359720,cg11846236,cg12390516,cg12467933,cg12844324,cg13139630,cg13170051,cg13228701,cg13337615,cg13578160,cg14003931,cg14091258,cg14329783,cg14544666,cg15231205,cg15236528,cg15864601,cg15977137,cg16050468,cg16346321,cg16842187,cg18605031,cg18912209,cg19369780,cg20954971,cg20994022,cg21104965,cg21864304,cg21891967,cg22194188,cg24577933,cg25293896,cg25298319,cg25690958,cg25787956,cg25924274,cg25970575,cg27038439,cg27132152	Lookup	1.00e+00
-2.958	9.99e-01	CLL	Blood	DHS	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00035398,cg00333255,cg00413089,cg00580965,cg00599530,cg00628697,cg00716277,cg00741945,cg00841760,cg00935887,cg00963378,cg01207473,cg01254719,cg01815292,cg01891259,cg01971227,cg02407415,cg02750792,cg03137131,cg03292213,cg03591606,cg04111992,cg04175111,cg04182912,cg04388244,cg05082376,cg05502376,cg06100807,cg06102954,cg06168204,cg06423211,cg06424894,cg06955417,cg07291889,cg07780517,cg07838106,cg07889505,cg07953201,cg08438366,cg08985785,cg09652312,cg10317314,cg10965131,cg11225357,cg11846236,cg12390516,cg13170051,cg13698291,cg14003931,cg14091258,cg14329783,cg14453935,cg14977608,cg15236528,cg15864601,cg15977137,cg16065768,cg18605031,cg18912209,cg20954971,cg22194188,cg25690958,cg25924274,cg26046072,cg26730619,cg27038439	GSM816664	1.00e+00
-6.766	1.00e+00	CMK	Blood	DHS	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	cg00035398,cg00628697,cg01207473,cg01492330,cg01807241,cg02407415,cg03137131,cg03292213,cg03591606,cg04143909,cg06423211,cg06424894,cg09652312,cg12467933,cg14003931,cg15231205,cg15236528,cg15864601,cg15977137,cg16065768,cg18605031,cg20954971,cg22194188,cg25690958	GSM736607	1.00e+00
-4.534	1.00e+00	GM06990	Blood	DHS	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	cg00035398,cg00219169,cg00232387,cg00292513,cg00333255,cg00413089,cg00599530,cg00628697,cg00741945,cg01807241,cg01807735,cg02393606,cg02407415,cg03292213,cg03556669,cg05082376,cg05375686,cg05772104,cg06100807,cg06102954,cg06424894,cg06433816,cg06671706,cg07903023,cg09636214,cg09652312,cg09666230,cg10053622,cg10317314,cg10965131,cg11359720,cg11840197,cg13337615,cg13557773,cg14818248,cg14977608,cg15236528,cg15864601,cg15977137,cg16115627,cg17529386,cg18605031,cg20954971,cg21104965,cg21891967,cg22194188,cg23928763,cg25604594,cg25690958,cg25924274,cg27132152	"GSM736558,GSM736635"	1.00e+00
-4.802	1.00e+00	GM12864	Blood	DHS	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	cg00035398,cg00333255,cg00413089,cg00580965,cg00599530,cg00628697,cg01207473,cg01807241,cg02407415,cg03292213,cg03591606,cg06100807,cg06102954,cg06424894,cg06671706,cg07635017,cg07655627,cg07673020,cg07780517,cg07889505,cg07953201,cg09652312,cg13228701,cg13578160,cg13792147,cg15864601,cg15977137,cg18605031,cg18640250,cg20954971,cg21891967,cg22194188,cg27132152	GSM736525	1.00e+00
-7.578	1.00e+00	GM12865	Blood	DHS	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	cg00035398,cg00219169,cg00628697,cg01807241,cg02407415,cg02797871,cg03292213,cg06100807,cg06102954,cg06168204,cg06671706,cg13578160,cg15236528,cg15864601,cg15977137,cg18605031,cg18912209,cg20954971,cg21104965,cg25924274	"GSM736512,GSM736561"	1.00e+00
