Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
0.957	1.99e-01	HTR8svn	Blastula	DHS	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00902153,cg01015663,cg01100175,cg01126699,cg02317313,cg02349578,cg02597894,cg03057083,cg03744763,cg04292359,cg04657325,cg04845871,cg05392764,cg05508862,cg05575921,cg05673882,cg06297145,cg06635952,cg06653796,cg06670742,cg07029024,cg07094298,cg07157107,cg07551060,cg07891911,cg08549335,cg08654655,cg08881614,cg08899895,cg08922729,cg08948841,cg09235539,cg09410512,cg09435170,cg09904264,cg10295552,cg10322443,cg10581754,cg10670310,cg10692140,cg11547696,cg11617147,cg11965976,cg12076102,cg12520319,cg13039251,cg13253439,cg13836518,cg14049470,cg14519664,cg15150970,cg15338967,cg15523958,cg15953602,cg16560711,cg17042996,cg17053845,cg17870792,cg17873919,cg18176887,cg18419358,cg18797823,cg19399220,cg20051772,cg20309640,cg20784591,cg21085462,cg21327581,cg21411075,cg21497218,cg21618017,cg21686890,cg22389950,cg23505644,cg23983449,cg24988625,cg25953130,cg26189283,cg27613174	GSM816644	1.00e+00
4.114	3.54e-05	Adult_CD4+	Blood	DHS	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00902153,cg01015663,cg01126699,cg01329690,cg01501009,cg01556552,cg01656168,cg01939453,cg02317313,cg02349578,cg02597894,cg02816816,cg03057083,cg03489965,cg03526142,cg04134748,cg04292359,cg04537738,cg04657325,cg04768697,cg04845871,cg05033439,cg05135521,cg05253759,cg05257275,cg05392764,cg05508862,cg05575921,cg05673882,cg06297145,cg06653796,cg06670742,cg06946543,cg07029024,cg07056299,cg07094298,cg07157107,cg07357081,cg07551060,cg08109625,cg08262464,cg08289839,cg08335767,cg08383315,cg08549335,cg08654655,cg08726900,cg08766770,cg08767044,cg08802607,cg08881614,cg08948841,cg09109520,cg09410512,cg09704401,cg09904264,cg10186366,cg10493186,cg10670310,cg10692140,cg10713715,cg11547696,cg11617147,cg12076102,cg12126344,cg12520319,cg13167816,cg13253439,cg13305415,cg13405783,cg13566648,cg13836518,cg13876222,cg14377791,cg14450238,cg14519664,cg15150970,cg15485700,cg15523958,cg15540623,cg15727507,cg15953602,cg16145216,cg16282618,cg16455894,cg16560711,cg17042996,cg17053845,cg17224754,cg17486314,cg17540765,cg17873919,cg17934871,cg17971600,cg18022012,cg18176887,cg18187029,cg18419358,cg18597188,cg19399220,cg20051772,cg20100049,cg20472746,cg20784591,cg21085462,cg21162029,cg21327581,cg21393163,cg21411075,cg21443659,cg21497218,cg21566642,cg21618017,cg21686890,cg21848084,cg22122862,cg22389950,cg22639011,cg22761205,cg23205886,cg23505644,cg23661483,cg23665802,cg24536818,cg25580656,cg25921609,cg25940513,cg25966599,cg26094004,cg26189283,cg26618703,cg26693467,cg26728709,cg27613174	Lookup	4.78e-03
0.979	2.03e-01	CD14+	Blood	DHS	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	cg00902153,cg01015663,cg01329690,cg01501009,cg02317313,cg02597894,cg03131366,cg04292359,cg04657325,cg04751761,cg04845871,cg05257275,cg05392764,cg05508862,cg05673882,cg06297145,cg06653796,cg06670742,cg07094298,cg07157107,cg07551060,cg08289839,cg08335767,cg08549335,cg08726900,cg08767044,cg08937102,cg08948841,cg09235539,cg09410512,cg09435170,cg09904264,cg10194884,cg10581754,cg10692140,cg11547696,cg11617147,cg11965976,cg12126344,cg12520319,cg13253439,cg13836518,cg14049470,cg14450238,cg14469684,cg15540623,cg16145216,cg16560711,cg16734795,cg17042996,cg17053845,cg17873919,cg17907003,cg17971600,cg18176887,cg18202127,cg18419358,cg19075787,cg19399220,cg19755108,cg20051772,cg20472746,cg20784591,cg21085462,cg21327581,cg21393163,cg21411075,cg21497218,cg21618017,cg21686890,cg22389950,cg22500518,cg23690893,cg23965590,cg23983449,cg25799109,cg25953130,cg26189283,cg27315333,cg27613174	Lookup	1.00e+00
0.953	2.02e-01	CD20+	Blood	DHS	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	cg00008629,cg01015663,cg01100175,cg01329690,cg01501009,cg01656168,cg02349578,cg02556393,cg03131366,cg04292359,cg04304450,cg04657325,cg04845871,cg05253759,cg05392764,cg05567236,cg05673882,cg06297145,cg06635952,cg06653796,cg06670742,cg07094298,cg07157107,cg08059112,cg08335767,cg08383315,cg08549335,cg08726900,cg08767044,cg08922729,cg08948841,cg08972170,cg09109520,cg09704401,cg09904264,cg10581754,cg10670310,cg10692140,cg11547696,cg11617147,cg13039251,cg13167816,cg13253439,cg13836518,cg14145338,cg14450238,cg14519664,cg15523958,cg15953602,cg16145216,cg16560711,cg17042996,cg17053845,cg17540765,cg17873919,cg18022012,cg18176887,cg18187029,cg19399220,cg19755108,cg19925780,cg20051772,cg20472746,cg21085462,cg21162029,cg21327581,cg21393163,cg21411075,cg21497218,cg21566642,cg21618017,cg21686890,cg22010052,cg22402398,cg22500518,cg22533317,cg22761205,cg23665802,cg23965590,cg23983449,cg24536818,cg25799109,cg25921609,cg26094004,cg26163153,cg26189283,cg26728709,cg27315333,cg27509347,cg27613174	Lookup	1.00e+00
10.052	6.89e-21	CD34+	Blood	DHS	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	cg00008629,cg00962903,cg01015663,cg01100175,cg01101873,cg01126699,cg01329690,cg01501009,cg01542019,cg01656168,cg01939453,cg02194129,cg02317313,cg02349578,cg02556393,cg02597894,cg02610360,cg02816816,cg03057083,cg03131366,cg03211864,cg03489965,cg03732020,cg03744763,cg04134748,cg04292359,cg04537738,cg04657325,cg04751761,cg04768697,cg04845871,cg04983687,cg05033439,cg05253759,cg05376219,cg05392764,cg05508862,cg05567236,cg05575921,cg05673882,cg05708512,cg06297145,cg06635952,cg06653796,cg06670742,cg06943835,cg06946543,cg06991974,cg07029024,cg07056299,cg07094298,cg07157107,cg07186154,cg07518532,cg07551060,cg08383315,cg08447934,cg08549335,cg08726900,cg08802607,cg08843623,cg08881614,cg08899895,cg08922729,cg08937102,cg08948841,cg08972170,cg09109520,cg09235539,cg09410512,cg09904264,cg10017105,cg10099827,cg10295552,cg10422233,cg10493186,cg10581754,cg10670310,cg10692140,cg10980948,cg11547696,cg11617147,cg11965976,cg12076102,cg12126344,cg12520319,cg13167816,cg13189097,cg13253439,cg13836518,cg14049470,cg14145338,cg14450238,cg14469684,cg14519664,cg15090440,cg15150970,cg15251319,cg15338967,cg15485700,cg15523958,cg15540623,cg15953602,cg16145216,cg16348158,cg16455894,cg16545743,cg16560711,cg16734795,cg16834726,cg17042996,cg17053845,cg17486314,cg17540765,cg17870792,cg17873919,cg17907003,cg17934871,cg17971600,cg18022012,cg18176887,cg18202127,cg18419358,cg18797823,cg19075787,cg19295068,cg19399220,cg19623054,cg19755108,cg19925780,cg20051772,cg20309640,cg20472746,cg20507228,cg21085462,cg21162029,cg21327581,cg21393163,cg21411075,cg21497218,cg21566642,cg21618017,cg21686890,cg22010052,cg22122862,cg22389950,cg22500518,cg22761205,cg23258188,cg23505644,cg23661483,cg23690893,cg23965590,cg23983449,cg24536818,cg24843346,cg24988625,cg25580656,cg25799109,cg25940513,cg25953130,cg25966599,cg26189283,cg26693467,cg26728709,cg27315333,cg27509347,cg27613174	Lookup	4.66e-18
0.106	4.90e-01	CLL	Blood	DHS	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg01501009,cg01656168,cg01939453,cg02349578,cg02597894,cg04134748,cg04292359,cg04304450,cg04657325,cg04845871,cg05257275,cg05392764,cg05575921,cg05673882,cg06297145,cg06653796,cg06670742,cg06946543,cg07094298,cg07157107,cg07551060,cg08109625,cg08262464,cg08289839,cg08383315,cg09109520,cg09904264,cg10670310,cg11547696,cg11617147,cg12076102,cg13039251,cg13167816,cg13253439,cg13836518,cg13876222,cg14145338,cg14395060,cg14519664,cg15090440,cg15150970,cg15485700,cg15523958,cg16145216,cg16455894,cg16734795,cg17042996,cg17053845,cg17873919,cg18022012,cg18176887,cg18187029,cg19399220,cg20051772,cg20309640,cg20472746,cg20507228,cg21085462,cg21327581,cg21393163,cg21411075,cg21497218,cg21618017,cg21686890,cg22010052,cg22500518,cg22533317,cg22639011,cg22761205,cg23205886,cg25580656,cg25966599,cg26094004,cg27509347	GSM816664	1.00e+00
4.016	1.65e-04	CMK	Blood	DHS	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	cg00008629,cg00988037,cg01126699,cg02317313,cg02556393,cg02597894,cg02810967,cg03131366,cg03750061,cg04242728,cg04292359,cg04304450,cg04983687,cg05253759,cg05376219,cg05392764,cg05575921,cg05673882,cg06297145,cg06635952,cg06653796,cg06670742,cg07094298,cg07518532,cg07970948,cg08335767,cg08447934,cg08549335,cg08726900,cg08802607,cg08881614,cg08899895,cg08922729,cg08940169,cg08948841,cg09235539,cg09435170,cg09704401,cg09904264,cg10099827,cg10322443,cg10422233,cg10692140,cg10980948,cg12076102,cg13253439,cg13458609,cg13836518,cg14450238,cg14469684,cg14519664,cg15068180,cg15090440,cg15150970,cg15953602,cg16145216,cg16348158,cg16560711,cg16734795,cg16887422,cg17042996,cg17053845,cg17540765,cg17873919,cg17971600,cg18176887,cg18419358,cg18797823,cg19399220,cg19755108,cg20051772,cg20100049,cg20784591,cg21085462,cg21327581,cg21411075,cg21443659,cg21497218,cg21618017,cg21686890,cg23205886,cg23505644,cg23665802,cg23690893,cg24536818,cg25580656,cg25940513,cg25966599,cg26189283,cg27315333,cg27613174	GSM736607	1.45e-02
0.737	2.70e-01	GM06990	Blood	DHS	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	cg00008629,cg01329690,cg01501009,cg01542019,cg01656168,cg01939453,cg02610360,cg03131366,cg03526142,cg04304450,cg04657325,cg04845871,cg05257275,cg05392764,cg05575921,cg05673882,cg06297145,cg06653796,cg06670742,cg07094298,cg07157107,cg07551060,cg08262464,cg08335767,cg08383315,cg08549335,cg08767044,cg08937102,cg08948841,cg09410512,cg09904264,cg10099827,cg10322443,cg10692140,cg10980948,cg12520319,cg13167816,cg13189097,cg14377791,cg14450238,cg14519664,cg15485700,cg16145216,cg16545743,cg16560711,cg17042996,cg17053845,cg17870792,cg17873919,cg18176887,cg19399220,cg19755108,cg20051772,cg20472746,cg20950646,cg21085462,cg21162029,cg21327581,cg21393163,cg21411075,cg21497218,cg21618017,cg21686890,cg22761205,cg23205886,cg23665802,cg25580656,cg25799109,cg26094004,cg26189283,cg27315333,cg27613174	"GSM736558,GSM736635"	1.00e+00
1.065	1.72e-01	GM12864	Blood	DHS	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	cg00008629,cg01015663,cg01329690,cg01501009,cg02810967,cg03131366,cg03526142,cg04657325,cg04845871,cg05392764,cg05508862,cg05673882,cg06297145,cg06635952,cg06653796,cg06670742,cg06943835,cg06946543,cg07094298,cg07157107,cg07551060,cg08383315,cg08549335,cg08767044,cg08948841,cg09109520,cg09410512,cg09904264,cg10692140,cg12076102,cg12126344,cg12520319,cg13167816,cg13253439,cg14020176,cg14377791,cg14450238,cg14519664,cg16145216,cg16560711,cg17042996,cg17053845,cg17486314,cg17873919,cg18176887,cg18202127,cg19075787,cg19399220,cg19755108,cg20051772,cg20472746,cg21085462,cg21327581,cg21393163,cg21411075,cg21497218,cg21618017,cg21686890,cg22761205,cg23205886,cg23965590,cg23983449,cg25799109,cg26094004,cg26163153,cg26189283,cg26728709,cg27192248	GSM736525	1.00e+00
0.681	2.82e-01	GM12865	Blood	DHS	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	cg00008629,cg00902153,cg01015663,cg01329690,cg01501009,cg03526142,cg04292359,cg04657325,cg04845871,cg05392764,cg05567236,cg05575921,cg05673882,cg06297145,cg06635952,cg06653796,cg06670742,cg07094298,cg07157107,cg07551060,cg07891911,cg08335767,cg08383315,cg08549335,cg08726900,cg08767044,cg08948841,cg09904264,cg10581754,cg10692140,cg12126344,cg12520319,cg13039251,cg13189097,cg13836518,cg14377791,cg14450238,cg14519664,cg15485700,cg15953602,cg16145216,cg16560711,cg16734795,cg17042996,cg17053845,cg17870792,cg17873919,cg17907003,cg17971600,cg18176887,cg18202127,cg19399220,cg19755108,cg20051772,cg20472746,cg21085462,cg21327581,cg21393163,cg21411075,cg21497218,cg21618017,cg21686890,cg22010052,cg23205886,cg23965590,cg24843346,cg25799109,cg26163153,cg26189283	"GSM736512,GSM736561"	1.00e+00
1.237	1.27e-01	GM12878	Blood	DHS	GM12878-all.twopass.merge150.wgt10.zgt2.wig	cg00008629,cg00867472,cg00988037,cg01015663,cg01100175,cg01329690,cg01556552,cg01656168,cg01939453,cg02317313,cg02349578,cg02597894,cg03131366,cg03526142,cg03750061,cg04292359,cg04657325,cg04845871,cg05257275,cg05376219,cg05392764,cg05575921,cg05673882,cg06297145,cg06635952,cg06653796,cg06670742,cg06946543,cg07094298,cg07157107,cg07551060,cg07891911,cg08335767,cg08383315,cg08549335,cg08766770,cg08767044,cg08881614,cg08922729,cg08948841,cg09109520,cg09410512,cg09904264,cg10194884,cg10581754,cg10670310,cg10692140,cg12520319,cg13039251,cg13253439,cg13305415,cg13836518,cg14377791,cg14450238,cg14469684,cg14519664,cg15090440,cg15150970,cg15485700,cg15523958,cg15727507,cg15953602,cg16145216,cg16560711,cg16834726,cg17042996,cg17053845,cg17540765,cg17873919,cg17971600,cg18176887,cg18419358,cg19399220,cg19755108,cg20051772,cg20100049,cg20472746,cg20784591,cg21085462,cg21327581,cg21393163,cg21411075,cg21497218,cg21618017,cg21686890,cg22010052,cg22500518,cg22533317,cg22761205,cg23205886,cg23665802,cg23965590,cg25799109,cg25953130,cg26163153,cg26189283,cg27192248,cg27613174	"GSM816665,GSM736496,GSM736620"	1.00e+00
