Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
15.641	2.79e-41	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg00005461,cg00344572,cg00448525,cg00780501,cg00795535,cg00849335,cg00893849,cg01014987,cg01247459,cg01248878,cg01469583,cg01541570,cg01887834,cg02024241,cg02041484,cg02147126,cg02432022,cg02441833,cg02455383,cg03116466,cg03234093,cg03822873,cg03881379,cg04046364,cg04052546,cg04084348,cg04099543,cg04161328,cg04353863,cg04395593,cg04662947,cg04804748,cg04814136,cg04954249,cg05150185,cg05209272,cg05567377,cg05920921,cg06052655,cg06169291,cg06289919,cg06445384,cg06569561,cg06734380,cg07014573,cg07532960,cg07611887,cg07616376,cg07638500,cg07786412,cg07952576,cg08091497,cg08177041,cg08427005,cg08470588,cg08621659,cg09098714,cg09277749,cg09668022,cg09763039,cg09849688,cg09912228,cg11175241,cg11199798,cg11554295,cg11715991,cg11759930,cg11807649,cg11810303,cg11902347,cg12165656,cg12182708,cg12315900,cg12828656,cg12967579,cg12985905,cg12997777,cg13117318,cg13197551,cg13250178,cg13410614,cg13728275,cg13905385,cg14009632,cg14060758,cg14131038,cg14261336,cg14282386,cg14287557,cg14352263,cg14613901,cg14919455,cg15022400,cg15030712,cg15072057,cg15157945,cg15186355,cg15338098,cg15357334,cg15535138,cg15677434,cg15931859,cg16171189,cg16257804,cg16572910,cg16775629,cg16834953,cg16863862,cg16872030,cg16945415,cg16948651,cg17120616,cg17430986,cg17991808,cg18118893,cg18401534,cg18410271,cg18481322,cg18498503,cg18787963,cg18976159,cg19114543,cg19284277,cg19459094,cg19785826,cg19967449,cg19980260,cg20090759,cg20133890,cg20626587,cg20712856,cg20833901,cg20999663,cg21124310,cg21130221,cg21145387,cg21166775,cg21279677,cg21450154,cg21810778,cg21876760,cg22123711,cg22331200,cg22406869,cg22748479,cg22788906,cg22940815,cg23091723,cg23215701,cg23299484,cg23386939,cg23499392,cg23511239,cg23522962,cg23575688,cg23720822,cg23771052,cg24211388,cg24238409,cg24279017,cg24315421,cg24374476,cg24395217,cg24407546,cg24699150,cg24936095,cg25322146,cg25887955,cg26311703,cg26350671,cg26667462,cg26744554,cg26802802,cg26819611,cg26978762,cg26996616,cg27195131,cg27543741	E029	4.63e-39
-0.159	5.84e-01	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg00663686,cg00795535,cg00893849,cg01248878,cg01887834,cg02305757,cg02543556,cg03554335,cg03666966,cg03822873,cg04804748,cg04920032,cg04992150,cg05219896,cg05516004,cg05873271,cg06169291,cg06308882,cg06445384,cg06569561,cg06734380,cg06850285,cg07177867,cg07616376,cg07638500,cg07786412,cg08091497,cg08177041,cg08794018,cg09194810,cg09584899,cg09698506,cg10487714,cg11751434,cg12182708,cg12315900,cg12967579,cg14009632,cg14131038,cg14306688,cg14613901,cg15022400,cg15123849,cg15535138,cg15818306,cg16257804,cg16775629,cg16863862,cg17116500,cg17430986,cg17991808,cg18042586,cg18410271,cg19459094,cg19579160,cg19785826,cg20133890,cg20626587,cg20999663,cg21167563,cg21450154,cg22123711,cg23057699,cg23299484,cg23511239,cg24211388,cg24374476,cg24407546,cg26025224,cg26311703,cg26529864,cg26802802,cg27109461	E032	1.00e+00
-0.627	7.56e-01	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg00005461,cg00663686,cg00795535,cg00893849,cg01248878,cg01887834,cg02305757,cg02543556,cg02835421,cg02961280,cg04099543,cg04804748,cg05516004,cg06169291,cg06445384,cg06569561,cg07616376,cg07786412,cg08091497,cg08177041,cg09584899,cg09763039,cg11751434,cg11807649,cg12182708,cg12315900,cg12967579,cg13117318,cg14009632,cg14131038,cg14282386,cg14613901,cg15022400,cg16171189,cg16257804,cg16775629,cg17430986,cg18410271,cg18787963,cg19254378,cg19284277,cg19785826,cg19980260,cg20133890,cg20712856,cg20999663,cg21450154,cg22123711,cg22748479,cg23057699,cg23511239,cg23720822,cg24315421,cg24374476,cg24407546,cg26025224,cg26311703,cg26802802,cg27109461,cg27195131	E033	1.00e+00
-0.090	5.61e-01	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg00344572,cg00663686,cg00795535,cg00921350,cg01248878,cg02543556,cg04804748,cg04992150,cg05122026,cg05186879,cg05516004,cg05820066,cg06169291,cg06445384,cg07177867,cg07616376,cg07786412,cg08177041,cg08408668,cg08794018,cg09584899,cg09668022,cg09763039,cg09849688,cg10704177,cg11751434,cg12182708,cg12315900,cg12967579,cg13117318,cg14009632,cg14306688,cg14613901,cg15022400,cg15535138,cg16257804,cg16572910,cg17430986,cg18042586,cg18410271,cg18787963,cg19254378,cg19284277,cg19459094,cg19579160,cg19785826,cg20090759,cg20133890,cg20626587,cg20893838,cg20999663,cg21124310,cg21450154,cg23057699,cg23218859,cg23299484,cg23499392,cg23635560,cg23720822,cg24315421,cg24374476,cg24395217,cg24407546,cg26025224,cg26069291,cg26311703,cg26529864,cg26819611,cg27109461,cg27195131	E034	1.00e+00
3.502	4.37e-04	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg00005461,cg00448525,cg00663686,cg00780501,cg00795535,cg00893849,cg01247459,cg01248878,cg01887834,cg02024241,cg02305757,cg02543556,cg03634089,cg04099543,cg04353863,cg04804748,cg04992150,cg06169291,cg06569561,cg06734380,cg07014573,cg07616376,cg07786412,cg08091497,cg08177041,cg08408668,cg08794018,cg09098714,cg09584899,cg09668022,cg09763039,cg09849688,cg11199798,cg11751434,cg11807649,cg12315900,cg12828656,cg12967579,cg12985905,cg12997777,cg13117318,cg13250178,cg13254847,cg13410614,cg13578165,cg14009632,cg14060758,cg14282386,cg14306688,cg15022400,cg15030712,cg15535138,cg15677434,cg16171189,cg16257804,cg16572910,cg16617564,cg16775629,cg16872030,cg17430986,cg17991808,cg18118893,cg18401534,cg18731680,cg18787963,cg19284277,cg19459094,cg19785826,cg19980260,cg20090759,cg20626587,cg20999663,cg21450154,cg21876760,cg22748479,cg23057699,cg23215701,cg23218859,cg23299484,cg23386939,cg23499392,cg23511239,cg23522962,cg23575688,cg23720822,cg24315421,cg24374476,cg24395217,cg24407546,cg25887955,cg26311703,cg26744554,cg27195131	E046	3.15e-03
14.188	2.12e-36	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg00127788,cg00136106,cg00273658,cg00344572,cg00663686,cg00717259,cg00780501,cg00795535,cg00893849,cg00921350,cg01014987,cg01248878,cg01418188,cg01611175,cg01887834,cg02006119,cg02024241,cg02147126,cg02240622,cg02305757,cg02441833,cg02455383,cg02480174,cg02543556,cg02589986,cg02835421,cg02974089,cg03125875,cg03337482,cg03381616,cg03634089,cg03666966,cg03881379,cg03914277,cg04099543,cg04316096,cg04395593,cg04765471,cg04814136,cg04920032,cg04924375,cg04954249,cg05122026,cg05209272,cg05699320,cg05820066,cg05873271,cg05958985,cg06005163,cg06181069,cg06289919,cg06445384,cg06569561,cg06592575,cg07014573,cg07137115,cg07432111,cg07519863,cg07532960,cg07616376,cg07638500,cg07786412,cg08028384,cg08091497,cg08177041,cg08621659,cg08790890,cg08794018,cg09098714,cg09194810,cg09589331,cg09639771,cg09668022,cg09698506,cg09763039,cg10011040,cg10220988,cg10741887,cg11148876,cg11175241,cg11554295,cg11715991,cg11751434,cg11807649,cg11942358,cg12040931,cg12077754,cg12165656,cg12190341,cg12315900,cg12784307,cg12828656,cg12967579,cg12985905,cg12997777,cg12998731,cg13047724,cg13117318,cg13254847,cg13578165,cg13672080,cg14131038,cg14242936,cg14261336,cg14287557,cg14569513,cg14613901,cg14934396,cg15022400,cg15030712,cg15074047,cg15338967,cg15442959,cg15535138,cg15677434,cg15791719,cg15931859,cg16171189,cg16257804,cg16299559,cg16464329,cg16545105,cg16572910,cg16660617,cg16775629,cg16834953,cg16945415,cg17141163,cg17245251,cg17430986,cg17464069,cg17577640,cg17679548,cg17746899,cg17820448,cg17946525,cg17991808,cg18410271,cg18521725,cg18581916,cg18731680,cg18976159,cg19284277,cg19322743,cg20133890,cg20337696,cg20350272,cg20378408,cg20626587,cg20675152,cg20712856,cg20833901,cg20893838,cg20999663,cg21061310,cg21130221,cg21166775,cg21450154,cg21810778,cg21876760,cg22066020,cg22123711,cg22748479,cg23057699,cg23218859,cg23299484,cg23499392,cg23511239,cg23575688,cg23635560,cg23689722,cg23720822,cg23933458,cg24099727,cg24279017,cg24315421,cg24374476,cg24407546,cg24442367,cg24598141,cg24684972,cg24936095,cg25136646,cg25228737,cg25348163,cg25465557,cg25466522,cg26025224,cg26311703,cg26667462,cg26802802,cg26873486,cg26996616,cg27316598,cg27341747,cg27347104,cg27623075,cg27646484	E050	1.76e-34
10.213	1.61e-19	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg00127788,cg00136106,cg00344572,cg00663686,cg00717259,cg00780501,cg00795535,cg00893849,cg00921350,cg01014987,cg01248878,cg01499988,cg01611175,cg02006119,cg02024241,cg02305757,cg02455383,cg02543556,cg02589986,cg02835421,cg02974089,cg03326609,cg03337482,cg03381616,cg03634089,cg03881379,cg03914277,cg04099543,cg04765471,cg04804748,cg04814136,cg04920032,cg04954249,cg05122026,cg05699320,cg05820066,cg05873271,cg05958985,cg06005163,cg06169291,cg06181069,cg06445384,cg06569561,cg06592575,cg07519863,cg07532960,cg07616376,cg07638500,cg07828833,cg08621659,cg08790890,cg08794018,cg09098714,cg09639771,cg09668022,cg09698506,cg09763039,cg11175241,cg11715991,cg11751434,cg11807649,cg11942358,cg12077754,cg12315900,cg12784307,cg12828656,cg12967579,cg12998731,cg13254847,cg13410614,cg13578165,cg14131038,cg14242936,cg14282386,cg14287557,cg14613901,cg14934396,cg15442959,cg15535138,cg15677434,cg15931859,cg16171189,cg16299559,cg16545105,cg16572910,cg16775629,cg16945415,cg17245251,cg17430986,cg17679548,cg17746899,cg17820448,cg17991808,cg18410271,cg18731680,cg18787963,cg19284277,cg19296671,cg19579160,cg20133890,cg20337696,cg20350272,cg20378408,cg20626587,cg20712856,cg20833901,cg20893838,cg20999663,cg21061310,cg21130221,cg21166775,cg21450154,cg21810778,cg21876760,cg22066020,cg22123711,cg22406869,cg22748479,cg23057699,cg23218859,cg23299484,cg23499392,cg23511239,cg23635560,cg23720822,cg23933458,cg24099727,cg24211388,cg24315421,cg24374476,cg24407546,cg24442367,cg24598141,cg24684972,cg24936095,cg25228737,cg25887955,cg26025224,cg26311703,cg26667462,cg26802802,cg26873486,cg26996616,cg27316598,cg27341747,cg27347104,cg27646484	E051	8.90e-18
1.976	2.83e-02	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg00005461,cg00273658,cg00663686,cg00780501,cg00795535,cg00849335,cg01248878,cg01418188,cg01469583,cg01541570,cg01555198,cg02342367,cg02432022,cg02441833,cg03125875,cg03326609,cg03381616,cg03822873,cg04084348,cg04099543,cg04161328,cg04765471,cg04954249,cg05209272,cg05516004,cg06169291,cg06181069,cg07638500,cg07786412,cg08177041,cg09584899,cg09668022,cg09763039,cg09849688,cg10487714,cg11098795,cg11807649,cg11810303,cg12182708,cg12315900,cg12402318,cg12985905,cg12997777,cg13789639,cg14009632,cg14060758,cg14169284,cg14261336,cg14287557,cg14306688,cg14390854,cg14613901,cg14769121,cg14934396,cg15030712,cg15034807,cg15157945,cg15186355,cg15338967,cg15442959,cg16257804,cg16660617,cg16775629,cg17555715,cg17679548,cg17753773,cg18118893,cg18976159,cg19284277,cg19579160,cg19785826,cg19980260,cg20626587,cg20893838,cg20999663,cg21061310,cg21145387,cg21664942,cg21810778,cg21876760,cg22150440,cg23215701,cg23299484,cg23575688,cg23661721,cg23856600,cg23933458,cg24099727,cg24238409,cg24372191,cg24374476,cg24376793,cg24407546,cg24442367,cg24598141,cg24936095,cg25642315,cg26025224,cg26311703,cg26350671,cg26667462,cg26744554,cg26873486	E028	1.80e-01
-2.087	9.86e-01	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg00795535,cg00893849,cg00921350,cg02305757,cg02342367,cg02441833,cg02455383,cg03554335,cg03666966,cg03822873,cg04099543,cg04395593,cg05820066,cg05918326,cg06169291,cg07137115,cg07432111,cg07638500,cg07786412,cg08177041,cg09277749,cg09668022,cg09698506,cg09719750,cg11751434,cg12165656,cg12182708,cg12190341,cg12315900,cg12985905,cg14009632,cg14131038,cg14242936,cg14306688,cg14613901,cg15157945,cg15535138,cg15834151,cg16032884,cg16257804,cg16299559,cg16775629,cg16945415,cg17105176,cg18581916,cg18731680,cg19284277,cg19296671,cg19579160,cg19980260,cg20626587,cg20893838,cg21130221,cg21156580,cg21166775,cg21450154,cg22503106,cg23057699,cg23299484,cg23635560,cg23938511,cg24099727,cg24374476,cg24407546,cg24517604,cg25642315,cg26025224,cg26350671,cg26382374,cg26529864,cg26996616,cg27316598	E003	1.00e+00
2.411	9.04e-03	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg00663686,cg00795535,cg00893849,cg00921350,cg01171954,cg02024241,cg02190078,cg02305757,cg02342367,cg02441833,cg02455383,cg03554335,cg03822873,cg04099543,cg04395593,cg04701118,cg04920032,cg04924375,cg04954249,cg05122026,cg05186879,cg05516004,cg05820066,cg05873271,cg05918326,cg06127160,cg07137115,cg07432111,cg07479786,cg07638500,cg07786412,cg08177041,cg08408668,cg08790890,cg09719750,cg09912228,cg10180919,cg10704177,cg11175241,cg11751434,cg12165656,cg12182708,cg12315900,cg12402318,cg12985905,cg13120180,cg13792581,cg14009632,cg14031473,cg14060758,cg14131038,cg14242936,cg14306688,cg14569513,cg14613901,cg14934396,cg15157945,cg15338967,cg15442959,cg15535138,cg15791719,cg15834151,cg16032884,cg16064932,cg16257804,cg16263722,cg16299559,cg16545105,cg16572910,cg16660617,cg16775629,cg16945415,cg17116500,cg17245251,cg17430986,cg17746899,cg17820448,cg18410271,cg18581916,cg18731680,cg19284277,cg19296671,cg19579160,cg19851810,cg19980260,cg20350272,cg20626587,cg20833901,cg20893838,cg21166775,cg21211039,cg21450154,cg21810778,cg22503106,cg22748479,cg22948672,cg23057699,cg23299484,cg23575688,cg23635560,cg23856600,cg23933458,cg23938511,cg24099727,cg24171689,cg24374476,cg24376793,cg24407546,cg24442367,cg24517604,cg24598141,cg25642315,cg26025224,cg26311703,cg26350671,cg26382374,cg26529864,cg26819611,cg26996616,cg27109461,cg27316598,cg27341747,cg27347104	E004	6.00e-02
