Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-1.351	9.26e-01	HTR8svn	Blastula	DHS	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00512337,cg00732815,cg01392772,cg01486537,cg01559533,cg01851399,cg01958295,cg02037425,cg02067882,cg03083467,cg03582285,cg04045079,cg04163638,cg04360557,cg04379086,cg05155047,cg05550603,cg05700554,cg05710753,cg06000951,cg06141378,cg06167314,cg06371243,cg06917015,cg07404554,cg07495637,cg07678273,cg07968192,cg07996027,cg08426368,cg08479615,cg08616951,cg08922698,cg08966485,cg09124901,cg09414922,cg09573359,cg09604901,cg09990194,cg10505873,cg10662345,cg10784511,cg11131246,cg11345668,cg13185316,cg13363409,cg13452923,cg13904286,cg14231155,cg14239540,cg14640244,cg15043117,cg16964791,cg17004162,cg17996902,cg18445418,cg20373771,cg20786131,cg21233180,cg21301387,cg21784169,cg21901847,cg22070649,cg22097677,cg22175303,cg23443166,cg23622369,cg23800023,cg23998500,cg24312105,cg24782857,cg25181144,cg25309493,cg25363789,cg26127114,cg26863821,cg27155592,cg27565517	GSM816644	1.00e+00
0.948	1.82e-01	Adult_CD4+	Blood	DHS	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00065430,cg00214353,cg00232231,cg00320216,cg00719568,cg00732815,cg01276843,cg01427388,cg01569083,cg01851399,cg02022380,cg02113641,cg02407068,cg03135687,cg03582285,cg04070847,cg04096477,cg04360557,cg04379086,cg04569233,cg04653326,cg04922682,cg05085499,cg05121110,cg05167916,cg05170183,cg05342276,cg05425909,cg05550603,cg06000951,cg06121113,cg06141378,cg06167314,cg07027444,cg07404365,cg07404554,cg07463103,cg07489413,cg07697733,cg08113064,cg08476157,cg08479615,cg08639424,cg08896939,cg08922698,cg09075096,cg09124901,cg09414922,cg09573359,cg09604901,cg09915500,cg10662345,cg10695722,cg10782206,cg10791278,cg11065972,cg11099003,cg11131246,cg11345668,cg11444477,cg11499236,cg11664969,cg12226453,cg13104385,cg13185316,cg13262212,cg13363409,cg13432102,cg13456138,cg13904286,cg14037114,cg14239540,cg14438279,cg14640244,cg14980504,cg15043117,cg15253892,cg15690316,cg15866363,cg16212145,cg16238475,cg16883145,cg16997558,cg17004162,cg17318576,cg17555825,cg18096774,cg18574822,cg19987248,cg20270159,cg20351582,cg20786131,cg20786197,cg20976607,cg21401359,cg21614759,cg21847062,cg21901847,cg22049881,cg22175303,cg22275864,cg22488278,cg22730464,cg22910540,cg23112529,cg23361114,cg23400208,cg23443166,cg23609672,cg23622369,cg23800023,cg24022532,cg24203279,cg24270163,cg25181144,cg25342005,cg25363789,cg26348226,cg26539024,cg26680760,cg26779688,cg26957356,cg27209881,cg27313201,cg27336611,cg27565517,cg27567544,cg27664110	Lookup	1.00e+00
-0.264	6.30e-01	CD14+	Blood	DHS	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	cg00175482,cg00214353,cg00320216,cg00732815,cg01276843,cg01486537,cg01569083,cg01851399,cg02396110,cg02438164,cg03083467,cg03086857,cg03209707,cg03582285,cg04070847,cg04163638,cg04360557,cg04379086,cg04569233,cg04801469,cg05042919,cg05085499,cg05121110,cg05345866,cg05550603,cg05766896,cg06068711,cg06141378,cg06371243,cg06917015,cg07110166,cg07463103,cg07489413,cg07697733,cg07968192,cg08113064,cg08479615,cg08812177,cg08896939,cg08933450,cg08966485,cg09361598,cg09414922,cg09573359,cg10505873,cg10583755,cg10662345,cg10990006,cg11057867,cg11065972,cg11131246,cg11225266,cg11833029,cg11935041,cg13092433,cg13185316,cg13363409,cg13456138,cg15258722,cg15690316,cg15761598,cg15866363,cg16170323,cg16870607,cg16883145,cg16997558,cg17004162,cg17350632,cg17873675,cg18096774,cg18445418,cg18574822,cg20503282,cg21614759,cg21738270,cg22049881,cg22175303,cg23443166,cg23622369,cg23998500,cg24022532,cg24455969,cg25587662,cg26348226,cg27208362,cg27209881,cg27567544	Lookup	1.00e+00
-0.355	6.59e-01	CD20+	Blood	DHS	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	cg00175482,cg00437441,cg00649330,cg00732815,cg01486537,cg01569083,cg01825818,cg01851399,cg02396110,cg03135687,cg03185827,cg03209707,cg03582285,cg03699103,cg04070847,cg04163638,cg04262623,cg04360557,cg04794556,cg05085499,cg05121110,cg05425909,cg05766896,cg06068711,cg06121113,cg06371243,cg07463103,cg07489413,cg07697733,cg08222192,cg08390732,cg08896939,cg08922698,cg08966485,cg09573359,cg09915500,cg10505873,cg10541183,cg10782206,cg10990006,cg11065972,cg11099003,cg11499236,cg11833029,cg12857954,cg13104385,cg13363409,cg13904286,cg14640244,cg14801356,cg15035920,cg15690316,cg15866363,cg15990170,cg16870607,cg16883145,cg16964791,cg16997558,cg17004162,cg17350632,cg17555825,cg17873675,cg18049776,cg18096774,cg19113783,cg19223299,cg19605931,cg20503282,cg20786131,cg21614759,cg21738270,cg21847062,cg21930227,cg22049881,cg22175303,cg22534310,cg22730464,cg23057870,cg23151714,cg23443166,cg23622369,cg23998500,cg24022532,cg24270163,cg25342005,cg25363789,cg25587662,cg25854725,cg26348226,cg26680760,cg27209881	Lookup	1.00e+00
-0.794	8.02e-01	CD34+	Blood	DHS	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	cg00437441,cg00649330,cg00732815,cg01287975,cg01392772,cg01569083,cg01825818,cg01851399,cg02113641,cg02396110,cg03086857,cg03209707,cg03260566,cg03582285,cg04070847,cg04262623,cg04360557,cg04379086,cg05063632,cg05085499,cg05121110,cg05345866,cg05550603,cg05766896,cg06000951,cg06141378,cg06167314,cg06371243,cg06652329,cg07380200,cg07404554,cg07463103,cg07489413,cg07697733,cg07968192,cg08030438,cg08113064,cg08390732,cg08479615,cg08616951,cg08896939,cg08966485,cg09414922,cg09573359,cg09915500,cg10346658,cg10505873,cg10541183,cg10662345,cg10990006,cg11065972,cg11131246,cg11225266,cg11499236,cg11664969,cg13185316,cg13363409,cg13904286,cg14037114,cg14231155,cg14640244,cg15182360,cg15224444,cg15483907,cg15690316,cg15866363,cg16883145,cg16964791,cg16997558,cg17004162,cg17555825,cg17873675,cg18049776,cg18096774,cg18279341,cg18445418,cg18574822,cg18714224,cg19223299,cg20503282,cg20786131,cg21537214,cg21614759,cg21738270,cg22049881,cg22175303,cg22275864,cg22730464,cg23057870,cg23151714,cg23400208,cg23443166,cg23622369,cg23998500,cg24022532,cg25363789,cg25587662,cg26348226,cg26394270,cg26680760,cg26957356,cg27209881,cg27565517,cg27567544	Lookup	1.00e+00
-0.123	5.73e-01	CLL	Blood	DHS	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg01276843,cg01287975,cg01569083,cg02150910,cg02373493,cg02511590,cg02660277,cg02693870,cg03083467,cg03390830,cg03516026,cg03582285,cg04070847,cg04163638,cg04360557,cg04379086,cg04633676,cg04653326,cg04794556,cg05085499,cg05121110,cg05425909,cg05710753,cg05766896,cg06121113,cg06167314,cg06371243,cg07027444,cg07110166,cg07404554,cg07463103,cg07495637,cg07678273,cg07697733,cg08222192,cg08479615,cg08896939,cg08922698,cg08966485,cg09915500,cg10505873,cg10662345,cg10845147,cg10990006,cg11057867,cg11065972,cg11499236,cg11664969,cg11888727,cg14063625,cg14239540,cg14640244,cg14801356,cg15761598,cg16870607,cg16964791,cg17004162,cg17090754,cg17873675,cg18049776,cg18096774,cg18963171,cg19359072,cg19605931,cg20786131,cg21614759,cg21847062,cg21930227,cg22175303,cg22275864,cg22730464,cg23151714,cg23361114,cg23443166,cg23622369,cg23651281,cg24203279,cg24312105,cg25309493,cg26348226,cg26678144,cg27209881,cg27313201	GSM816664	1.00e+00
-1.647	9.61e-01	CMK	Blood	DHS	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	cg00214353,cg00437441,cg00649330,cg00719568,cg00732815,cg02407068,cg03083467,cg03390830,cg03516026,cg03582285,cg04070847,cg04360557,cg04379086,cg04527989,cg04933135,cg05063632,cg05085499,cg05425909,cg05550603,cg06371243,cg07463103,cg07489413,cg07697733,cg08030438,cg08966485,cg09414922,cg09573359,cg09915500,cg10346658,cg10505873,cg10662345,cg11065972,cg11346960,cg11747695,cg12226453,cg13363409,cg13904286,cg14640244,cg15182360,cg15440891,cg15690316,cg16864589,cg16883145,cg17004162,cg17072045,cg18096774,cg18279341,cg18445418,cg18574822,cg18642719,cg19693031,cg21614759,cg21901847,cg22175303,cg23443166,cg23622369,cg24022532,cg25363789,cg25854725,cg26348226,cg26680760,cg26957356,cg27341384	GSM736607	1.00e+00
0.123	4.78e-01	GM06990	Blood	DHS	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	cg00055603,cg00732815,cg01276843,cg01331430,cg01569083,cg02113641,cg02396110,cg02407068,cg03516026,cg03582285,cg04360557,cg04379086,cg04752066,cg05085499,cg05121110,cg05170183,cg05550603,cg06068711,cg06121113,cg06167314,cg06371243,cg07463103,cg07697733,cg08222192,cg08390732,cg08412053,cg08639424,cg08896939,cg08966485,cg09573359,cg09915500,cg10505873,cg10583755,cg10990006,cg11499236,cg13092433,cg13363409,cg13904286,cg14239540,cg14438279,cg14640244,cg14801356,cg14980504,cg15690316,cg15761598,cg15866363,cg16883145,cg16964791,cg17072045,cg17350632,cg17555825,cg18096774,cg19094530,cg19223299,cg20270159,cg20351582,cg20503282,cg20786131,cg21738270,cg21784169,cg21930227,cg22049881,cg22175303,cg22730464,cg23400208,cg23622369,cg23903774,cg24022532,cg25363789,cg26348226,cg26539024,cg26678144,cg26680760,cg27155592,cg27565517	"GSM736558,GSM736635"	1.00e+00
1.658	5.63e-02	GM12864	Blood	DHS	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	cg00208912,cg00320216,cg00732815,cg01569083,cg02396110,cg02511590,cg03083467,cg03209707,cg03516026,cg03582285,cg04070847,cg04096477,cg04262623,cg04295372,cg04360557,cg04379086,cg04752066,cg05085499,cg05121110,cg05167916,cg05170183,cg05425909,cg05550603,cg05766896,cg06068711,cg06121113,cg06371243,cg06652329,cg07404554,cg07463103,cg07697733,cg08222192,cg08412053,cg08616951,cg08639424,cg08896939,cg08966485,cg09289684,cg09915500,cg10583755,cg10662345,cg10990006,cg11065972,cg11131246,cg11345668,cg11499236,cg11712187,cg12872535,cg13363409,cg13456138,cg13904286,cg14239540,cg14438279,cg14640244,cg14801356,cg14980504,cg15690316,cg15761598,cg15866363,cg16964791,cg16997558,cg17072045,cg17350632,cg17873675,cg18096774,cg20270159,cg20351582,cg20373771,cg20503282,cg20786131,cg21738270,cg21784169,cg21847062,cg21930227,cg22049881,cg22175303,cg22275864,cg22341683,cg22730464,cg23057870,cg23151714,cg23443166,cg23622369,cg23903774,cg23998500,cg24022532,cg24066742,cg25363789,cg25587662,cg25854725,cg26348226,cg26539024,cg26678144,cg26680760,cg27209881	GSM736525	1.00e+00
1.379	9.12e-02	GM12865	Blood	DHS	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	cg00175482,cg00208912,cg00232231,cg00320216,cg00732815,cg01331430,cg01569083,cg01825818,cg02396110,cg03083467,cg03516026,cg03582285,cg04262623,cg04295372,cg04360557,cg04379086,cg04527989,cg04752066,cg04801469,cg05085499,cg05121110,cg05170183,cg05342276,cg05550603,cg05569018,cg05766896,cg06068711,cg06089406,cg06121113,cg06371243,cg06616506,cg06652329,cg07404554,cg07463103,cg07697733,cg08222192,cg08412053,cg08639424,cg08896939,cg08966485,cg09075096,cg09414922,cg10505873,cg10583755,cg10990006,cg11065972,cg11131246,cg11499236,cg13363409,cg13432102,cg13456138,cg13904286,cg14239540,cg14438279,cg14640244,cg14801356,cg14980504,cg15690316,cg15761598,cg15866363,cg16964791,cg16997558,cg17004162,cg17072045,cg17350632,cg17555825,cg17873675,cg18096774,cg19094530,cg20270159,cg20351582,cg20503282,cg20786131,cg21738270,cg21784169,cg21847062,cg22049881,cg22070649,cg22175303,cg22341683,cg22730464,cg23400208,cg23622369,cg23903774,cg24022532,cg24455969,cg25363789,cg25587662,cg25854725,cg26348226,cg26539024,cg26678144,cg26680760,cg27209881,cg27336611,cg27565517,cg27567544	"GSM736512,GSM736561"	1.00e+00
