Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
1.285	1.58e-01	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg04216117,cg04704963,cg06192289,cg07136054,cg08244085,cg10486655,cg11799172,cg13069247,cg14057772,cg15088539,cg16145216,cg16684811,cg16786712,cg17714703,cg18866599,cg19060550,cg19448935,cg24547885,cg25413575,cg25566730,cg25991122	NA	1.00e+00
0.469	3.94e-01	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg04704963,cg06192289,cg07136054,cg11799172,cg12098228,cg15088539,cg16684811,cg17714703,cg19448935,cg24547885,cg25566730,cg25991122	NA	1.00e+00
-1.451	9.31e-01	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg04704963,cg07136054,cg11799172,cg16786712,cg25566730,cg25991122	NA	1.00e+00
0.556	3.66e-01	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg04704963,cg06192289,cg07136054,cg09641663,cg11799172,cg14057772,cg15088539,cg16684811,cg16786712,cg19448935,cg24547885,cg25566730,cg25991122	NA	1.00e+00
0.443	3.99e-01	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg02955940,cg04704963,cg06192289,cg07136054,cg10486655,cg11093760,cg11497372,cg11799172,cg13069247,cg15088539,cg16145216,cg16786712,cg17714703,cg19448935,cg24547885,cg25566730,cg25991122	NA	1.00e+00
-1.092	8.74e-01	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg04704963,cg06192289,cg10486655,cg11799172,cg12098228,cg15088539,cg16145216,cg16684811,cg16786712,cg24547885,cg25566730,cg25991122	NA	1.00e+00
-0.165	6.10e-01	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg06192289,cg11799172,cg13069247,cg14057772,cg15088539,cg16145216,cg16786712,cg17714703,cg25566730,cg25991122	NA	1.00e+00
-0.115	5.94e-01	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg02726930,cg06192289,cg10486655,cg11799172,cg13069247,cg15088539,cg17453456,cg24547885,cg25566730,cg25991122	NA	1.00e+00
-0.795	8.00e-01	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg04216117,cg04704963,cg06192289,cg10486655,cg13069247,cg15088539,cg16145216,cg16786712,cg17714703,cg18866599,cg25566730,cg25991122	NA	1.00e+00
-0.110	5.89e-01	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg04216117,cg04704963,cg06192289,cg08244085,cg11799172,cg13069247,cg14057772,cg15088539,cg16786712,cg17714703,cg22603037,cg25566730,cg25991122	NA	1.00e+00
0.429	4.02e-01	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0011I43.DNase.hotspot_v3.20130415.bed.gz	cg04216117,cg04704963,cg06192289,cg08244085,cg10486655,cg11799172,cg13069247,cg14057772,cg15088539,cg16145216,cg16786712,cg17714703,cg19448935,cg25566730,cg25991122	NA	1.00e+00
