Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
16.890	1.04e-46	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00005461,cg00127788,cg00336912,cg00344572,cg00448525,cg00663686,cg00780501,cg00795535,cg00849335,cg00893849,cg01014987,cg01247459,cg01248878,cg01418188,cg01469583,cg01541570,cg01887834,cg02006119,cg02024241,cg02147126,cg02240622,cg02414559,cg02432022,cg02441833,cg02455383,cg02961280,cg03116466,cg03234093,cg03634089,cg03822873,cg03881379,cg04046364,cg04084348,cg04099543,cg04161328,cg04353863,cg04395593,cg04662947,cg04804748,cg04814136,cg04954249,cg05150185,cg05232481,cg05567377,cg05920921,cg06052655,cg06095753,cg06169291,cg06308882,cg06445384,cg06569561,cg06734380,cg07014573,cg07519863,cg07532960,cg07616376,cg07638500,cg08091497,cg08177041,cg08408668,cg08427005,cg08470588,cg08621659,cg08790890,cg08794018,cg09098714,cg09194810,cg09277749,cg09668022,cg09763039,cg09849688,cg09912228,cg11175241,cg11199798,cg11715991,cg11759930,cg11807649,cg11902347,cg12165656,cg12315900,cg12402318,cg12828656,cg12967579,cg12985905,cg12997777,cg13117318,cg13250178,cg13254847,cg13410614,cg13728275,cg13905385,cg14009632,cg14060758,cg14261336,cg14282386,cg14287557,cg14306688,cg14352263,cg14919455,cg15022400,cg15030712,cg15072057,cg15157945,cg15186355,cg15357334,cg15535138,cg15931859,cg16171189,cg16257804,cg16617564,cg16660617,cg16775629,cg16834953,cg16863862,cg16872030,cg16945415,cg16948651,cg17120616,cg17141163,cg17430986,cg17991030,cg17991808,cg18118893,cg18401534,cg18410271,cg18481322,cg18498503,cg18787963,cg19210893,cg19284277,cg19459094,cg19785826,cg19980260,cg20090759,cg20712856,cg20833901,cg20875821,cg20893838,cg20999663,cg21061310,cg21124310,cg21130221,cg21145387,cg21211039,cg21279677,cg21664942,cg21810778,cg21876760,cg22123711,cg22503106,cg22748479,cg22788906,cg22940815,cg23091723,cg23215701,cg23218859,cg23299484,cg23386939,cg23499392,cg23511239,cg23522962,cg23575688,cg23579490,cg23720822,cg23771052,cg24099727,cg24211388,cg24238409,cg24279017,cg24315421,cg24374476,cg24395217,cg24407546,cg24442367,cg24517604,cg24684972,cg24699150,cg24936095,cg25117333,cg25136646,cg25348163,cg25466522,cg25887955,cg26350671,cg26667462,cg26744554,cg26873486,cg26978762,cg27195131	NA	1.55e-45
-0.038	5.42e-01	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg00663686,cg00795535,cg01248878,cg04161328,cg04992150,cg05122026,cg05918326,cg06569561,cg07616376,cg08091497,cg08177041,cg08621659,cg09668022,cg09698506,cg11751434,cg11807649,cg12315900,cg12967579,cg13117318,cg14306688,cg15677434,cg16257804,cg16775629,cg16945415,cg17141163,cg18401534,cg19579160,cg19980260,cg20999663,cg23511239,cg24238409,cg24374476,cg24407546,cg25887955,cg26025224,cg26744554,cg27646484	NA	1.00e+00
15.224	6.13e-35	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg00005461,cg00127788,cg00448525,cg00780501,cg00795535,cg00849335,cg00893849,cg01014987,cg01247459,cg01469583,cg01541570,cg01887834,cg02024241,cg02432022,cg02455383,cg02480174,cg02961280,cg03116466,cg03634089,cg04046364,cg04084348,cg04099543,cg04161328,cg04353863,cg04395593,cg04662947,cg04814136,cg04954249,cg05150185,cg05567377,cg05920921,cg06052655,cg06169291,cg06569561,cg07616376,cg07638500,cg07828833,cg07952576,cg08177041,cg08427005,cg08470588,cg08790890,cg08794018,cg08884974,cg09098714,cg09277749,cg09668022,cg09912228,cg11199798,cg11759930,cg11807649,cg11902347,cg12165656,cg12315900,cg12967579,cg12985905,cg12997777,cg13117318,cg13250178,cg13254847,cg13410614,cg13728275,cg14060758,cg14261336,cg14282386,cg14287557,cg14306688,cg14919455,cg15022400,cg15030712,cg15034807,cg15053869,cg15072057,cg15186355,cg15357334,cg15535138,cg15931859,cg16171189,cg16257804,cg16617564,cg16775629,cg16834953,cg16863862,cg16872030,cg16948651,cg17120616,cg17430986,cg17786894,cg17991808,cg18118893,cg18401534,cg18481322,cg18498503,cg18787963,cg19284277,cg19785826,cg19967449,cg19980260,cg20090759,cg20712856,cg20833901,cg20999663,cg21061310,cg21145387,cg21876760,cg22503106,cg22748479,cg22788906,cg22940815,cg23091723,cg23215701,cg23299484,cg23386939,cg23499392,cg23511239,cg23522962,cg23575688,cg23720822,cg23771052,cg24211388,cg24315421,cg24374476,cg24699150,cg25887955,cg26744554,cg26819611,cg26978762,cg27195131	NA	4.90e-34
9.633	2.10e-16	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00005461,cg00127788,cg00448525,cg00780501,cg00795535,cg00849335,cg00893849,cg01247459,cg01541570,cg01611175,cg01887834,cg02006119,cg02024241,cg02432022,cg02455383,cg03881379,cg04046364,cg04099543,cg04353863,cg04395593,cg04662947,cg04814136,cg05567377,cg06052655,cg06445384,cg06569561,cg07616376,cg08091497,cg08621659,cg08790890,cg08794018,cg09098714,cg09763039,cg09912228,cg11199798,cg11759930,cg11902347,cg12165656,cg12985905,cg12997777,cg13117318,cg13250178,cg13410614,cg13728275,cg14060758,cg14282386,cg14287557,cg15022400,cg15030712,cg15053869,cg15186355,cg15357334,cg15535138,cg16171189,cg16257804,cg16464329,cg16834953,cg16872030,cg17991808,cg18118893,cg18401534,cg18481322,cg18787963,cg19284277,cg19459094,cg19967449,cg19980260,cg20090759,cg20712856,cg20999663,cg21061310,cg22748479,cg22788906,cg23215701,cg23299484,cg23511239,cg23522962,cg23575688,cg23771052,cg24374476,cg24407546,cg24699150,cg24936095,cg25887955,cg26311703,cg26978762,cg27543741	NA	1.09e-15
-1.717	9.63e-01	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00344572,cg00663686,cg00795535,cg02543556,cg04804748,cg05219896,cg05918326,cg06169291,cg08091497,cg08408668,cg11751434,cg12077754,cg12967579,cg14009632,cg14306688,cg15022400,cg16257804,cg16775629,cg19579160,cg20350272,cg20999663,cg23215701,cg23218859,cg23299484,cg23511239,cg24374476,cg26069291,cg26311703,cg26472183,cg26529864,cg26744554,cg27109461	NA	1.00e+00
1.978	3.02e-02	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00344572,cg00663686,cg00795535,cg00893849,cg01611175,cg01614759,cg01887834,cg02006119,cg02305757,cg02441833,cg03666966,cg04084348,cg04161328,cg04954249,cg05232481,cg05516004,cg05873271,cg05918326,cg06169291,cg06445384,cg06569561,cg07137115,cg07532960,cg07616376,cg07638500,cg07786412,cg08091497,cg08177041,cg08621659,cg08794018,cg09113950,cg09668022,cg09912228,cg10487714,cg11098795,cg11751434,cg11807649,cg11968273,cg12315900,cg12380988,cg12402318,cg12967579,cg13117318,cg14306688,cg14352263,cg14613901,cg15737719,cg16064932,cg16257804,cg16572910,cg16945415,cg17430986,cg17936236,cg17991808,cg18401534,cg18410271,cg18731680,cg18787963,cg19032328,cg19579160,cg19785826,cg20626587,cg20893838,cg20999663,cg21124310,cg21130221,cg21450154,cg21810778,cg22940815,cg23299484,cg23511239,cg23522962,cg23635560,cg23720822,cg24211388,cg24374476,cg24407546,cg26025224,cg26311703,cg26472183,cg26744554,cg26802802,cg26873486,cg26996616	NA	1.39e-01
18.618	6.57e-68	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00005461,cg00127788,cg00136106,cg00336912,cg00344572,cg00448525,cg00663686,cg00780501,cg00795535,cg00847453,cg00849335,cg00893849,cg00921350,cg01014987,cg01247459,cg01248878,cg01418188,cg01469583,cg01541570,cg01611175,cg01887834,cg02006119,cg02024241,cg02041484,cg02147126,cg02190078,cg02240622,cg02274033,cg02305757,cg02414559,cg02432022,cg02441833,cg02455383,cg02480174,cg02961280,cg03116466,cg03234093,cg03634089,cg03822873,cg03881379,cg04046364,cg04084348,cg04099543,cg04161328,cg04316096,cg04353863,cg04395593,cg04552418,cg04662947,cg04701118,cg04804748,cg04814136,cg04920032,cg04954249,cg04976987,cg04992150,cg05121010,cg05150185,cg05209272,cg05499338,cg05516004,cg05567377,cg05676915,cg05820066,cg05873271,cg05918326,cg05920921,cg06005163,cg06052655,cg06095753,cg06169291,cg06181069,cg06289919,cg06445384,cg06569561,cg06734380,cg06850285,cg06984345,cg07014573,cg07137115,cg07456972,cg07532960,cg07611887,cg07616376,cg07638500,cg07828833,cg07834490,cg07952576,cg08091497,cg08177041,cg08408668,cg08427005,cg08470588,cg08621659,cg08790890,cg08794018,cg08884974,cg09098714,cg09194810,cg09277749,cg09313442,cg09584899,cg09668022,cg09849688,cg09912228,cg10194884,cg10426838,cg10487714,cg11098795,cg11175241,cg11199798,cg11271052,cg11554295,cg11715991,cg11759930,cg11807649,cg11810303,cg11902347,cg11942358,cg11966720,cg12040931,cg12165656,cg12182708,cg12190341,cg12315900,cg12402318,cg12828656,cg12967579,cg12985905,cg12997777,cg13117318,cg13197551,cg13250178,cg13254847,cg13346427,cg13410614,cg13638867,cg13728275,cg13905385,cg14009632,cg14031473,cg14060758,cg14131038,cg14242936,cg14261336,cg14282386,cg14287557,cg14306688,cg14321269,cg14352263,cg14569513,cg14612966,cg14613901,cg14919455,cg14997111,cg15022400,cg15030712,cg15034807,cg15053869,cg15072057,cg15157945,cg15186355,cg15338098,cg15357334,cg15442959,cg15535138,cg15677434,cg15698538,cg15931859,cg16032884,cg16171189,cg16257804,cg16572910,cg16617564,cg16660617,cg16775629,cg16834953,cg16863862,cg16872030,cg16945415,cg16948651,cg17120616,cg17141163,cg17430986,cg17477733,cg17679548,cg17753773,cg17820448,cg17936236,cg17991808,cg17998403,cg18118893,cg18401534,cg18410271,cg18481322,cg18498503,cg18581916,cg18731680,cg18787963,cg18976159,cg19210893,cg19284277,cg19296671,cg19459094,cg19579160,cg19785826,cg19967449,cg19980260,cg20090759,cg20350272,cg20378408,cg20626587,cg20675152,cg20712856,cg20833901,cg20893838,cg20999663,cg21061310,cg21124310,cg21130221,cg21145387,cg21166775,cg21211039,cg21810778,cg21876760,cg21953058,cg22123711,cg22406869,cg22503106,cg22748479,cg22788906,cg22940815,cg22948672,cg23057699,cg23091723,cg23215701,cg23299484,cg23386939,cg23499392,cg23511239,cg23522962,cg23575688,cg23579490,cg23635560,cg23661721,cg23720822,cg23771052,cg24211388,cg24238409,cg24315421,cg24374476,cg24407546,cg24442367,cg24699150,cg24936095,cg25008015,cg25117333,cg25136646,cg25322146,cg25465557,cg25466522,cg25715278,cg25887955,cg26025224,cg26069291,cg26272008,cg26311703,cg26350671,cg26744554,cg26802802,cg26819611,cg26873486,cg26978762,cg26996616,cg27195131,cg27316598,cg27543741	NA	7.88e-66
18.496	6.76e-64	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00005461,cg00127788,cg00336912,cg00344572,cg00448525,cg00663686,cg00780501,cg00795535,cg00849335,cg00893849,cg01014987,cg01247459,cg01248878,cg01469583,cg01541570,cg01611175,cg01887834,cg02006119,cg02024241,cg02041484,cg02147126,cg02190078,cg02240622,cg02274033,cg02414559,cg02432022,cg02441833,cg02455383,cg02480174,cg02961280,cg03116466,cg03234093,cg03634089,cg03822873,cg03881379,cg04046364,cg04084348,cg04099543,cg04161328,cg04316096,cg04353863,cg04395593,cg04552418,cg04662947,cg04804748,cg04814136,cg04920032,cg04954249,cg05121010,cg05150185,cg05567377,cg05820066,cg05873271,cg05918326,cg05920921,cg06005163,cg06052655,cg06095753,cg06169291,cg06289919,cg06445384,cg06569561,cg06734380,cg06984345,cg07014573,cg07519863,cg07611887,cg07616376,cg07638500,cg07786412,cg07828833,cg07834490,cg07952576,cg08091497,cg08177041,cg08408668,cg08427005,cg08470588,cg08621659,cg08790890,cg08794018,cg08884974,cg09098714,cg09277749,cg09584899,cg09639771,cg09668022,cg09763039,cg09849688,cg09912228,cg10220104,cg10426838,cg10487714,cg11148876,cg11175241,cg11199798,cg11554295,cg11715991,cg11759930,cg11807649,cg11810303,cg11902347,cg11966720,cg12040931,cg12165656,cg12182708,cg12190341,cg12315900,cg12828656,cg12967579,cg12985905,cg12997777,cg13117318,cg13197551,cg13250178,cg13254847,cg13346427,cg13410614,cg13638867,cg13728275,cg13905385,cg14009632,cg14060758,cg14131038,cg14242936,cg14261336,cg14282386,cg14287557,cg14306688,cg14352263,cg14569513,cg14613901,cg14919455,cg14997111,cg15022400,cg15030712,cg15034807,cg15053869,cg15072057,cg15123849,cg15157945,cg15186355,cg15338098,cg15357334,cg15442959,cg15535138,cg15677434,cg15818306,cg15931859,cg16032884,cg16171189,cg16257804,cg16381477,cg16464329,cg16572910,cg16617564,cg16775629,cg16834953,cg16863862,cg16872030,cg16945415,cg16948651,cg17120616,cg17141163,cg17430986,cg17679548,cg17753773,cg17786894,cg17936236,cg18042586,cg18118893,cg18401534,cg18410271,cg18481322,cg18498503,cg18581916,cg18787963,cg18976159,cg19284277,cg19296671,cg19459094,cg19579160,cg19785826,cg19967449,cg19980260,cg20090759,cg20350272,cg20626587,cg20675152,cg20712856,cg20833901,cg20893838,cg20999663,cg21061310,cg21124310,cg21130221,cg21145387,cg21166775,cg21211039,cg21810778,cg21876760,cg21953058,cg22123711,cg22331200,cg22503106,cg22748479,cg22788906,cg22940815,cg23057699,cg23091723,cg23215701,cg23299484,cg23386939,cg23499392,cg23511239,cg23522962,cg23575688,cg23579490,cg23635560,cg23720822,cg23771052,cg24211388,cg24238409,cg24279017,cg24315421,cg24374476,cg24395217,cg24407546,cg24442367,cg24936095,cg25136646,cg25322146,cg25465557,cg25466522,cg25715278,cg25887955,cg26272008,cg26311703,cg26350671,cg26569937,cg26667462,cg26744554,cg26802802,cg26819611,cg26873486,cg26978762,cg27195131,cg27543741	NA	4.05e-62
15.197	1.26e-34	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00005461,cg00448525,cg00780501,cg00795535,cg00849335,cg00893849,cg01247459,cg01248878,cg01469583,cg01887834,cg02190078,cg02432022,cg02480174,cg03116466,cg03634089,cg03881379,cg04046364,cg04099543,cg04161328,cg04316096,cg04353863,cg04395593,cg04814136,cg04954249,cg05150185,cg05567377,cg05920921,cg06052655,cg06169291,cg06445384,cg06569561,cg07616376,cg07828833,cg07952576,cg08091497,cg08177041,cg08427005,cg08470588,cg09098714,cg11554295,cg11715991,cg11759930,cg11807649,cg11902347,cg12315900,cg12828656,cg12985905,cg12997777,cg13117318,cg13250178,cg13638867,cg13728275,cg14060758,cg14261336,cg14282386,cg14287557,cg14352263,cg14919455,cg15022400,cg15030712,cg15053869,cg15072057,cg15186355,cg15338098,cg15357334,cg15535138,cg15931859,cg16171189,cg16775629,cg16872030,cg17120616,cg17141163,cg17679548,cg18118893,cg18401534,cg18481322,cg18498503,cg18787963,cg19284277,cg19459094,cg19785826,cg19967449,cg19980260,cg20090759,cg20712856,cg20999663,cg21061310,cg21145387,cg21876760,cg22748479,cg23091723,cg23215701,cg23511239,cg23522962,cg23575688,cg23720822,cg23771052,cg24211388,cg24374476,cg24442367,cg24699150,cg25887955,cg26978762,cg27195131,cg27543741	NA	9.43e-34
16.543	8.53e-46	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00005461,cg00127788,cg00344572,cg00448525,cg00663686,cg00780501,cg00795535,cg00849335,cg00893849,cg01014987,cg01247459,cg01248878,cg01469583,cg01541570,cg01887834,cg02006119,cg02041484,cg02147126,cg02305757,cg02414559,cg02432022,cg02455383,cg02961280,cg03116466,cg03234093,cg03634089,cg03822873,cg04046364,cg04084348,cg04099543,cg04161328,cg04316096,cg04353863,cg04395593,cg04662947,cg04804748,cg04814136,cg04954249,cg05150185,cg05567377,cg05676915,cg05920921,cg06052655,cg06445384,cg06569561,cg06734380,cg07014573,cg07532960,cg07611887,cg07616376,cg07638500,cg07952576,cg08091497,cg08177041,cg08427005,cg08470588,cg08621659,cg08790890,cg08884974,cg09098714,cg09277749,cg09668022,cg09763039,cg09849688,cg09912228,cg10741887,cg11175241,cg11199798,cg11554295,cg11715991,cg11759930,cg11807649,cg11902347,cg12165656,cg12182708,cg12190341,cg12315900,cg12828656,cg12967579,cg12985905,cg12997777,cg13117318,cg13197551,cg13250178,cg13254847,cg13410614,cg13728275,cg13905385,cg14009632,cg14060758,cg14261336,cg14282386,cg14287557,cg14306688,cg14919455,cg15022400,cg15030712,cg15053869,cg15072057,cg15157945,cg15186355,cg15357334,cg15535138,cg15677434,cg15818306,cg15931859,cg16064932,cg16171189,cg16257804,cg16617564,cg16775629,cg16834953,cg16863862,cg16872030,cg16945415,cg16948651,cg17120616,cg17141163,cg17430986,cg17991808,cg18118893,cg18401534,cg18410271,cg18481322,cg18498503,cg18521725,cg18731680,cg18787963,cg19284277,cg19459094,cg19785826,cg19967449,cg19980260,cg20090759,cg20133890,cg20350272,cg20626587,cg20712856,cg20833901,cg20999663,cg21061310,cg21124310,cg21145387,cg21166775,cg21211039,cg21279677,cg21810778,cg21876760,cg22123711,cg22331200,cg22406869,cg22748479,cg22788906,cg22940815,cg23057699,cg23091723,cg23215701,cg23299484,cg23386939,cg23499392,cg23511239,cg23522962,cg23575688,cg23720822,cg23771052,cg24238409,cg24315421,cg24374476,cg24395217,cg24407546,cg24699150,cg24936095,cg25322146,cg25887955,cg26272008,cg26311703,cg26569937,cg26667462,cg26744554,cg26978762,cg26996616,cg27195131	NA	1.14e-44
