Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
5.852	3.69e-07	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00210249,cg00281776,cg00290355,cg01560871,cg01765077,cg02003183,cg02158978,cg02186444,cg02787737,cg03227037,cg03864128,cg03877174,cg04514392,cg05168580,cg05194346,cg05304393,cg05570258,cg05969150,cg05987787,cg06357748,cg06405563,cg07349663,cg07427642,cg07712198,cg07890553,cg08035323,cg08473752,cg08481002,cg08801479,cg09001527,cg09762021,cg09929238,cg10417386,cg11106264,cg11699257,cg11827925,cg11902728,cg11953794,cg13782301,cg14269109,cg15068180,cg15143938,cg16145216,cg16260126,cg16649298,cg17485141,cg19325791,cg19637821,cg19719391,cg19816930,cg20979737,cg22490254,cg22495037,cg22635096,cg24134897,cg25200151,cg25570328,cg25809905,cg26126879,cg26955383,cg27118035,cg27312979,cg27332104	NA	4.42e-05
-1.458	9.45e-01	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg01765077,cg02003183,cg03227037,cg03801691,cg03877174,cg03906843,cg05168580,cg07890553,cg08801479,cg11953794,cg19719391,cg20979737,cg25200151	NA	1.00e+00
-1.559	9.54e-01	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg01765077,cg02003183,cg03906843,cg05168580,cg08481002,cg14269109,cg14371731,cg19719391,cg20979737,cg26955383	NA	1.00e+00
-1.406	9.33e-01	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg01765077,cg03877174,cg03906843,cg05168580,cg07349663,cg07890553,cg08419422,cg08481002,cg08801479,cg09762021,cg11953794,cg14371731,cg19719391,cg20979737,cg26955383	NA	1.00e+00
0.711	2.80e-01	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg01435643,cg01765077,cg02003183,cg02610360,cg03227037,cg03801691,cg03877174,cg03906843,cg05168580,cg05570258,cg06635952,cg07028929,cg07349663,cg07890553,cg08035323,cg08481002,cg08801479,cg09560590,cg10722267,cg11106264,cg11953794,cg13641317,cg14269109,cg14371731,cg16145216,cg19327213,cg19719391,cg20979737,cg22490254,cg22539182,cg24134897,cg25200151,cg25421530,cg26804423,cg26955383	NA	1.00e+00
0.808	2.46e-01	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00210249,cg01765077,cg02003183,cg02610360,cg03227037,cg03877174,cg03906843,cg05168580,cg05570258,cg06635952,cg06648759,cg06724236,cg07349663,cg07890553,cg08481002,cg08801479,cg09109520,cg10722267,cg11953794,cg13039251,cg14269109,cg15688628,cg16145216,cg16260126,cg19327213,cg19719391,cg20979737,cg22490254,cg22635096,cg23236366,cg24134897,cg25197194,cg25200151,cg25421530,cg26955383	NA	1.00e+00
-0.035	5.51e-01	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00290355,cg01281718,cg01765077,cg03051880,cg03877174,cg06541968,cg07349663,cg07890553,cg08035323,cg08481002,cg11699257,cg11953794,cg12458003,cg16145216,cg16260126,cg20979737,cg22635096,cg27118035	NA	1.00e+00
-0.083	5.68e-01	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg01765077,cg02158978,cg03906843,cg07890553,cg08972170,cg09696535,cg09762021,cg11674448,cg12587087,cg13782301,cg14977938,cg15417641,cg21356710,cg22490254,cg25809905,cg26804423,cg27118035,cg27312979	NA	1.00e+00
1.660	6.52e-02	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00290355,cg01281718,cg01765077,cg02003183,cg03051880,cg03227037,cg03906843,cg04016660,cg05168580,cg05570258,cg06541968,cg07349663,cg08035323,cg08481002,cg08801479,cg09981914,cg10417386,cg11699257,cg11902728,cg11953794,cg12458003,cg12587087,cg13782301,cg13980609,cg14269109,cg14371731,cg15020801,cg16145216,cg16260126,cg19719391,cg20979737,cg22635096,cg24134897,cg25200151,cg26955383,cg27118035,cg27470978	NA	1.00e+00
-1.091	8.74e-01	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00290355,cg01281718,cg01765077,cg02686357,cg03051880,cg03906843,cg04016660,cg06541968,cg07349663,cg07890553,cg08035323,cg08481002,cg10417386,cg11699257,cg11953794,cg16260126,cg20979737,cg22490254,cg22635096,cg26955383,cg27118035	NA	1.00e+00
0.959	2.09e-01	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0011I43.DNase.hotspot_v3.20130415.bed.gz	cg00290355,cg01233571,cg01281718,cg01765077,cg02003183,cg02158978,cg03051880,cg03227037,cg03906843,cg04016660,cg06541968,cg07349663,cg07890553,cg08035323,cg08481002,cg08801479,cg09981914,cg10417386,cg11699257,cg11953794,cg13039251,cg13782301,cg14371731,cg15020801,cg16145216,cg16260126,cg19719391,cg20979737,cg22635096,cg26955383,cg27118035	NA	1.00e+00
1.027	1.91e-01	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C004084E.DNase.hotspot_v3.20130415.bed.gz	cg00281776,cg01281718,cg01765077,cg02003183,cg03051880,cg03227037,cg03906843,cg04016660,cg05570258,cg06541968,cg07890553,cg08035323,cg08801479,cg10417386,cg11699257,cg11953794,cg13039251,cg16260126,cg19719391,cg20979737,cg22490254,cg26804423,cg26955383,cg27118035	NA	1.00e+00
0.930	2.06e-01	inflammatory_macrophage	Venous Blood	DHS	S001MJ4A.DNase.hotspot_v3.20130819.bed.gz	cg01281718,cg01765077,cg03051880,cg03227037,cg03732020,cg03864128,cg03877174,cg04016660,cg04514392,cg04815334,cg05168580,cg05279866,cg05529343,cg06357748,cg06541968,cg06635952,cg07349663,cg08035323,cg08481002,cg08801479,cg08947774,cg09929238,cg10417386,cg10696445,cg11953794,cg12229367,cg12587087,cg13039251,cg13782301,cg13980609,cg15020801,cg15688628,cg16260126,cg16379999,cg19719391,cg19816930,cg20751345,cg20979737,cg22539182,cg22635096,cg24665265,cg25570328,cg25809905,cg26804423,cg26955383,cg27118035,cg27332104,cg27470978	NA	1.00e+00
1.148	1.56e-01	inflammatory_macrophage	Venous Blood	DHS	S001MJ48.DNase.hotspot_v3.20130819.bed.gz	cg00290355,cg01281718,cg01765077,cg03051880,cg03732020,cg03864128,cg03877174,cg04815334,cg05168580,cg05279866,cg05529343,cg05987787,cg06541968,cg06635952,cg07349663,cg07890553,cg08035323,cg08481002,cg08801479,cg08947774,cg09929238,cg10417386,cg11699257,cg11953794,cg12229367,cg12290779,cg13039251,cg13782301,cg13980609,cg15020801,cg16095551,cg16260126,cg16379999,cg19719391,cg19816930,cg20979737,cg22490254,cg22635096,cg24665265,cg25570328,cg26804423,cg26955383,cg27118035,cg27332104,cg27470978	NA	1.00e+00
