Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
4.885	1.78e-04	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg00052684,cg02405193,cg02869300,cg03915055,cg13060970,cg13077031,cg13121392,cg13513622,cg18128887,cg21195450,cg22104744	E029	1.47e-02
2.934	1.40e-02	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg01994208,cg03915055,cg07375358,cg13060970,cg13077031,cg13121392,cg13513622,cg16729631,cg18128887	E032	1.79e-01
3.381	5.08e-03	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg00052684,cg03915055,cg07375358,cg13060970,cg13077031,cg13121392,cg13513622,cg18128887,cg25345365	E033	1.60e-01
3.045	9.87e-03	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg00052684,cg03915055,cg07375358,cg13060970,cg13121392,cg13513622,cg18128887,cg20100745,cg22104744	E034	1.60e-01
3.294	6.05e-03	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg00052684,cg03915055,cg07375358,cg13060970,cg13077031,cg13121392,cg13513622,cg18128887,cg22104744	E046	1.60e-01
2.608	2.06e-02	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg00052684,cg01994208,cg02405193,cg03915055,cg13060970,cg13077031,cg13121392,cg18128887,cg25345365	E050	2.39e-01
1.984	6.78e-02	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg00052684,cg01994208,cg02405193,cg13060970,cg13077031,cg13121392,cg18128887	E051	5.11e-01
1.791	7.56e-02	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg00052684,cg02869300,cg13513622,cg20100745,cg20799095,cg20932630,cg22104744,cg23189692	E028	5.45e-01
0.011	5.76e-01	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg06769150,cg12230203,cg13077031,cg13513622,cg18128887	E003	1.00e+00
0.854	2.81e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg06769150,cg12230203,cg13077031,cg13513622,cg20071505,cg20100745,cg23189692	E004	1.00e+00
0.402	4.08e-01	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	DHS	E005-DNase.hotspot.fdr0.01.broad.bed.gz	cg06769150,cg12230203,cg23189692,cg25345365	E005	1.00e+00
1.703	8.81e-02	E006 H1 Derived Mesenchymal Stem Cells	ES Cell	DHS	E006-DNase.hotspot.fdr0.01.broad.bed.gz	cg00052684,cg06769150,cg13077031,cg13513622,cg20100745,cg22104744,cg23189692,cg25345365	E006	5.85e-01
0.259	4.86e-01	E007 H1 Derived Neuronal Progenitor Cultured Cells	ES Cell	DHS	E007-DNase.hotspot.fdr0.01.broad.bed.gz	cg00052684,cg06769150,cg13513622,cg17478979,cg22104744	E007	1.00e+00
0.868	2.85e-01	E008 H9 Cells	ES Cell	DHS	E008-DNase.hotspot.fdr0.01.broad.bed.gz	cg06769150,cg12230203,cg13077031,cg13513622,cg18128887,cg20100745,cg20932630	E008	1.00e+00
2.584	2.16e-02	E085 Fetal Intestine Small	Feta Intestine Small	DHS	E085-DNase.hotspot.fdr0.01.broad.bed.gz	cg00052684,cg01994208,cg02869300,cg06769150,cg13513622,cg17478979,cg20100745,cg21195450,cg25345365	E085	2.39e-01
