Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-4.640	1.00e+00	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg00237876,cg02438545,cg02801114,cg03143849,cg04911680,cg06339657,cg06362985,cg06669752,cg09276451,cg09496748,cg10045354,cg10301695,cg10623219,cg10965178,cg12260435,cg13425938,cg14992524,cg15059065,cg15128226,cg15892280,cg16047471,cg16723994,cg18280057,cg20988565,cg27043786	E063	1.00e+00
13.639	8.25e-29	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00016968,cg00143376,cg00232105,cg00236576,cg00288957,cg00374747,cg00395063,cg00426822,cg00549412,cg00605777,cg00636737,cg00776080,cg00808969,cg00850538,cg00933182,cg01028796,cg01185080,cg01201215,cg01233392,cg01264729,cg01397521,cg01490733,cg01620611,cg01687189,cg01753375,cg01792532,cg01801603,cg01803759,cg01885635,cg01888389,cg01950129,cg01966117,cg02000253,cg02029665,cg02085953,cg02194684,cg02258201,cg02301528,cg02361903,cg02379533,cg02540736,cg02544002,cg02727079,cg02727423,cg02743070,cg02836478,cg02886591,cg02903680,cg02923856,cg02960948,cg03031932,cg03172991,cg03184011,cg03224418,cg03289906,cg03329019,cg03484180,cg03572680,cg03602233,cg03613618,cg03640258,cg03646605,cg03729092,cg03772384,cg03849731,cg03857553,cg03890167,cg03995615,cg04051152,cg04070601,cg04081402,cg04359840,cg04389164,cg04427490,cg04492228,cg04500377,cg04608933,cg04622454,cg04724477,cg04800503,cg04834097,cg04890480,cg04942251,cg05131526,cg05168015,cg05373251,cg05380003,cg05454635,cg05632420,cg05669853,cg05875982,cg05957504,cg06002638,cg06170683,cg06376426,cg06549479,cg06685111,cg06708720,cg06825512,cg06885782,cg06998765,cg07057831,cg07131742,cg07262247,cg07349815,cg07471614,cg07615364,cg07705835,cg07922154,cg07954706,cg08005460,cg08075452,cg08268017,cg08270630,cg08311343,cg08657654,cg08820801,cg08926287,cg08973950,cg09027133,cg09325164,cg09391066,cg09411874,cg09423312,cg09648727,cg09725874,cg09735851,cg09737078,cg09747445,cg09888330,cg09906145,cg10375267,cg10381440,cg10603592,cg10717869,cg10788371,cg11064966,cg11065015,cg11300777,cg11316386,cg11367633,cg11386711,cg11942936,cg11980800,cg11997223,cg12186702,cg12406027,cg12408494,cg12863565,cg12873476,cg12927277,cg13097993,cg13269555,cg13279476,cg13443911,cg13494428,cg13660719,cg13672514,cg13987674,cg13989852,cg14037218,cg14076390,cg14085840,cg14321284,cg14322224,cg14468090,cg14507146,cg14526039,cg14571710,cg14749417,cg14789645,cg14794655,cg15037004,cg15056348,cg15121420,cg15187398,cg15283950,cg15329642,cg15440512,cg15697019,cg15726169,cg15730857,cg15763258,cg15826479,cg15901783,cg16014085,cg16116203,cg16355231,cg16393207,cg16541026,cg16624069,cg16630369,cg17094065,cg17228560,cg17327331,cg17508639,cg17611742,cg17695841,cg17775079,cg17952719,cg18018313,cg18204200,cg18389639,cg18568061,cg18915128,cg19216211,cg19233663,cg19251242,cg19258882,cg19266329,cg19351603,cg19414967,cg19494100,cg19510472,cg19510626,cg19695041,cg19699090,cg19719475,cg19873536,cg20010135,cg20012601,cg20100049,cg20131596,cg20237610,cg20276630,cg20460554,cg20495365,cg20686828,cg20722590,cg20801110,cg20822990,cg20830848,cg20925954,cg20964856,cg21120249,cg21231302,cg21517792,cg21715751,cg22079043,cg22234419,cg22377963,cg22900075,cg23242489,cg23581183,cg23651356,cg23718736,cg23896514,cg23933044,cg24075175,cg24099956,cg24146100,cg24195878,cg24400630,cg24694246,cg24711336,cg24736412,cg24765394,cg24848615,cg25149218,cg25268718,cg25424279,cg25481160,cg25694915,cg25909064,cg26153045,cg26161024,cg26551026,cg26553501,cg26580095,cg26753608,cg26781524,cg27034466,cg27178677,cg27344791,cg27526649,cg27565899	E063	1.12e-26
2.468	4.12e-02	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg10589813,cg11998307,cg17457912,cg19211880,cg24146125,cg24229188,cg26002437	E063	1.00e+00
-6.616	1.00e+00	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg02597894,cg02870946,cg03430597,cg04486013,cg06530443,cg08643824,cg10064322,cg10681525,cg13961400,cg15441416,cg16572910,cg17652998,cg19727396,cg19998073,cg22455720,cg23722790,cg23928512	E063	1.00e+00
-2.821	1.00e+00	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00214171,cg00263619,cg00646731,cg00821310,cg00911776,cg01108112,cg01782486,cg02355304,cg02950701,cg03403093,cg04982488,cg05428706,cg05708512,cg05720226,cg05773108,cg05997793,cg06171971,cg06376402,cg06477069,cg06595162,cg06974428,cg07178877,cg07535740,cg08234504,cg09354263,cg09728487,cg09768617,cg10338112,cg10577534,cg10921702,cg11217654,cg11409350,cg11697038,cg12604858,cg13223043,cg13686739,cg14232218,cg14522767,cg14983777,cg16027267,cg16116321,cg16634404,cg16639915,cg17004733,cg17041511,cg17415650,cg18914962,cg19368031,cg19903805,cg20558112,cg21236182,cg21279874,cg21369812,cg21922810,cg22158648,cg22161562,cg22454686,cg22950598,cg23009067,cg23829395,cg23998749,cg24110540,cg24466377,cg25113462,cg26403608,cg27589594,cg27615095	E063	1.00e+00
0.184	5.68e-01	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg00988037,cg03259212,cg04726374,cg06829788,cg09581649,cg09612099,cg09639152,cg10513302,cg12688542,cg13054640,cg16725944,cg18419175,cg19126615,cg20372666	E063	1.00e+00
18.824	3.70e-52	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00040575,cg00081324,cg00108715,cg00116430,cg00124095,cg00127150,cg00241281,cg00245454,cg00246969,cg00285294,cg00328729,cg00533891,cg00537837,cg00628382,cg00632560,cg00736984,cg00827893,cg00944421,cg01076459,cg01079060,cg01368217,cg01408363,cg01521274,cg01659184,cg01744331,cg01807748,cg01942816,cg01970716,cg02046668,cg02097604,cg02121447,cg02149965,cg02311364,cg02341556,cg02453726,cg02724490,cg02946885,cg03010887,cg03126058,cg03178042,cg03281572,cg03359540,cg03561416,cg03653817,cg03661409,cg03693099,cg03785076,cg03845837,cg03851401,cg03857453,cg03985415,cg04064963,cg04550950,cg04774505,cg04833379,cg04862321,cg05000772,cg05147578,cg05242915,cg05381795,cg05485853,cg05496768,cg05611648,cg05676562,cg05713486,cg05727149,cg05886321,cg05898524,cg06242243,cg06458086,cg06688763,cg06855485,cg06891775,cg07052063,cg07064364,cg07082267,cg07218081,cg07233933,cg07253125,cg07285481,cg07342322,cg07380540,cg07556261,cg07631435,cg07727170,cg07810884,cg07828377,cg08190844,cg08343644,cg08726667,cg08849294,cg09022230,cg09321403,cg09565226,cg09749364,cg09814231,cg10001186,cg10198479,cg10383568,cg10397819,cg10512089,cg10529555,cg10646145,cg10777461,cg10870160,cg10922280,cg11255208,cg11466832,cg11630939,cg11961495,cg12252865,cg12258344,cg12371924,cg12400041,cg12403162,cg12441066,cg12577411,cg12581691,cg12727256,cg13095737,cg13370427,cg13499923,cg13544075,cg13551754,cg13691108,cg13705284,cg13708910,cg13847322,cg13850871,cg13978175,cg13982037,cg13984060,cg14099685,cg14270346,cg14286292,cg14383815,cg14438325,cg14481315,cg14545975,cg14579118,cg14699112,cg14818621,cg14966782,cg14979593,cg14986357,cg15007228,cg15200445,cg15728320,cg15871086,cg15961693,cg16335858,cg16659510,cg16664617,cg16679302,cg16736964,cg16746355,cg16861241,cg17207266,cg17330252,cg17344906,cg17852932,cg18064256,cg18085636,cg18096388,cg18129282,cg18133072,cg18219160,cg18222590,cg18560092,cg18699466,cg18725681,cg18828619,cg18877271,cg19137417,cg19408882,cg19442470,cg19514721,cg19523667,cg19529621,cg19852660,cg19908207,cg20176142,cg20296990,cg20494738,cg20515423,cg20638525,cg20663495,cg20731257,cg20782724,cg20976787,cg21160357,cg21227253,cg21393124,cg21545013,cg21552014,cg21674927,cg21680729,cg21829328,cg21853707,cg21927426,cg22496986,cg22825202,cg22861286,cg22925751,cg22999864,cg23053961,cg23058673,cg23133355,cg23233742,cg23360111,cg23534245,cg23537932,cg23551720,cg23693485,cg23900712,cg24127061,cg24137216,cg24150385,cg24217948,cg24351658,cg24586978,cg24650940,cg24665265,cg25109663,cg25157472,cg25491122,cg25609878,cg25930644,cg25966016,cg25994988,cg26090940,cg26204079,cg26361535,cg26468891,cg26927807	E063	2.60e-49
-1.999	1.00e+00	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed		E063	1.00e+00
-2.875	1.00e+00	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed		E063	1.00e+00
-0.855	8.92e-01	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg04463638,cg05251190,cg13348944	E063	1.00e+00
