Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-2.309	9.94e-01	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	cg00035398,cg00093095,cg00333255,cg00413089,cg00421848,cg00580965,cg00599530,cg00628697,cg00632657,cg00935887,cg00963378,cg01207473,cg01254719,cg01807241,cg01971227,cg02407415,cg02548777,cg03137131,cg03292213,cg03591606,cg04388244,cg05719902,cg05860956,cg06100807,cg06102954,cg06313676,cg06346838,cg06423211,cg06424894,cg06433816,cg06549530,cg06671706,cg06955417,cg07430760,cg07655627,cg07673020,cg07838106,cg07889505,cg07903023,cg08438366,cg08985785,cg09045262,cg09636214,cg09652312,cg09666230,cg10317314,cg10965131,cg11225357,cg11359720,cg11846236,cg12390516,cg12467933,cg12844324,cg13139630,cg13170051,cg13557773,cg13578160,cg14091258,cg14329783,cg14530444,cg14818248,cg15105011,cg15236528,cg15864601,cg15977137,cg18605031,cg18912209,cg20954971,cg20994022,cg21104965,cg21864304,cg21891967,cg22194188,cg23928763,cg24577933,cg25690958,cg25787956,cg25924274,cg27132152	E029	1.00e+00
-2.076	9.89e-01	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	cg00035398,cg00093095,cg00219169,cg00232387,cg00333255,cg00413089,cg00580965,cg00599530,cg00628697,cg00632657,cg00716277,cg00841760,cg00935887,cg00963378,cg01207473,cg01254719,cg01257975,cg01677628,cg01807241,cg01813335,cg01815292,cg01971227,cg01993818,cg02407415,cg02750792,cg03137131,cg03292213,cg03556669,cg03591606,cg03731646,cg04388244,cg04391540,cg05365033,cg06100807,cg06102954,cg06168204,cg06313676,cg06346838,cg06424894,cg06433816,cg06468072,cg06549530,cg06671706,cg06955417,cg07291889,cg07430760,cg07655627,cg07673020,cg07780517,cg07838106,cg07889505,cg07903023,cg08438366,cg08985785,cg09009380,cg09636214,cg09652312,cg09666230,cg10317314,cg10965131,cg11174855,cg11225357,cg11846236,cg12390516,cg12467933,cg12844324,cg13139630,cg13170051,cg13388277,cg13557773,cg13578160,cg14091258,cg14453935,cg14818248,cg15105011,cg15236528,cg15864601,cg15977137,cg16842187,cg18605031,cg18912209,cg18956825,cg19445322,cg20954971,cg20994022,cg21104965,cg21519781,cg21891967,cg22034735,cg22194188,cg23928763,cg24577933,cg25298319,cg25690958,cg25722727,cg25787956,cg25924274,cg26730619,cg27038439,cg27132152,cg27636330	E032	1.00e+00
-2.981	9.99e-01	E033 Primary T cells from cord blood	Blood	H3K4me1	E033-H3K4me1.broadPeak.gz	cg00035398,cg00224807,cg00413089,cg00580965,cg00599530,cg00628697,cg00716277,cg01191259,cg01207473,cg01254719,cg01257975,cg01807241,cg01813335,cg03292213,cg03591606,cg05719902,cg06102954,cg06313676,cg06424894,cg06549530,cg06955417,cg07430760,cg07655627,cg07838106,cg08985785,cg09009380,cg09636214,cg09652312,cg09666230,cg10317314,cg10965131,cg11225357,cg12390516,cg12467933,cg13139630,cg13557773,cg14091258,cg14329783,cg15977137,cg18605031,cg18912209,cg20994022,cg21104965,cg21891967,cg22194188,cg25298319,cg25690958,cg25924274,cg27132152	E033	1.00e+00
0.326	3.95e-01	E034 Primary T cells from peripheral blood	Blood	H3K4me1	E034-H3K4me1.broadPeak.gz	cg00035398,cg00058009,cg00093095,cg00093478,cg00202454,cg00219169,cg00224807,cg00232387,cg00243480,cg00292513,cg00333255,cg00413089,cg00421848,cg00500507,cg00528572,cg00580965,cg00599530,cg00628697,cg00632657,cg00716277,cg00741945,cg00814780,cg00935887,cg00963378,cg01191259,cg01207473,cg01231921,cg01254719,cg01257975,cg01492330,cg01572810,cg01807241,cg01807735,cg01813335,cg01815292,cg01929855,cg01971227,cg02192974,cg02287371,cg02287693,cg02393606,cg02407415,cg02548777,cg02750792,cg02797871,cg03137131,cg03292213,cg03379552,cg03556669,cg03591606,cg03731646,cg04111992,cg04143909,cg04388244,cg04391540,cg04635635,cg05082376,cg05312293,cg05365033,cg05375686,cg05719902,cg05772104,cg05860956,cg06100807,cg06102954,cg06168204,cg06313676,cg06346838,cg06423211,cg06424894,cg06433816,cg06468072,cg06549530,cg06671706,cg06955417,cg07291889,cg07430760,cg07655627,cg07673020,cg07780517,cg07838106,cg07889505,cg07903023,cg08438366,cg08962038,cg08985785,cg09009380,cg09045262,cg09636214,cg09652312,cg09666230,cg10030504,cg10317314,cg10965131,cg11174855,cg11225357,cg11359720,cg11840197,cg11846236,cg12390516,cg12467933,cg12844324,cg13139630,cg13170051,cg13228701,cg13337615,cg13557773,cg13578160,cg13792147,cg14091258,cg14209399,cg14329783,cg14466863,cg14530444,cg14544666,cg14818248,cg14977608,cg15105011,cg15152912,cg15231205,cg15236528,cg15489799,cg15864601,cg15977137,cg16050468,cg16115627,cg16842187,cg18605031,cg18912209,cg18956825,cg19445322,cg20954971,cg20994022,cg21104965,cg21519781,cg21864304,cg21891967,cg22034735,cg22194188,cg22381068,cg23928763,cg24577933,cg25298319,cg25426208,cg25604594,cg25722727,cg25787956,cg25924274,cg26730619,cg27038439,cg27132152,cg27636330	E034	1.00e+00
-0.667	7.94e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K4me1	E046-H3K4me1.broadPeak.gz	cg00035398,cg00093095,cg00219169,cg00243480,cg00292513,cg00333255,cg00413089,cg00421848,cg00580965,cg00599530,cg00628697,cg00632657,cg00716277,cg00741945,cg00935887,cg01191259,cg01207473,cg01231921,cg01254719,cg01257975,cg01492330,cg01677628,cg01807241,cg01815292,cg01971227,cg01993818,cg02034311,cg02287371,cg02393606,cg02407415,cg02548777,cg02750792,cg03137131,cg03292213,cg03556669,cg03591606,cg03731646,cg04111992,cg04143909,cg04388244,cg04391540,cg05266226,cg05365033,cg05719902,cg05772104,cg05860956,cg06100807,cg06102954,cg06168204,cg06313676,cg06346838,cg06423211,cg06424894,cg06433816,cg06468072,cg06549530,cg06671706,cg06955417,cg07291889,cg07430760,cg07655627,cg07673020,cg07780517,cg07838106,cg07889505,cg07903023,cg08438366,cg08985785,cg09009380,cg09045262,cg09636214,cg09652312,cg09666230,cg10038185,cg10053622,cg10317314,cg10965131,cg11174855,cg11225357,cg11840197,cg11846236,cg12390516,cg12467933,cg12844324,cg13139630,cg13170051,cg13337615,cg13388277,cg13557773,cg13578160,cg14003931,cg14091258,cg14320530,cg14329783,cg14466863,cg14818248,cg15105011,cg15231205,cg15236528,cg15864601,cg15977137,cg16115627,cg16589260,cg16842187,cg17529386,cg18605031,cg18912209,cg19445322,cg20954971,cg20994022,cg21104965,cg21891967,cg22034735,cg22194188,cg23928763,cg24577933,cg25293896,cg25426208,cg25690958,cg25722727,cg25924274,cg27038439,cg27132152,cg27636330	E046	1.00e+00
1.175	1.17e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me1	E050-H3K4me1.broadPeak.gz	cg00035398,cg00058009,cg00093095,cg00202454,cg00219169,cg00224807,cg00243480,cg00292513,cg00333255,cg00413089,cg00421848,cg00580965,cg00599530,cg00628697,cg00632657,cg00716277,cg00741945,cg00814780,cg00841760,cg00935887,cg00963378,cg01191259,cg01207473,cg01231921,cg01254719,cg01257975,cg01492330,cg01572810,cg01807241,cg01813335,cg01815292,cg01971227,cg01993818,cg02034311,cg02170386,cg02287371,cg02287693,cg02407415,cg02548777,cg02750792,cg03137131,cg03292213,cg03556669,cg03591606,cg03731646,cg04111992,cg04143909,cg04182912,cg04388244,cg04391540,cg04635635,cg05365033,cg05719902,cg05860956,cg06100807,cg06102954,cg06168204,cg06313676,cg06346838,cg06357843,cg06423211,cg06424894,cg06433816,cg06549530,cg06671706,cg06955417,cg07291889,cg07430760,cg07655627,cg07673020,cg07780517,cg07838106,cg07889505,cg07903023,cg07953201,cg08438366,cg08962038,cg08985785,cg09009380,cg09045262,cg09636214,cg09652312,cg09666230,cg10038185,cg10053622,cg10317314,cg10735475,cg10965131,cg11174855,cg11225357,cg11359720,cg11840197,cg11846236,cg12390516,cg12467933,cg12844324,cg13139630,cg13170051,cg13557773,cg13578160,cg14003931,cg14091258,cg14320530,cg14329783,cg14364186,cg14453935,cg14544666,cg14818248,cg14977608,cg15105011,cg15231205,cg15236528,cg15489799,cg15747825,cg15864601,cg15977137,cg16065768,cg16793370,cg16842187,cg17529386,cg18605031,cg18912209,cg18956825,cg19445322,cg20954971,cg20994022,cg21104965,cg21519781,cg21864304,cg21891967,cg22034735,cg22194188,cg22381068,cg22629528,cg23928763,cg24577933,cg25293896,cg25298319,cg25426208,cg25604594,cg25690958,cg25787956,cg25924274,cg25970575,cg27038439,cg27132152,cg27636330	E050	8.58e-01
0.561	3.02e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me1	E051-H3K4me1.broadPeak.gz	cg00035398,cg00058009,cg00093095,cg00224807,cg00243480,cg00292513,cg00333255,cg00413089,cg00421848,cg00580965,cg00599530,cg00628697,cg00632657,cg00716277,cg00741945,cg00841760,cg00935887,cg00963378,cg01191259,cg01207473,cg01231921,cg01254719,cg01257975,cg01492330,cg01572810,cg01807241,cg01807735,cg01813335,cg01815292,cg01971227,cg01993818,cg02034311,cg02170386,cg02287693,cg02407415,cg02548777,cg02750792,cg03137131,cg03292213,cg03379552,cg03556669,cg03591606,cg03731646,cg04111992,cg04143909,cg04182912,cg04388244,cg04635635,cg05365033,cg05719902,cg05860956,cg06100807,cg06102954,cg06313676,cg06346838,cg06357843,cg06424894,cg06549530,cg06671706,cg06955417,cg07430760,cg07655627,cg07673020,cg07780517,cg07838106,cg07889505,cg07903023,cg07953201,cg08438366,cg08962038,cg08985785,cg09009380,cg09045262,cg09636214,cg09652312,cg09666230,cg10038185,cg10053622,cg10317314,cg10965131,cg11174855,cg11225357,cg11840197,cg11846236,cg12390516,cg12467933,cg13139630,cg13170051,cg13228701,cg13557773,cg13578160,cg14091258,cg14320530,cg14329783,cg14453935,cg14530444,cg14544666,cg14818248,cg14977608,cg15105011,cg15231205,cg15236528,cg15489799,cg15864601,cg15977137,cg16065768,cg16793370,cg16842187,cg18605031,cg18912209,cg19445322,cg20954971,cg20994022,cg21104965,cg21519781,cg21891967,cg22034735,cg22194188,cg24577933,cg25293896,cg25298319,cg25426208,cg25604594,cg25690958,cg25787956,cg25924274,cg25970575,cg27038439,cg27132152,cg27636330	E051	1.00e+00
-0.763	8.23e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K4me1	E028-H3K4me1.broadPeak.gz	cg00035398,cg00058009,cg00202454,cg00224807,cg00292513,cg00333255,cg00413089,cg00421848,cg00500507,cg00528572,cg00580965,cg00628697,cg00935887,cg01231921,cg01254719,cg01257975,cg01492330,cg01807241,cg01813335,cg01815292,cg01891259,cg01971227,cg02613370,cg03137131,cg03292213,cg03556669,cg03591606,cg03731646,cg04182912,cg04388244,cg04600077,cg05719902,cg05860956,cg06100807,cg06102954,cg06168204,cg06313676,cg06346838,cg06357843,cg06423211,cg06424894,cg06549530,cg07430760,cg07635017,cg07655627,cg07673020,cg07780517,cg07838106,cg07889505,cg08438366,cg08962038,cg08985785,cg09243445,cg09413529,cg09636214,cg09652312,cg09666230,cg10053622,cg10317314,cg11174855,cg11225357,cg11359720,cg11840197,cg11846236,cg12390516,cg12467933,cg13139630,cg13170051,cg13578160,cg14209399,cg14329783,cg14818248,cg14977608,cg15236528,cg15489799,cg15747825,cg15977137,cg16050468,cg16065768,cg17529386,cg18605031,cg18912209,cg20994022,cg21104965,cg21519781,cg21767657,cg21891967,cg22194188,cg22381068,cg24577933,cg25293896,cg25298319,cg25426208,cg25924274,cg27132152	E028	1.00e+00
6.020	2.24e-10	E003 H1 Cells	ES Cell	H3K4me1	E003-H3K4me1.broadPeak.gz	cg00093095,cg00093478,cg00202454,cg00219169,cg00224807,cg00232387,cg00292513,cg00500507,cg00528572,cg00580965,cg00599530,cg00628697,cg00669347,cg00741945,cg00841760,cg00935887,cg01191259,cg01200150,cg01207473,cg01254719,cg01257975,cg01267532,cg01344644,cg01492330,cg01677628,cg01807241,cg01807735,cg01813335,cg01815292,cg01891259,cg01929855,cg01971227,cg01993818,cg02034311,cg02192974,cg02287693,cg02347212,cg02393606,cg02750792,cg02797871,cg03440414,cg03556669,cg03591606,cg04111992,cg04143909,cg04175111,cg04182912,cg04388244,cg04391540,cg04500879,cg04600077,cg04635635,cg04711063,cg05082376,cg05266226,cg05312293,cg05365033,cg05375686,cg05502376,cg05594286,cg05719902,cg05860956,cg06100807,cg06102954,cg06313676,cg06346838,cg06357843,cg06423211,cg06424894,cg06468072,cg06495631,cg06549530,cg06671706,cg06955417,cg07291889,cg07430760,cg07635017,cg07655627,cg07673020,cg07838106,cg07889505,cg07903023,cg07953201,cg08438366,cg08962038,cg08985785,cg09009380,cg09413529,cg09636214,cg09652312,cg09666230,cg10030504,cg10038185,cg10317314,cg10701252,cg10735475,cg10816626,cg10965131,cg11174855,cg11225357,cg11359720,cg11840197,cg11846236,cg12390516,cg13139630,cg13170051,cg13337615,cg13557773,cg14320530,cg14329783,cg14364186,cg14453935,cg14530444,cg14544666,cg14807682,cg14977608,cg15105011,cg15152912,cg15231205,cg15236528,cg15489799,cg15657936,cg15747825,cg16065768,cg16115627,cg16346321,cg16589260,cg17597901,cg18605031,cg18912209,cg19369780,cg19445322,cg20954971,cg20994022,cg21104965,cg21519781,cg21864304,cg21891967,cg22034735,cg22381068,cg22629528,cg24029819,cg24577933,cg25293896,cg25298319,cg25690958,cg25787956,cg25924274,cg25970575,cg26046072,cg27038439,cg27132152,cg27636330	E003	3.71e-08
-0.816	8.15e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K4me1	E004-H3K4me1.broadPeak.gz	cg00669347,cg01807735,cg01815292,cg02034311,cg02347212,cg03379552,cg04111992,cg04175111,cg04635635,cg06313676,cg06468072,cg06495631,cg07291889,cg07430760,cg08962038,cg09413529,cg09652312,cg10317314,cg13170051,cg14364186,cg15231205,cg15747825,cg15977137,cg16115627,cg16589260,cg18605031,cg22194188,cg22629528,cg25293896,cg26730619,cg27038439	E004	1.00e+00
