Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
2.566	1.61e-02	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg06459916,cg07147063,cg08130668,cg10038542,cg10835423,cg11078433,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg23065793,cg23808931,cg24737639,cg25585364,cg25861327,cg26687565	E029	2.11e-01
2.175	3.71e-02	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg06459916,cg07147063,cg08130668,cg10038542,cg10835423,cg11078433,cg11149743,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg23065793,cg23808931,cg23890800,cg24737639,cg25585364,cg25861327,cg26687565	E032	2.46e-01
2.836	8.46e-03	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg06459916,cg07147063,cg08130668,cg10038542,cg10835423,cg11078433,cg11149743,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg23065793,cg23808931,cg23890800,cg24737639,cg25585364,cg25861327,cg26687565	E033	1.56e-01
2.308	2.71e-02	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg06459916,cg07147063,cg08130668,cg10038542,cg10835423,cg11078433,cg11149743,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg23065793,cg23808931,cg23890800,cg24737639,cg25585364,cg25861327,cg26687565	E034	2.37e-01
2.705	1.08e-02	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg06459916,cg07147063,cg08130668,cg10038542,cg10835423,cg11078433,cg11149743,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg23065793,cg23808931,cg23890800,cg24737639,cg25585364,cg25861327,cg26687565	E046	1.79e-01
1.674	1.07e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg06459916,cg07147063,cg08130668,cg10038542,cg10835423,cg11078433,cg11149743,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg23065793,cg23808931,cg23890800,cg24737639,cg25585364,cg25861327,cg26687565	E050	5.39e-01
2.169	4.41e-02	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg06459916,cg07147063,cg08130668,cg10038542,cg10835423,cg11078433,cg11149743,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg23065793,cg23808931,cg23890800,cg24737639,cg25585364,cg25861327,cg26687565	E051	2.82e-01
2.103	4.90e-02	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg06459916,cg07147063,cg08130668,cg10038542,cg10835423,cg11078433,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg22830707,cg23065793,cg23808931,cg24737639,cg25585364,cg25861327,cg26687565	E028	2.90e-01
2.184	3.71e-02	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg05064665,cg06459916,cg07147063,cg08130668,cg09062638,cg10038542,cg10835423,cg11078433,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg22548088,cg22830707,cg23065793,cg23808931,cg23890800,cg24737639,cg25585364,cg25861327,cg26687565	E003	2.46e-01
1.116	2.31e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg06459916,cg07147063,cg08130668,cg10038542,cg10835423,cg11078433,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg22830707,cg23065793,cg23808931,cg24737639,cg25585364,cg25861327,cg26687565	E004	1.00e+00
2.454	2.41e-02	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	DHS	E005-DNase.hotspot.fdr0.01.broad.bed.gz	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg07147063,cg08130668,cg10038542,cg10835423,cg11078433,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg23065793,cg23808931,cg24737639,cg25585364,cg25861327,cg26687565	E005	2.35e-01
2.229	3.42e-02	E006 H1 Derived Mesenchymal Stem Cells	ES Cell	DHS	E006-DNase.hotspot.fdr0.01.broad.bed.gz	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg06459916,cg07147063,cg08130668,cg10038542,cg10835423,cg11078433,cg11149743,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg22548088,cg23065793,cg23808931,cg24737639,cg25585364,cg25861327,cg26687565	E006	2.46e-01
1.639	1.29e-01	E007 H1 Derived Neuronal Progenitor Cultured Cells	ES Cell	DHS	E007-DNase.hotspot.fdr0.01.broad.bed.gz	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg05064665,cg06459916,cg07147063,cg08130668,cg09062638,cg10038542,cg10835423,cg11078433,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg23065793,cg23808931,cg23890800,cg24737639,cg24776326,cg25585364,cg25861327,cg26687565	E007	6.12e-01
1.250	1.94e-01	E008 H9 Cells	ES Cell	DHS	E008-DNase.hotspot.fdr0.01.broad.bed.gz	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg06459916,cg07147063,cg08130668,cg10038542,cg10835423,cg11078433,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg22548088,cg22830707,cg23065793,cg23808931,cg23890800,cg24737639,cg25585364,cg25861327,cg26687565	E008	8.70e-01
2.472	2.19e-02	E085 Fetal Intestine Small	Feta Intestine Small	DHS	E085-DNase.hotspot.fdr0.01.broad.bed.gz	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg06459916,cg07147063,cg08130668,cg09062638,cg10038542,cg10835423,cg11078433,cg11149743,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg23065793,cg23808931,cg23890800,cg24737639,cg25585364,cg25861327,cg26687565	E085	2.27e-01
2.345	2.18e-02	E080 Fetal Adrenal Gland	Fetal Adrenal Gland	DHS	E080-DNase.hotspot.fdr0.01.broad.bed.gz	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg05064665,cg06459916,cg07147063,cg08130668,cg10038542,cg10835423,cg11078433,cg11149743,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg22548088,cg23065793,cg23808931,cg23890800,cg24737639,cg25585364,cg25861327,cg26687565	E080	2.27e-01
4.072	1.55e-04	E081 Fetal Brain Male	Fetal Brain	DHS	E081-DNase.hotspot.fdr0.01.broad.bed.gz	cg01952989,cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg06459916,cg07147063,cg08130668,cg09062638,cg10038542,cg10835423,cg11078433,cg11149743,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg22830707,cg23065793,cg23808931,cg23890800,cg24737639,cg24776326,cg25585364,cg25861327,cg26687565	E081	2.57e-02
