Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
6.292	9.44e-08	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg00218406,cg00221794,cg00490406,cg00741986,cg00934987,cg01127300,cg01243823,cg01357892,cg01649611,cg02010481,cg02088996,cg02656560,cg03124318,cg05439368,cg05554494,cg08669096,cg08683263,cg08850169,cg08913523,cg09479650,cg09586924,cg11354682,cg12054453,cg12269535,cg12394289,cg12483947,cg13031097,cg13359998,cg13984040,cg14016418,cg14140379,cg16448702,cg17803993,cg20408175,cg22129276,cg22953759,cg23172671,cg23480341,cg23547429,cg23691006,cg24691964,cg24704287,cg27128761	E029	7.83e-06
5.091	4.67e-06	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg00218406,cg00221794,cg00340855,cg00490406,cg00741986,cg01243823,cg01309328,cg01517384,cg01595951,cg01904393,cg03124318,cg05439368,cg06362313,cg07839457,cg08850169,cg08904394,cg08913523,cg10601943,cg11354682,cg12054453,cg12170787,cg12269535,cg12394289,cg12419318,cg12483947,cg12728588,cg12949141,cg13031097,cg13823169,cg13984040,cg16306654,cg17803993,cg17972213,cg18181703,cg20316440,cg20408175,cg20408505,cg22953759,cg23547429,cg23599026,cg23691006,cg24691964,cg24704287,cg25353281,cg25533551,cg26392102,cg26470501,cg27023597	E032	1.55e-04
4.928	1.21e-05	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg00218406,cg00221794,cg00340855,cg00490406,cg00741986,cg01127300,cg01243823,cg01309328,cg01357892,cg01517384,cg01595951,cg01649611,cg01904393,cg02716826,cg03124318,cg04993082,cg05439368,cg06362313,cg08913523,cg11354682,cg11849692,cg12054453,cg12170787,cg12269535,cg12394289,cg12483947,cg12728588,cg12949141,cg13031097,cg13984040,cg16306654,cg17803993,cg17972213,cg20316440,cg20408175,cg22953759,cg23172671,cg23599026,cg23691006,cg24691964,cg24704287,cg27023597	E033	3.35e-04
5.636	4.25e-07	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg00218406,cg00221794,cg00340855,cg00490406,cg00741986,cg01127300,cg01243823,cg01252219,cg01309328,cg01595951,cg01649611,cg01904393,cg02010481,cg02716826,cg03124318,cg04993082,cg05439368,cg06362313,cg08683263,cg08818207,cg08850169,cg11849692,cg12054453,cg12170787,cg12269535,cg12394289,cg12483947,cg12728588,cg12949141,cg13031097,cg13823169,cg13984040,cg16306654,cg17803993,cg17972213,cg20316440,cg20408175,cg20408505,cg22953759,cg23172671,cg23387863,cg23599026,cg23648810,cg23691006,cg24691964,cg24704287,cg25533551,cg26392102,cg26470501,cg27023597	E034	1.76e-05
8.093	8.14e-12	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg00218406,cg00221794,cg00340855,cg00490406,cg00741986,cg01127300,cg01243823,cg01252219,cg01309328,cg01357892,cg01517384,cg01616956,cg01649611,cg01904393,cg02010481,cg02088996,cg02656560,cg02716826,cg03055021,cg03124318,cg04993082,cg05439368,cg05554494,cg06362313,cg10601943,cg11354682,cg11849692,cg12054453,cg12170787,cg12269535,cg12394289,cg12483947,cg12949141,cg13031097,cg13823169,cg13984040,cg16306654,cg17803993,cg17972213,cg19149463,cg20316440,cg20408175,cg20408505,cg22129276,cg22953759,cg23387863,cg23480341,cg23547429,cg23599026,cg23648810,cg23691006,cg24691964,cg24704287,cg25533551,cg26392102,cg27023597	E046	1.35e-09
1.516	8.81e-02	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg00221794,cg00490406,cg00741986,cg01127300,cg01243823,cg01357892,cg01595951,cg01649611,cg02656560,cg02716826,cg04120520,cg04983687,cg04993082,cg05439368,cg09586924,cg12054453,cg12269535,cg12394289,cg12483947,cg12949141,cg17803993,cg20316440,cg20408175,cg22129276,cg22953759,cg23172671,cg23599026,cg23691006,cg24691964,cg24704287,cg25364972,cg25533551,cg27128761	E050	5.62e-01
1.398	1.13e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg00221794,cg00741986,cg01127300,cg01243823,cg01357892,cg01649611,cg01904393,cg02656560,cg02716826,cg03124318,cg04983687,cg08850169,cg12054453,cg12269535,cg12394289,cg12483947,cg12728588,cg12949141,cg13984040,cg16306654,cg17803993,cg20408175,cg22129276,cg22953759,cg23599026,cg23691006,cg24691964,cg24704287,cg25364972	E051	6.69e-01
3.121	3.13e-03	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg00741986,cg00934987,cg01127300,cg01243823,cg01357892,cg01649611,cg01904393,cg02010481,cg02656560,cg03290827,cg05554494,cg06837325,cg08669096,cg08850169,cg08913523,cg09586924,cg12054453,cg12269535,cg12483947,cg12949141,cg13359998,cg13823169,cg14016418,cg16306654,cg16909914,cg19149463,cg20408175,cg20898283,cg22129276,cg23172671,cg23480341,cg23547429,cg23599026,cg24704287,cg25364972,cg27023597,cg27067618,cg27660627	E028	4.33e-02
-1.691	9.65e-01	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg01127300,cg01309328,cg02656560,cg02716826,cg08913523,cg09245302,cg09912552,cg12054453,cg12269535,cg12394289,cg12483947,cg12949141,cg13618969,cg16306654,cg20408175,cg20898283,cg23599026,cg24691964,cg25533551,cg26172016,cg26392102,cg26508465,cg27023597,cg27128761	E003	1.00e+00
1.052	1.78e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg00934987,cg01127300,cg01357892,cg01649611,cg01904393,cg02346442,cg02656560,cg02716826,cg03055021,cg05400196,cg08850169,cg08913523,cg09245302,cg12054453,cg12269535,cg12483947,cg12949141,cg13458609,cg13618969,cg16306654,cg19417526,cg19805160,cg20408175,cg20898283,cg22129276,cg22953759,cg23172671,cg23547429,cg23599026,cg24691964,cg24707200,cg25132241,cg25364972,cg25368824,cg26172016,cg26508465,cg27023597,cg27128761	E004	1.00e+00
