Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-0.788	8.06e-01	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg00320216,cg00732815,cg01486537,cg01569083,cg01825818,cg01851399,cg02396110,cg03209707,cg04070847,cg04360557,cg04379086,cg05085499,cg05345866,cg05550603,cg05766896,cg06371243,cg06917015,cg07463103,cg07697733,cg08113064,cg08479615,cg08896939,cg09414922,cg09573359,cg10505873,cg11065972,cg11131246,cg11499236,cg11935041,cg12226453,cg13185316,cg13363409,cg13456138,cg14801356,cg15690316,cg15761598,cg16212145,cg16870607,cg16883145,cg16997558,cg17350632,cg18096774,cg18445418,cg18574822,cg20503282,cg22049881,cg22175303,cg23443166,cg23622369,cg23998500,cg24022532,cg25363789,cg25587662,cg26348226,cg27209881	E029	1.00e+00
-1.295	9.13e-01	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg00175482,cg00649330,cg00732815,cg01569083,cg01851399,cg02396110,cg03582285,cg03699103,cg04070847,cg04360557,cg05085499,cg05121110,cg05766896,cg06068711,cg06371243,cg07463103,cg07489413,cg07697733,cg08390732,cg08479615,cg08896939,cg08966485,cg09573359,cg09915500,cg10505873,cg10541183,cg10583755,cg10990006,cg11065972,cg11833029,cg13104385,cg13363409,cg13456138,cg13904286,cg14640244,cg15690316,cg15866363,cg16883145,cg16964791,cg16997558,cg17004162,cg17873675,cg18049776,cg18096774,cg19223299,cg20786131,cg21614759,cg21847062,cg22049881,cg22175303,cg22534310,cg22730464,cg23057870,cg23151714,cg23527612,cg23622369,cg24022532,cg25342005,cg25363789,cg25587662,cg26348226,cg26680760,cg27209881	E032	1.00e+00
-0.197	6.01e-01	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg00175482,cg00320216,cg00649330,cg00732815,cg01569083,cg02396110,cg03516026,cg03582285,cg03699103,cg04070847,cg04360557,cg05085499,cg05121110,cg05766896,cg06121113,cg06371243,cg07463103,cg07697733,cg08113064,cg08222192,cg08479615,cg08896939,cg08966485,cg09075096,cg09414922,cg09915500,cg10505873,cg10583755,cg10990006,cg11057867,cg11065972,cg11712187,cg12872535,cg13104385,cg13363409,cg13904286,cg14640244,cg15690316,cg15866363,cg16883145,cg16964791,cg16997558,cg17004162,cg17873675,cg18096774,cg19223299,cg20503282,cg20786131,cg21930227,cg22049881,cg22175303,cg22534310,cg22730464,cg23057870,cg23151714,cg23622369,cg24022532,cg25363789,cg25587662,cg25854725,cg26348226,cg26680760,cg27209881	E033	1.00e+00
2.246	1.94e-02	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg00175482,cg00208912,cg00320216,cg00437441,cg00732815,cg01392772,cg01569083,cg01825818,cg01945662,cg02150910,cg02396110,cg03083467,cg03516026,cg03582285,cg03699103,cg04070847,cg04360557,cg04372796,cg04922682,cg05085499,cg05121110,cg05170183,cg06141378,cg06167314,cg06371243,cg06598877,cg07463103,cg07489413,cg07697733,cg08113064,cg08390732,cg08479615,cg08896939,cg08985282,cg09075096,cg09414922,cg09915500,cg10505873,cg10541183,cg10583755,cg10990006,cg11057867,cg11065972,cg11499236,cg11712187,cg11833029,cg12226453,cg12872535,cg13363409,cg13378486,cg13432102,cg13456138,cg13904286,cg14640244,cg15253892,cg15690316,cg15866363,cg16212145,cg16238475,cg16883145,cg16997558,cg17004162,cg17072045,cg17350632,cg17873675,cg18096774,cg18445418,cg18999855,cg19255656,cg20351582,cg20786131,cg21930227,cg22175303,cg22488278,cg22730464,cg23057870,cg23151714,cg23527612,cg23622369,cg24022532,cg24270163,cg25342005,cg25363789,cg26680760,cg26957356,cg27209881,cg27567544	E034	1.00e+00
3.662	2.82e-04	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg00075331,cg00320216,cg00437441,cg00529978,cg00732815,cg01411468,cg01569083,cg01825818,cg01945662,cg02150910,cg02384859,cg02396110,cg03516026,cg03582285,cg03699103,cg04070847,cg04163638,cg04360557,cg04527989,cg04922682,cg05085499,cg05121110,cg06000951,cg06068711,cg06141378,cg06167314,cg06371243,cg06598877,cg07463103,cg07489413,cg07697733,cg08113064,cg08222192,cg08479615,cg08896939,cg08985282,cg09075096,cg09414922,cg09573359,cg10505873,cg10541183,cg10583755,cg10845147,cg10990006,cg11057867,cg11065972,cg11499236,cg11712187,cg12226453,cg12872535,cg13019030,cg13185316,cg13363409,cg13378486,cg13432102,cg13456138,cg14980504,cg15253892,cg15690316,cg15866363,cg16212145,cg16238475,cg16964791,cg16997558,cg17004162,cg17873675,cg18096774,cg18445418,cg18999855,cg19255656,cg19605931,cg20351582,cg20503282,cg20786131,cg21847062,cg21930227,cg21992594,cg22049881,cg22175303,cg22488278,cg22730464,cg23057870,cg23151714,cg23443166,cg23622369,cg23898957,cg23998500,cg24270163,cg25342005,cg25587662,cg26348226,cg26680760,cg27209881,cg27567544	E046	4.67e-02
-1.632	9.53e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg00320216,cg00649330,cg00732815,cg01392772,cg01569083,cg01851399,cg02113641,cg02396110,cg02438164,cg03086857,cg03582285,cg04070847,cg04262623,cg04360557,cg04379086,cg05085499,cg05766896,cg06000951,cg06371243,cg06652329,cg07380200,cg07463103,cg07489413,cg07697733,cg07968192,cg08030438,cg08113064,cg08479615,cg08896939,cg08966485,cg09414922,cg09573359,cg09915500,cg10346658,cg10505873,cg10662345,cg11065972,cg11131246,cg13185316,cg13363409,cg13904286,cg14231155,cg15182360,cg15224444,cg15690316,cg15866363,cg16964791,cg17004162,cg18049776,cg18096774,cg18279341,cg18445418,cg18574822,cg20503282,cg20786131,cg21537214,cg21614759,cg22175303,cg22730464,cg23443166,cg23622369,cg24022532,cg25587662,cg26348226,cg26680760,cg27209881	E050	1.00e+00
-1.520	9.46e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg00649330,cg00732815,cg01392772,cg01569083,cg01851399,cg02113641,cg02396110,cg02438164,cg03582285,cg04070847,cg04262623,cg04360557,cg04379086,cg05085499,cg05766896,cg06000951,cg06371243,cg06652329,cg07380200,cg07463103,cg07697733,cg08030438,cg08113064,cg08896939,cg08966485,cg09075096,cg09573359,cg09915500,cg10505873,cg10662345,cg11065972,cg11833029,cg13185316,cg13363409,cg13904286,cg15690316,cg16883145,cg17004162,cg17555825,cg18096774,cg18445418,cg20503282,cg20786131,cg21614759,cg22175303,cg22730464,cg23057870,cg23151714,cg23400208,cg23443166,cg23622369,cg24022532,cg25587662,cg26348226,cg26680760,cg27209881,cg27567544	E051	1.00e+00
-0.641	7.61e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg00320216,cg00373663,cg00512337,cg00513930,cg00732815,cg01486537,cg01569083,cg01825818,cg01851399,cg01958295,cg02037425,cg02067882,cg02739534,cg03086857,cg04163638,cg04360557,cg04794556,cg05155047,cg05167916,cg06000951,cg06371243,cg06616506,cg07380200,cg07404554,cg07463103,cg08113064,cg08479615,cg08616951,cg08896939,cg09075096,cg09124901,cg09414922,cg09990194,cg10505873,cg10662345,cg10990006,cg11131246,cg11345668,cg11444477,cg11499236,cg13185316,cg13363409,cg13456138,cg13904286,cg14095048,cg14231155,cg14239540,cg15035920,cg16212145,cg16264526,cg16997558,cg17004162,cg18024141,cg18096774,cg18574822,cg20330521,cg20373771,cg20503282,cg20786131,cg21233180,cg21301387,cg21401359,cg21784169,cg21945520,cg22097677,cg22175303,cg23443166,cg23622369,cg24022532,cg24270163,cg25309493,cg25363789,cg25587662,cg26348226,cg26394270,cg26539024,cg26872482,cg27565517	E028	1.00e+00
-3.267	1.00e+00	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg00175482,cg00208912,cg00513930,cg00732815,cg01287975,cg01825818,cg01851399,cg03086857,cg03209707,cg03260566,cg03582285,cg04045079,cg04360557,cg05042919,cg05710753,cg06000951,cg06016811,cg06121113,cg06371243,cg07062156,cg07404365,cg07678273,cg07968192,cg08616951,cg08896939,cg08966485,cg09573359,cg09915500,cg10505873,cg10782206,cg11833029,cg13363409,cg13456138,cg13904286,cg15182360,cg15690316,cg17004162,cg17555825,cg18049776,cg18279341,cg18714224,cg19094530,cg20786131,cg20786197,cg21301387,cg21614759,cg22175303,cg22730464,cg23400208,cg23527612,cg23622369,cg24022532,cg25363789,cg26127114,cg26348226,cg26394270,cg26680760,cg26957356,cg27336611,cg27508055,cg27565517	E003	1.00e+00
0.064	5.00e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg00065430,cg00175482,cg00208912,cg00320216,cg00732815,cg01276843,cg01287975,cg01486537,cg01559533,cg01825818,cg01851399,cg02067882,cg02384859,cg03086857,cg03260566,cg03582285,cg04045079,cg04262623,cg04360557,cg04612248,cg04633676,cg04922682,cg05167916,cg05263620,cg05639392,cg06000951,cg06016811,cg06141378,cg06371243,cg06917015,cg07062156,cg07404554,cg07678273,cg07968192,cg08616951,cg08896939,cg08966485,cg09075096,cg09414922,cg09573359,cg09915500,cg10505873,cg10541183,cg10589094,cg10662345,cg10845147,cg10990006,cg11057867,cg11131246,cg11833029,cg11935041,cg13104385,cg13185316,cg13363409,cg13432102,cg13904286,cg14282119,cg15182360,cg15690316,cg15990170,cg17004162,cg17555825,cg18049776,cg18279341,cg18574822,cg18714224,cg19094530,cg19605931,cg19753864,cg20373771,cg20786131,cg20786197,cg21301387,cg21471225,cg21784169,cg21901847,cg22175303,cg23527612,cg23622369,cg23800023,cg23898957,cg24022532,cg24203279,cg24270163,cg24455969,cg25363789,cg26127114,cg26348226,cg26394270,cg26678144,cg26680760,cg26957356,cg27155592,cg27336611,cg27398401,cg27508055,cg27565517	E004	1.00e+00
