Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-7.381	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K4me3	E029-H3K4me3.broadPeak.gz	cg00714531,cg00823480,cg01998785,cg02402423,cg02543556,cg03695871,cg03722757,cg05300717,cg06144471,cg06608224,cg12075669,cg13197551,cg13531735,cg13732043,cg14140403,cg14190451,cg14362073,cg14655553,cg16349667,cg17718238,cg17936236,cg18455616,cg20493175,cg21640749,cg22027879,cg22503106,cg25877465,cg26472183,cg27481141	E029	1.00e+00
-3.675	1.00e+00	E032 Primary B cells from peripheral blood	Blood	H3K4me3	E032-H3K4me3.broadPeak.gz	cg00329570,cg00359030,cg00381516,cg00785978,cg00823480,cg01224965,cg01310029,cg01671341,cg01745810,cg01998785,cg02095988,cg02243624,cg02324015,cg02402423,cg02503303,cg02543556,cg03079679,cg03653158,cg03695871,cg03722757,cg03784596,cg03812149,cg04031158,cg04217850,cg04385523,cg04459751,cg04681520,cg04883329,cg05194248,cg05447875,cg05613273,cg05698970,cg05724080,cg05934594,cg06304167,cg06566952,cg06608224,cg06863152,cg07056602,cg07177867,cg07299810,cg08058756,cg08085199,cg08222787,cg08778580,cg08871283,cg08969102,cg09080248,cg09245115,cg09908050,cg10100117,cg10120159,cg10224250,cg10933988,cg11081261,cg11238327,cg12074090,cg12492850,cg12773397,cg13073332,cg13077072,cg13360526,cg13531735,cg13562011,cg13628444,cg13726456,cg13732043,cg13764085,cg13806461,cg13947225,cg14025883,cg14131691,cg14140268,cg14140403,cg14184646,cg14362073,cg14415107,cg14511746,cg14697045,cg14931486,cg15146567,cg15988632,cg16330225,cg16349667,cg16508714,cg16714237,cg17116500,cg17138920,cg17519037,cg17558547,cg17718238,cg17784922,cg18010432,cg18099556,cg18368116,cg18455616,cg18783781,cg20493175,cg20840540,cg20885063,cg21234134,cg22027879,cg22503106,cg23149707,cg23172995,cg23205629,cg23475294,cg23557612,cg23993677,cg24028828,cg24062598,cg25308597,cg25466522,cg25602071,cg26337091,cg26365969,cg26389822,cg26472183,cg27094581,cg27131881,cg27143027,cg27335233,cg27481141	E032	1.00e+00
-7.495	1.00e+00	E033 Primary T cells from cord blood	Blood	H3K4me3	E033-H3K4me3.broadPeak.gz	cg00823480,cg01437709,cg01627992,cg01998785,cg02068052,cg02142455,cg02324015,cg02436083,cg02503303,cg03492094,cg03653158,cg03695871,cg03722757,cg04385523,cg05184016,cg05358754,cg05447875,cg05480350,cg06223015,cg06391412,cg06608224,cg07056602,cg07177867,cg07879720,cg08439122,cg08538069,cg09247945,cg09597192,cg10054763,cg10354401,cg10590350,cg10815420,cg11238327,cg12075669,cg12213680,cg13051367,cg13135255,cg13459606,cg13531735,cg13726456,cg13732043,cg13953978,cg14025883,cg14131691,cg14140403,cg14190451,cg14362073,cg15244874,cg15331937,cg15988632,cg15998596,cg16122287,cg17300669,cg17718238,cg17936236,cg18783781,cg19375767,cg19456763,cg19475270,cg19582046,cg20493175,cg21067343,cg21140167,cg21234134,cg22027879,cg23414568,cg23475294,cg23875532,cg24028828,cg24317972,cg26461944,cg26472183,cg26529864,cg27481141	E033	1.00e+00
-4.928	1.00e+00	E034 Primary T cells from peripheral blood	Blood	H3K4me3	E034-H3K4me3.broadPeak.gz	cg00114012,cg00286717,cg00321711,cg00381516,cg00823480,cg00851361,cg01000631,cg01116541,cg01304182,cg01437709,cg01901579,cg01978458,cg01998785,cg02068052,cg02133716,cg02402423,cg02543556,cg02979987,cg03695871,cg03722757,cg04217850,cg04236871,cg04385523,cg04404773,cg04883329,cg04933530,cg05300717,cg05306459,cg05447875,cg05642098,cg06528816,cg06608224,cg07056602,cg07177867,cg07453055,cg07589211,cg07636225,cg08288503,cg08439122,cg08584457,cg08778580,cg09080248,cg09332506,cg09339568,cg09444226,cg10354401,cg10704177,cg10815420,cg10933988,cg11215870,cg11238327,cg11558387,cg11939550,cg12213680,cg12492850,cg12773397,cg13051367,cg13459606,cg13491003,cg13531735,cg13576217,cg13732043,cg13806461,cg13953978,cg14140403,cg14362073,cg14415107,cg14511746,cg14654849,cg14849880,cg15146567,cg15244874,cg15331937,cg15903936,cg15998596,cg16145720,cg16160637,cg16349667,cg17138920,cg17354333,cg17558817,cg17879351,cg18099556,cg18783781,cg19198938,cg19376906,cg19396390,cg19582046,cg20178107,cg20182202,cg20267283,cg20493175,cg21067343,cg21234134,cg22027879,cg22503106,cg23260901,cg23475294,cg23875532,cg24028828,cg24106568,cg25003924,cg25308597,cg25470919,cg26389822,cg26461944,cg26472183,cg26529864,cg26592446,cg26774971,cg27143027,cg27481141	E034	1.00e+00
-7.603	1.00e+00	E046 Primary Natural Killer cells from peripheral 	Blood	H3K4me3	E046-H3K4me3.broadPeak.gz	cg00746666,cg00823480,cg01116541,cg01304182,cg01976243,cg01998785,cg02332678,cg03695871,cg03722757,cg04170495,cg04385523,cg04497992,cg04933530,cg04992471,cg05447875,cg05473599,cg06208130,cg06391412,cg06571036,cg06755692,cg07056602,cg07177867,cg07356438,cg07456972,cg07769280,cg07778428,cg09040200,cg09080248,cg09778927,cg10354401,cg10704177,cg11238327,cg11770323,cg12736613,cg13054523,cg13459606,cg13732043,cg14265474,cg14362073,cg14654849,cg15331937,cg15579574,cg15737719,cg15998596,cg16145720,cg16349667,cg16450797,cg16899419,cg18176312,cg18783781,cg19260922,cg20182202,cg21234134,cg22027879,cg22503106,cg22797971,cg23054654,cg23475294,cg23498922,cg23948955,cg24076840,cg24380653,cg25087851,cg25308597,cg26102082,cg26103369,cg27481141	E046	1.00e+00
0.124	4.73e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me3	E050-H3K4me3.broadPeak.gz	cg00321711,cg00336912,cg00390694,cg00527937,cg00714531,cg00823480,cg00978517,cg01086527,cg01450133,cg01614759,cg01627992,cg01976243,cg01979270,cg01998785,cg02068052,cg02212711,cg02290349,cg02324015,cg02374401,cg02402423,cg02420943,cg02423065,cg02436083,cg02503303,cg02543556,cg02589986,cg02765363,cg02979987,cg03079679,cg03119191,cg03189469,cg03210018,cg03392077,cg03492094,cg03651219,cg03653158,cg03695871,cg03722757,cg03784596,cg03812149,cg04031158,cg04377912,cg04385523,cg04484304,cg04497992,cg04721651,cg04933530,cg05045380,cg05194248,cg05543520,cg05786348,cg05879394,cg05999592,cg06070625,cg06144471,cg06418837,cg06475513,cg06566952,cg06592575,cg06608224,cg06958964,cg06984345,cg07056602,cg07177867,cg07453055,cg07459967,cg07828169,cg07908654,cg08014024,cg08058756,cg08288503,cg08334830,cg08439122,cg08652605,cg08679013,cg08778580,cg08884974,cg08886771,cg08900098,cg08922698,cg08969102,cg09040200,cg09247945,cg09339568,cg09444226,cg09565310,cg09980470,cg10142874,cg10279452,cg10298741,cg10354401,cg10491532,cg10590350,cg10704177,cg10815420,cg10897344,cg10933988,cg11238327,cg11266582,cg11422446,cg11939550,cg12077754,cg12119581,cg12172163,cg12213680,cg12402318,cg12605076,cg12819873,cg13051367,cg13073332,cg13077072,cg13123771,cg13205244,cg13221796,cg13279458,cg13459606,cg13531735,cg13726456,cg13732043,cg13789639,cg13806461,cg13953978,cg14131691,cg14140268,cg14140403,cg14184646,cg14190451,cg14226212,cg14248318,cg14362073,cg15123849,cg15146567,cg15244874,cg15279186,cg15314908,cg15331937,cg15434896,cg15767361,cg15769653,cg15929700,cg15988632,cg15998596,cg15998761,cg16122287,cg16160637,cg16330225,cg16349667,cg16508714,cg16597993,cg16660617,cg16677621,cg16714237,cg16829505,cg16950658,cg17030380,cg17062760,cg17138920,cg17300669,cg17334945,cg17354333,cg17521120,cg17717565,cg17718238,cg17751391,cg17784922,cg17936236,cg17971251,cg18455414,cg18455616,cg18655410,cg18666454,cg18783781,cg18805734,cg19002713,cg19069027,cg19294517,cg19375767,cg19396390,cg19434937,cg19456763,cg19475270,cg19582046,cg19686029,cg20178107,cg20182202,cg20216313,cg20259557,cg20267283,cg20385913,cg20493175,cg20560376,cg20831584,cg20840540,cg20893283,cg21045547,cg21067343,cg21234134,cg21640749,cg21672758,cg21931263,cg22027879,cg22146772,cg22252112,cg22418084,cg23076894,cg23149707,cg23205629,cg23464586,cg23475294,cg23516680,cg23612739,cg24028828,cg24358891,cg24836822,cg25087851,cg25224369,cg25270424,cg25348163,cg25368824,cg25466522,cg25799589,cg25960268,cg26252077,cg26337091,cg26365969,cg26389822,cg26461944,cg26472183,cg26529864,cg26592446,cg26633168,cg26817086,cg26985528,cg27046434,cg27094581,cg27341747,cg27481141	E050	1.00e+00
-2.218	9.91e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me3	E051-H3K4me3.broadPeak.gz	cg00390694,cg00638845,cg00714531,cg00823480,cg00978517,cg00990977,cg01086527,cg01224965,cg01437709,cg01499988,cg01614759,cg01627992,cg01908419,cg01976243,cg01979270,cg01998785,cg02068052,cg02212711,cg02290349,cg02324015,cg02361196,cg02402423,cg02420943,cg02436083,cg02503303,cg02543556,cg02589986,cg02930951,cg02979987,cg03318414,cg03653158,cg03695871,cg03722757,cg03812149,cg03983220,cg04385523,cg04721651,cg04883329,cg04933530,cg05045380,cg05194248,cg05541460,cg05786348,cg06070625,cg06475513,cg06566952,cg06592918,cg06608224,cg06958964,cg07056602,cg07177867,cg07299810,cg07718085,cg07908654,cg08014024,cg08058756,cg08334830,cg08423755,cg08439122,cg08538069,cg08679013,cg08886771,cg08922698,cg09040200,cg09247945,cg09339568,cg09444226,cg09532994,cg09597192,cg09778927,cg10011040,cg10354401,cg10704177,cg10815420,cg11205545,cg11238327,cg11422446,cg11939550,cg12003079,cg12119581,cg12380988,cg12402318,cg12614529,cg12667152,cg13051367,cg13073332,cg13197551,cg13205244,cg13221796,cg13279458,cg13459606,cg13531735,cg13562011,cg13732043,cg13953978,cg14025883,cg14118054,cg14131691,cg14140268,cg14140403,cg14184646,cg14190451,cg14321269,cg14362073,cg14415107,cg14769121,cg15123849,cg15146567,cg15279186,cg15434896,cg15964898,cg15988632,cg15998596,cg15998761,cg16122287,cg16147002,cg16160637,cg16182457,cg16330225,cg16349667,cg16660617,cg16950658,cg17062760,cg17116500,cg17256681,cg17354333,cg17558547,cg17718238,cg17784922,cg17936236,cg18655410,cg18783781,cg18805734,cg19375767,cg19456763,cg19475270,cg19582046,cg19686029,cg20178107,cg20182202,cg20263733,cg20385913,cg20493175,cg20560376,cg20831584,cg20893283,cg21067343,cg21234134,cg21640749,cg21672758,cg22027879,cg22146772,cg22418084,cg22816343,cg23076894,cg23149707,cg23205629,cg23464586,cg23475294,cg23875532,cg24028828,cg24062598,cg24108508,cg24358891,cg25003924,cg25087851,cg25221180,cg25308597,cg25348163,cg25466522,cg26024852,cg26389822,cg26461944,cg26529864,cg27046434,cg27143027,cg27308490,cg27341747,cg27481141	E051	1.00e+00
-1.745	9.81e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K4me3	E028-H3K4me3.broadPeak.gz	cg00006459,cg00114012,cg00123090,cg00286717,cg00336912,cg00634542,cg00638845,cg00758214,cg00766820,cg00823480,cg00924612,cg00990977,cg01051098,cg01051200,cg01200145,cg01325448,cg01330991,cg01437709,cg01671341,cg01901579,cg01979270,cg01998785,cg02170785,cg02171825,cg02233915,cg02243624,cg02290349,cg02324015,cg02359181,cg02402423,cg02423065,cg02436083,cg02473287,cg02487088,cg02543556,cg02869730,cg02874537,cg02979987,cg03092343,cg03210018,cg03278639,cg03448301,cg03475216,cg03651219,cg03666966,cg03695871,cg03722757,cg03757043,cg04308301,cg04377912,cg04404773,cg04459751,cg04484304,cg04721651,cg04883329,cg04933530,cg05072637,cg05076510,cg05159759,cg05358754,cg05473599,cg05543520,cg05724080,cg05934594,cg06223015,cg06475513,cg06592575,cg06608224,cg06863152,cg06864151,cg06958964,cg06984345,cg06996254,cg07177867,cg07299810,cg07307484,cg07447194,cg07453055,cg07456972,cg07465458,cg07636225,cg07718085,cg07730263,cg07769280,cg08061334,cg08085199,cg08089777,cg08256839,cg08423755,cg08439122,cg08538069,cg08553585,cg08589455,cg08649376,cg08679013,cg08778580,cg08922698,cg08969102,cg09031958,cg09249800,cg09444226,cg09597192,cg09863265,cg10120159,cg10145411,cg10194884,cg10220104,cg10224250,cg10298741,cg10354401,cg10466699,cg10590350,cg10650214,cg10704177,cg10794399,cg10815420,cg10933988,cg11081261,cg11215870,cg11442986,cg11495812,cg11495942,cg11770323,cg11791710,cg12003079,cg12119581,cg12213680,cg12402318,cg12483927,cg12492850,cg12645785,cg12740725,cg12773397,cg13123771,cg13221796,cg13353793,cg13423371,cg13531735,cg13576217,cg13628444,cg13726456,cg13732043,cg13774539,cg13789639,cg13806461,cg14025883,cg14131691,cg14226212,cg14265474,cg14362073,cg14390854,cg14617280,cg14755690,cg14879885,cg14931486,cg14947564,cg14963970,cg14991022,cg15053244,cg15244874,cg15279186,cg15434896,cg15532312,cg15988632,cg16147002,cg16160637,cg16306670,cg16438366,cg16829505,cg16950658,cg17062760,cg17365440,cg17519037,cg17717565,cg17784922,cg17844602,cg17936236,cg17982734,cg18161208,cg18337287,cg18456722,cg18693924,cg18783781,cg18805734,cg19260922,cg19376906,cg19475270,cg19696679,cg19787060,cg19791780,cg19993461,cg20259557,cg20263733,cg20317437,cg20378916,cg20804243,cg20813763,cg20831584,cg21045547,cg21092930,cg21234134,cg21505451,cg21576315,cg21664942,cg21992676,cg22027879,cg22146772,cg22816343,cg22905973,cg22994495,cg23172995,cg23196129,cg23414568,cg23464586,cg23475294,cg23575099,cg23584308,cg23856600,cg23871276,cg23911543,cg23975326,cg24028828,cg24106568,cg24108508,cg24380653,cg24447018,cg24517604,cg24536162,cg24541864,cg24829718,cg24836822,cg25003924,cg25087851,cg25159046,cg25221180,cg25270424,cg25475273,cg25479097,cg25488567,cg25738218,cg25799589,cg26058544,cg26252077,cg26396322,cg26461944,cg26472183,cg26529864,cg26713832,cg26787239,cg26997652,cg27014783,cg27046434,cg27481141,cg27550672	E028	1.00e+00
-5.933	1.00e+00	E003 H1 Cells	ES Cell	H3K4me3	E003-H3K4me3.broadPeak.gz	cg00114012,cg00381516,cg00460843,cg00823480,cg01200145,cg01437709,cg01976243,cg01979270,cg01998785,cg02170785,cg02402423,cg02436083,cg02473287,cg02503303,cg02543556,cg03079679,cg03092343,cg03131767,cg03502211,cg03695871,cg03722757,cg04170495,cg04308301,cg04385523,cg04721651,cg05447875,cg05473599,cg05786348,cg06794913,cg07177867,cg07636225,cg07733260,cg08348441,cg08439122,cg08761605,cg08922698,cg08969102,cg09080248,cg09194810,cg09597192,cg09863265,cg10100117,cg10354401,cg10704177,cg10815420,cg11014921,cg11202380,cg12060026,cg12213680,cg12380988,cg12492850,cg12605076,cg13221796,cg13459606,cg13531735,cg13576859,cg13732043,cg13774539,cg13792581,cg13806461,cg13850063,cg14131691,cg14179258,cg14190451,cg14362073,cg15314908,cg15344640,cg15634144,cg15767361,cg15952483,cg15988632,cg15998596,cg16160637,cg16270995,cg16549727,cg16660617,cg17558817,cg17879351,cg18783781,cg19375767,cg19696679,cg19791262,cg20035380,cg20263733,cg21234134,cg21932513,cg22027879,cg22905973,cg23054654,cg23475294,cg23516680,cg24028828,cg24039962,cg24541864,cg24872571,cg25003924,cg25348163,cg25738218,cg26245101,cg26461944,cg26472183,cg26529864,cg26985528,cg26997652,cg27481141	E003	1.00e+00
-4.991	1.00e+00	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K4me3	E004-H3K4me3.broadPeak.gz	cg00321711,cg00329570,cg00427854,cg00823480,cg01047262,cg01330991,cg01437709,cg01499988,cg01998785,cg02436083,cg02543556,cg03501393,cg03695871,cg03784596,cg04308301,cg04404773,cg04650104,cg04806741,cg05178561,cg05786348,cg06755692,cg06824199,cg07177867,cg07769280,cg07879720,cg08085199,cg08776942,cg08884974,cg08922108,cg09247945,cg10105512,cg10142874,cg10354401,cg11495942,cg11791710,cg12213680,cg12614529,cg12916632,cg13221796,cg13298043,cg13353793,cg13459606,cg13732043,cg14263230,cg14654849,cg14755690,cg15279186,cg15344640,cg15532312,cg15737719,cg15998596,cg16427256,cg16450797,cg17334945,cg17784922,cg17939602,cg19260922,cg19396390,cg19960458,cg20263733,cg21234134,cg21237481,cg21259720,cg21568193,cg22027879,cg23079735,cg23196129,cg23205629,cg23475294,cg23575099,cg23856600,cg23990557,cg24028828,cg24062598,cg24106568,cg25159046,cg25401182,cg25602071,cg25854298,cg26145152,cg26219449,cg26461944,cg26529864,cg26787239,cg27046434,cg27481141	E004	1.00e+00
