Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
2.306	1.26e-01	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg00243922,cg00514202,cg00900054,cg01180236,cg01348570,cg01903374,cg02027010,cg02064368,cg02211433,cg02548606,cg02900516,cg03098361,cg03173679,cg03410722,cg03640531,cg03700308,cg04166618,cg04203298,cg04334947,cg04571742,cg04898443,cg05161938,cg05328960,cg05439195,cg05598539,cg05840750,cg05872513,cg06112727,cg06935184,cg06954540,cg07028951,cg07321536,cg07458712,cg07736922,cg07782630,cg07868885,cg07989796,cg08322528,cg08482978,cg08502759,cg08656326,cg09102835,cg09308608,cg09366312,cg09897604,cg10182531,cg10335543,cg10338338,cg10706989,cg10721450,cg10920427,cg11239316,cg11265952,cg11697159,cg11811621,cg12213003,cg12478378,cg12508534,cg12664806,cg13041975,cg13127506,cg13232021,cg13236881,cg13368918,cg13848035,cg13900770,cg14230166,cg14743055,cg14878686,cg14937492,cg15054838,cg15446613,cg15617545,cg15822546,cg16246961,cg16315748,cg16569430,cg16573178,cg16631025,cg16693212,cg16857335,cg16998718,cg18191664,cg18260973,cg18807929,cg18846731,cg19374752,cg19389852,cg19432434,cg19524810,cg19676328,cg19730801,cg20039257,cg20488968,cg20696478,cg20917083,cg20926353,cg20967975,cg21639178,cg21656520,cg21845654,cg21934564,cg22472411,cg22482746,cg22723098,cg23393291,cg23412136,cg23509896,cg23701776,cg23715559,cg24494412,cg24631450,cg24965617,cg25087553,cg25699121,cg25772341,cg25817419,cg26047920,cg26397265,cg26456183,cg26671988,cg26853401,cg26892394	E063	1.00e+00
1.911	1.49e-01	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00741634,cg01181681,cg02250357,cg02283691,cg02341503,cg02505177,cg02898206,cg02951206,cg03044735,cg03163184,cg03294491,cg03354717,cg03433394,cg03727373,cg03768517,cg04190002,cg04227701,cg04347477,cg04989674,cg05314679,cg05340882,cg05364411,cg05406954,cg05651657,cg05916684,cg05954702,cg06032302,cg06587969,cg06740897,cg06763161,cg06776703,cg06939851,cg07298473,cg07482199,cg07546262,cg07556119,cg07690692,cg07691180,cg07740693,cg07845873,cg07961659,cg07962303,cg08092331,cg08167706,cg08436313,cg08492912,cg08855361,cg09065776,cg09108314,cg09108797,cg09220050,cg09578254,cg09745087,cg09769679,cg10069677,cg10786043,cg10919111,cg11809157,cg11856215,cg11942541,cg12850036,cg13050981,cg13519902,cg13563728,cg13771313,cg13863668,cg14000687,cg14131272,cg14260522,cg14442492,cg14525688,cg14733672,cg14868222,cg15048902,cg15139248,cg15269027,cg15692666,cg15766494,cg16157980,cg16479173,cg17024828,cg17215278,cg17412351,cg17491564,cg17636193,cg17809632,cg18086594,cg18261909,cg18271897,cg18393175,cg18729886,cg18755728,cg18755829,cg20427865,cg20490900,cg20543544,cg20635724,cg20793089,cg20837626,cg21908110,cg22045990,cg22501294,cg23033748,cg23263937,cg23843812,cg24451422,cg25119743,cg25910803,cg26180612,cg26338947,cg26504421,cg26702929,cg27249858,cg27462418,cg27576946,cg27583149,cg27658640	E063	1.00e+00
2.385	4.10e-02	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg08608144,cg10508317,cg11508373,cg13428516,cg23288298	E063	1.00e+00
2.088	9.63e-02	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg00095870,cg00121045,cg00331541,cg01118653,cg01161919,cg01617018,cg01872324,cg02011981,cg02399233,cg02556954,cg02930866,cg03067574,cg03335600,cg03413810,cg04148095,cg04368724,cg04455759,cg04724489,cg04831728,cg05022128,cg05308424,cg07054681,cg07567679,cg08316365,cg08367465,cg08798148,cg08926040,cg10160630,cg10172584,cg10277912,cg10830310,cg11643285,cg12419239,cg12564034,cg12636882,cg13152856,cg13469320,cg13701509,cg14483162,cg14789121,cg15004787,cg15378038,cg15541040,cg15973528,cg16359985,cg17259761,cg18156845,cg18298197,cg20054786,cg20849127,cg20929811,cg20999102,cg21385480,cg22352499,cg22977320,cg24906527,cg25777714,cg25945449,cg26862731,cg27225130,cg27647667	E063	1.00e+00
0.287	6.37e-01	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00159379,cg00696763,cg01359967,cg01440570,cg01977863,cg03109209,cg03740261,cg04440125,cg04822018,cg04983128,cg05295023,cg05373161,cg05916700,cg06168875,cg06762176,cg07091220,cg07285953,cg07430967,cg07999508,cg08713098,cg08797598,cg10288921,cg10453123,cg10738041,cg11819621,cg12081291,cg12103628,cg13671198,cg13828397,cg14380013,cg14523706,cg14549093,cg15042142,cg15137213,cg15179472,cg15324723,cg15542924,cg15629568,cg16026549,cg16114654,cg16284213,cg16735190,cg16803737,cg17974715,cg19728051,cg20292636,cg20786706,cg21177456,cg22397365,cg22402769,cg22670033,cg23164054,cg23934633,cg24178897,cg24312879,cg24315833,cg24693635,cg26358590,cg26879538,cg27436190,cg27637738	E063	1.00e+00
-0.834	8.90e-01	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg03139228,cg04088932,cg09893068,cg20641095,cg24975211,cg27346937	E063	1.00e+00
2.043	7.55e-02	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00108569,cg00372908,cg01244006,cg02262553,cg03173570,cg03438490,cg04035553,cg04104695,cg06061257,cg06114556,cg06294856,cg06330558,cg06650256,cg06902558,cg07243366,cg07690882,cg08730245,cg08837626,cg09647671,cg09814231,cg09898217,cg10566660,cg10985914,cg11035519,cg11249390,cg11286035,cg11390741,cg11409285,cg11826008,cg12081645,cg12515517,cg13548164,cg13935548,cg14071324,cg14166788,cg14676592,cg14732815,cg15120220,cg15433043,cg17166812,cg17997641,cg18196506,cg18222590,cg18474239,cg18609230,cg18821418,cg19074748,cg19226017,cg20455854,cg20574381,cg20818528,cg21563049,cg22999864,cg23241772,cg24599065,cg24900425,cg25211705,cg25728699,cg26061357,cg26227027,cg26832686,cg27492102	E063	1.00e+00
-0.726	8.48e-01	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed	cg10372770,cg18878616	E063	1.00e+00
4.022	1.42e-03	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed	cg01518790,cg01841312,cg03618918,cg07448679,cg08861456,cg08975197,cg09232103,cg11955727,cg16520796,cg16748524,cg17837894,cg17956819,cg19503249,cg23856090,cg25558531,cg27266824	E063	1.00e+00
0.269	5.22e-01	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg08431893,cg09296611,cg11337018,cg16568131,cg23333072,cg25195795	E063	1.00e+00
