Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-0.276	6.31e-01	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00320216,cg00649330,cg00732815,cg01486537,cg01569083,cg02396110,cg04070847,cg04163638,cg04262623,cg04379086,cg04569233,cg05085499,cg05121110,cg05345866,cg05550603,cg05766896,cg06167314,cg06371243,cg06917015,cg07463103,cg07489413,cg07697733,cg08113064,cg08357961,cg08479615,cg08966485,cg08985282,cg09915500,cg10505873,cg10541183,cg11065972,cg11131246,cg13185316,cg13363409,cg14801356,cg15761598,cg15866363,cg16212145,cg16870607,cg16883145,cg17004162,cg17350632,cg18096774,cg18445418,cg18999855,cg20351582,cg20503282,cg20786131,cg21614759,cg22175303,cg23443166,cg23622369,cg23998500,cg24022532,cg24270163,cg25363789,cg26348226,cg26680760,cg27209881,cg27341384	NA	1.00e+00
-2.513	9.96e-01	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg01569083,cg05766896,cg06000951,cg06121113,cg06371243,cg07463103,cg07697733,cg08113064,cg08896939,cg10990006,cg13363409,cg13904286,cg14801356,cg15690316,cg16964791,cg17072045,cg18096774,cg20270159,cg20786131,cg22175303,cg23151714,cg23609219,cg23622369,cg24022532,cg26348226	NA	1.00e+00
-1.471	9.36e-01	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg00732815,cg01486537,cg01569083,cg02396110,cg04295372,cg04360557,cg04379086,cg05085499,cg05766896,cg06371243,cg07463103,cg07697733,cg08479615,cg08812177,cg10662345,cg11065972,cg11131246,cg11935041,cg15690316,cg17004162,cg17873675,cg18096774,cg18445418,cg20503282,cg22730464,cg23443166,cg23622369,cg23998500,cg25587662,cg27209881,cg27341384	NA	1.00e+00
-2.398	9.95e-01	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00732815,cg01569083,cg01851399,cg02396110,cg04295372,cg04360557,cg04379086,cg05766896,cg06371243,cg07463103,cg07697733,cg08479615,cg08896939,cg10662345,cg11935041,cg15690316,cg18096774,cg18445418,cg20503282,cg23443166,cg25587662,cg27209881	NA	1.00e+00
-1.968	9.82e-01	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg01569083,cg02396110,cg03582285,cg04360557,cg05121110,cg05766896,cg06121113,cg06371243,cg07697733,cg08966485,cg09573359,cg10990006,cg11131246,cg11833029,cg13363409,cg13456138,cg13904286,cg14801356,cg15866363,cg16964791,cg17072045,cg17873675,cg18096774,cg23057870,cg23151714,cg23622369,cg24022532,cg25587662,cg26348226,cg26680760,cg27209881,cg27341384	NA	1.00e+00
-1.537	9.43e-01	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00175482,cg02396110,cg03582285,cg04280657,cg04360557,cg05063632,cg05085499,cg05121110,cg05170183,cg05272587,cg05425909,cg05550603,cg05766896,cg06068711,cg06121113,cg06371243,cg07110166,cg07463103,cg07489413,cg07697733,cg09414922,cg09573359,cg10505873,cg10583755,cg11131246,cg11747695,cg13104385,cg13363409,cg13456138,cg14199978,cg14801356,cg15690316,cg15761598,cg15866363,cg16964791,cg16997558,cg17004162,cg17350632,cg18096774,cg20270159,cg20351582,cg20503282,cg20786131,cg21295453,cg21614759,cg22175303,cg22488278,cg23151714,cg23609672,cg23622369,cg24022532,cg25587662,cg26348226,cg27155592,cg27336611,cg27565517	NA	1.00e+00
-0.876	8.31e-01	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00320216,cg00732815,cg01309342,cg01486537,cg01569083,cg01825818,cg02396110,cg03083467,cg04070847,cg04295372,cg04360557,cg04379086,cg04633676,cg04752066,cg05085499,cg05121110,cg05425909,cg05550603,cg05766896,cg06000951,cg06141378,cg06371243,cg06917015,cg07404554,cg07463103,cg07697733,cg07968192,cg08113064,cg08390732,cg08479615,cg08812177,cg08896939,cg08966485,cg09289684,cg09573359,cg10505873,cg10589094,cg10662345,cg11065972,cg11131246,cg11225266,cg11499236,cg11833029,cg11935041,cg13185316,cg13363409,cg13456138,cg13904286,cg14640244,cg14980504,cg15035920,cg15043117,cg15258722,cg15690316,cg15761598,cg17004162,cg17090754,cg17873675,cg18096774,cg18147718,cg18445418,cg19693031,cg19753864,cg20270159,cg20503282,cg20786197,cg21614759,cg21738270,cg21945520,cg22049881,cg22070649,cg22175303,cg22730464,cg23057870,cg23151714,cg23443166,cg23998500,cg24022532,cg25363789,cg26348226,cg26678144,cg26680760,cg26957356,cg27209881,cg27341384,cg27565517,cg27567544	NA	1.00e+00
-1.072	8.75e-01	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00320216,cg00732815,cg01309342,cg01486537,cg01569083,cg02396110,cg04262623,cg04295372,cg04360557,cg04379086,cg04569233,cg04752066,cg04801469,cg05085499,cg05766896,cg06141378,cg06371243,cg06652329,cg06917015,cg07463103,cg07489413,cg07697733,cg07996027,cg08113064,cg08479615,cg08812177,cg08896939,cg08966485,cg09289684,cg09573359,cg09915500,cg10505873,cg10662345,cg11065972,cg11131246,cg11499236,cg11935041,cg13185316,cg13363409,cg13456138,cg15690316,cg15761598,cg16870607,cg16997558,cg17004162,cg17350632,cg17873675,cg18096774,cg18147718,cg18445418,cg19693031,cg20270159,cg20503282,cg20786131,cg21738270,cg22175303,cg22730464,cg23057870,cg23151714,cg23443166,cg23609672,cg23622369,cg23998500,cg24022532,cg24203279,cg25363789,cg25587662,cg26680760,cg26957356,cg27209881,cg27565517,cg27567544	NA	1.00e+00
-0.237	6.23e-01	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00320216,cg00732815,cg01569083,cg02396110,cg04295372,cg05766896,cg06371243,cg07463103,cg07697733,cg08479615,cg10505873,cg10662345,cg11065972,cg11131246,cg13185316,cg15690316,cg18096774,cg18147718,cg18445418,cg20503282,cg20695534,cg22175303,cg23443166,cg23998500,cg24022532,cg27209881	NA	1.00e+00
-1.546	9.51e-01	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00320216,cg00732815,cg01486537,cg01569083,cg01851399,cg02396110,cg03086857,cg03582285,cg04070847,cg04163638,cg04295372,cg04360557,cg04379086,cg05085499,cg05550603,cg05766896,cg06000951,cg06371243,cg07463103,cg07697733,cg08113064,cg08479615,cg08812177,cg08896939,cg08966485,cg09573359,cg10505873,cg11065972,cg11131246,cg11499236,cg11935041,cg13363409,cg13456138,cg15690316,cg15761598,cg15866363,cg16997558,cg18096774,cg18445418,cg20503282,cg21738270,cg22049881,cg22175303,cg23443166,cg23998500,cg25587662,cg26348226,cg27209881	NA	1.00e+00
-1.392	9.36e-01	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0011I43.DNase.hotspot_v3.20130415.bed.gz	cg00732815,cg01486537,cg01569083,cg02396110,cg04070847,cg04295372,cg04360557,cg04379086,cg04933135,cg05425909,cg05766896,cg06371243,cg07463103,cg07697733,cg08113064,cg08479615,cg09915500,cg10662345,cg11065972,cg11935041,cg13363409,cg15690316,cg15761598,cg17350632,cg18096774,cg18445418,cg20503282,cg21614759,cg22049881,cg23443166,cg23622369,cg23998500,cg24022532,cg25587662,cg27209881,cg27567544	NA	1.00e+00
-1.408	9.29e-01	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C004084E.DNase.hotspot_v3.20130415.bed.gz	cg00320216,cg00732815,cg01392772,cg01486537,cg01569083,cg01851399,cg02396110,cg03582285,cg04070847,cg04163638,cg04295372,cg04360557,cg04379086,cg04752066,cg04766772,cg04801469,cg05085499,cg05345866,cg05766896,cg06141378,cg06371243,cg06917015,cg07463103,cg07489413,cg07697733,cg08113064,cg08479615,cg08812177,cg09573359,cg09915500,cg10505873,cg10662345,cg11065972,cg11131246,cg11499236,cg11935041,cg13185316,cg13363409,cg13456138,cg14640244,cg15690316,cg15761598,cg15990170,cg16870607,cg17004162,cg17873675,cg18096774,cg18147718,cg18445418,cg19693031,cg20503282,cg21614759,cg21945520,cg22070649,cg22175303,cg22730464,cg23057870,cg23151714,cg23443166,cg23609672,cg23622369,cg23998500,cg24022532,cg24203279,cg24455969,cg25363789,cg25587662,cg26348226,cg26680760,cg26957356,cg27209881,cg27398401,cg27565517,cg27567544	NA	1.00e+00
-1.994	9.82e-01	inflammatory_macrophage	Venous Blood	DHS	S001MJ4A.DNase.hotspot_v3.20130819.bed.gz	cg00320216,cg00649330,cg00732815,cg01569083,cg02396110,cg04295372,cg04360557,cg06371243,cg07463103,cg07697733,cg08113064,cg08479615,cg10505873,cg10662345,cg11065972,cg11131246,cg11499236,cg11935041,cg15690316,cg17350632,cg18096774,cg18445418,cg20503282,cg23443166,cg23622369,cg23998500,cg27209881	NA	1.00e+00
-1.195	8.98e-01	inflammatory_macrophage	Venous Blood	DHS	S001MJ48.DNase.hotspot_v3.20130819.bed.gz	cg00320216,cg00732815,cg01486537,cg01569083,cg02396110,cg04070847,cg04379086,cg05766896,cg07463103,cg07697733,cg08113064,cg08479615,cg11065972,cg11131246,cg11346960,cg18096774,cg18445418,cg20503282,cg23443166,cg23998500,cg24022532,cg25587662,cg27209881	NA	1.00e+00
-0.952	8.50e-01	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00CTZ41.DNase.hotspot_v3.20141014.bed.gz	cg00320216,cg00732815,cg01486537,cg01569083,cg01851399,cg02396110,cg03083467,cg04070847,cg04163638,cg04295372,cg04360557,cg04379086,cg05085499,cg05550603,cg05766896,cg06371243,cg07463103,cg07697733,cg07968192,cg08113064,cg08357961,cg08479615,cg08812177,cg08896939,cg09414922,cg10505873,cg11065972,cg11131246,cg11499236,cg11833029,cg11935041,cg13185316,cg13363409,cg13456138,cg15690316,cg15761598,cg15866363,cg16870607,cg16997558,cg17350632,cg18096774,cg18445418,cg20503282,cg21738270,cg22049881,cg22175303,cg23151714,cg23443166,cg23622369,cg23998500,cg24022532,cg25587662,cg26348226,cg26680760,cg27209881,cg27565517,cg27567544	NA	1.00e+00
-1.052	8.58e-01	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00C0J41.DNase.hotspot_v3.20141014.bed.gz	cg01569083,cg02396110,cg03582285,cg03699103,cg04922682,cg05121110,cg05766896,cg06121113,cg06371243,cg07463103,cg07697733,cg08896939,cg08966485,cg09573359,cg11833029,cg13363409,cg13904286,cg15690316,cg15866363,cg16964791,cg18096774,cg20270159,cg22175303,cg23057870,cg23151714,cg23609672,cg23622369,cg25587662	NA	1.00e+00
-3.214	1.00e+00	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00HTF41.DNase.hotspot_v3.20141014.bed.gz	cg00649330,cg00732815,cg01392772,cg01569083,cg02113641,cg02396110,cg03086857,cg03582285,cg04070847,cg04360557,cg05085499,cg05425909,cg05550603,cg05766896,cg06371243,cg07463103,cg07489413,cg07697733,cg08030438,cg08113064,cg08933450,cg08966485,cg09573359,cg09915500,cg10505873,cg10662345,cg11065972,cg11225266,cg13019030,cg13185316,cg13363409,cg13904286,cg15690316,cg15990170,cg17004162,cg18096774,cg18445418,cg20503282,cg20786131,cg21537214,cg22175303,cg23443166,cg23622369,cg25587662,cg27209881	NA	1.00e+00
-2.404	9.94e-01	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00JS941.DNase.hotspot_v3.20141014.bed.gz	cg00732815,cg01569083,cg02396110,cg04295372,cg04360557,cg04379086,cg06371243,cg07463103,cg07697733,cg08479615,cg18096774,cg18445418,cg20503282,cg22175303,cg23998500,cg27209881	NA	1.00e+00
-2.030	9.81e-01	macrophage_-_T_6days_LPS	Venous Blood	DHS	S00BYT41.DNase.hotspot_v3.20141014.bed.gz	cg00732815,cg01486537,cg01569083,cg02396110,cg04163638,cg04295372,cg04379086,cg05085499,cg05766896,cg06371243,cg06652329,cg06917015,cg07463103,cg07697733,cg08113064,cg08479615,cg08896939,cg09573359,cg10505873,cg10662345,cg11065972,cg11131246,cg11499236,cg11935041,cg13185316,cg13363409,cg18096774,cg18147718,cg18445418,cg20503282,cg22175303,cg23443166,cg23622369,cg23998500,cg25587662,cg27209881	NA	1.00e+00
