Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-4.988	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg00297876,cg02538829,cg02605776,cg03043130,cg03124146,cg03233793,cg04647982,cg06098368,cg06507634,cg06617961,cg07388216,cg07645761,cg08626932,cg09092052,cg09796320,cg14724749,cg16562776,cg17847861,cg25261547	E029	1.00e+00
-4.299	1.00e+00	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg00297876,cg00435606,cg00759573,cg02538829,cg02596089,cg02605776,cg03124146,cg03233793,cg03354717,cg04027059,cg04337056,cg04647982,cg04895616,cg06098368,cg06410284,cg06507634,cg06617961,cg07200871,cg07388216,cg07645761,cg07786254,cg08626932,cg08888354,cg09084477,cg09092052,cg09796320,cg09898978,cg11534293,cg12078775,cg14090916,cg14815743,cg16340103,cg16562776,cg17006282,cg17847861,cg19206486,cg19495714,cg21098323,cg23542590,cg23995446,cg25261547,cg25976804,cg26310483	E032	1.00e+00
-2.690	9.97e-01	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg00297876,cg00435606,cg00759573,cg02538829,cg02605776,cg03043130,cg03124146,cg03233793,cg03354717,cg04027059,cg04337056,cg04647982,cg04895616,cg06098368,cg06410284,cg06507634,cg06617961,cg07200871,cg07388216,cg07549924,cg07645761,cg07786254,cg08626932,cg08888354,cg09084477,cg09092052,cg09796320,cg09898978,cg10725861,cg11534293,cg13495693,cg14090916,cg15655495,cg17006282,cg17330048,cg17847861,cg19206486,cg19495714,cg21098323,cg23542590,cg23995446,cg25261547,cg26310483	E033	1.00e+00
-3.745	1.00e+00	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg00297876,cg00435606,cg00759573,cg02538829,cg02596089,cg02605776,cg03043130,cg03124146,cg03233793,cg03354717,cg04027059,cg04337056,cg04647982,cg04895616,cg06098368,cg06410284,cg06507634,cg06617961,cg07200871,cg07388216,cg07645761,cg08626932,cg08888354,cg09084477,cg09092052,cg09796320,cg09898978,cg10725861,cg13495693,cg14815743,cg15215348,cg16340103,cg16547529,cg16562776,cg17006282,cg17330048,cg17847861,cg19206486,cg19495714,cg21098323,cg23542590,cg23995446,cg25976804,cg26310483	E034	1.00e+00
-3.524	1.00e+00	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg00297876,cg00435606,cg00759573,cg02538829,cg02605776,cg03124146,cg03233793,cg03354717,cg04027059,cg04337056,cg04647982,cg06098368,cg06410284,cg06507634,cg06617961,cg07200871,cg07388216,cg07645761,cg07786254,cg08243619,cg08626932,cg08888354,cg09084477,cg09092052,cg09320731,cg09796320,cg09898978,cg13495693,cg17006282,cg17847861,cg19206486,cg19495714,cg21098323,cg23542590,cg23995446,cg25261547,cg26310483	E046	1.00e+00
-4.127	1.00e+00	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg00297876,cg00435606,cg00805880,cg01707795,cg02538829,cg02596089,cg02605776,cg03124146,cg03233793,cg03354717,cg04027059,cg04647982,cg06098368,cg06410284,cg06507634,cg06617961,cg07064495,cg07200871,cg07388216,cg07549924,cg07645761,cg08626932,cg08888354,cg09084477,cg09092052,cg09796320,cg13495693,cg14724749,cg15073666,cg15215348,cg15655495,cg16340103,cg16562776,cg17006282,cg17847861,cg17932096,cg19206486,cg19495714,cg22694067,cg23542590,cg23738353,cg23995446,cg24729221,cg25261547,cg26310483,cg26605683	E050	1.00e+00
-3.558	1.00e+00	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg00297876,cg00805880,cg02538829,cg02596089,cg02605776,cg03043130,cg03124146,cg03233793,cg03354717,cg04027059,cg04647982,cg04895616,cg06098368,cg06410284,cg06507634,cg06617961,cg07200871,cg07388216,cg07549924,cg07645761,cg08626932,cg08888354,cg09084477,cg09092052,cg09796320,cg11086421,cg12078775,cg13495693,cg14724749,cg16340103,cg16562776,cg17006282,cg17847861,cg17932096,cg19206486,cg19495714,cg20260127,cg22694067,cg23542590,cg23738353,cg23995446,cg25261547,cg26310483,cg26605683	E051	1.00e+00
-6.327	1.00e+00	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg02538829,cg02596089,cg03233793,cg03354717,cg04647982,cg07388216,cg07549924,cg08626932,cg08888354,cg09084477,cg09092052,cg09796320,cg09898978,cg11383474,cg13495693,cg14090916,cg15655495,cg23824713,cg23995446,cg26310483	E028	1.00e+00
-8.499	1.00e+00	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg00435606,cg00805880,cg01074584,cg02538829,cg02539074,cg03233793,cg04647982,cg06507634,cg06643849,cg07200871,cg07549924,cg07645761,cg08243619,cg08714996,cg08888354,cg09092052,cg09796320,cg10347828,cg11534293,cg13495693,cg14090916,cg14724749,cg15215348,cg15548198,cg17006282,cg17330048,cg17932096,cg18677906,cg19206486,cg22694067,cg23995446,cg25261547,cg26310483,cg26605683	E003	1.00e+00
-7.284	1.00e+00	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg00435606,cg01074584,cg02538829,cg02539074,cg02596089,cg02605776,cg03233793,cg04647982,cg07200871,cg07212940,cg07549924,cg07786254,cg08714996,cg08888354,cg09084477,cg09092052,cg09796320,cg11534293,cg13495693,cg14090916,cg15215348,cg15548198,cg17006282,cg17330048,cg17932096,cg18677906,cg19206486,cg22694067,cg23542590,cg25261547,cg25340050,cg26310483	E004	1.00e+00
