Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
9.229	8.50e-15	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig.gz	cg00008629,cg00130530,cg00159243,cg00252813,cg00417304,cg00548098,cg00921350,cg01127300,cg01437204,cg01538305,cg01649611,cg01971407,cg02003183,cg02470690,cg02583484,cg02711608,cg02716826,cg02810967,cg03038262,cg03224418,cg03240059,cg03725309,cg03929796,cg03935116,cg04080291,cg04424621,cg04597545,cg04608933,cg04772644,cg04881228,cg04973995,cg05007163,cg05209483,cg05237436,cg05492306,cg05557932,cg05673882,cg06285727,cg06762457,cg06826457,cg06970472,cg07057831,cg07461772,cg07573985,cg07626482,cg07643930,cg07786657,cg07884764,cg07922154,cg08099136,cg08101174,cg08138505,cg08140114,cg08822075,cg08893087,cg08996521,cg09046979,cg09182189,cg09395195,cg09578353,cg10064322,cg10421247,cg10508317,cg12170787,cg12269535,cg12303084,cg12394289,cg13518625,cg13823169,cg14380013,cg14576319,cg14975410,cg14977069,cg15212369,cg15415259,cg16049283,cg16903811,cg17803993,cg17971578,cg18103548,cg18468088,cg19004565,cg19266329,cg19631472,cg21140898,cg21393163,cg21815220,cg21990700,cg22042546,cg22407942,cg22579075,cg22708738,cg23372422,cg23437216,cg23683800,cg24707889,cg24916358,cg25165199,cg25362050,cg25919221,cg25953130,cg26470501,cg26841068	GSM701525	2.85e-13
5.761	1.75e-07	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig.gz	cg00130530,cg00159243,cg00252813,cg00310412,cg00417304,cg01127300,cg01340312,cg01437204,cg01538305,cg02003183,cg02212836,cg02470690,cg03224418,cg03725309,cg03929796,cg03935116,cg04608933,cg04772644,cg04973995,cg05209483,cg05237436,cg05492306,cg05557932,cg05673882,cg06285727,cg06762457,cg06826457,cg06946797,cg06970472,cg07057831,cg07328519,cg07461772,cg07573985,cg07626482,cg07643930,cg07711192,cg07884764,cg07922154,cg08099136,cg08138505,cg08822075,cg08893087,cg09046979,cg09125127,cg09182189,cg09395195,cg09452027,cg09578353,cg10064322,cg10421247,cg10589813,cg12170787,cg12269535,cg12394289,cg12616487,cg13823169,cg14901243,cg14977069,cg15212369,cg15415259,cg15789723,cg16049283,cg16903811,cg17803993,cg17840178,cg17971578,cg18103548,cg18468088,cg19004565,cg19266329,cg19631472,cg19940644,cg20595453,cg21393163,cg21429551,cg21815220,cg21990700,cg22407942,cg22708738,cg22881435,cg23372422,cg23437216,cg24296397,cg24694018,cg24807889,cg24916358,cg25362050,cg26276120,cg26352795,cg26841068	GSM701526	1.40e-06
8.615	2.60e-14	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig.gz	cg00008629,cg00130530,cg00159243,cg00252813,cg00310412,cg00417304,cg00921350,cg01127300,cg01281718,cg01340312,cg01437204,cg01538305,cg02003183,cg02212836,cg02470690,cg02583484,cg02711608,cg02716826,cg03038262,cg03224418,cg03240059,cg03725309,cg03929796,cg03935116,cg04424621,cg04597545,cg04608933,cg04772644,cg04973995,cg05209483,cg05237436,cg05557932,cg05673882,cg06285727,cg06298346,cg06762457,cg06826457,cg06970472,cg07057831,cg07336872,cg07461772,cg07573985,cg07589968,cg07626482,cg07643930,cg07786657,cg07884764,cg07922154,cg08099136,cg08138505,cg08140114,cg08822075,cg08996521,cg09046979,cg09182189,cg09395195,cg09578353,cg10421247,cg10508317,cg11095027,cg11927233,cg12170787,cg12269535,cg12303084,cg12394289,cg13518625,cg13823169,cg14576319,cg14901243,cg14975410,cg14977069,cg15789723,cg16037711,cg16049283,cg16903811,cg17333042,cg17803993,cg17840178,cg17971578,cg18302606,cg18468088,cg19266329,cg19631472,cg20595453,cg21140898,cg21393163,cg21429551,cg21815220,cg22042546,cg22407942,cg22708738,cg22881435,cg23372422,cg23437216,cg23842572,cg24707889,cg24916358,cg25165199,cg25325512,cg25362050,cg25919221,cg25953130,cg26276120,cg26352795,cg26470501,cg26841068,cg26905258,cg27425327	GSM665837	8.01e-13
9.414	8.08e-19	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig.gz	cg00008629,cg00130530,cg00159243,cg00252813,cg00310412,cg00417304,cg00921350,cg01015663,cg01127300,cg01281718,cg01340312,cg01437204,cg01538305,cg02003183,cg02212836,cg02297838,cg02470690,cg02583484,cg02628680,cg02711608,cg02716826,cg03038262,cg03149958,cg03180426,cg03224418,cg03240059,cg03725309,cg03929796,cg03935116,cg04424621,cg04597545,cg04608933,cg04772644,cg04881228,cg04973995,cg05007163,cg05209483,cg05237436,cg05492306,cg05557932,cg05673882,cg06285727,cg06298346,cg06762457,cg06826457,cg06946797,cg06970472,cg07057831,cg07328519,cg07336872,cg07461772,cg07573985,cg07626482,cg07643930,cg07711192,cg07786657,cg07884764,cg07922154,cg08099136,cg08138505,cg08140114,cg08255475,cg08822075,cg08893087,cg08996521,cg09046979,cg09125127,cg09182189,cg09395195,cg09452027,cg09578353,cg10064322,cg10421247,cg10508317,cg10917602,cg11927233,cg12170787,cg12269535,cg12303084,cg12394289,cg12616487,cg13518625,cg13693517,cg13823169,cg14237301,cg14476101,cg14576319,cg14580211,cg14901243,cg14975410,cg14977069,cg15212369,cg15415259,cg15789723,cg16037711,cg16049283,cg16433462,cg16552271,cg16903811,cg17333042,cg17803993,cg17840178,cg17848515,cg17971578,cg18103548,cg18302606,cg18363008,cg18468088,cg19004565,cg19266329,cg19631472,cg20595453,cg21140898,cg21393163,cg21429551,cg21815220,cg22042546,cg22407942,cg22708738,cg22749855,cg23372422,cg23437216,cg23635560,cg23842572,cg24160243,cg24437104,cg24694018,cg24707889,cg24916358,cg25165199,cg25325512,cg25362050,cg25919221,cg25953130,cg26276120,cg26352795,cg26470501,cg26841068,cg27425327	GSM701516	1.08e-16
10.264	2.44e-20	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig.gz	cg00008629,cg00130530,cg00159243,cg00252813,cg00417304,cg00548098,cg00921350,cg01127300,cg01281718,cg01340312,cg01437204,cg01538305,cg01649611,cg01971407,cg02003183,cg02212836,cg02297838,cg02470690,cg02583484,cg02628680,cg02711608,cg02716826,cg03038262,cg03149958,cg03180426,cg03224418,cg03240059,cg03725309,cg03929796,cg03935116,cg04080291,cg04424621,cg04597545,cg04608933,cg04772644,cg04881228,cg04973995,cg05007163,cg05135521,cg05209483,cg05237436,cg05492306,cg05557932,cg05673882,cg06285727,cg06298346,cg06762457,cg06826457,cg06946797,cg06970472,cg07057831,cg07328519,cg07336872,cg07461772,cg07573985,cg07626482,cg07643930,cg07711192,cg07786657,cg07884764,cg07922154,cg07960624,cg08099136,cg08138505,cg08140114,cg08324925,cg08822075,cg08893087,cg08996521,cg09046979,cg09125127,cg09182189,cg09395195,cg09452027,cg09578353,cg10064322,cg10421247,cg10508317,cg10589813,cg10917602,cg11095027,cg11927233,cg12170787,cg12269535,cg12303084,cg12394289,cg12559228,cg12616487,cg13518625,cg13823169,cg14237301,cg14576319,cg14580211,cg14901243,cg14975410,cg14977069,cg15212369,cg15415259,cg15789723,cg16037711,cg16049283,cg16736826,cg16903811,cg17333042,cg17803993,cg17840178,cg17848515,cg17971578,cg18103548,cg18302606,cg18363008,cg18468088,cg19004565,cg19266329,cg19631472,cg21140898,cg21393163,cg21429551,cg21815220,cg21990700,cg22042546,cg22407942,cg22708738,cg22749855,cg23372422,cg23437216,cg23683800,cg24694018,cg24707889,cg24807889,cg24916358,cg25165199,cg25325512,cg25362050,cg25919221,cg25953130,cg26276120,cg26352795,cg26470501,cg26841068,cg27115863,cg27178677,cg27425327	GSM701489	7.63e-18
10.271	1.61e-20	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig.gz	cg00008629,cg00130530,cg00159243,cg00252813,cg00310412,cg00417304,cg00548098,cg00921350,cg01015663,cg01127300,cg01281718,cg01340312,cg01437204,cg01538305,cg01649611,cg01971407,cg02003183,cg02212836,cg02470690,cg02583484,cg02716826,cg02810967,cg03038262,cg03224418,cg03240059,cg03725309,cg03929796,cg03935116,cg04080291,cg04424621,cg04597545,cg04608933,cg04772644,cg04881228,cg04973995,cg05007163,cg05209483,cg05237436,cg05492306,cg05557932,cg05673882,cg06285727,cg06762457,cg06826457,cg06946797,cg06970472,cg07057831,cg07336872,cg07461772,cg07573985,cg07626482,cg07643930,cg07711192,cg07786657,cg07884764,cg07960624,cg08099136,cg08138505,cg08140114,cg08255475,cg08822075,cg08893087,cg08996521,cg09125127,cg09182189,cg09191173,cg09395195,cg09452027,cg09578353,cg10064322,cg10421247,cg10508317,cg11095027,cg11927233,cg12170787,cg12269535,cg12303084,cg12394289,cg12616487,cg13150925,cg13518625,cg13823169,cg14237301,cg14380013,cg14576319,cg14901243,cg14975410,cg14977069,cg15212369,cg15415259,cg15789723,cg16037711,cg16049283,cg16903811,cg17333042,cg17803993,cg17848515,cg17971578,cg18070593,cg18103548,cg18302606,cg18468088,cg18651578,cg19004565,cg19266329,cg19631472,cg20595453,cg21140898,cg21393163,cg21429551,cg21815220,cg21990700,cg22042546,cg22407942,cg22708738,cg23372422,cg23437216,cg23683800,cg24707889,cg24859433,cg24916358,cg25165199,cg25325512,cg25362050,cg25919221,cg25953130,cg26276120,cg26841068,cg27425327	GSM701491	6.05e-18
9.369	2.92e-17	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig.gz	cg00008629,cg00130530,cg00159243,cg00252813,cg00285394,cg00417304,cg00548098,cg00921350,cg01127300,cg01281718,cg01340312,cg01538305,cg01649611,cg02003183,cg02212836,cg02470690,cg02583484,cg02711608,cg02716826,cg03038262,cg03224418,cg03240059,cg03725309,cg03929796,cg03935116,cg04424621,cg04608933,cg04772644,cg04973995,cg05007163,cg05209483,cg05237436,cg05492306,cg05557932,cg05673882,cg06285727,cg06298346,cg06762457,cg06826457,cg06970472,cg07057831,cg07461772,cg07573985,cg07626482,cg07643930,cg07711192,cg07786657,cg07884764,cg07922154,cg07960624,cg08099136,cg08138505,cg08140114,cg08255475,cg08822075,cg08893087,cg08996521,cg09046979,cg09125127,cg09191173,cg09395195,cg09452027,cg09578353,cg10064322,cg10421247,cg10508317,cg10917602,cg11927233,cg12170787,cg12269535,cg12303084,cg12394289,cg12616487,cg13150925,cg13518625,cg13823169,cg14237301,cg14576319,cg14901243,cg14975410,cg14977069,cg15212369,cg15415259,cg15789723,cg16037711,cg16049283,cg16903811,cg17333042,cg17803993,cg17971578,cg18070593,cg18103548,cg18302606,cg18468088,cg19004565,cg19266329,cg19631472,cg21140898,cg21393163,cg21815220,cg21990700,cg22042546,cg22407942,cg22708738,cg22749855,cg22805381,cg23437216,cg23635560,cg23683800,cg24707889,cg24807889,cg24859433,cg24916358,cg25362050,cg25919221,cg25953130,cg26276120,cg26470501,cg26841068,cg26905258,cg27425327	GSM665812	1.99e-15
9.147	9.18e-16	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig.gz	cg00008629,cg00130530,cg00159243,cg00252813,cg00417304,cg00548098,cg00921350,cg01015663,cg01127300,cg01281718,cg01340312,cg01437204,cg01538305,cg01649611,cg02003183,cg02212836,cg02470690,cg02583484,cg02711608,cg02716826,cg03038262,cg03224418,cg03240059,cg03725309,cg03929796,cg03935116,cg04080291,cg04424621,cg04597545,cg04608933,cg04772644,cg04881228,cg04973995,cg05209483,cg05237436,cg05492306,cg05557932,cg05673882,cg06285727,cg06298346,cg06762457,cg06826457,cg06946797,cg06970472,cg07057831,cg07336872,cg07573985,cg07626482,cg07643930,cg07711192,cg07786657,cg07884764,cg07922154,cg07960624,cg08099136,cg08138505,cg08140114,cg08822075,cg08893087,cg08996521,cg09395195,cg09452027,cg09578353,cg10421247,cg10508317,cg11095027,cg12170787,cg12269535,cg12303084,cg12394289,cg12616487,cg12765567,cg13518625,cg13823169,cg14576319,cg14580211,cg14975410,cg14977069,cg15415259,cg15789723,cg16049283,cg16903811,cg17333042,cg17803993,cg17840178,cg17848515,cg17971578,cg18103548,cg18302606,cg18468088,cg19004565,cg19266329,cg19631472,cg21140898,cg21393163,cg21429551,cg21815220,cg21990700,cg22042546,cg22407942,cg22708738,cg22749855,cg23372422,cg23437216,cg23683800,cg24694018,cg24707889,cg24859433,cg24916358,cg25165199,cg25362050,cg25919221,cg25953130,cg26276120,cg26841068,cg27115863	GSM665839	4.01e-14
9.444	9.60e-19	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig.gz	cg00008629,cg00130530,cg00159243,cg00252813,cg00285394,cg00310412,cg00417304,cg00921350,cg01127300,cg01281718,cg01340312,cg01437204,cg01538305,cg01971407,cg02003183,cg02212836,cg02470690,cg02583484,cg02628680,cg02711608,cg02716826,cg02810967,cg03038262,cg03149958,cg03180426,cg03224418,cg03240059,cg03636183,cg03725309,cg03929796,cg03935116,cg04080291,cg04096767,cg04424621,cg04597545,cg04608933,cg04772644,cg04973995,cg05007163,cg05209483,cg05237436,cg05492306,cg05557932,cg05575921,cg05673882,cg06285727,cg06298346,cg06762457,cg06826457,cg06946797,cg06970472,cg07057831,cg07328519,cg07336872,cg07461772,cg07573985,cg07626482,cg07643930,cg07786657,cg07884764,cg07922154,cg08099136,cg08101174,cg08138505,cg08140114,cg08255475,cg08822075,cg08893087,cg08996521,cg09046979,cg09125127,cg09182189,cg09395195,cg09452027,cg09578353,cg10064322,cg10421247,cg10508317,cg10589813,cg10917602,cg11660018,cg12170787,cg12269535,cg12303084,cg12394289,cg12616487,cg13518625,cg13823169,cg14237301,cg14576319,cg14580211,cg14901243,cg14975410,cg14977069,cg15212369,cg15415259,cg15789723,cg16037711,cg16049283,cg16903811,cg17333042,cg17803993,cg17848515,cg17971578,cg18103548,cg18302606,cg18363008,cg18468088,cg19004565,cg19266329,cg19631472,cg21140898,cg21393163,cg21429551,cg21815220,cg21990700,cg22042546,cg22407942,cg22708738,cg22749855,cg23372422,cg23437216,cg23635560,cg24694018,cg24707889,cg24807889,cg24859433,cg24916358,cg25165199,cg25325512,cg25362050,cg25875537,cg25919221,cg25953130,cg26276120,cg26352795,cg26470501,cg26841068,cg27425327	GSM817166	1.20e-16
10.235	6.45e-20	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig.gz	cg00008629,cg00130530,cg00159243,cg00252813,cg00285394,cg00417304,cg00548098,cg00921350,cg01015663,cg01127300,cg01281718,cg01340312,cg01437204,cg01538305,cg01582947,cg01649611,cg01971407,cg02003183,cg02212836,cg02470690,cg02583484,cg02711608,cg02716826,cg03038262,cg03180426,cg03224418,cg03240059,cg03636183,cg03725309,cg03929796,cg03935116,cg04080291,cg04424621,cg04608933,cg04610187,cg04772644,cg04881228,cg04973995,cg05007163,cg05209483,cg05492306,cg05575921,cg05673882,cg06285727,cg06298346,cg06762457,cg06826457,cg07057831,cg07328519,cg07336872,cg07461772,cg07573985,cg07626482,cg07643930,cg07711192,cg07786657,cg07884764,cg07922154,cg07960624,cg08099136,cg08138505,cg08140114,cg08250921,cg08255475,cg08822075,cg08893087,cg08996521,cg09046979,cg09182189,cg09395195,cg09452027,cg09578353,cg10064322,cg10421247,cg10508317,cg10917602,cg12170787,cg12269535,cg12303084,cg12394289,cg12559228,cg13518625,cg13823169,cg14237301,cg14576319,cg14901243,cg14975410,cg14977069,cg15212369,cg15415259,cg15789723,cg16037711,cg16049283,cg16903811,cg17333042,cg17803993,cg17840178,cg17848515,cg17971578,cg18103548,cg18302606,cg18468088,cg18879828,cg19004565,cg19266329,cg19631472,cg20595453,cg21099148,cg21393163,cg21429551,cg21815220,cg21990700,cg22042546,cg22407942,cg22708738,cg23372422,cg23437216,cg23635560,cg23683800,cg24694018,cg24807889,cg24859433,cg24916358,cg25165199,cg25362050,cg25875537,cg25919221,cg25953130,cg26276120,cg26841068,cg27115863,cg27425327	GSM701539	1.51e-17
