Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
1.721	8.89e-02	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg02738868,cg03111156,cg03299066,cg04155830,cg04815626,cg04873548,cg05255305,cg15500907,cg16273766,cg17128892,cg17279912,cg18614779,cg22511904,cg26184812	E029	5.08e-01
3.398	4.17e-03	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg02575448,cg02738868,cg03032247,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg12304215,cg14603358,cg16273766,cg17128892,cg17279912,cg18614779,cg20822372,cg21760990,cg22511904,cg26184812,cg26427270	E032	9.98e-02
2.977	8.67e-03	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg02575448,cg02738868,cg03111156,cg03299066,cg04155830,cg04525491,cg04815626,cg04873548,cg05255305,cg07380563,cg14603358,cg16273766,cg17128892,cg17279912,cg18614779,cg21760990,cg22511904,cg26184812,cg26427270	E033	1.60e-01
3.610	2.43e-03	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg02575448,cg02738868,cg03032247,cg03111156,cg03299066,cg03935432,cg04155830,cg04525491,cg04815626,cg04873548,cg05255305,cg07380563,cg12304215,cg14603358,cg16273766,cg17128892,cg17279912,cg21760990,cg22511904,cg26184812,cg26427270,cg26886252	E034	9.98e-02
3.380	4.21e-03	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg02575448,cg02738868,cg03032247,cg03111156,cg03299066,cg03935432,cg04155830,cg04525491,cg04815626,cg04873548,cg05255305,cg07380563,cg12304215,cg14603358,cg16273766,cg17128892,cg17279912,cg18614779,cg22511904,cg26184812	E046	9.98e-02
4.618	7.92e-05	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg02575448,cg02738868,cg03111156,cg03299066,cg03935432,cg04155830,cg04525491,cg04815626,cg04852443,cg04873548,cg05255305,cg07825799,cg14603358,cg15229570,cg15500907,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg20822372,cg21760990,cg22511904,cg26184812,cg26427270,cg26886252	E050	1.31e-02
3.431	3.07e-03	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg02575448,cg02738868,cg03111156,cg03299066,cg04155830,cg04525491,cg04815626,cg04873548,cg05255305,cg07825799,cg14603358,cg15500907,cg16273766,cg17128892,cg17279912,cg18614779,cg20822372,cg21760990,cg22511904,cg26184812,cg26427270	E051	9.98e-02
1.257	1.63e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg02296708,cg02738868,cg03299066,cg04155830,cg04815626,cg04873548,cg05255305,cg07380563,cg09671989,cg15500907,cg16273766,cg17128892,cg17279912,cg21760990,cg22511904,cg26184812	E028	7.74e-01
2.143	5.48e-02	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg02034311,cg02296708,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg14603358,cg15666308,cg16273766,cg17128892,cg17279912,cg18614779,cg22058099,cg22511904,cg24643625,cg26184812,cg26427270	E003	3.58e-01
2.085	5.07e-02	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg02034311,cg02296708,cg03111156,cg03299066,cg04155830,cg04525491,cg04815626,cg04873548,cg05255305,cg14603358,cg15229570,cg15666308,cg16273766,cg17128892,cg17279912,cg21760990,cg22058099,cg22511904,cg24643625,cg26184812,cg26427270	E004	3.58e-01
1.433	1.30e-01	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	DHS	E005-DNase.hotspot.fdr0.01.broad.bed.gz	cg00389547,cg03032247,cg03299066,cg04155830,cg04815626,cg04873548,cg05255305,cg12957132,cg14603358,cg16273766,cg17128892,cg17279912,cg26184812	E005	6.75e-01
1.737	7.94e-02	E006 H1 Derived Mesenchymal Stem Cells	ES Cell	DHS	E006-DNase.hotspot.fdr0.01.broad.bed.gz	cg00389547,cg02738868,cg03032247,cg03111156,cg03299066,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg14603358,cg15500907,cg16273766,cg17128892,cg17279912,cg22511904,cg26184812	E006	4.70e-01
2.352	4.47e-02	E007 H1 Derived Neuronal Progenitor Cultured Cells	ES Cell	DHS	E007-DNase.hotspot.fdr0.01.broad.bed.gz	cg02034311,cg03032247,cg03111156,cg03299066,cg03935432,cg04155830,cg04525491,cg04815626,cg04852443,cg04873548,cg05255305,cg07380563,cg14603358,cg16188532,cg16273766,cg17128892,cg17279912,cg20822372,cg22058099,cg22511904,cg26184812	E007	3.40e-01
2.817	1.52e-02	E008 H9 Cells	ES Cell	DHS	E008-DNase.hotspot.fdr0.01.broad.bed.gz	cg02034311,cg02296708,cg03032247,cg03111156,cg03299066,cg04155830,cg04525491,cg04815626,cg04852443,cg04873548,cg05255305,cg07380563,cg12304215,cg14603358,cg16188532,cg16273766,cg17128892,cg17279912,cg20822372,cg22058099,cg22511904,cg24643625,cg26184812,cg26427270	E008	2.11e-01
2.466	2.33e-02	E085 Fetal Intestine Small	Feta Intestine Small	DHS	E085-DNase.hotspot.fdr0.01.broad.bed.gz	cg00389547,cg02738868,cg03032247,cg03111156,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg07825799,cg14603358,cg16273766,cg17128892,cg17279912,cg21760990,cg22511904,cg26184812	E085	2.77e-01
0.655	3.25e-01	E080 Fetal Adrenal Gland	Fetal Adrenal Gland	DHS	E080-DNase.hotspot.fdr0.01.broad.bed.gz	cg02575448,cg03032247,cg03299066,cg04155830,cg04525491,cg04815626,cg04873548,cg05255305,cg07825799,cg14603358,cg16273766,cg17128892,cg17279912,cg21760990,cg22058099,cg26184812	E080	1.00e+00
2.977	8.57e-03	E081 Fetal Brain Male	Fetal Brain	DHS	E081-DNase.hotspot.fdr0.01.broad.bed.gz	cg00389547,cg02034311,cg02296708,cg03299066,cg04155830,cg04525491,cg04815626,cg04852443,cg04873548,cg05255305,cg14603358,cg15229570,cg16188532,cg16273766,cg17128892,cg17279912,cg22058099,cg24643625,cg26184812	E081	1.60e-01
