Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
0.276	4.42e-01	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	cg00563932,cg03230711,cg04216117,cg06192289,cg07136054,cg08244085,cg09627757,cg10486655,cg11799172,cg13069247,cg13096260,cg14057772,cg15088539,cg16145216,cg16151977,cg16786712,cg17453456,cg17714703,cg18866599,cg19060550,cg19448935,cg24547885,cg25106322,cg25413575,cg25566730,cg25991122	E029	1.00e+00
1.403	1.14e-01	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	cg02955940,cg03230711,cg03384419,cg04216117,cg05780294,cg06192289,cg07136054,cg08244085,cg09641663,cg09842196,cg10486655,cg10902667,cg11497372,cg11573219,cg11799172,cg12098228,cg13069247,cg13096260,cg14057772,cg15088539,cg15684962,cg16145216,cg16151977,cg16786712,cg17453456,cg17714703,cg18866599,cg19060550,cg19448935,cg20097219,cg24547885,cg25106322,cg25413575,cg25566730,cg25744682,cg25991122	E032	1.00e+00
-0.040	5.64e-01	E033 Primary T cells from cord blood	Blood	H3K4me1	E033-H3K4me1.broadPeak.gz	cg02955940,cg04216117,cg06192289,cg07136054,cg08244085,cg12098228,cg14057772,cg15088539,cg16145216,cg16151977,cg16684811,cg17453456,cg17714703,cg19060550,cg19448935,cg24547885,cg25106322,cg25566730,cg25991122	E033	1.00e+00
0.570	3.45e-01	E034 Primary T cells from peripheral blood	Blood	H3K4me1	E034-H3K4me1.broadPeak.gz	cg00248521,cg00563932,cg02159643,cg02673453,cg02955940,cg03230711,cg03384419,cg04216117,cg04704963,cg05780294,cg06192289,cg07136054,cg08244085,cg09367126,cg10486655,cg11093760,cg11497372,cg11573219,cg11691341,cg11799172,cg12098228,cg13069247,cg13096260,cg14057772,cg15088539,cg15684962,cg16145216,cg16151977,cg16684811,cg16786712,cg17453456,cg17714703,cg18866599,cg19060550,cg19448935,cg20097219,cg25106322,cg25413575,cg25566730,cg25744682,cg25991122	E034	1.00e+00
1.327	1.31e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K4me1	E046-H3K4me1.broadPeak.gz	cg00159953,cg00248521,cg00563932,cg02159643,cg02673453,cg02955940,cg03230711,cg03384419,cg04216117,cg04704963,cg06192289,cg07136054,cg08244085,cg09367126,cg09797337,cg10486655,cg11497372,cg11573219,cg11799172,cg12098228,cg13069247,cg13096260,cg14057772,cg15088539,cg15684962,cg16145216,cg16151977,cg16684811,cg16786712,cg17453456,cg17714703,cg18866599,cg19448935,cg25106322,cg25413575,cg25566730,cg25744682,cg25991122	E046	1.00e+00
0.980	2.08e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me1	E050-H3K4me1.broadPeak.gz	cg00563932,cg02726930,cg03230711,cg04216117,cg04704963,cg05780294,cg06192289,cg07136054,cg08244085,cg09367126,cg09797337,cg10486655,cg10902667,cg11093760,cg11497372,cg11573219,cg11799172,cg12098228,cg13069247,cg13096260,cg14057772,cg15088539,cg15684962,cg16145216,cg16151977,cg16684811,cg16786712,cg17453456,cg17714703,cg18659450,cg18866599,cg19060550,cg19448935,cg20097219,cg24547885,cg25106322,cg25413575,cg25566730,cg25991122	E050	1.00e+00
0.715	2.96e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me1	E051-H3K4me1.broadPeak.gz	cg00563932,cg02726930,cg03230711,cg04216117,cg06192289,cg07136054,cg08244085,cg09367126,cg09797337,cg11093760,cg11497372,cg11573219,cg11799172,cg12098228,cg13069247,cg13096260,cg14057772,cg15088539,cg16145216,cg16151977,cg16684811,cg16786712,cg17453456,cg17714703,cg18866599,cg19060550,cg19448935,cg20097219,cg20911625,cg24547885,cg25106322,cg25413575,cg25566730,cg25991122	E051	1.00e+00
2.012	3.10e-02	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K4me1	E028-H3K4me1.broadPeak.gz	cg00563932,cg00761700,cg02159643,cg02726930,cg02955940,cg03230711,cg04216117,cg05780294,cg08244085,cg09367126,cg09627757,cg09641663,cg09797337,cg10486655,cg11497372,cg11573219,cg11691341,cg11799172,cg14057772,cg14646893,cg15088539,cg15684962,cg16145216,cg16151977,cg16526673,cg16786712,cg17453456,cg17714703,cg18659450,cg18866599,cg19060550,cg19448935,cg20097219,cg20331322,cg24547885,cg25106322,cg25566730,cg25991122,cg26400275	E028	7.00e-01
0.697	2.76e-01	E003 H1 Cells	ES Cell	H3K4me1	E003-H3K4me1.broadPeak.gz	cg00248521,cg00563932,cg01176047,cg02726930,cg02955940,cg03230711,cg07136054,cg07965335,cg08244085,cg09641663,cg09797337,cg10486655,cg11093760,cg11573219,cg11691341,cg14057772,cg15684962,cg16145216,cg16786712,cg17453456,cg17714703,cg18118535,cg18659450,cg18866599,cg19060550,cg19448935,cg20097219,cg20331322,cg23652987,cg25106322,cg25744682,cg25991122,cg26400275	E003	1.00e+00
-0.284	6.61e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K4me1	E004-H3K4me1.broadPeak.gz	cg07136054,cg09641663,cg09797337,cg10486655,cg15684962,cg16145216,cg18118535,cg18659450,cg19060550,cg20097219,cg20331322,cg23652987,cg24547885,cg26400275	E004	1.00e+00
0.249	4.57e-01	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	H3K4me1	E005-H3K4me1.broadPeak.gz	cg00159953,cg00248521,cg00563932,cg00761700,cg01176047,cg02159643,cg03230711,cg04216117,cg07136054,cg08244085,cg09627757,cg09797337,cg10486655,cg10902667,cg11093760,cg11573219,cg11691341,cg11799172,cg12098228,cg13069247,cg14057772,cg14800603,cg15684962,cg16145216,cg16151977,cg17453456,cg17714703,cg18659450,cg18866599,cg19448935,cg20097219,cg20331322,cg20911625,cg23652987,cg24547885,cg25106322,cg25744682,cg25991122,cg26400275	E005	1.00e+00
0.597	3.17e-01	E006 H1 Derived Mesenchymal Stem Cells	ES Cell	H3K4me1	E006-H3K4me1.broadPeak.gz	cg00159953,cg00248521,cg00563932,cg00761700,cg02159643,cg02673453,cg02726930,cg03230711,cg04216117,cg04704963,cg07136054,cg07965335,cg08244085,cg09367126,cg09797337,cg10486655,cg10902667,cg11093760,cg11497372,cg11573219,cg11691341,cg11799172,cg12098228,cg13069247,cg14057772,cg15088539,cg15684962,cg16145216,cg16151977,cg16684811,cg16786712,cg17453456,cg17714703,cg18866599,cg19060550,cg19448935,cg20097219,cg20331322,cg23652987,cg25106322,cg25413575,cg25566730,cg25991122,cg26400275	E006	1.00e+00
1.280	1.28e-01	E007 H1 Derived Neuronal Progenitor Cultured Cells	ES Cell	H3K4me1	E007-H3K4me1.broadPeak.gz	cg00159953,cg00563932,cg00761700,cg01176047,cg02159643,cg02673453,cg02726930,cg03230711,cg04216117,cg05780294,cg06694012,cg07136054,cg07965335,cg08244085,cg09627757,cg09797337,cg10486655,cg11093760,cg11497372,cg11573219,cg12098228,cg14800603,cg15684962,cg16145216,cg16786712,cg17453456,cg17714703,cg18866599,cg19060550,cg19448935,cg20097219,cg20331322,cg20653032,cg20911625,cg23652987,cg24547885,cg25106322,cg25413575,cg25744682,cg25991122	E007	1.00e+00
0.003	5.47e-01	E008 H9 Cells	ES Cell	H3K4me1	E008-H3K4me1.broadPeak.gz	cg05780294,cg07136054,cg07965335,cg09641663,cg10486655,cg11093760,cg14800603,cg15684962,cg16145216,cg17453456,cg17714703,cg18659450,cg20097219,cg20331322,cg23652987,cg24547885,cg25106322,cg25991122	E008	1.00e+00
-0.196	6.29e-01	E085 Fetal Intestine Small	Feta Intestine Small	H3K4me1	E085-H3K4me1.broadPeak.gz	cg00761700,cg03230711,cg04216117,cg07136054,cg08244085,cg09367126,cg09641663,cg10486655,cg10902667,cg11093760,cg11497372,cg11573219,cg11691341,cg12098228,cg13096260,cg14057772,cg14646893,cg15088539,cg16151977,cg16526673,cg16786712,cg17453456,cg17714703,cg18866599,cg19448935,cg20097219,cg20911625,cg23652987,cg24547885,cg25106322,cg25566730,cg25991122,cg26400275	E085	1.00e+00
