Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-5.121	1.00e+00	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg10644885,cg27481141	E063	1.00e+00
-4.110	1.00e+00	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00123090,cg00823480,cg01051098,cg01437709,cg01614759,cg01998785,cg02068052,cg03695871,cg03722757,cg04308301,cg04385523,cg06608224,cg07056602,cg08423755,cg08439122,cg08922698,cg09444226,cg09778927,cg09980470,cg10298741,cg10354401,cg14226212,cg14362073,cg15146567,cg15873326,cg15998596,cg16160637,cg16680864,cg17062760,cg17718238,cg19475270,cg20654602,cg21234134,cg23475294,cg23575099,cg23871276,cg23975326,cg24028828,cg25003924,cg26529864	E063	1.00e+00
2.463	3.60e-02	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg11215870,cg13806461,cg22027879,cg22503106,cg26472183	E063	1.00e+00
4.965	5.37e-06	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg00092426,cg00321711,cg00477633,cg00527937,cg00764582,cg01000631,cg01009225,cg01139080,cg01304182,cg01499988,cg01542143,cg01613077,cg01923915,cg02046836,cg02227075,cg02243624,cg02359181,cg02683853,cg02869730,cg02874537,cg04100865,cg04217850,cg04236871,cg04290133,cg04524109,cg04569594,cg04650104,cg05072637,cg05076510,cg05261121,cg05596757,cg05613273,cg05698970,cg06208130,cg06571036,cg06863152,cg07456972,cg07565042,cg07643489,cg07733260,cg07769280,cg07944332,cg08094347,cg08222787,cg08649376,cg09031958,cg09332506,cg09908050,cg10113951,cg10141168,cg10142874,cg10224250,cg10387956,cg11015284,cg11112605,cg11202380,cg11495942,cg11668148,cg11791710,cg12074090,cg12075669,cg12104982,cg12119581,cg12168006,cg12172163,cg12258670,cg12380988,cg12916632,cg13077072,cg13423371,cg13764085,cg14012059,cg14025883,cg14248318,cg14556243,cg14617280,cg14697045,cg14931486,cg14947564,cg15106081,cg15301710,cg15344640,cg15482717,cg15881027,cg15903936,cg15929700,cg15952483,cg16145720,cg16263722,cg16349667,cg16450797,cg16499536,cg16606719,cg16710124,cg17116500,cg17139328,cg17526357,cg17542165,cg17558547,cg17717565,cg17804141,cg17879351,cg17971251,cg18010432,cg18176312,cg18278420,cg18814289,cg19002713,cg19294517,cg19993461,cg19998289,cg20035380,cg20037145,cg20317437,cg20378916,cg20758387,cg20818756,cg21045547,cg21142557,cg21553305,cg21664942,cg21932513,cg22087490,cg22221575,cg22252112,cg23087931,cg23338316,cg23472776,cg23498922,cg23516680,cg23584308,cg23699170,cg23746329,cg24076840,cg24113459,cg24254196,cg24304533,cg24368962,cg24823679,cg24872571,cg25161908,cg26103369,cg26323242,cg26337091,cg26389822,cg26396322,cg26964704,cg26997652,cg27094581	E063	3.27e-04
6.182	3.91e-10	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00006459,cg00114012,cg00286717,cg00329570,cg00390694,cg00673191,cg00758214,cg00766820,cg00978517,cg00990977,cg01047262,cg01191788,cg01224965,cg01482779,cg01901579,cg01908419,cg01927901,cg02124524,cg02142455,cg02202133,cg02228403,cg02420943,cg02473287,cg02543556,cg02589986,cg02645272,cg02979987,cg02985445,cg03035271,cg03079679,cg03131767,cg03318414,cg03369382,cg03392077,cg03448301,cg03502211,cg03653158,cg03784596,cg03850588,cg03935956,cg04148640,cg04377912,cg04399631,cg04420917,cg04546473,cg04564998,cg04587103,cg04681520,cg04847043,cg05042038,cg05306459,cg05853552,cg05981968,cg06304167,cg06418837,cg06592575,cg06864151,cg06984345,cg07307484,cg07332540,cg07428892,cg07447194,cg07459967,cg07579327,cg07730263,cg07818422,cg07828169,cg07879720,cg07906050,cg08014024,cg08077807,cg08085199,cg08288503,cg08302053,cg08334830,cg08348441,cg08538069,cg08559734,cg08584457,cg08776942,cg08886771,cg08969102,cg09012511,cg09245115,cg09335712,cg09357175,cg09532994,cg09597192,cg09684929,cg10051213,cg10100117,cg10105512,cg10145411,cg10433549,cg10466699,cg10491532,cg10897344,cg11000869,cg11081261,cg11115840,cg11205545,cg11422446,cg11619782,cg11939550,cg12003079,cg12154164,cg12548730,cg12645785,cg12736613,cg13072730,cg13353793,cg13360526,cg13491003,cg13562011,cg13576217,cg13774539,cg13792581,cg13863638,cg13953978,cg14108285,cg14118054,cg14263230,cg14321269,cg14329961,cg14390854,cg14415107,cg14511746,cg14644626,cg14755690,cg14783123,cg14832684,cg14930775,cg15053244,cg15279186,cg15331937,cg15352551,cg15579574,cg15634144,cg15769653,cg15998761,cg16270995,cg16362140,cg16427256,cg16899419,cg16950658,cg17022365,cg17030380,cg17074037,cg17078207,cg17334945,cg17558817,cg17651926,cg17660709,cg17751391,cg17844602,cg17934955,cg17939602,cg18161208,cg18190876,cg18337287,cg18399629,cg18456722,cg18617819,cg18693924,cg18805734,cg19069027,cg19296400,cg19375767,cg19396390,cg19434937,cg19456763,cg19696679,cg19928703,cg19960458,cg19968199,cg20182202,cg20259557,cg20263733,cg20267283,cg20560376,cg20885063,cg20893283,cg20936755,cg21092930,cg21259720,cg21672758,cg21867373,cg22508829,cg22717723,cg22775585,cg22883080,cg22972893,cg22994495,cg23196129,cg23260901,cg23557612,cg23825347,cg23875532,cg23990557,cg23993677,cg24106568,cg24108508,cg24517604,cg24869851,cg25348163,cg25493477,cg25665831,cg25852061,cg25854298,cg25926955,cg26145152,cg26235490,cg26245101,cg26425190,cg26633168,cg26774971,cg27016609,cg27143027,cg27335233	E063	4.30e-08
4.148	2.52e-04	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg00170714,cg01979270,cg02361196,cg02374401,cg02447557,cg02765363,cg05184016,cg05300717,cg06528816,cg06592918,cg06755692,cg06824199,cg06839111,cg07778428,cg08256839,cg11296110,cg12192145,cg12383160,cg12450789,cg13135255,cg13197551,cg13947225,cg16438366,cg17300669,cg17354333,cg18135530,cg18182820,cg20315954,cg22022320,cg23172995,cg25221180,cg25470919,cg26749306	E063	1.15e-02
6.380	2.53e-10	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00638845,cg00714531,cg00742276,cg00851361,cg01119571,cg01137366,cg01284182,cg01291780,cg01310029,cg01439230,cg01671341,cg01976243,cg01978458,cg02133716,cg02233915,cg02324015,cg02332678,cg02402423,cg02436083,cg02503303,cg02856510,cg02930951,cg02951831,cg03119191,cg03189469,cg03210018,cg03492094,cg03651219,cg03666966,cg03812149,cg03983220,cg04202435,cg04497992,cg04721651,cg04806741,cg04883329,cg04933530,cg05045380,cg05056419,cg05178561,cg05194248,cg05219423,cg05380077,cg05447875,cg05541460,cg05543520,cg05642098,cg05786348,cg06070625,cg06127160,cg06391412,cg06437892,cg06449385,cg06475513,cg06483820,cg06566952,cg06612119,cg06958964,cg07299810,cg07589211,cg07636225,cg07908654,cg08061334,cg08652605,cg08884974,cg09040200,cg09080248,cg09247945,cg09458420,cg09565310,cg10120159,cg10220104,cg10815420,cg11266582,cg11606229,cg11770323,cg11799283,cg12060026,cg12077754,cg12396412,cg12402318,cg12605076,cg12629001,cg12667152,cg12773397,cg13051367,cg13054523,cg13064897,cg13073332,cg13221796,cg13298043,cg13458609,cg13459606,cg13531735,cg13628444,cg14140268,cg14140403,cg14179258,cg14184646,cg14190451,cg14265474,cg14378743,cg14769121,cg14849880,cg14991022,cg15123849,cg15402265,cg15767361,cg15988632,cg16122287,cg16147002,cg16182457,cg16191278,cg16330225,cg16597993,cg16677621,cg16714237,cg16856131,cg16953142,cg17218818,cg17384357,cg17519037,cg17936236,cg18367488,cg18455414,cg18455616,cg18655410,cg18783781,cg18830042,cg19198938,cg19260922,cg19344749,cg19582046,cg19686029,cg19791262,cg19791780,cg20216313,cg20493175,cg20831584,cg21067343,cg21140167,cg21237481,cg21568193,cg21575634,cg21931263,cg21994464,cg22069559,cg22797971,cg22816343,cg23054654,cg23149707,cg23205629,cg23414568,cg23464586,cg23911543,cg24014587,cg24358891,cg24380653,cg24541864,cg24712122,cg25159046,cg25308597,cg25475273,cg25602071,cg25738218,cg25799589,cg25877465,cg26024852,cg26252077,cg26584983,cg26804299,cg27046434,cg27341747,cg27508623	E063	2.83e-08
-2.167	1.00e+00	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed		E063	1.00e+00
-1.802	9.87e-01	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed	cg12213680,cg15203376,cg17532497,cg24714082,cg25401182	E063	1.00e+00
-1.142	8.92e-01	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg08940169	E063	1.00e+00
-2.406	9.99e-01	E063 Adipose Nuclei	Adipose	BivFlnk	erc2-chromatin15state-all-files/E063_11_BivFlnk.bed	cg13726456,cg13732043	E063	1.00e+00
-2.171	9.97e-01	E063 Adipose Nuclei	Adipose	EnhBiv	erc2-chromatin15state-all-files/E063_12_EnhBiv.bed	cg16306670,cg17040893,cg26461944	E063	1.00e+00
-3.117	1.00e+00	E063 Adipose Nuclei	Adipose	ReprPC	erc2-chromatin15state-all-files/E063_13_ReprPC.bed	cg00582671,cg00793181,cg01051200,cg03519593,cg04931493,cg06315149,cg08900098,cg10194884,cg12227660,cg14496081,cg17521120,cg18666454,cg20385913,cg21723861,cg23147443,cg24836822,cg27014783	E063	1.00e+00
