Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-4.100	1.00e+00	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig.gz	cg00123478,cg00675133,cg02196294,cg02343823,cg02532700,cg02763617,cg03338220,cg04561804,cg04907595,cg04979435,cg05927068,cg06391982,cg06981386,cg07211044,cg07964538,cg08464824,cg09721659,cg09760963,cg09837361,cg10312186,cg10599571,cg10830889,cg11902777,cg12630461,cg13838969,cg14157435,cg14485097,cg14565151,cg15016771,cg15091747,cg15726169,cg15809578,cg16071219,cg17140307,cg18449062,cg20065768,cg21120678,cg21574675,cg22488352,cg24435571,cg24449302,cg24500683,cg24626003,cg25881170,cg26783428	GSM701525	1.00e+00
-2.852	9.98e-01	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig.gz	cg00320288,cg00675133,cg00994804,cg02185666,cg02196294,cg02343823,cg02532700,cg02763617,cg03338220,cg04358214,cg04561804,cg04905201,cg04979435,cg05927068,cg06391982,cg06981386,cg07964538,cg08026735,cg08463485,cg08464824,cg09721659,cg09837361,cg10312186,cg10387769,cg10599571,cg10830889,cg11233340,cg11642681,cg11898431,cg11902777,cg12630461,cg13431464,cg13838969,cg14157435,cg14179389,cg15091747,cg15726169,cg15809578,cg16548362,cg17140307,cg18449062,cg20059928,cg20065768,cg20785560,cg21120678,cg21574675,cg22488352,cg22703520,cg24435571,cg24449302,cg24500683,cg24626003,cg24657523,cg25257677,cg25311764,cg25881170,cg26783428,cg26876647,cg26889659	GSM701526	1.00e+00
-4.370	1.00e+00	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig.gz	cg00123478,cg00213123,cg00675133,cg00994804,cg01101380,cg02196294,cg02227813,cg02532700,cg02763617,cg03338220,cg04561804,cg04979435,cg05927068,cg06391982,cg06981386,cg07720188,cg07964538,cg08464824,cg08511651,cg08764927,cg09721659,cg09837361,cg10312186,cg10599571,cg10830889,cg11898431,cg11902777,cg12630461,cg14179389,cg14485097,cg15016771,cg15726169,cg15809578,cg16071219,cg20065768,cg21120678,cg21574675,cg22488352,cg22703520,cg23790219,cg24435571,cg24449302,cg24500683,cg24626003,cg24657523,cg24915511,cg25881170,cg26783428,cg26889659	GSM665837	1.00e+00
-2.451	9.90e-01	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig.gz	cg00057231,cg00123478,cg00213123,cg00479240,cg00675133,cg00994804,cg01571001,cg02019125,cg02196294,cg02227813,cg02343823,cg02532700,cg02611770,cg02763617,cg03338220,cg04358214,cg04396550,cg04561804,cg04905201,cg04979435,cg05697249,cg05927068,cg06391982,cg06981386,cg07964538,cg08464824,cg08511651,cg08764927,cg09721659,cg09837361,cg09860781,cg10078511,cg10234985,cg10312186,cg10599571,cg10830889,cg11591485,cg11642681,cg11898431,cg11902777,cg12125332,cg12630461,cg13431464,cg13838969,cg14157435,cg14179389,cg14565151,cg15016771,cg15091747,cg15271616,cg15439725,cg15726169,cg15809578,cg16071219,cg17140307,cg17165695,cg17403609,cg17745339,cg18449062,cg20065768,cg20441135,cg20708516,cg20714328,cg20785560,cg21120678,cg21209395,cg21574675,cg22488352,cg22703520,cg24449302,cg24500683,cg24626003,cg24657523,cg24915511,cg25881170,cg25955817,cg26783428	GSM701516	1.00e+00
-2.842	9.97e-01	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig.gz	cg00123478,cg00213123,cg00675133,cg00994804,cg01571001,cg02196294,cg02227813,cg02343823,cg02532700,cg02763617,cg03274456,cg03287658,cg03338220,cg04358214,cg04396550,cg04561804,cg04907595,cg04979435,cg05065879,cg05927068,cg06391982,cg06511312,cg06686742,cg06981386,cg07211044,cg07964538,cg08067721,cg08464824,cg08511651,cg08764927,cg09457469,cg09721659,cg09837361,cg10234985,cg10312186,cg10387769,cg10599571,cg10830889,cg11642681,cg11898431,cg12125332,cg12630461,cg13431464,cg13838969,cg14157435,cg14485097,cg14565151,cg15016771,cg15091747,cg15271616,cg15726169,cg15809578,cg16071219,cg17140307,cg17165695,cg18449062,cg20065768,cg21120678,cg21209395,cg21574675,cg22488352,cg22703520,cg24435571,cg24449302,cg24500683,cg24612707,cg24626003,cg24657523,cg24915511,cg25257677,cg25602536,cg25881170,cg25955817,cg26783428,cg26876647	GSM701489	1.00e+00
-3.852	1.00e+00	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig.gz	cg00123478,cg00675133,cg02019125,cg02196294,cg02343823,cg02532700,cg02611770,cg02763617,cg03338220,cg03453374,cg03906115,cg04358214,cg04561804,cg04979435,cg05927068,cg06391982,cg06981386,cg07964538,cg08464824,cg08511651,cg08764927,cg09721659,cg09837361,cg10068437,cg10312186,cg10599571,cg10830889,cg11025974,cg11642681,cg11898431,cg11902777,cg12125332,cg12630461,cg13431464,cg13838969,cg15016771,cg15726169,cg15809578,cg16071219,cg17140307,cg17165695,cg17403609,cg18449062,cg20065768,cg21120678,cg21574675,cg22488352,cg24435571,cg24449302,cg24500683,cg24626003,cg24657523,cg24915511,cg25602536,cg25881170,cg25955817,cg26783428	GSM701491	1.00e+00
-3.935	1.00e+00	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig.gz	cg00123478,cg00213123,cg00675133,cg02019125,cg02196294,cg02227813,cg02343823,cg02532700,cg02611770,cg02763617,cg03338220,cg03453374,cg04358214,cg04561804,cg04907595,cg04979435,cg05927068,cg06391982,cg06411551,cg06981386,cg07964538,cg08026735,cg08464824,cg08511651,cg08764927,cg09837361,cg10234985,cg10312186,cg10599571,cg10704395,cg10830889,cg11902777,cg12630461,cg13838969,cg14157435,cg15016771,cg15091747,cg15726169,cg15809578,cg16071219,cg20065768,cg21120678,cg21574675,cg22488352,cg24435571,cg24449302,cg24488296,cg24500683,cg24626003,cg24657523,cg24915511,cg25257677,cg25311764,cg25602536,cg25881170,cg26783428,cg26876647	GSM665812	1.00e+00
-3.556	1.00e+00	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig.gz	cg00123478,cg00213123,cg00320288,cg00675133,cg00994804,cg02196294,cg02343823,cg02491878,cg02532700,cg02611770,cg02763617,cg03338220,cg04561804,cg04979435,cg05697249,cg05927068,cg06391982,cg06981386,cg07964538,cg08464824,cg08511651,cg09457469,cg09721659,cg09837361,cg10234985,cg10312186,cg10830889,cg11642681,cg11898431,cg12630461,cg13838969,cg14157435,cg14565151,cg15016771,cg15271616,cg15726169,cg15809578,cg16071219,cg16548362,cg17140307,cg20065768,cg21120678,cg21209395,cg21574675,cg22488352,cg22703520,cg24435571,cg24449302,cg24500683,cg24626003,cg24657523,cg24915511,cg25311764,cg25881170,cg25955817,cg26783428,cg26876647,cg26889659	GSM665839	1.00e+00
-3.046	9.98e-01	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig.gz	cg00123478,cg00213123,cg00320288,cg00675133,cg00994804,cg01001533,cg02019125,cg02196294,cg02227813,cg02343823,cg02532700,cg02611770,cg02763617,cg03338220,cg04180046,cg04358214,cg04561804,cg04907595,cg04979435,cg05575921,cg05927068,cg06391982,cg06686742,cg06981386,cg07250758,cg07964538,cg08067721,cg08464824,cg08511651,cg08764927,cg09721659,cg09760963,cg09837361,cg10312186,cg10387769,cg10599571,cg10704395,cg10830889,cg11204974,cg11591485,cg11637005,cg11642681,cg11672277,cg11898431,cg12125332,cg12630461,cg13838969,cg14157435,cg14179389,cg14565151,cg15016771,cg15091747,cg15271616,cg15726169,cg15809578,cg16071219,cg17140307,cg17165695,cg17403609,cg18449062,cg20065768,cg21120678,cg21209395,cg21574675,cg22488352,cg24435571,cg24449302,cg24500683,cg24626003,cg24657523,cg24915511,cg25602536,cg25881170,cg26783428,cg26876647	GSM817166	1.00e+00
-2.252	9.83e-01	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig.gz	cg00123478,cg00213123,cg00320288,cg00675133,cg00994804,cg01101380,cg02196294,cg02343823,cg02532700,cg02763617,cg02938205,cg03287658,cg03338220,cg04180046,cg04358214,cg04396550,cg04561804,cg04979435,cg05575921,cg05927068,cg06391982,cg06411551,cg06686742,cg06981386,cg07964538,cg08067721,cg08464824,cg08511651,cg08764927,cg09457469,cg09721659,cg09837361,cg09860781,cg10078511,cg10234985,cg10312186,cg10387769,cg10599571,cg10830889,cg11642681,cg11731596,cg11898431,cg11902777,cg12125332,cg12630461,cg13838969,cg14157435,cg14485097,cg15016771,cg15091747,cg15271616,cg15726169,cg15809578,cg16071219,cg17140307,cg18449062,cg20059928,cg20065768,cg21120678,cg21209395,cg21574675,cg22488352,cg22703520,cg23277376,cg23450038,cg24435571,cg24449302,cg24500683,cg24626003,cg24657523,cg24915511,cg25602536,cg25881170,cg26783428,cg27383418,cg27454064	GSM701539	1.00e+00
