Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
0.555	3.17e-01	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg00161683,cg00166352,cg01624068,cg01947482,cg01954320,cg02068538,cg02106116,cg02244204,cg02446170,cg02575764,cg02592473,cg02900669,cg02920546,cg03032253,cg03145199,cg03162686,cg03170171,cg03301189,cg03392565,cg03401656,cg03421358,cg03585053,cg03716245,cg03805782,cg04117460,cg04138846,cg04735481,cg04744301,cg04905644,cg04984521,cg05089897,cg05147195,cg05155864,cg05174446,cg05302218,cg05778706,cg05871425,cg05993265,cg06033531,cg06038472,cg06344268,cg06475370,cg06603309,cg06916574,cg07546102,cg07698591,cg08082792,cg08633242,cg08766770,cg08789739,cg08941873,cg09016814,cg09096824,cg09132577,cg10071602,cg10225612,cg10474126,cg10755516,cg11168112,cg11355225,cg11716884,cg11844800,cg11867574,cg11890641,cg12090885,cg12230883,cg12335414,cg12586150,cg12844997,cg13334304,cg13400249,cg13707777,cg13834366,cg13883438,cg14150023,cg14373702,cg14548038,cg14605396,cg15212038,cg15332159,cg15418980,cg15550953,cg15704743,cg16421359,cg16468346,cg16649298,cg16820411,cg16984132,cg16986571,cg17258537,cg17659896,cg17820878,cg18077307,cg18104539,cg18172135,cg18300770,cg18365211,cg19046167,cg19176696,cg19584790,cg19616783,cg20014988,cg20167471,cg21406113,cg22248750,cg22772639,cg23214207,cg23290313,cg23389807,cg23599224,cg24324942,cg24337193,cg24547863,cg24562669,cg24757533,cg25024459,cg25067877,cg25342059,cg26019472,cg26206748,cg26256837,cg26536800,cg26690744,cg26856443	E029	1.00e+00
0.640	2.73e-01	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg00161683,cg00166352,cg01624068,cg01947482,cg01954320,cg02068538,cg02106116,cg02244204,cg02263539,cg02446170,cg02546690,cg02592473,cg02844004,cg02900669,cg03032253,cg03145199,cg03162686,cg03170171,cg03208817,cg03301189,cg03392565,cg03401656,cg03421358,cg03522150,cg03561745,cg03585053,cg03707118,cg03716245,cg03805782,cg04117460,cg04138846,cg04196298,cg04337412,cg04744301,cg04905644,cg04920632,cg04984521,cg05089897,cg05147195,cg05155864,cg05174446,cg05599531,cg05620558,cg05751159,cg05778706,cg05871425,cg05993265,cg06033531,cg06038472,cg06344268,cg06452513,cg06475370,cg06567290,cg06916574,cg06927361,cg06962275,cg07277869,cg07546102,cg07698591,cg08082792,cg08633242,cg08766770,cg08789739,cg08800670,cg08864037,cg08941873,cg09016814,cg09096824,cg09132577,cg09709951,cg09750400,cg10058766,cg10071602,cg10225612,cg10446007,cg10474126,cg10607603,cg10755516,cg11068517,cg11168112,cg11355225,cg11716884,cg11867574,cg11890641,cg12060301,cg12230883,cg12335414,cg12454169,cg12586150,cg12844997,cg12924224,cg13303952,cg13334304,cg13400249,cg13707777,cg13834366,cg13883438,cg14150023,cg14373702,cg14548038,cg14605396,cg14760797,cg14823076,cg14834893,cg14851544,cg15212038,cg15332159,cg15418980,cg15550953,cg16230553,cg16262756,cg16421359,cg16468346,cg16649298,cg16795830,cg16820411,cg16984132,cg16986571,cg17022437,cg17258537,cg17488500,cg17820878,cg18077307,cg18104539,cg18261413,cg18300770,cg18397975,cg18456331,cg18683606,cg19485105,cg19584790,cg19616783,cg19802774,cg20014988,cg20167471,cg20256216,cg20260559,cg21406113,cg21751525,cg21787386,cg22772639,cg23290313,cg23389807,cg23599224,cg23753748,cg24324942,cg24337193,cg24562669,cg24757533,cg24929567,cg25024459,cg25067877,cg25342059,cg25976340,cg26019472,cg26099045,cg26206748,cg26256837,cg26428136,cg26536800,cg26682517,cg26690744,cg26856443,cg26948599,cg27510197,cg27521562	E032	1.00e+00
0.021	5.15e-01	E033 Primary T cells from cord blood	Blood	H3K36me3	E033-H3K36me3.broadPeak.gz	cg00161683,cg00166352,cg01009486,cg01624068,cg01878705,cg01947482,cg01954320,cg02068538,cg02244204,cg02446170,cg02546690,cg02592473,cg03032253,cg03145199,cg03162686,cg03170171,cg03301189,cg03392565,cg03401656,cg03421358,cg03522150,cg03585053,cg03707118,cg03716245,cg03805782,cg04089426,cg04117460,cg04138846,cg04744301,cg04905644,cg04984521,cg05089897,cg05147195,cg05155864,cg05778706,cg05871425,cg05993265,cg06033531,cg06038472,cg06344268,cg06475370,cg06519449,cg06603309,cg06916574,cg06962275,cg07546102,cg07698591,cg08082792,cg08633242,cg08766770,cg08789739,cg08941873,cg09016814,cg09132577,cg09709951,cg09750400,cg10071602,cg10225612,cg10474126,cg10755516,cg11168112,cg11890641,cg12060301,cg12230883,cg12335414,cg12586150,cg12844997,cg12924224,cg13400249,cg13707777,cg13834366,cg13883438,cg14088957,cg14257543,cg14289852,cg14373702,cg14834893,cg14851544,cg15212038,cg15332159,cg15418980,cg15550953,cg15704743,cg16421359,cg16468346,cg16619991,cg16649298,cg16820411,cg16986571,cg17242362,cg17258537,cg17488500,cg18077307,cg18300770,cg18365211,cg18397975,cg18406255,cg19584790,cg19616783,cg20167471,cg20256216,cg20260559,cg20351875,cg20552220,cg21165437,cg21406113,cg21645075,cg22020633,cg22772639,cg23290313,cg23389807,cg23599224,cg23695211,cg24324942,cg24337193,cg24547863,cg24562669,cg24757533,cg25024459,cg25067877,cg25342059,cg26019472,cg26206748,cg26256837,cg26536800,cg26682517,cg26690744,cg26856443,cg27263063	E033	1.00e+00
0.928	1.83e-01	E034 Primary T cells from peripheral blood	Blood	H3K36me3	E034-H3K36me3.broadPeak.gz	cg00161683,cg00166352,cg01085225,cg01562537,cg01624068,cg01857819,cg01954320,cg02058358,cg02068538,cg02106116,cg02244204,cg02263539,cg02446170,cg02546690,cg02592473,cg02796258,cg02844004,cg02900669,cg03032253,cg03145199,cg03162686,cg03170171,cg03301189,cg03392565,cg03401656,cg03421358,cg03522150,cg03561745,cg03585053,cg03716245,cg03805782,cg04117460,cg04138846,cg04744301,cg04787675,cg04905644,cg04984521,cg05089897,cg05147195,cg05155864,cg05163071,cg05174446,cg05620558,cg05778706,cg05871425,cg05993265,cg06033531,cg06038472,cg06344268,cg06452513,cg06475370,cg06567290,cg06603309,cg06916574,cg06962275,cg07114013,cg07546102,cg07698591,cg08082792,cg08633242,cg08766770,cg08789739,cg08800670,cg08864037,cg09016814,cg09132577,cg09750400,cg09782245,cg10071602,cg10225612,cg10474126,cg10755516,cg11150188,cg11168112,cg11355225,cg11838640,cg11867574,cg11890641,cg11984608,cg12060301,cg12090885,cg12230883,cg12335414,cg12497543,cg12504877,cg12586150,cg12720191,cg12844997,cg12924224,cg13334304,cg13400249,cg13707777,cg13834366,cg13883438,cg13904877,cg13990013,cg14044392,cg14150023,cg14337134,cg14373702,cg14823076,cg14834893,cg14851544,cg15212038,cg15332159,cg15418980,cg15550953,cg15564865,cg15679139,cg15704743,cg16032428,cg16264705,cg16421359,cg16619991,cg16649298,cg16820411,cg16984132,cg16986571,cg17022437,cg17242362,cg17258537,cg17488500,cg17659896,cg17820878,cg18077307,cg18104539,cg18236877,cg18261413,cg18300770,cg18365211,cg18397975,cg18683606,cg19046167,cg19176696,cg19584790,cg19616783,cg20014988,cg20167471,cg20253872,cg20256216,cg20260559,cg20351875,cg20552220,cg20695587,cg20798574,cg21210642,cg21406113,cg21645075,cg21751525,cg21787386,cg22772639,cg23182539,cg23290313,cg23389807,cg23599224,cg23695211,cg24324942,cg24547863,cg24562669,cg24757533,cg25024459,cg25067877,cg25342059,cg25976340,cg26019472,cg26206748,cg26256837,cg26536800,cg26690744,cg26856443,cg27207079,cg27263063,cg27665715	E034	1.00e+00
1.159	1.40e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K36me3	E046-H3K36me3.broadPeak.gz	cg00161683,cg00166352,cg01432552,cg01624068,cg01954320,cg02068538,cg02106116,cg02210115,cg02244204,cg02446170,cg02592473,cg02900669,cg03032253,cg03145199,cg03162686,cg03170171,cg03301189,cg03392565,cg03401656,cg03421358,cg03585053,cg03716245,cg03805782,cg04117460,cg04138846,cg04622541,cg04744301,cg04905644,cg04984521,cg05089897,cg05147195,cg05155864,cg05174446,cg05620558,cg05778706,cg05871425,cg05993265,cg06033531,cg06038472,cg06344268,cg06475370,cg06916574,cg06962275,cg07546102,cg07698591,cg08082792,cg08633242,cg08766770,cg08789739,cg08864037,cg09016814,cg09029192,cg09132577,cg09709951,cg10071602,cg10225612,cg10474126,cg10755516,cg11168112,cg11355225,cg11867574,cg11890641,cg12060301,cg12090885,cg12230883,cg12504877,cg12586150,cg12844997,cg13334304,cg13400249,cg13707777,cg13834366,cg13883438,cg14044392,cg14150023,cg14373702,cg14548038,cg14834893,cg14851544,cg15212038,cg15332159,cg15418980,cg15704743,cg16230553,cg16421359,cg16468346,cg16619991,cg16649298,cg16820411,cg16986571,cg17258537,cg17488500,cg17659896,cg17820878,cg18077307,cg18236877,cg18300770,cg18365211,cg18397975,cg18511558,cg19176696,cg19485105,cg19584790,cg19616783,cg20167471,cg20253872,cg20256216,cg20260559,cg20351875,cg20552220,cg21406113,cg21751525,cg22772639,cg23214207,cg23290313,cg23389807,cg23599224,cg23695211,cg24324942,cg24547863,cg24562669,cg24757533,cg25024459,cg25067877,cg25342059,cg26019472,cg26206748,cg26256837,cg26536800,cg26690744,cg26856443,cg27263063,cg27665715	E046	1.00e+00
0.858	2.16e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E050-H3K36me3.broadPeak.gz	cg00161683,cg00166352,cg01009486,cg01624068,cg01766941,cg01947482,cg01954320,cg02068538,cg02106116,cg02244204,cg02446170,cg02546690,cg02575764,cg02592473,cg02844004,cg03032253,cg03145199,cg03162686,cg03170171,cg03301189,cg03401656,cg03421358,cg03522150,cg03716245,cg04117460,cg04138846,cg04187846,cg04196298,cg04744301,cg04787675,cg04905644,cg04984521,cg05089897,cg05147195,cg05155864,cg05302218,cg05318427,cg05328939,cg05778706,cg05871425,cg05993265,cg06033531,cg06038472,cg06344268,cg06475370,cg06916574,cg07109551,cg07546102,cg07698591,cg08051604,cg08082792,cg08112737,cg08633242,cg08659340,cg08766770,cg08789739,cg08864037,cg08884490,cg09016814,cg09096824,cg09132577,cg09457470,cg09709951,cg09782245,cg10071602,cg10225612,cg10474126,cg10607603,cg10755516,cg11168112,cg11355225,cg11716884,cg11867574,cg11890641,cg12060301,cg12090885,cg12230883,cg12497543,cg12504877,cg12586150,cg12844997,cg13400249,cg13707777,cg13834366,cg13904877,cg14088957,cg14150023,cg14373702,cg14548038,cg14834893,cg15112783,cg15212038,cg15332159,cg15418980,cg15550953,cg15704743,cg16230553,cg16421359,cg16468346,cg16649298,cg16820411,cg16986571,cg17258537,cg17488500,cg17659896,cg17820878,cg18077307,cg18300770,cg18397975,cg18456331,cg18511558,cg18683606,cg19046167,cg19584790,cg19616783,cg19684373,cg20167471,cg20253872,cg20256216,cg20260559,cg20929568,cg21406113,cg22772639,cg22976732,cg23214207,cg23290313,cg23389807,cg23599224,cg23695211,cg24324942,cg24337193,cg24429337,cg24547863,cg24562669,cg25024459,cg25067877,cg25342059,cg26019472,cg26206748,cg26256837,cg26536800,cg26682517,cg26690744,cg26856443,cg27263063,cg27665715	E050	1.00e+00
1.076	1.61e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E051-H3K36me3.broadPeak.gz	cg00166352,cg01009486,cg01624068,cg01947482,cg01954320,cg02068538,cg02106116,cg02244204,cg02446170,cg02575764,cg02592473,cg03032253,cg03145199,cg03162686,cg03170171,cg03301189,cg03392565,cg03401656,cg03421358,cg03522150,cg03585053,cg03716245,cg03805782,cg04117460,cg04138846,cg04359527,cg04606053,cg04744301,cg04984521,cg05089897,cg05147195,cg05155864,cg05174446,cg05302218,cg05328939,cg05778706,cg05871425,cg05993265,cg06033531,cg06038472,cg06246094,cg06344268,cg06475370,cg06567290,cg06916574,cg06927361,cg06962275,cg07546102,cg07698591,cg08082792,cg08112737,cg08633242,cg08659340,cg08766770,cg08789739,cg08884490,cg08941873,cg08949924,cg09016814,cg09029192,cg09096824,cg09132577,cg09457470,cg09709951,cg09716545,cg09782245,cg10071602,cg10225612,cg10474126,cg10755516,cg11168112,cg11355225,cg11716884,cg11867574,cg11890641,cg12030710,cg12060301,cg12090885,cg12230883,cg12504877,cg12586150,cg12844997,cg13400249,cg13560794,cg13707777,cg13834366,cg13883438,cg13904877,cg14088957,cg14150023,cg14373702,cg14548038,cg14834893,cg14851544,cg15112783,cg15212038,cg15332159,cg15418980,cg15550953,cg15704743,cg16230553,cg16421359,cg16468346,cg16649298,cg16820411,cg16986571,cg17258537,cg17488500,cg17659896,cg17700835,cg17820878,cg18077307,cg18104539,cg18300770,cg18397975,cg18424841,cg18456331,cg18511558,cg18683606,cg19046167,cg19584790,cg19616783,cg20167471,cg20260559,cg20929568,cg21406113,cg21452025,cg21645075,cg22772639,cg22976732,cg23290313,cg23389807,cg23599224,cg23695211,cg24324942,cg24337193,cg24547863,cg24562669,cg25024459,cg25067877,cg25342059,cg26019472,cg26206748,cg26256837,cg26536800,cg26682517,cg26690744,cg26856443,cg27263063,cg27665715	E051	1.00e+00
0.866	2.23e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K36me3	E028-H3K36me3.broadPeak.gz	cg00161683,cg00166352,cg00403498,cg01624068,cg01954320,cg02068538,cg02106116,cg02244204,cg02446170,cg02546690,cg02592473,cg03145199,cg03170171,cg03301189,cg03401656,cg03522150,cg03716245,cg03805782,cg04117460,cg04138846,cg04331802,cg04744301,cg04787675,cg04905644,cg05089897,cg05155864,cg05778706,cg05871425,cg06038472,cg06201393,cg06475370,cg06916574,cg07546102,cg07698591,cg08633242,cg08659340,cg08766770,cg08789739,cg08864037,cg09016814,cg09132577,cg09207762,cg09709951,cg09750400,cg09824558,cg10225612,cg10755516,cg11168112,cg11355225,cg11716884,cg11890641,cg12090885,cg12230883,cg12586150,cg12844997,cg13028335,cg13033527,cg13334304,cg13400249,cg13707777,cg13834366,cg13883438,cg14150023,cg14373702,cg14605396,cg14834893,cg15212038,cg15332159,cg15550953,cg16018921,cg16230553,cg16421359,cg16483326,cg16649298,cg17242362,cg17258537,cg17488500,cg17820878,cg18077307,cg18104539,cg18365211,cg18397975,cg18406255,cg18683606,cg19600081,cg19616783,cg20256216,cg20260559,cg20929568,cg21227274,cg21452025,cg21787386,cg22248750,cg22772639,cg23290313,cg23389807,cg23599224,cg24163448,cg24324942,cg24337193,cg24562669,cg25024459,cg25342059,cg26256837,cg26536800,cg26682517,cg26690744,cg27263063	E028	1.00e+00
-0.829	8.31e-01	E003 H1 Cells	ES Cell	H3K36me3	E003-H3K36me3.broadPeak.gz	cg00166352,cg00404838,cg00635082,cg01009486,cg01494994,cg01624068,cg01766941,cg01805890,cg01857819,cg01894631,cg01947482,cg01954320,cg02068538,cg02100602,cg02122367,cg02162720,cg02244204,cg02446170,cg02546690,cg02575764,cg02592473,cg02844004,cg03032253,cg03145199,cg03162686,cg03170171,cg03216475,cg03259243,cg03301189,cg03401656,cg03421358,cg03439719,cg03526100,cg03707118,cg03716245,cg03805782,cg04117460,cg04138846,cg04141813,cg04197155,cg04331802,cg04359527,cg04622541,cg04744301,cg04787675,cg04920632,cg05089897,cg05147195,cg05155864,cg05163071,cg05174446,cg05318427,cg05323141,cg05599531,cg05872236,cg05961176,cg05993265,cg06038472,cg06344268,cg06475370,cg06567290,cg06691229,cg07546102,cg07625129,cg07698591,cg08036764,cg08082792,cg08110488,cg08112737,cg08151514,cg08584061,cg08633242,cg08766770,cg08789739,cg08864037,cg08884490,cg08949924,cg09016814,cg09190885,cg09457470,cg09709951,cg09716545,cg09824558,cg09949775,cg10058766,cg10071602,cg10225612,cg10441192,cg10468484,cg10607603,cg10704923,cg10815995,cg11168112,cg11355225,cg11716884,cg11890641,cg11984608,cg12060301,cg12173498,cg12230883,cg12844997,cg12852499,cg12924224,cg13334304,cg13400249,cg13434312,cg13560794,cg13707777,cg13834366,cg13883438,cg13904877,cg14088957,cg14093012,cg14150023,cg14257543,cg14373702,cg14744828,cg14834893,cg15212038,cg15332159,cg15358235,cg15418980,cg15704743,cg16366349,cg16421359,cg16468346,cg16483326,cg16508199,cg16555411,cg16649298,cg16734734,cg16820411,cg16865396,cg16884295,cg17242362,cg17258537,cg17488500,cg17615773,cg17820878,cg18077307,cg18261413,cg18300770,cg18365211,cg18397975,cg18424841,cg18511558,cg18683606,cg19046167,cg19276343,cg19584790,cg19616783,cg19656890,cg19684373,cg20076186,cg20167471,cg20260559,cg20929568,cg21227274,cg21406113,cg21452025,cg21644856,cg21946698,cg22674577,cg22772639,cg23214207,cg23290313,cg23389807,cg23623228,cg23718026,cg24000087,cg24324942,cg24562669,cg24999679,cg25024459,cg25760416,cg26020635,cg26206748,cg26256837,cg26356450,cg26536800,cg26690744,cg26856443,cg27207079,cg27235150,cg27263063	E003	1.00e+00
0.402	3.67e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K36me3	E004-H3K36me3.broadPeak.gz	cg00819871,cg00985958,cg01624068,cg02244204,cg02546690,cg02592473,cg03301189,cg04138846,cg04331802,cg04622541,cg04905644,cg05155864,cg05193435,cg05883269,cg06038472,cg08633242,cg09824558,cg10441192,cg10607603,cg10755516,cg11168112,cg12230883,cg12924224,cg13434312,cg14548038,cg14834893,cg16033723,cg16158863,cg16421359,cg17242362,cg17488500,cg18406255,cg18683606,cg19616783,cg19684373,cg19786602,cg20695587,cg20929568,cg21085701,cg22248750,cg22674577,cg22871204,cg24125890,cg24324942,cg24429337,cg24691911,cg26536800,cg26682517	E004	1.00e+00
