Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-1.745	9.76e-01	E029 Primary monocytes from peripheral blood	Blood	H3K27me3	E029-H3K27me3.broadPeak.gz	cg01130991,cg03078551,cg04286697,cg06500161,cg10508317,cg10717869,cg12593793,cg13134297,cg14476101,cg17901584,cg22875823,cg24145109	E029	1.00e+00
-0.646	7.78e-01	E032 Primary B cells from peripheral blood	Blood	H3K27me3	E032-H3K27me3.broadPeak.gz	cg01130991,cg01368219,cg01671681,cg01751802,cg01798813,cg04816311,cg06690548,cg07021906,cg07037944,cg07504977,cg07730360,cg08857797,cg10508317,cg12593793,cg13123009,cg13134297,cg13139542,cg14476101,cg17501210,cg17782974,cg17901584,cg23172671,cg24145109,cg27115863,cg27470213	E032	1.00e+00
-2.787	1.00e+00	E033 Primary T cells from cord blood	Blood	H3K27me3	E033-H3K27me3.broadPeak.gz	cg01130991,cg01751802,cg04286697,cg17901584,cg24145109	E033	1.00e+00
-0.693	7.91e-01	E034 Primary T cells from peripheral blood	Blood	H3K27me3	E034-H3K27me3.broadPeak.gz	cg00108715,cg01243823,cg01368219,cg01751802,cg03078551,cg03500056,cg04286697,cg04927537,cg06500161,cg06946797,cg07021906,cg07037944,cg08548559,cg10508317,cg10717869,cg11024682,cg12458003,cg12484113,cg12593793,cg13123009,cg13134297,cg14017402,cg14476101,cg17501210,cg17641710,cg17901584,cg19017142,cg22012981,cg23172671,cg24145109,cg24531955,cg26651978,cg26955383,cg27115863,cg27243685,cg27470213	E034	1.00e+00
-3.592	1.00e+00	E046 Primary Natural Killer cells from peripheral 	Blood	H3K27me3	E046-H3K27me3.broadPeak.gz	cg06946797,cg14476101,cg17501210,cg17901584,cg24145109,cg27115863	E046	1.00e+00
-2.618	9.98e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K27me3	E050-H3K27me3.broadPeak.gz	cg01130991,cg01368219,cg03078551,cg03725309,cg04286697,cg06500161,cg10474597,cg10717869,cg14476101,cg17901584,cg25392060,cg26894079,cg26955383,cg27115863	E050	1.00e+00
-3.449	1.00e+00	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K27me3	E051-H3K27me3.broadPeak.gz	cg01368219,cg03725309,cg04286697,cg04816311,cg17901584	E051	1.00e+00
-1.922	9.80e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K27me3	E028-H3K27me3.broadPeak.gz	cg00108715,cg01368219,cg01798813,cg04286697,cg04816311,cg04927537,cg07021906,cg07037944,cg08548559,cg09182678,cg09664445,cg10508317,cg12458003,cg12484113,cg12593793,cg13123009,cg13134297,cg13708645,cg14017402,cg22012981,cg24145109,cg26361535,cg26651978,cg26955383	E028	1.00e+00
0.614	3.14e-01	E003 H1 Cells	ES Cell	H3K27me3	E003-H3K27me3.broadPeak.gz	cg00108715,cg00574958,cg01130991,cg01243823,cg01368219,cg01798813,cg04816311,cg06500161,cg06946797,cg07730360,cg08548559,cg09182678,cg10474597,cg10508317,cg10919522,cg11024682,cg12484113,cg13123009,cg13274938,cg14476101,cg17901584,cg19017142,cg21429551,cg22875823,cg23172671,cg24145109,cg24531955,cg26470501,cg26651978,cg26955383,cg27243685	E003	1.00e+00
-1.149	9.04e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K27me3	E004-H3K27me3.broadPeak.gz	cg00574958,cg01130991,cg01243823,cg01368219,cg01671681,cg04816311,cg06500161,cg06876354,cg08548559,cg08857797,cg10474597,cg16611584,cg18098839,cg23172671,cg26470501,cg27115863,cg27243685	E004	1.00e+00
-1.896	9.77e-01	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	H3K27me3	E005-H3K27me3.broadPeak.gz	cg00574958,cg01130991,cg01243823,cg01671681,cg03500056,cg06500161,cg06690548,cg09182678,cg10508317,cg13139542,cg13274938,cg17738521,cg17782974,cg17901584,cg18098839,cg24145109,cg25392060,cg26361535,cg26470501,cg26651978,cg27243685	E005	1.00e+00
-0.092	5.84e-01	E006 H1 Derived Mesenchymal Stem Cells	ES Cell	H3K27me3	E006-H3K27me3.broadPeak.gz	cg01130991,cg03500056,cg04286697,cg06500161,cg07037944,cg10717869,cg12458003,cg13123009,cg13134297,cg14476101,cg17501210,cg19017142,cg22012981,cg26955383,cg27243685	E006	1.00e+00
0.490	3.55e-01	E007 H1 Derived Neuronal Progenitor Cultured Cells	ES Cell	H3K27me3	E007-H3K27me3.broadPeak.gz	cg00574958,cg01368219,cg01671681,cg01751802,cg03500056,cg04286697,cg04816311,cg06192883,cg06500161,cg06690548,cg08548559,cg08857797,cg09182678,cg10474597,cg10717869,cg10919522,cg13134297,cg14352682,cg17501210,cg18098839,cg21429551,cg23172671,cg23998749,cg24145109,cg25392060,cg26470501,cg26894079,cg27243685	E007	1.00e+00
0.113	5.04e-01	E008 H9 Cells	ES Cell	H3K27me3	E008-H3K27me3.broadPeak.gz	cg00574958,cg06500161,cg06690548,cg06876354,cg07094298,cg07504977,cg08548559,cg10508317,cg12593793,cg14352682,cg23172671,cg24531955,cg26470501,cg27243685,cg27470213	E008	1.00e+00
-1.021	8.72e-01	E085 Fetal Intestine Small	Feta Intestine Small	H3K27me3	E085-H3K27me3.broadPeak.gz	cg01130991,cg01368219,cg01798813,cg02711608,cg03078551,cg04286697,cg06500161,cg06946797,cg07037944,cg07730360,cg07814318,cg10508317,cg10717869,cg12458003,cg12484113,cg13134297,cg14017402,cg14352682,cg14476101,cg17501210,cg17901584,cg22875823,cg23172671,cg24145109,cg26470501,cg27243685	E085	1.00e+00
-1.780	9.72e-01	E080 Fetal Adrenal Gland	Fetal Adrenal Gland	H3K27me3	E080-H3K27me3.broadPeak.gz	cg01243823,cg01368219,cg01798813,cg02711608,cg03078551,cg04286697,cg04816311,cg06192883,cg07021906,cg07037944,cg07814318,cg09182678,cg10508317,cg12458003,cg13123009,cg13134297,cg13708645,cg14476101,cg17738521,cg19017142,cg22875823,cg24145109,cg26651978,cg26955383,cg27243685	E080	1.00e+00
-1.784	9.78e-01	E081 Fetal Brain Male	Fetal Brain	H3K27me3	E081-H3K27me3.broadPeak.gz	cg00574958,cg01130991,cg01671681,cg01798813,cg03078551,cg04286697,cg07037944,cg10508317,cg26470501,cg27243685	E081	1.00e+00
-2.756	9.99e-01	E082 Fetal Brain Female	Fetal Brain	H3K27me3	E082-H3K27me3.broadPeak.gz	cg00574958,cg01130991,cg01798813,cg03078551,cg04286697,cg10508317,cg13123009,cg13708645,cg26470501,cg27115863	E082	1.00e+00
-2.576	9.98e-01	E083 Fetal Heart	Fetal Heart	H3K27me3	E083-H3K27me3.broadPeak.gz	cg01130991,cg04286697,cg07504977,cg12458003,cg13123009	E083	1.00e+00
-2.522	9.97e-01	E084 Fetal Intestine Large	Fetal Intestine Large	H3K27me3	E084-H3K27me3.broadPeak.gz	cg01130991,cg04286697,cg04816311,cg06500161,cg06946797,cg10474597,cg10508317,cg12458003,cg14017402,cg17501210,cg17738521,cg17901584,cg23172671,cg24145109,cg25392060,cg27243685	E084	1.00e+00
-1.981	9.88e-01	E086 Fetal Kidney	Fetal Kidney	H3K27me3	E086-H3K27me3.broadPeak.gz	cg00574958,cg01130991,cg04286697,cg04816311,cg06500161,cg08548559,cg17901584,cg26651978,cg27115863,cg27243685	E086	1.00e+00
-2.073	9.89e-01	E088 Fetal Lung	Fetal Lung	H3K27me3	E088-H3K27me3.broadPeak.gz	cg01130991,cg01243823,cg04286697,cg04816311,cg06500161,cg06690548,cg07504977,cg08548559,cg12458003,cg13134297,cg17901584,cg24145109,cg25392060,cg27243685	E088	1.00e+00
0.764	2.58e-01	E090 Fetal Muscle Leg	Fetal Muscle Leg	H3K27me3	E090-H3K27me3.broadPeak.gz	cg01130991,cg01243823,cg01368219,cg01798813,cg02711608,cg03078551,cg04286697,cg04816311,cg06192883,cg06500161,cg06690548,cg06946797,cg07021906,cg07037944,cg07094298,cg07573872,cg07730360,cg07814318,cg08548559,cg08857797,cg09182678,cg10474597,cg10508317,cg11024682,cg12458003,cg12593793,cg13123009,cg13134297,cg13274938,cg17641710,cg17901584,cg19017142,cg22012981,cg23172671,cg24145109,cg24531955,cg25392060,cg26361535,cg26651978,cg27115863,cg27243685,cg27470213	E090	1.00e+00
-0.125	5.98e-01	E089 Fetal Muscle Trunk	Fetal Muscle Trunk	H3K27me3	E089-H3K27me3.broadPeak.gz	cg01243823,cg01798813,cg02711608,cg03078551,cg03500056,cg04286697,cg04816311,cg04927537,cg06500161,cg06946797,cg07021906,cg07814318,cg10508317,cg11024682,cg12458003,cg13123009,cg13134297,cg13274938,cg13708645,cg14017402,cg17501210,cg17641710,cg17901584,cg22012981,cg22875823,cg23172671,cg24145109,cg25392060,cg26361535,cg26651978,cg26955383,cg27115863,cg27243685,cg27470213	E089	1.00e+00
-0.354	6.92e-01	E092 Fetal Stomach	Fetal Stomach	H3K27me3	E092-H3K27me3.broadPeak.gz	cg00108715,cg01130991,cg01243823,cg01368219,cg01798813,cg02711608,cg03078551,cg04286697,cg04816311,cg04927537,cg06192883,cg06876354,cg06946797,cg07021906,cg07037944,cg07573872,cg07730360,cg08548559,cg08857797,cg09182678,cg09664445,cg10508317,cg10717869,cg12458003,cg13123009,cg13134297,cg13274938,cg13708645,cg17501210,cg17782974,cg17901584,cg22875823,cg23172671,cg24145109,cg26361535,cg26470501,cg26651978,cg26955383,cg27115863,cg27243685,cg27470213	E092	1.00e+00
