Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-4.617	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	cg00297876,cg00435606,cg00759573,cg00805880,cg01316659,cg02538829,cg02596089,cg02605776,cg03043130,cg03124146,cg03233793,cg03354717,cg04027059,cg04190813,cg04647982,cg04895616,cg05586662,cg06098368,cg06410284,cg06507634,cg06757399,cg06950634,cg07064495,cg07212940,cg07388216,cg07645761,cg07786254,cg08626932,cg08888354,cg09084477,cg09092052,cg09320731,cg09786098,cg09796320,cg09898978,cg10347828,cg10725861,cg10750464,cg11086421,cg11534293,cg12064504,cg12078775,cg14090916,cg14724749,cg15655495,cg16547529,cg17006282,cg17489597,cg17847861,cg17932096,cg19206486,cg19495714,cg21098323,cg23542590,cg23738353,cg23995446,cg25976804,cg26310483,cg26605683	E029	1.00e+00
-3.341	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K4me3	E029-H3K4me3.broadPeak.gz	cg00297876,cg00435606,cg00759573,cg00805880,cg01707795,cg02538829,cg02596089,cg02601140,cg02605776,cg03043130,cg03054846,cg03124146,cg03233793,cg03354717,cg04027059,cg05586662,cg06098368,cg06410284,cg06507634,cg06757399,cg07064495,cg07388216,cg07549924,cg07645761,cg07786254,cg08626932,cg08888354,cg09084477,cg09092052,cg09320731,cg09796320,cg09898978,cg10750464,cg11086421,cg11534293,cg12078775,cg13495693,cg16340103,cg17847861,cg19206486,cg19495714,cg19694465,cg21098323,cg22694067,cg23542590,cg25261547	E029	1.00e+00
13.663	2.85e-37	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg00106591,cg00435606,cg00534492,cg00543335,cg00635356,cg00758915,cg00831126,cg00916640,cg00978427,cg01074584,cg01193368,cg01281851,cg01285926,cg01301252,cg01418385,cg01512854,cg01837362,cg01873249,cg01893629,cg01947695,cg02161906,cg02349373,cg02403883,cg02475600,cg02538829,cg02539074,cg02590409,cg02601140,cg02605776,cg02703627,cg02773588,cg02804091,cg03003467,cg03043130,cg03054846,cg03070262,cg03086707,cg03122674,cg03124146,cg03313088,cg03415617,cg04027059,cg04160343,cg04190813,cg04520078,cg04625871,cg04696808,cg04742556,cg04773864,cg04838249,cg04880091,cg04895616,cg05007325,cg05210606,cg05453358,cg05852276,cg05970777,cg05988356,cg06098368,cg06176824,cg06410284,cg06512316,cg06617961,cg06643849,cg06683094,cg06938878,cg07212940,cg07388216,cg07494914,cg07549924,cg07645761,cg08214455,cg08243619,cg08538752,cg08714996,cg08888354,cg09092052,cg09135656,cg09320731,cg09563325,cg09677268,cg09741519,cg09785512,cg09786098,cg09816420,cg09871679,cg10012722,cg10285526,cg10347828,cg10725861,cg10734218,cg10750464,cg10933186,cg11086421,cg11336382,cg11347033,cg11383474,cg11460282,cg11534293,cg12064504,cg12078775,cg12777672,cg13125506,cg13283199,cg13495693,cg13519035,cg13541588,cg13587180,cg13725516,cg13972793,cg14090916,cg15044767,cg15073666,cg15116095,cg15215348,cg15717183,cg15865243,cg16340103,cg16547529,cg16562776,cg16661522,cg16812621,cg17489597,cg17628468,cg17631454,cg17847861,cg17932096,cg17967673,cg18251449,cg18328998,cg18654956,cg19694465,cg19814830,cg20260127,cg20597382,cg22694067,cg23163283,cg23542590,cg23614852,cg23824713,cg23948391,cg24633027,cg24729221,cg25026992,cg25261547,cg25340050,cg26310483,cg26613361	E029	2.03e-35
3.264	5.46e-04	E029 Primary monocytes from peripheral blood	Blood	H3K27me3	E029-H3K27me3.broadPeak.gz	cg00435606,cg00534492,cg00543335,cg00635356,cg00758915,cg00978427,cg01074584,cg01285926,cg01301252,cg01316659,cg01418385,cg01512854,cg01524894,cg01575930,cg02349373,cg02403883,cg02539074,cg02773588,cg02804091,cg03086707,cg03473127,cg04160343,cg04190813,cg04520078,cg04646173,cg04742556,cg04773864,cg04880091,cg05852276,cg06121352,cg06176824,cg06507634,cg06617961,cg06683094,cg06722407,cg06938878,cg06950634,cg07064495,cg07212940,cg07388216,cg07494914,cg07645761,cg08214455,cg08243619,cg08714996,cg09135656,cg09150559,cg09320731,cg09741519,cg09786098,cg09816420,cg09871679,cg10012722,cg10347828,cg10725861,cg10750464,cg10933186,cg11086421,cg11336382,cg11347033,cg11383474,cg11460282,cg11534293,cg12078775,cg13283199,cg13495693,cg13519035,cg13587180,cg13725516,cg13972793,cg15044767,cg15116095,cg15215348,cg15548198,cg15655495,cg15717183,cg16340103,cg16547529,cg16661522,cg17227466,cg17330048,cg17489597,cg17847861,cg17932096,cg18251449,cg18328998,cg18677906,cg19206486,cg19590578,cg19694465,cg19814830,cg20260127,cg21043657,cg23500924,cg23614852,cg23738353,cg23918315,cg23948391,cg24333150,cg24633027,cg25026992,cg25340050,cg26310483,cg26605683,cg26613361,cg26879386	E029	1.27e-02
-4.053	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg01707795,cg03415617,cg04027059,cg18067514	E029	1.00e+00
-4.792	1.00e+00	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	cg00297876,cg00435606,cg00534492,cg00759573,cg00805880,cg01316659,cg01418385,cg02538829,cg02596089,cg02605776,cg02773588,cg03043130,cg03086707,cg03124146,cg03233793,cg03354717,cg03473127,cg04027059,cg04190813,cg04337056,cg04647982,cg04895616,cg05586662,cg06098368,cg06507634,cg06617961,cg06643849,cg06722407,cg06757399,cg06938878,cg06950634,cg07064495,cg07212940,cg07388216,cg07549924,cg07645761,cg07786254,cg08626932,cg08714996,cg08888354,cg09084477,cg09092052,cg09320731,cg09741519,cg09786098,cg09796320,cg09898978,cg10347828,cg10725861,cg10750464,cg11086421,cg11534293,cg12064504,cg12078775,cg13495693,cg14090916,cg15215348,cg15655495,cg15717183,cg16340103,cg16547529,cg17006282,cg17489597,cg17847861,cg19206486,cg19495714,cg19694465,cg21098323,cg22694067,cg23500924,cg23542590,cg23995446,cg24550343,cg25261547,cg25976804,cg26310483,cg26605683	E032	1.00e+00
-2.987	9.99e-01	E032 Primary B cells from peripheral blood	Blood	H3K4me3	E032-H3K4me3.broadPeak.gz	cg00297876,cg00435606,cg00543335,cg00759573,cg02538829,cg02596089,cg02601140,cg02605776,cg02773588,cg03043130,cg03054846,cg03124146,cg03233793,cg03354717,cg03473127,cg04027059,cg04190813,cg04647982,cg04742556,cg04895616,cg05586662,cg06098368,cg06410284,cg06507634,cg06643849,cg06757399,cg07064495,cg07388216,cg07549924,cg07645761,cg07786254,cg08626932,cg08714996,cg08888354,cg09084477,cg09092052,cg09320731,cg09796320,cg09871679,cg09898978,cg10750464,cg10933186,cg11086421,cg11534293,cg12078775,cg13495693,cg14724749,cg15044767,cg15548198,cg16340103,cg17006282,cg17847861,cg18067514,cg18654956,cg19206486,cg19495714,cg19590578,cg21098323,cg23542590,cg23995446,cg25261547,cg26605683	E032	1.00e+00
18.167	8.14e-47	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg00106591,cg00543335,cg00635356,cg00758915,cg00831126,cg00916640,cg00978427,cg01281851,cg01301252,cg01418385,cg01512854,cg01524894,cg01575930,cg01873249,cg01893629,cg01947695,cg02161906,cg02349373,cg02403883,cg02475600,cg02538829,cg02539074,cg02590409,cg02601140,cg02605776,cg02703627,cg02804091,cg03043130,cg03054846,cg03070262,cg03086707,cg03122674,cg03124146,cg03313088,cg03415617,cg03644691,cg04027059,cg04160343,cg04696808,cg04773864,cg04838249,cg05007325,cg05210606,cg05453358,cg05852276,cg05970777,cg05988356,cg06176824,cg06512316,cg06617961,cg06683094,cg07212940,cg07388216,cg07494914,cg07549924,cg07645761,cg08243619,cg08538752,cg08714996,cg08888354,cg09135656,cg09150559,cg09563325,cg09677268,cg09816420,cg09871679,cg10012722,cg10725861,cg10734218,cg10933186,cg11086421,cg11336382,cg11347033,cg11460282,cg13283199,cg13495693,cg13541588,cg13725516,cg13972793,cg14090916,cg15044767,cg15073666,cg15116095,cg15215348,cg15548198,cg15717183,cg15865243,cg16547529,cg16562776,cg17227466,cg17847861,cg17967673,cg18067514,cg18251449,cg18328998,cg19814830,cg23542590,cg23614852,cg23948391,cg24633027,cg24729221,cg25026992,cg25340050,cg26605683,cg26613361,cg26879386	E032	1.16e-44
2.580	5.37e-03	E032 Primary B cells from peripheral blood	Blood	H3K27me3	E032-H3K27me3.broadPeak.gz	cg00543335,cg00635356,cg00758915,cg00805880,cg00978427,cg01074584,cg01285926,cg01301252,cg01316659,cg01418385,cg01512854,cg01524894,cg01575930,cg02349373,cg02403883,cg02539074,cg02596089,cg02773588,cg02804091,cg03086707,cg03473127,cg03644691,cg04027059,cg04160343,cg04190813,cg04520078,cg04646173,cg04647982,cg04742556,cg04773864,cg04880091,cg04895616,cg05852276,cg05970777,cg06121352,cg06176824,cg06410284,cg06507634,cg06643849,cg06683094,cg06722407,cg06938878,cg07064495,cg07212940,cg07388216,cg07494914,cg07645761,cg08214455,cg08243619,cg08714996,cg09135656,cg09150559,cg09320731,cg09741519,cg09786098,cg09816420,cg10012722,cg10347828,cg10725861,cg10750464,cg10933186,cg11086421,cg11336382,cg11347033,cg11383474,cg11534293,cg12064504,cg12078775,cg13283199,cg13495693,cg13519035,cg13587180,cg13725516,cg13972793,cg14090916,cg14724749,cg15044767,cg15116095,cg15215348,cg15548198,cg15655495,cg15717183,cg16340103,cg16547529,cg16661522,cg17227466,cg17330048,cg17489597,cg17847861,cg17932096,cg18328998,cg18677906,cg19206486,cg19590578,cg19694465,cg19814830,cg21043657,cg23500924,cg23614852,cg23824713,cg23918315,cg23948391,cg24333150,cg24633027,cg25026992,cg25261547,cg25340050,cg26310483,cg26605683,cg26613361,cg26879386	E032	1.16e-01
-4.550	1.00e+00	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg00758915,cg01575930,cg02596089,cg03233793,cg04027059,cg08626932,cg09092052,cg17967673,cg25976804	E032	1.00e+00
