Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
2.911	3.59e-03	E029 Primary monocytes from peripheral blood	Blood	H3K27me3	E029-H3K27me3.broadPeak.gz	cg00256231,cg00281977,cg00308130,cg00607058,cg00873648,cg00898880,cg00937982,cg01003448,cg01043153,cg01065977,cg01214573,cg01354046,cg01609658,cg01795955,cg01874867,cg02202923,cg02229781,cg02299497,cg02743650,cg02750262,cg03461641,cg03486986,cg03582285,cg04241623,cg04385144,cg05197062,cg05406088,cg05473258,cg05505459,cg05649108,cg05662444,cg05841700,cg05972642,cg06150148,cg06419732,cg06478886,cg06522412,cg06602086,cg06618935,cg06675417,cg06850787,cg07014308,cg07310671,cg07318204,cg07524214,cg08103988,cg08422420,cg08481075,cg08551532,cg08838158,cg09398816,cg10576280,cg11335335,cg11594731,cg11787167,cg12180551,cg12621411,cg12794224,cg13598480,cg13918754,cg13924715,cg13935009,cg13967339,cg14011486,cg14261943,cg14298807,cg14457074,cg14508358,cg14554423,cg14752068,cg15458017,cg15618495,cg17537073,cg17655970,cg17886420,cg17888390,cg17932096,cg18397450,cg18405330,cg18428180,cg18505837,cg18797653,cg19214707,cg20053110,cg20064778,cg21260332,cg21544437,cg22444562,cg23577102,cg23615741,cg24157836,cg24334149,cg24467349,cg24608381,cg24666046,cg24675775,cg25026992,cg25046953,cg26011014,cg26370237,cg27597505	E029	5.95e-01
2.300	7.67e-03	E032 Primary B cells from peripheral blood	Blood	H3K27me3	E032-H3K27me3.broadPeak.gz	cg00256231,cg00281977,cg00308130,cg00607058,cg00873648,cg00898880,cg00937982,cg01003448,cg01043153,cg01052103,cg01065977,cg01214573,cg01354046,cg01609658,cg01795955,cg01808030,cg01874867,cg02147364,cg02202923,cg02229781,cg02299497,cg02486009,cg02743650,cg02744428,cg02750262,cg02779288,cg03461641,cg03486986,cg03725686,cg03783060,cg03997626,cg04131969,cg04385144,cg04554929,cg04806653,cg04881961,cg05141217,cg05197062,cg05307214,cg05406088,cg05473258,cg05649108,cg05662444,cg05972642,cg06150148,cg06176221,cg06419732,cg06478886,cg06522412,cg06602086,cg06618935,cg06675417,cg06758350,cg06850787,cg06939248,cg07136909,cg07219506,cg07310671,cg07318204,cg07524214,cg07679219,cg08103988,cg08291996,cg08551532,cg08642068,cg08838158,cg09144455,cg09398816,cg09787690,cg10391129,cg10576280,cg10829391,cg11141652,cg11335335,cg11594731,cg11787167,cg12319143,cg12621411,cg12794224,cg13598480,cg13918754,cg13924715,cg13935009,cg13967339,cg14011486,cg14261943,cg14298807,cg14457074,cg14508358,cg14554423,cg14752068,cg15154249,cg15443223,cg15458017,cg15919605,cg17082037,cg17220055,cg17349054,cg17537073,cg17655970,cg17886420,cg17888390,cg17932096,cg18268631,cg18402987,cg18405330,cg18505837,cg18797653,cg19214707,cg19985056,cg20004147,cg20053110,cg20064778,cg20293942,cg20596706,cg20707527,cg21260332,cg21544437,cg22444562,cg22826409,cg23475858,cg23577102,cg23615741,cg24334149,cg24467349,cg24608381,cg24666046,cg24675775,cg25026992,cg25046953,cg25079981,cg25181043,cg26000393,cg26011014,cg26052728,cg26114124,cg26725559	E032	6.36e-01
-0.986	8.59e-01	E033 Primary T cells from cord blood	Blood	H3K27me3	E033-H3K27me3.broadPeak.gz	cg00308130,cg00607058,cg00873648,cg00937982,cg01003448,cg01214573,cg01354046,cg01609658,cg02202923,cg02229781,cg02750262,cg03486986,cg03783060,cg04385144,cg05197062,cg05649108,cg05662444,cg05972642,cg06478886,cg06618935,cg06821841,cg08551532,cg09398816,cg10829391,cg11335335,cg11787167,cg12621411,cg12794224,cg13918754,cg13924715,cg14011486,cg14261943,cg14298807,cg14457074,cg14554423,cg14752068,cg15919605,cg17537073,cg17655970,cg17888390,cg17932096,cg18505837,cg18797653,cg20053110,cg20064778,cg21544437,cg22444562,cg23577102,cg23615741,cg24334149,cg24608381,cg25026992,cg25046953,cg26011014,cg27597505	E033	1.00e+00
1.339	8.23e-02	E034 Primary T cells from peripheral blood	Blood	H3K27me3	E034-H3K27me3.broadPeak.gz	cg00191853,cg00256231,cg00281977,cg00308130,cg00435273,cg00607058,cg00699601,cg00873648,cg00898880,cg00937982,cg01003448,cg01043153,cg01065977,cg01214573,cg01354046,cg01609658,cg01795955,cg01808030,cg01864468,cg01874867,cg02147364,cg02157155,cg02197629,cg02202923,cg02299497,cg02743650,cg02750262,cg02779288,cg03395511,cg03461641,cg03486986,cg03582285,cg03725686,cg03783060,cg03847932,cg03997626,cg04072301,cg04131969,cg04241623,cg04385144,cg04554929,cg04806653,cg05141217,cg05197062,cg05307214,cg05406088,cg05505459,cg05579559,cg05649108,cg05662444,cg05729249,cg05841700,cg05867245,cg05972642,cg06150148,cg06176221,cg06193597,cg06419732,cg06478886,cg06522412,cg06602086,cg06618935,cg06821841,cg06850787,cg07014308,cg07096305,cg07136909,cg07168142,cg07199764,cg07219506,cg07310671,cg07318204,cg07524214,cg08103988,cg08422420,cg08481075,cg08551532,cg08642068,cg08802841,cg08838158,cg09314196,cg09398816,cg10391129,cg10576280,cg10619895,cg10829391,cg11076954,cg11102724,cg11335335,cg11524184,cg11594731,cg11787167,cg11949518,cg12180551,cg12319143,cg12658972,cg12717203,cg12794224,cg13388618,cg13598480,cg13918754,cg13924715,cg13935009,cg13967339,cg14011486,cg14261943,cg14298807,cg14457074,cg14508358,cg14554423,cg14614789,cg14752068,cg15251456,cg15443223,cg15458017,cg15469871,cg15618495,cg15919605,cg16677969,cg16681597,cg17220055,cg17349054,cg17537073,cg17655970,cg17886420,cg17888390,cg17932096,cg18200150,cg18397450,cg18402987,cg18405330,cg18428180,cg18505837,cg18797653,cg19214707,cg19815010,cg19985056,cg20053110,cg20064778,cg20293942,cg20596706,cg20611109,cg20707527,cg21260332,cg21544437,cg22444562,cg22826409,cg23475858,cg23577102,cg23615741,cg23870316,cg24157836,cg24334149,cg24467349,cg24519533,cg24608381,cg24675775,cg25046953,cg25079981,cg25181043,cg26000393,cg26011014,cg26114124,cg26725559,cg26924392,cg27187704,cg27597505	E034	1.00e+00
0.258	4.23e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K27me3	E046-H3K27me3.broadPeak.gz	cg00308130,cg00607058,cg00699601,cg00873648,cg00898880,cg00937982,cg01003448,cg01043153,cg01214573,cg01354046,cg01609658,cg01808030,cg01874867,cg02202923,cg02486009,cg02743650,cg03461641,cg03486986,cg03725686,cg03783060,cg04131969,cg04385144,cg05197062,cg05406088,cg05649108,cg05972642,cg06150148,cg06176221,cg06419732,cg06478886,cg06522412,cg06618935,cg06675417,cg06821841,cg06850787,cg07318204,cg07524214,cg08103988,cg08408040,cg08551532,cg09144455,cg09314196,cg10187902,cg10829391,cg11335335,cg11594731,cg11787167,cg12621411,cg12794224,cg13918754,cg14011486,cg14298807,cg14457074,cg14554423,cg14752068,cg15443223,cg17537073,cg17655970,cg17886420,cg17888390,cg17932096,cg18505837,cg18797653,cg20053110,cg20064778,cg20130571,cg20293942,cg21260332,cg21544437,cg22444562,cg23475858,cg23577102,cg23615741,cg24157836,cg24334149,cg24467349,cg24608381,cg24666046,cg24675775,cg25026992,cg25046953,cg25079981,cg25532776,cg26011014,cg26725559,cg26924392	E046	1.00e+00
-1.558	9.56e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K27me3	E050-H3K27me3.broadPeak.gz	cg00308130,cg00607058,cg00873648,cg00937982,cg01003448,cg01043153,cg01214573,cg01609658,cg01808030,cg01874867,cg02202923,cg02229781,cg02352685,cg02743650,cg02750262,cg03486986,cg03725686,cg03783060,cg04385144,cg04806653,cg05197062,cg05406088,cg05473258,cg05649108,cg05662444,cg05841700,cg05916264,cg05972642,cg06150148,cg06478886,cg06522412,cg06675417,cg06850787,cg07136909,cg07199764,cg07318204,cg07524214,cg08103988,cg08551532,cg08642068,cg08818829,cg08838158,cg09398816,cg10829391,cg11335335,cg11594731,cg11787167,cg12319143,cg12621411,cg12794224,cg13918754,cg13967339,cg14011486,cg14261943,cg14298807,cg14457074,cg14508358,cg14554423,cg15458017,cg16677969,cg17537073,cg17655970,cg17886420,cg17888390,cg17932096,cg18165715,cg18405330,cg18453576,cg18505837,cg18797653,cg19214707,cg20053110,cg21260332,cg21544437,cg22444562,cg23577102,cg23870316,cg24334149,cg24467349,cg24608381,cg25026992,cg25046953,cg25181043,cg26011014,cg26052728,cg26725559,cg27187704,cg27597505	E050	1.00e+00
-1.460	9.44e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K27me3	E051-H3K27me3.broadPeak.gz	cg00308130,cg00873648,cg00898880,cg00937982,cg01003448,cg01043153,cg01214573,cg01609658,cg02202923,cg02229781,cg02299497,cg02352685,cg02750262,cg03486986,cg03725686,cg04385144,cg05197062,cg05406088,cg05505459,cg05649108,cg05662444,cg05972642,cg06478886,cg06522412,cg06850787,cg07136909,cg07199764,cg07318204,cg07524214,cg08103988,cg08551532,cg08838158,cg09398816,cg11335335,cg11594731,cg11787167,cg12621411,cg12794224,cg13918754,cg13967339,cg14011486,cg14298807,cg14457074,cg17537073,cg17655970,cg17886420,cg17932096,cg18165715,cg18405330,cg18797653,cg20053110,cg21544437,cg23577102,cg23870316,cg24157836,cg24334149,cg24608381,cg25026992,cg25046953,cg25181043,cg26011014,cg27187704,cg27597505	E051	1.00e+00
1.731	4.08e-02	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K27me3	E028-H3K27me3.broadPeak.gz	cg00256231,cg00281977,cg00308130,cg00898880,cg00937982,cg01003448,cg01065977,cg01354046,cg01427108,cg01609658,cg01651570,cg01795955,cg01808030,cg01874867,cg02147364,cg02202923,cg02219147,cg02299497,cg02743650,cg02744428,cg02750262,cg02779288,cg03486986,cg03810616,cg03847932,cg04072301,cg04131969,cg04241623,cg04299067,cg04385144,cg04554929,cg04806653,cg04881961,cg05406088,cg05649108,cg05662444,cg05729249,cg05841700,cg05867245,cg05926928,cg05972642,cg06176221,cg06193597,cg06419732,cg06522412,cg06546677,cg06602086,cg06618935,cg06675417,cg06724776,cg06758350,cg06821841,cg06850787,cg06939248,cg07006249,cg07096305,cg07136909,cg07168142,cg07199764,cg07219506,cg07310671,cg07318204,cg07524214,cg07679219,cg08103988,cg08291996,cg08408040,cg08422420,cg08481075,cg08551532,cg08818829,cg08838158,cg08967584,cg09314196,cg09398816,cg10187029,cg10829391,cg11076954,cg11102724,cg11300570,cg11335335,cg11524184,cg11594731,cg11787167,cg11949518,cg12319143,cg12621411,cg12658972,cg12794224,cg13598480,cg13808032,cg13918754,cg13924715,cg13935009,cg14011486,cg14298807,cg14457074,cg14508358,cg14554423,cg14752068,cg14865678,cg15022609,cg15443223,cg15458017,cg15469871,cg15618495,cg16053902,cg16340422,cg16914890,cg17082037,cg17509989,cg17537073,cg17655970,cg17886420,cg17888390,cg17932096,cg18200150,cg18402987,cg18405330,cg18428180,cg19214707,cg20053110,cg20130571,cg20293942,cg20611109,cg20707527,cg21544437,cg22444562,cg22509179,cg22826409,cg23577102,cg23615741,cg24467349,cg24506221,cg24519533,cg24608381,cg25026992,cg25046953,cg25181043,cg26011014,cg26052728,cg26114124,cg26370237,cg26924392,cg27597505	E028	1.00e+00
1.788	3.84e-02	E003 H1 Cells	ES Cell	H3K27me3	E003-H3K27me3.broadPeak.gz	cg00281977,cg00308130,cg00525828,cg00699601,cg00898880,cg00937982,cg01003448,cg01043153,cg01354046,cg01427108,cg01609658,cg01795955,cg01808030,cg01874867,cg02147364,cg02202923,cg02299497,cg02352685,cg02743650,cg02744428,cg02746014,cg02750262,cg02773192,cg03395511,cg03486986,cg03783060,cg03997626,cg04241623,cg04385144,cg04554929,cg04806653,cg05197062,cg05406088,cg05505459,cg05649108,cg05662444,cg05729249,cg05841700,cg05919696,cg05972642,cg06176221,cg06419732,cg06478886,cg06522412,cg06602086,cg06675417,cg06758350,cg06850787,cg07096305,cg07136909,cg07168142,cg07199764,cg07219506,cg07318204,cg08103988,cg08291996,cg08481075,cg08551532,cg08802841,cg08838158,cg09092052,cg09398816,cg10239804,cg10391129,cg10576280,cg10829391,cg11076954,cg11102724,cg11300570,cg11335335,cg11594731,cg11787167,cg12794224,cg13236475,cg13388618,cg13498216,cg13918754,cg13967339,cg14261943,cg14298807,cg14508358,cg14752068,cg15154249,cg15469871,cg15789211,cg15919605,cg16619994,cg16628641,cg16677969,cg16914890,cg17082037,cg17220055,cg17279147,cg17509989,cg17655970,cg17888390,cg17932096,cg18268631,cg18397450,cg18402987,cg18405330,cg18428180,cg18453576,cg18505837,cg18797653,cg19214707,cg19504605,cg20053110,cg20293942,cg20707527,cg21544437,cg22055815,cg22905511,cg23475858,cg23577102,cg23615741,cg23870316,cg24334149,cg24467349,cg24506221,cg24608381,cg24666046,cg25046953,cg25731395,cg26000393,cg26011014,cg26052728,cg26114124,cg26579653,cg27010141,cg27187704,cg27597505	E003	1.00e+00
0.001	5.27e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K27me3	E004-H3K27me3.broadPeak.gz	cg00191853,cg00308130,cg00435273,cg00607058,cg00699601,cg00795791,cg00937982,cg01003448,cg01214573,cg01427108,cg01609658,cg01795955,cg01808030,cg01874867,cg02352685,cg02744428,cg02750262,cg02773192,cg03486986,cg03997626,cg04241623,cg04385144,cg04806653,cg04881961,cg05197062,cg05662444,cg05916264,cg05919696,cg06176221,cg06478886,cg06539921,cg06758350,cg07318204,cg07524214,cg07638320,cg07679219,cg08103988,cg08551532,cg08763617,cg09144455,cg10185505,cg11076954,cg11102724,cg11335335,cg11594731,cg11787167,cg11949518,cg12621411,cg12869254,cg13126076,cg13498216,cg13918754,cg13967339,cg14298807,cg14554423,cg15365744,cg15618495,cg15789211,cg17349054,cg17655970,cg17888390,cg18322025,cg18453576,cg18505837,cg19214707,cg20053110,cg20293942,cg21260332,cg21544437,cg22055815,cg22444562,cg22826409,cg23577102,cg23615741,cg23896850,cg24334149,cg24608381,cg24666046,cg24675775,cg25079981,cg25181043,cg26000393,cg26010015,cg26011014,cg26033510,cg26370237,cg26647808,cg26725559,cg27187704,cg27597505	E004	1.00e+00
