Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
3.320	2.18e-02	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg00020622,cg00920043,cg00938453,cg01083584,cg01085225,cg01157883,cg01245595,cg01401337,cg01716316,cg01935967,cg02280908,cg02307482,cg02428652,cg02716749,cg02787306,cg03173679,cg03209127,cg03278965,cg03345805,cg03870856,cg03873659,cg04337412,cg04396314,cg05125693,cg05214690,cg05218283,cg05318427,cg05751159,cg05894122,cg05993488,cg06118126,cg06273413,cg06383088,cg06519449,cg06603682,cg06748231,cg07060056,cg07154956,cg07300316,cg07454192,cg07562988,cg07570677,cg07597871,cg07869548,cg07967643,cg08011768,cg08170745,cg08853494,cg09662051,cg09955730,cg10060338,cg10079318,cg11038280,cg11123972,cg11150188,cg11184237,cg11393994,cg11520665,cg11570347,cg11621683,cg11628076,cg11838640,cg12352006,cg12452675,cg12693634,cg12720191,cg13990013,cg14068328,cg14567798,cg14750501,cg14779106,cg14858469,cg15253587,cg15278734,cg15564865,cg15743358,cg16005145,cg16018152,cg16264705,cg16273597,cg16366349,cg16403854,cg17067889,cg17838402,cg17944241,cg18840151,cg18979581,cg19086455,cg19440670,cg19485105,cg19656890,cg19802774,cg19858931,cg19953620,cg19958637,cg20010714,cg20388123,cg20396526,cg20695057,cg20875298,cg21110646,cg21586243,cg21644856,cg21946967,cg21965820,cg22009551,cg22233523,cg22458640,cg22675922,cg22881279,cg23157433,cg23175215,cg23508540,cg23564746,cg23661306,cg23718026,cg23791690,cg24093178,cg24125890,cg24873872,cg24879426,cg24929567,cg25368031,cg25371538,cg26423331,cg26546646,cg26625369,cg26726589,cg26779912,cg26889928,cg27295185,cg27383975,cg27428578,cg27510197,cg27543040	E063	1.00e+00
1.564	2.35e-01	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00128195,cg00169167,cg00336605,cg00572586,cg00603371,cg00994601,cg01478450,cg01878705,cg02058358,cg02263539,cg02319103,cg02631906,cg02794779,cg02796258,cg03189282,cg03208817,cg03392565,cg03421358,cg03635442,cg04089426,cg04555312,cg04622772,cg04787675,cg04948627,cg05045329,cg05315874,cg05787792,cg05927068,cg06033531,cg06060054,cg06246094,cg06293195,cg06368721,cg06601581,cg07031551,cg07078622,cg07277869,cg07556888,cg07625129,cg07631407,cg08452766,cg08826264,cg09221314,cg09666573,cg09709951,cg09735773,cg10058766,cg10077706,cg10446007,cg11064073,cg11068517,cg11696789,cg12030710,cg12173498,cg12454169,cg12456681,cg12586150,cg12683944,cg13376290,cg14009632,cg14035508,cg14088957,cg14337134,cg14350176,cg14532541,cg14744828,cg14760797,cg14823076,cg14861570,cg15112783,cg15802323,cg16158863,cg16262756,cg16276153,cg16619991,cg16984132,cg17022437,cg17035040,cg17355191,cg17819963,cg18812668,cg18888655,cg19096034,cg19403909,cg19546943,cg19995014,cg20253872,cg20477464,cg20798574,cg20935057,cg21289967,cg21717879,cg21787386,cg22244122,cg22367962,cg22410869,cg22859679,cg23161505,cg23182539,cg23376526,cg23482397,cg23749856,cg23753748,cg24438145,cg24757533,cg24866702,cg24881113,cg25032745,cg25578781,cg25586410,cg25595873,cg25829226,cg25976340,cg26087598,cg26428136,cg26767214,cg26931488,cg26948599,cg27457925	E063	1.00e+00
1.433	1.62e-01	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg05147195,cg12230883,cg14834893,cg18683606	E063	1.00e+00
-0.029	7.36e-01	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg01947482,cg01954320,cg02068538,cg02446170,cg02592473,cg03145199,cg03162686,cg03170171,cg03301189,cg03716245,cg04117460,cg04138846,cg04744301,cg05089897,cg05227556,cg05323141,cg05328939,cg06344268,cg06916574,cg07546102,cg07698591,cg08082792,cg08766770,cg08789739,cg09096824,cg09457470,cg10071602,cg10225612,cg11355225,cg11867574,cg11890641,cg12844997,cg13834366,cg14150023,cg14373702,cg15212038,cg15418980,cg16230553,cg16421359,cg16649298,cg17659896,cg18300770,cg18365211,cg19584790,cg22772639,cg23599224,cg24547863,cg25024459,cg26206748,cg26256837,cg26690744,cg27263063	E063	1.00e+00
2.394	4.50e-02	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00161683,cg00166352,cg01577850,cg01624068,cg01857819,cg02210115,cg02244204,cg02546690,cg02575764,cg02900669,cg03032253,cg03216475,cg03585053,cg03805782,cg04128513,cg04905644,cg04920632,cg04984521,cg05308645,cg05480074,cg05778706,cg05961176,cg06927361,cg06933711,cg06962275,cg07109551,cg08166587,cg08633242,cg08864037,cg08941873,cg09029192,cg09160955,cg09750400,cg09782245,cg09824558,cg10081994,cg10607603,cg10755516,cg10815995,cg11168112,cg12060301,cg12090885,cg12335414,cg13303952,cg13334304,cg13883438,cg13904877,cg15550953,cg16062253,cg16483326,cg16820411,cg16986571,cg17488500,cg17820878,cg18104539,cg18406255,cg18511558,cg19176696,cg19600081,cg20014988,cg20076186,cg20167471,cg20256216,cg20260559,cg20351875,cg21165437,cg21452025,cg21751525,cg22865640,cg22871204,cg23344136,cg23389807,cg23695211,cg24107338,cg24337193,cg24562669,cg26077811,cg26536800,cg26856443,cg27665715	E063	1.00e+00
-0.734	8.66e-01	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg03401656,cg05302218,cg08884490,cg10474126,cg13707777,cg14605396,cg18077307	E063	1.00e+00
0.728	4.51e-01	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00403498,cg01432552,cg01562537,cg01805890,cg01894631,cg02897366,cg03594078,cg04196298,cg04606076,cg05599531,cg05871425,cg05993265,cg06038472,cg06567290,cg06812822,cg07450030,cg08110488,cg08949924,cg09132577,cg10094358,cg10798764,cg11844800,cg12106403,cg12547807,cg14608903,cg14851544,cg15658306,cg16033723,cg16468346,cg17242362,cg17977099,cg18397975,cg18456331,cg18505453,cg19011752,cg19286500,cg19684373,cg19787769,cg20840174,cg21946698,cg22976732,cg23290313,cg24296187,cg24624505,cg24691911,cg25067877,cg25342059,cg25663379,cg26019472,cg26099045,cg27164612,cg27521562	E063	1.00e+00
0.456	4.33e-01	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed	cg02844004,cg06475370,cg08151514,cg24324942	E063	1.00e+00
-0.444	7.85e-01	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed	cg08584061,cg09946915,cg11810888,cg17700835,cg26734335	E063	1.00e+00
-1.538	9.85e-01	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg11445123,cg16508199	E063	1.00e+00
