Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
3.165	2.02e-03	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg00093829,cg00159243,cg00569418,cg01026383,cg01409343,cg02097604,cg02213678,cg02650017,cg03612357,cg03940776,cg04638265,cg05166473,cg05399785,cg06164260,cg07558761,cg07573872,cg07683636,cg08176258,cg08352115,cg08363114,cg08450017,cg09018739,cg09849319,cg09994445,cg12170787,cg14849578,cg16305292,cg16743273,cg18518074,cg19283354,cg20671910,cg20995564,cg21421984,cg22488164,cg23729283,cg23761815,cg24129923,cg27023597,cg27469606	E029	3.72e-02
3.578	7.78e-04	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg00094412,cg00490406,cg00506299,cg00569418,cg01026383,cg01409343,cg02097604,cg02249390,cg03612357,cg03940776,cg04638265,cg05166473,cg05399785,cg06164260,cg07558761,cg07573872,cg07683636,cg08176258,cg08289839,cg08352115,cg08363114,cg08450017,cg09349128,cg09849319,cg09994445,cg10045881,cg13354241,cg13745870,cg14849578,cg16305292,cg16536330,cg16743273,cg17588094,cg17602444,cg18482303,cg18513344,cg18518074,cg19283354,cg20671910,cg20995564,cg21340821,cg21421984,cg23761815,cg24129923,cg24954967,cg25739715,cg27023597,cg27469606,cg27661394	E032	2.17e-02
1.936	4.05e-02	E033 Primary T cells from cord blood	Blood	H3K36me3	E033-H3K36me3.broadPeak.gz	cg00506299,cg00569418,cg01026383,cg01409343,cg02097604,cg02213678,cg03612357,cg03860038,cg03940776,cg05166473,cg05399785,cg07558761,cg07573872,cg07683636,cg08176258,cg08289839,cg08363114,cg09018739,cg13316148,cg14849578,cg16305292,cg16536330,cg16743273,cg17588094,cg17602444,cg18482303,cg18518074,cg19283354,cg20671910,cg21421984,cg23114435,cg23761815,cg23902264,cg24129923,cg26426564,cg27023597	E033	3.29e-01
4.716	1.14e-05	E034 Primary T cells from peripheral blood	Blood	H3K36me3	E034-H3K36me3.broadPeak.gz	cg00093829,cg00159243,cg00506299,cg00569418,cg01026383,cg02097604,cg02213678,cg02249390,cg03612357,cg03819286,cg03860038,cg03940776,cg04638265,cg05166473,cg05399785,cg07558761,cg07573872,cg07683636,cg07719512,cg08176258,cg08289839,cg08352115,cg08363114,cg08450017,cg09018739,cg09481056,cg09849319,cg09994445,cg10967866,cg12635790,cg13316148,cg13781414,cg14237301,cg14849578,cg15551881,cg15901722,cg16305292,cg16743273,cg17588094,cg17602444,cg18482303,cg18518074,cg19283354,cg19821297,cg20671910,cg21421984,cg22959742,cg23114435,cg23761815,cg24129923,cg24954967,cg25739715,cg26426564,cg27023597,cg27469606	E034	9.49e-04
3.810	4.16e-04	E046 Primary Natural Killer cells from peripheral 	Blood	H3K36me3	E046-H3K36me3.broadPeak.gz	cg00159243,cg00506299,cg01026383,cg02097604,cg02213678,cg02249390,cg02991558,cg03612357,cg03860038,cg03940776,cg04638265,cg05166473,cg05399785,cg07558761,cg07573872,cg07683636,cg08176258,cg08289839,cg08352115,cg08363114,cg08450017,cg09018739,cg09481056,cg09849319,cg09994445,cg10045881,cg13316148,cg13781414,cg16305292,cg16743273,cg17588094,cg17602444,cg18518074,cg19283354,cg20671910,cg20995564,cg21421984,cg23114435,cg23761815,cg24129923,cg27023597,cg27469606	E046	1.72e-02
1.269	1.30e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E050-H3K36me3.broadPeak.gz	cg00093829,cg00094412,cg00506299,cg00569418,cg01026383,cg02097604,cg02538248,cg03612357,cg03860038,cg03940776,cg05166473,cg05399785,cg07558761,cg07573872,cg07683636,cg08176258,cg08289839,cg08363114,cg08450017,cg09018739,cg09481056,cg09994445,cg14849578,cg16305292,cg16743273,cg18518074,cg19283354,cg20671910,cg20995564,cg21421984,cg23761815,cg24129923,cg26804423,cg27023597,cg27469606	E050	7.96e-01
0.531	3.40e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E051-H3K36me3.broadPeak.gz	cg00506299,cg00569418,cg01026383,cg01409343,cg02097604,cg02991558,cg03612357,cg03860038,cg05166473,cg05399785,cg07558761,cg07573872,cg07683636,cg08289839,cg08363114,cg08450017,cg09018739,cg09481056,cg09849319,cg09994445,cg14849578,cg16743273,cg18518074,cg19283354,cg20671910,cg20995564,cg21421984,cg23761815,cg24129923,cg27023597,cg27469606	E051	1.00e+00
0.194	4.66e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K36me3	E028-H3K36me3.broadPeak.gz	cg00094412,cg00506299,cg00569418,cg02213678,cg05166473,cg05399785,cg07372520,cg07558761,cg07683636,cg08289839,cg08363114,cg09849319,cg11393173,cg14849578,cg16292768,cg16536330,cg18482303,cg18518074,cg19283354,cg20671910,cg21421984,cg23761815,cg24129923,cg27023597	E028	1.00e+00
0.778	2.48e-01	E003 H1 Cells	ES Cell	H3K36me3	E003-H3K36me3.broadPeak.gz	cg00569418,cg01409343,cg02213678,cg03612357,cg03860038,cg04848343,cg05166473,cg05399785,cg07372520,cg07558761,cg07573872,cg07683636,cg07719512,cg08289839,cg08363114,cg08450017,cg09849319,cg10967866,cg12992827,cg14849578,cg16292768,cg16743273,cg17501210,cg17602444,cg18513344,cg18518074,cg19283354,cg20671910,cg21421984,cg22959742,cg23114435,cg23761815,cg23902264,cg24002003,cg24129923,cg25621991,cg26340740,cg26426564,cg26804423,cg27023597,cg27469606	E003	1.00e+00
-0.595	7.70e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K36me3	E004-H3K36me3.broadPeak.gz	cg00093829,cg01026383,cg01409343,cg19283354,cg21340821,cg21421984,cg24129923,cg24954967,cg27023597	E004	1.00e+00
