Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
0.662	2.85e-01	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg00095870,cg00121045,cg00122683,cg00159379,cg00331541,cg01118653,cg01161919,cg01282959,cg01617018,cg01872324,cg01911678,cg01977863,cg02341503,cg02399233,cg02505177,cg02556954,cg02930866,cg02981853,cg03067574,cg03109209,cg03139228,cg03335600,cg03413810,cg04148095,cg04347477,cg04368724,cg04455759,cg04723436,cg04724489,cg04831728,cg05022128,cg05295023,cg05308424,cg05651657,cg06114556,cg06217267,cg06763161,cg07054681,cg08316365,cg08608144,cg08713098,cg08730245,cg08798148,cg08926040,cg09814231,cg09893068,cg10160630,cg10172584,cg10277912,cg10453123,cg10830310,cg11249390,cg11643285,cg12419239,cg12564034,cg12636882,cg12664806,cg13152856,cg13469320,cg13701509,cg13771313,cg13828397,cg14071324,cg14483162,cg14549093,cg15004787,cg15042142,cg15120220,cg15137213,cg15324723,cg15378038,cg15541040,cg15542924,cg15629568,cg15973528,cg16026549,cg16114654,cg16359985,cg16540442,cg17259761,cg17491564,cg17737471,cg17974715,cg18156845,cg18298197,cg18821418,cg19089711,cg19389852,cg20054786,cg20490900,cg20569034,cg20641095,cg20849127,cg20929811,cg20999102,cg21385480,cg21827986,cg21932878,cg22352499,cg22723098,cg22760338,cg22977320,cg23288298,cg24315833,cg24693635,cg24906527,cg24975211,cg25432294,cg25777714,cg25945449,cg26358590,cg26832686,cg26862731,cg27346937,cg27436190	E029	1.00e+00
1.861	3.99e-02	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg00095870,cg00121045,cg00122683,cg00331541,cg00477365,cg00741634,cg01118653,cg01161919,cg01282959,cg01440570,cg01617018,cg01872324,cg01911678,cg01932827,cg01977863,cg02341503,cg02399233,cg02412628,cg02505177,cg02556954,cg02930866,cg02981853,cg03067574,cg03109209,cg03139228,cg03335600,cg03413810,cg03740261,cg04104695,cg04148095,cg04368724,cg04455759,cg04723436,cg04724489,cg04831728,cg04983128,cg05022128,cg05308424,cg05340882,cg05373161,cg05598539,cg05840750,cg05916700,cg05954702,cg05970577,cg06019050,cg06061257,cg06114556,cg06217267,cg06763161,cg06902558,cg07054681,cg07091220,cg07298473,cg07321536,cg07736922,cg08316365,cg08608144,cg08797598,cg08798148,cg08861456,cg08926040,cg08975197,cg09263731,cg09274253,cg09808985,cg09814231,cg09893068,cg09897604,cg10160630,cg10172584,cg10277912,cg10288921,cg10372770,cg10453123,cg10830310,cg11286035,cg11508373,cg11643285,cg11826008,cg12564034,cg12636882,cg12664806,cg13152856,cg13469320,cg13701509,cg13771313,cg13828397,cg13935548,cg14071324,cg14483162,cg14549093,cg14868222,cg15004787,cg15042142,cg15137213,cg15139248,cg15324723,cg15378038,cg15541040,cg15542924,cg15629568,cg15973528,cg16026549,cg16114654,cg16284213,cg16359985,cg16540442,cg16788962,cg16803737,cg17491564,cg17737471,cg17974715,cg17997641,cg18156845,cg18261909,cg18298197,cg18474239,cg18846731,cg19078067,cg19089711,cg19324313,cg19374752,cg19389852,cg20054786,cg20382344,cg20455854,cg20490900,cg20569034,cg20641095,cg20699492,cg20837626,cg20849127,cg20929811,cg20999102,cg21224251,cg21385480,cg21563049,cg21827986,cg21932878,cg22235727,cg22352499,cg22397365,cg22977320,cg23241772,cg23288298,cg24693635,cg24794992,cg24900425,cg24906527,cg24975211,cg24983716,cg25427625,cg25533211,cg25728699,cg25777714,cg25945449,cg26358590,cg26504421,cg26671988,cg26784300,cg26832686,cg26862731,cg27346937,cg27408171,cg27436190,cg27658640	E032	6.04e-01
1.598	6.53e-02	E033 Primary T cells from cord blood	Blood	H3K36me3	E033-H3K36me3.broadPeak.gz	cg00095870,cg00121045,cg00122683,cg00675940,cg01118653,cg01161919,cg01440570,cg01617018,cg01872324,cg01903374,cg01911678,cg01932827,cg01977863,cg02341503,cg02399233,cg02505177,cg02548606,cg02556954,cg02930866,cg02981853,cg03067574,cg03109209,cg03139228,cg03173570,cg03335600,cg03413810,cg04148095,cg04368724,cg04455759,cg04723436,cg04724489,cg04831728,cg05022128,cg05295023,cg05308424,cg05941924,cg06019050,cg06217267,cg06730953,cg06763161,cg06902558,cg07019009,cg07054681,cg07285953,cg08316365,cg08367465,cg08608144,cg08797598,cg08798148,cg08926040,cg08975197,cg09263731,cg09647671,cg09808985,cg09893068,cg10160630,cg10172584,cg10277912,cg10453123,cg10508317,cg10830310,cg11508373,cg11643285,cg11826008,cg12636882,cg13152856,cg13469320,cg13671198,cg13701509,cg13828397,cg14071324,cg14260522,cg14483162,cg14549093,cg15004787,cg15324723,cg15378038,cg15541040,cg15542924,cg15629568,cg15973528,cg16026549,cg16114654,cg16359985,cg16540442,cg16788962,cg16803737,cg17259761,cg17491564,cg17737471,cg17974715,cg18042072,cg18156845,cg18220786,cg18298197,cg18474239,cg18609230,cg18821418,cg19324313,cg19374752,cg19389852,cg20054786,cg20263045,cg20291779,cg20382344,cg20490900,cg20569034,cg20641095,cg20699492,cg20849127,cg20929811,cg20999102,cg21385480,cg21827986,cg21932878,cg22352499,cg22397365,cg22977320,cg23241772,cg23288298,cg24315833,cg24693635,cg24906527,cg24975211,cg24983716,cg25427625,cg25533211,cg25777714,cg25945449,cg26358590,cg26697605,cg26832686,cg26862731,cg27346937,cg27436190	E033	7.31e-01
2.128	2.00e-02	E034 Primary T cells from peripheral blood	Blood	H3K36me3	E034-H3K36me3.broadPeak.gz	cg00095870,cg00121045,cg00122683,cg00243922,cg00331541,cg00675940,cg00741634,cg01118653,cg01161919,cg01282959,cg01359967,cg01440570,cg01617018,cg01872324,cg01911678,cg01977863,cg02262553,cg02341503,cg02399233,cg02505177,cg02556954,cg02930866,cg02981853,cg03067574,cg03109209,cg03139228,cg03335600,cg03413810,cg03438490,cg04104695,cg04148095,cg04347477,cg04368724,cg04455759,cg04723436,cg04724489,cg04831728,cg04874239,cg04983128,cg05022128,cg05295023,cg05308424,cg05406954,cg05598539,cg05651657,cg05840750,cg05872513,cg05916700,cg06019050,cg06032302,cg06061257,cg06217267,cg06745704,cg06763161,cg06902558,cg07019009,cg07054681,cg07091220,cg07243366,cg07321536,cg08316365,cg08608144,cg08730245,cg08797598,cg08798148,cg08926040,cg08975197,cg09263731,cg09647671,cg09808985,cg09893068,cg10160630,cg10172584,cg10277912,cg10453123,cg10508317,cg10830310,cg11249390,cg11286035,cg11465943,cg11508373,cg11643285,cg12636882,cg12664806,cg13152856,cg13469320,cg13519902,cg13548164,cg13701509,cg13771313,cg13828397,cg14071324,cg14380013,cg14483162,cg14549093,cg14732815,cg14868222,cg15004787,cg15048902,cg15120220,cg15137213,cg15324723,cg15378038,cg15541040,cg15542924,cg15629568,cg15766494,cg15973528,cg16026549,cg16114654,cg16359985,cg16540442,cg16735190,cg16788962,cg16803737,cg17259761,cg17491564,cg17737471,cg17809632,cg17974715,cg18042072,cg18156845,cg18261909,cg18271897,cg18298197,cg18474239,cg18494421,cg18821418,cg18846731,cg19089711,cg19226017,cg19280364,cg19374752,cg19389852,cg20054786,cg20291779,cg20490900,cg20569034,cg20641095,cg20699492,cg20849127,cg20929811,cg20999102,cg21385480,cg21563049,cg21827986,cg21932878,cg22017654,cg22352499,cg22397365,cg22977320,cg23033748,cg23241772,cg23288298,cg23648239,cg24315833,cg24693635,cg24900425,cg24906527,cg24975211,cg25399352,cg25533211,cg25728699,cg25777714,cg25945449,cg26180612,cg26358590,cg26832686,cg26862731,cg26879538,cg27346937,cg27408171,cg27436190,cg27658640	E034	5.53e-01
1.700	5.55e-02	E046 Primary Natural Killer cells from peripheral 	Blood	H3K36me3	E046-H3K36me3.broadPeak.gz	cg00095870,cg00121045,cg00122683,cg00331541,cg01118653,cg01161919,cg01282959,cg01617018,cg01872324,cg01911678,cg02341503,cg02399233,cg02505177,cg02556954,cg02930866,cg02981853,cg03067574,cg03109209,cg03139228,cg03335600,cg03413810,cg03438490,cg04104695,cg04148095,cg04368724,cg04455759,cg04723436,cg04724489,cg04831728,cg05022128,cg05308424,cg05840750,cg06032302,cg06217267,cg06745704,cg06902558,cg06939851,cg07054681,cg07091220,cg07168939,cg07321536,cg08316365,cg08608144,cg08730245,cg08797598,cg08798148,cg08926040,cg09263731,cg09808985,cg09893068,cg10160630,cg10172584,cg10277912,cg10288921,cg10453123,cg10830310,cg11643285,cg11826008,cg12636882,cg12664806,cg13152856,cg13469320,cg13519902,cg13701509,cg13771313,cg13828397,cg14483162,cg14549093,cg14868222,cg15004787,cg15042142,cg15324723,cg15378038,cg15541040,cg15542924,cg15629568,cg15973528,cg16026549,cg16114654,cg16359985,cg16540442,cg16735190,cg16788962,cg16803737,cg17259761,cg17491564,cg17737471,cg17974715,cg18042072,cg18156845,cg18298197,cg18474239,cg18494421,cg18821418,cg19389852,cg20039257,cg20054786,cg20291779,cg20490900,cg20569034,cg20641095,cg20699492,cg20849127,cg20929811,cg20999102,cg21385480,cg21563049,cg21827986,cg21847118,cg21932878,cg22352499,cg22397365,cg22977320,cg23241772,cg23288298,cg24315833,cg24693635,cg24906527,cg24975211,cg25533211,cg25777714,cg25945449,cg26358590,cg26832686,cg26862731,cg27346937,cg27408171,cg27436190	E046	7.09e-01
1.733	5.11e-02	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E050-H3K36me3.broadPeak.gz	cg00095870,cg00121045,cg00122683,cg00159379,cg00331541,cg00675940,cg01118653,cg01161919,cg01282959,cg01617018,cg01872324,cg01911678,cg01977863,cg02399233,cg02505177,cg02556954,cg02930866,cg02981853,cg03067574,cg03109209,cg03139228,cg03335600,cg03413810,cg03740261,cg04088932,cg04104695,cg04148095,cg04368724,cg04455759,cg04723436,cg04724489,cg04831728,cg05022128,cg05295023,cg05308424,cg05840750,cg06061257,cg06114556,cg06168875,cg06217267,cg06902558,cg07054681,cg07567679,cg08316365,cg08367465,cg08608144,cg08713098,cg08730245,cg08797598,cg08798148,cg08926040,cg08975197,cg09274253,cg09893068,cg10160630,cg10172584,cg10277912,cg10288921,cg10372770,cg10453123,cg10508317,cg10830310,cg11390741,cg11643285,cg12103628,cg12419239,cg12564034,cg12636882,cg13152856,cg13469320,cg13701509,cg13771313,cg13828397,cg14071324,cg14380013,cg14483162,cg14549093,cg15004787,cg15042142,cg15120220,cg15137213,cg15324723,cg15378038,cg15541040,cg15542924,cg15629568,cg15973528,cg16026549,cg16114654,cg16359985,cg16510127,cg16540442,cg16763443,cg16788962,cg16803737,cg17259761,cg17412351,cg17737471,cg17956819,cg17974715,cg18042072,cg18156845,cg18298197,cg18393175,cg18474239,cg18494421,cg18821418,cg19089711,cg19324313,cg19389852,cg20054786,cg20291779,cg20382344,cg20490900,cg20543544,cg20569034,cg20641095,cg20849127,cg20929811,cg20999102,cg21385480,cg21563049,cg21827986,cg22180298,cg22352499,cg22397365,cg22977320,cg23164054,cg23241772,cg23288298,cg24315833,cg24693635,cg24906527,cg24975211,cg24983716,cg25777714,cg25945449,cg26358590,cg26504421,cg26862731,cg27346937,cg27408171,cg27436190,cg27647667	E050	7.07e-01
1.909	3.63e-02	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E051-H3K36me3.broadPeak.gz	cg00095870,cg00121045,cg00122683,cg00331541,cg01118653,cg01161919,cg01282959,cg01617018,cg01911678,cg01977863,cg02341503,cg02399233,cg02505177,cg02556954,cg02930866,cg02981853,cg03067574,cg03109209,cg03139228,cg03335600,cg03413810,cg03740261,cg04088932,cg04104695,cg04148095,cg04190002,cg04368724,cg04455759,cg04723436,cg04724489,cg04831728,cg05022128,cg05295023,cg05308424,cg05840750,cg05954702,cg06061257,cg06114556,cg06168875,cg06217267,cg06902558,cg07019009,cg07054681,cg07321536,cg07567679,cg08316365,cg08367465,cg08608144,cg08797598,cg08798148,cg08926040,cg08975197,cg09274253,cg09893068,cg10160630,cg10172584,cg10277912,cg10288921,cg10372770,cg10453123,cg10508317,cg10830310,cg11390741,cg11643285,cg12103628,cg12419239,cg12564034,cg12636882,cg13152856,cg13469320,cg13701509,cg13771313,cg13828397,cg14380013,cg14483162,cg14549093,cg15004787,cg15042142,cg15137213,cg15324723,cg15378038,cg15541040,cg15542924,cg15629568,cg15973528,cg16026549,cg16114654,cg16359985,cg16540442,cg16763443,cg16788962,cg16803737,cg17259761,cg17491564,cg17737471,cg17974715,cg17997641,cg18042072,cg18156845,cg18261909,cg18298197,cg18393175,cg18474239,cg18494421,cg18821418,cg18878616,cg19089711,cg19389852,cg20054786,cg20291779,cg20490900,cg20543544,cg20569034,cg20641095,cg20699492,cg20849127,cg20929811,cg20999102,cg21385480,cg21563049,cg21827986,cg21917550,cg21932878,cg22036614,cg22352499,cg22397365,cg22977320,cg23164054,cg23241772,cg23288298,cg23856090,cg24315833,cg24693635,cg24906527,cg24975211,cg24983716,cg25427625,cg25777714,cg25945449,cg26067569,cg26358590,cg26504421,cg26746255,cg26832686,cg26862731,cg27436190,cg27647667	E051	6.04e-01
1.523	8.62e-02	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K36me3	E028-H3K36me3.broadPeak.gz	cg00122683,cg00159379,cg00178661,cg01161919,cg01440570,cg01903374,cg01911678,cg02011981,cg02399233,cg02412628,cg02556954,cg02930866,cg03067574,cg03139228,cg03335600,cg03658604,cg03740261,cg04148095,cg04455759,cg04724489,cg04983128,cg05022128,cg06114556,cg06217267,cg06763161,cg07054681,cg07091220,cg07321536,cg07448679,cg07567679,cg08316365,cg08608144,cg08730245,cg08926040,cg08975197,cg09263731,cg09647671,cg10277912,cg10473059,cg10830310,cg11643285,cg12103628,cg12419239,cg12636882,cg13152856,cg13469320,cg13671198,cg13701509,cg13828397,cg14442492,cg14483162,cg14549093,cg15004787,cg15042142,cg15137213,cg15294150,cg15324723,cg15378038,cg15542924,cg15629568,cg15973528,cg16026549,cg16114654,cg16359985,cg16674257,cg16803737,cg17259761,cg17737471,cg17997641,cg18042072,cg18156845,cg18298197,cg18474239,cg18878616,cg19078067,cg19089711,cg19389852,cg20054786,cg20490900,cg20574381,cg20641095,cg20849127,cg20929811,cg20999102,cg21224251,cg21563049,cg21847118,cg21932878,cg22352499,cg22977320,cg23164054,cg23934633,cg24315833,cg24906527,cg25560215,cg25945449,cg26358590,cg26862731,cg26879538,cg27225130,cg27266824,cg27346937,cg27436190,cg27493342,cg27637738,cg27647667	E028	8.93e-01
0.025	5.14e-01	E003 H1 Cells	ES Cell	H3K36me3	E003-H3K36me3.broadPeak.gz	cg00095870,cg00121045,cg00122683,cg00178661,cg00204355,cg00331541,cg00342743,cg00348389,cg01118653,cg01161919,cg01440570,cg01518790,cg01617018,cg01903374,cg01911678,cg01932827,cg01977863,cg02011981,cg02044145,cg02262553,cg02341503,cg02399233,cg02501779,cg02505177,cg02556954,cg02920216,cg02930866,cg03067574,cg03109209,cg03335600,cg03413810,cg04088932,cg04148095,cg04194947,cg04283330,cg04316941,cg04368724,cg04455759,cg04724489,cg04752042,cg05022128,cg06061257,cg06114556,cg06902558,cg07054681,cg07091220,cg07321536,cg07567679,cg07607354,cg07740693,cg07962303,cg08037440,cg08316365,cg08367465,cg08436313,cg08608144,cg08651124,cg08798148,cg08861456,cg08926040,cg08975197,cg09108314,cg09220050,cg09232103,cg09263731,cg09409539,cg09647671,cg09893068,cg10047755,cg10069677,cg10160630,cg10172584,cg10277912,cg10372770,cg10453123,cg10503542,cg10508317,cg10738041,cg10830310,cg11249390,cg11465943,cg11508373,cg11643285,cg11955727,cg12103628,cg12419239,cg12511310,cg12636882,cg12664806,cg13152856,cg13231501,cg13409439,cg13469320,cg13701509,cg13828397,cg14028856,cg14380013,cg14483162,cg14525688,cg14549093,cg14676592,cg15004787,cg15137213,cg15294150,cg15378038,cg15541040,cg15629568,cg15704662,cg15900034,cg15973528,cg16026549,cg16114654,cg16157980,cg16359985,cg16510127,cg16540442,cg16568131,cg16748524,cg16763443,cg16788962,cg16803737,cg16884295,cg17306975,cg17491564,cg17737471,cg17809632,cg17974715,cg18033756,cg18042072,cg18156845,cg18185596,cg18298197,cg18755728,cg19089711,cg19389852,cg19503249,cg20065449,cg20263045,cg20291779,cg20490900,cg20641095,cg20753954,cg20818528,cg20849127,cg20865535,cg20929811,cg20999102,cg21024835,cg21177456,cg21385480,cg21827986,cg21847118,cg22017654,cg22045990,cg22352499,cg22402769,cg22793832,cg22977320,cg23033748,cg23164054,cg23263937,cg23288298,cg23509896,cg23856090,cg23934633,cg24315833,cg24451422,cg24494412,cg24693635,cg24906527,cg24944117,cg24975211,cg25432294,cg25533211,cg25558531,cg25728699,cg25777714,cg25945449,cg26700447,cg26702929,cg26862731,cg27266824,cg27325152,cg27346937,cg27493342,cg27647667	E003	1.00e+00
0.440	3.59e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K36me3	E004-H3K36me3.broadPeak.gz	cg00159379,cg00372908,cg00741634,cg01222719,cg01440570,cg02064368,cg02341503,cg02412628,cg02556954,cg03658604,cg04194947,cg05308309,cg05970577,cg06038838,cg06650256,cg06902558,cg07019009,cg07091220,cg07448679,cg08316365,cg08608144,cg09263731,cg10050397,cg10277912,cg10830310,cg11490805,cg13152856,cg13231501,cg13828397,cg16520796,cg18042072,cg18156845,cg18196506,cg18298197,cg19089711,cg19285688,cg20490900,cg20777257,cg21224251,cg21563049,cg22760338,cg24423329,cg24583481,cg24906527,cg25019961,cg26227027,cg27346937	E004	1.00e+00
