Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-3.924	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg00147627,cg00202166,cg00297950,cg00535538,cg00569896,cg00610021,cg00666641,cg00847857,cg01444578,cg01529207,cg01811187,cg02264943,cg02658551,cg02992098,cg03120147,cg03150846,cg03320827,cg03326410,cg03669949,cg03780701,cg04051697,cg04053776,cg04225104,cg04329870,cg04548483,cg04612566,cg04663556,cg04738552,cg04925085,cg05082466,cg05280698,cg05493094,cg06027949,cg06377543,cg06484123,cg06767339,cg07100532,cg07208077,cg07549924,cg07774765,cg08479752,cg08580836,cg09080087,cg09104029,cg09478228,cg09506600,cg09757109,cg10067737,cg11008123,cg11375102,cg12379764,cg12824060,cg12986110,cg13011109,cg13105904,cg13607226,cg13661350,cg13870990,cg14076161,cg14192029,cg14259717,cg14790000,cg15557168,cg16450200,cg16472896,cg16733676,cg16739679,cg17066531,cg17210938,cg17279458,cg17508302,cg18033671,cg18110333,cg18210365,cg18757828,cg19610905,cg19903927,cg20047055,cg20218571,cg20302342,cg20307496,cg21158075,cg21315874,cg21438527,cg21482265,cg22328208,cg22472290,cg22504013,cg22605641,cg22708112,cg22717478,cg22772235,cg23172480,cg23316161,cg24214260,cg24233211,cg24413068,cg24476939,cg25198316,cg25520068,cg25680145,cg25939861,cg26087117,cg26441372,cg26562263,cg27258561,cg27413430,ch.7.102590751F	E029	1.00e+00
-1.483	9.50e-01	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg00202166,cg00297950,cg00299286,cg00569896,cg00572387,cg00666641,cg00686132,cg02658551,cg03120147,cg03320827,cg04034290,cg04053776,cg04329870,cg04548483,cg04663556,cg05304729,cg05481879,cg05714773,cg05740763,cg07549924,cg08580836,cg09506600,cg09749225,cg11956442,cg12386285,cg13011109,cg13318543,cg14076161,cg14192029,cg14259717,cg14304336,cg16450200,cg16733676,cg17210938,cg17279458,cg17508302,cg17913306,cg18013336,cg20047055,cg20727124,cg21315874,cg22328208,cg22472290,cg22605641,cg23532828,cg24233211,cg24413068,cg25198316,cg26087117,cg26562263	E032	1.00e+00
0.011	5.32e-01	E033 Primary T cells from cord blood	Blood	H3K9me3	E033-H3K9me3.broadPeak.gz	cg00569896,cg04548204,cg08580836,cg11956442,cg13011109,cg14192029,cg15368872,cg16733676,cg20047055,cg21315874,cg22472290,cg22605641,cg23601664,cg23691781,cg24413068,cg25198316,cg26562263,cg27258561	E033	1.00e+00
-1.646	9.68e-01	E034 Primary T cells from peripheral blood	Blood	H3K9me3	E034-H3K9me3.broadPeak.gz	cg00147627,cg00202166,cg00271210,cg00290607,cg00535538,cg00569896,cg00666641,cg00686132,cg00983520,cg01264639,cg01444578,cg01529207,cg01566999,cg01797450,cg01833122,cg02264943,cg02365303,cg02478793,cg02658551,cg02846316,cg02873098,cg03120147,cg03320827,cg03326410,cg03349819,cg03669949,cg04053776,cg04329870,cg04506342,cg04548483,cg04663556,cg04706597,cg04910228,cg05082466,cg05280698,cg05481879,cg05552874,cg05714773,cg05807467,cg06027949,cg06377543,cg06458771,cg06484123,cg06767339,cg06908474,cg06941159,cg07549924,cg08580836,cg09468832,cg09506600,cg09586646,cg09597767,cg09729624,cg09749225,cg10738648,cg10779718,cg11250194,cg11566244,cg11956442,cg12087615,cg12655416,cg13011109,cg13183651,cg13529314,cg13607226,cg13661350,cg13818430,cg13870990,cg13939204,cg13990947,cg14076161,cg14192029,cg14304336,cg14729962,cg14790000,cg15309910,cg16303562,cg16490209,cg16733676,cg17163760,cg17279458,cg17508302,cg17662493,cg17765387,cg18356799,cg19610905,cg19855227,cg19903927,cg20047055,cg20218571,cg20307496,cg20401567,cg20519373,cg20669049,cg20727124,cg21315874,cg21482265,cg22328208,cg22472290,cg22605641,cg22654677,cg22772235,cg23161492,cg23691781,cg23754390,cg24012925,cg24169315,cg24214260,cg24320673,cg24343310,cg24413068,cg24438145,cg24579218,cg24885723,cg24929556,cg25198316,cg25282410,cg25520068,cg25680145,cg26087117,cg26151999,cg26562263,cg26864826,cg27258561	E034	1.00e+00
-2.906	9.99e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K9me3	E046-H3K9me3.broadPeak.gz	cg00006626,cg00202166,cg00219921,cg00271210,cg00297950,cg00452199,cg00535538,cg00569896,cg00610021,cg00666641,cg00750430,cg01341801,cg01597480,cg01797450,cg01811187,cg02264943,cg02658551,cg02772132,cg02992098,cg03120147,cg03179496,cg03188948,cg03320827,cg03326410,cg03349819,cg03368358,cg03780701,cg03800939,cg03849834,cg04051697,cg04053776,cg04225104,cg04329870,cg04548204,cg04592579,cg04612566,cg04663556,cg04706597,cg05129572,cg05280698,cg05481879,cg05575058,cg05812143,cg05818676,cg06027949,cg06458771,cg06484123,cg06498468,cg06500161,cg06961122,cg07100532,cg07151747,cg07549924,cg07774765,cg07876788,cg08580836,cg08766149,cg08926642,cg08949192,cg08960815,cg09506600,cg09586646,cg09597767,cg09749225,cg11278727,cg11309454,cg11893552,cg11947712,cg12087615,cg12386285,cg12655416,cg12824060,cg13011109,cg13052034,cg13318543,cg13593090,cg13661350,cg13818430,cg13870990,cg14076161,cg14192029,cg14259717,cg14304336,cg14724265,cg14818701,cg14930335,cg15647617,cg15700661,cg16022279,cg16303562,cg16431720,cg16506815,cg16733676,cg17063962,cg17210938,cg17279458,cg17326313,cg17508302,cg18033671,cg18099096,cg18110333,cg18336825,cg18356799,cg18685455,cg18705301,cg18757828,cg19384241,cg19564512,cg19805943,cg19903927,cg20047055,cg20218571,cg20307496,cg21315874,cg21438527,cg22001483,cg22328208,cg22472290,cg22605641,cg22654677,cg22748452,cg22772235,cg22809683,cg22956635,cg23071186,cg23161492,cg23172480,cg23436779,cg24169315,cg24214260,cg24254196,cg24320673,cg24343310,cg24413068,cg24885723,cg25096107,cg25125450,cg25198316,cg25520068,cg25592907,cg25680145,cg25939861,cg26087117,cg26151999,cg26562263,cg26864826,cg27048067,cg27258561,cg27413430	E046	1.00e+00
-2.563	9.98e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E050-H3K9me3.broadPeak.gz	cg00006626,cg00147627,cg00202166,cg00509616,cg00569896,cg00666641,cg00847857,cg01566999,cg01811187,cg02220481,cg02658551,cg02992098,cg03120147,cg03533561,cg03669949,cg04329870,cg04548204,cg04843821,cg04904561,cg05043910,cg05280698,cg05304729,cg05481879,cg05740763,cg05812143,cg06027949,cg06377543,cg06484123,cg07100532,cg07134368,cg07208077,cg07484727,cg07549924,cg07698196,cg07774765,cg08580836,cg09104029,cg09246203,cg09506600,cg09516651,cg11008123,cg11956442,cg12379764,cg12655416,cg12986110,cg13011109,cg13275603,cg13318543,cg13534536,cg13593090,cg13661648,cg13870990,cg14076161,cg14192029,cg14631576,cg14780446,cg14790000,cg15665376,cg16733676,cg17279458,cg17508302,cg17662493,cg18013336,cg18757828,cg18872420,cg19774683,cg19903927,cg20047055,cg20218571,cg20894963,cg21158075,cg21315874,cg22001483,cg22337626,cg22472290,cg22717478,cg22809683,cg22956635,cg23172480,cg23601664,cg23691781,cg23815491,cg24254196,cg24299847,cg24413068,cg24687055,cg24769381,cg25198316,cg25365379,cg25939861,cg26562263,cg26908356,cg27258561,cg27396824	E050	1.00e+00
-0.529	7.29e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E051-H3K9me3.broadPeak.gz	cg00147627,cg00202166,cg00610021,cg00666641,cg00686132,cg02658551,cg02992098,cg03062549,cg03120147,cg03320827,cg03349819,cg04329870,cg04548204,cg04843821,cg04904561,cg04925085,cg05280698,cg05304729,cg05481879,cg05714773,cg05740763,cg05812143,cg06377543,cg07100532,cg07208077,cg07549924,cg07774765,cg08580836,cg09104029,cg09246203,cg09478228,cg09506600,cg11008123,cg11805027,cg11956442,cg12379764,cg12986110,cg13011109,cg13318543,cg13534536,cg13661350,cg13661648,cg14076161,cg14192029,cg14304336,cg14790000,cg15221579,cg15732149,cg16733676,cg17210938,cg17279458,cg17508302,cg17607231,cg17913306,cg18013336,cg18099096,cg18391203,cg18757828,cg18995788,cg19903927,cg20047055,cg20188490,cg20218571,cg20894963,cg21158075,cg21315874,cg22472290,cg22708112,cg22772235,cg23234602,cg23601664,cg24413068,cg24769381,cg25198316,cg25939861,cg26562263,cg26908356,cg27258561	E051	1.00e+00
-1.888	9.81e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K9me3	E028-H3K9me3.broadPeak.gz	cg00535538,cg00569896,cg00572387,cg00610021,cg00666641,cg00750430,cg00955451,cg01529207,cg01788910,cg01797450,cg02082929,cg02295216,cg02992098,cg03179496,cg03533561,cg03849834,cg05481879,cg05818676,cg06027949,cg06484123,cg06588802,cg07307142,cg07549924,cg08479752,cg08580836,cg09506600,cg09749225,cg11358199,cg11893552,cg11956442,cg12379764,cg12824060,cg12986110,cg13318543,cg13361023,cg13500029,cg13645300,cg13661648,cg13745692,cg13762704,cg13990351,cg14192029,cg14913610,cg16022279,cg16101574,cg16805553,cg17279458,cg17765387,cg18013336,cg19903927,cg20047055,cg20406979,cg20538707,cg21315874,cg22472290,cg22605641,cg23532828,cg24147838,cg24188163,cg24413068,cg24687055,cg25198316,cg26087117,cg26562263,cg26955132	E028	1.00e+00
0.560	2.90e-01	E003 H1 Cells	ES Cell	H3K9me3	E003-H3K9me3.broadPeak.gz	cg00147627,cg00202166,cg00297950,cg00481159,cg00490406,cg00569896,cg00572387,cg00610021,cg00666641,cg00955451,cg01061553,cg01313622,cg01482313,cg01529207,cg01566999,cg01788910,cg01797450,cg01954388,cg02253142,cg02469604,cg02658551,cg02772132,cg02846316,cg02947214,cg02992098,cg03120147,cg03150846,cg03188948,cg03575939,cg03607951,cg03610280,cg03669949,cg03780701,cg03809021,cg03968911,cg04051697,cg04062040,cg04329870,cg04592579,cg04612566,cg04663556,cg04904561,cg05043910,cg05129572,cg05304729,cg05493094,cg05714773,cg05740763,cg05812143,cg05966235,cg06146977,cg06498468,cg06588802,cg06746829,cg06908474,cg07100532,cg07134368,cg07399417,cg07542871,cg07549924,cg07564979,cg07570687,cg07703391,cg07774765,cg07839457,cg08017634,cg08033130,cg08175413,cg08580836,cg08766149,cg08885076,cg09070378,cg09104029,cg09133511,cg09195098,cg09330145,cg09478228,cg09506600,cg09729624,cg09800633,cg10067737,cg10760299,cg10886225,cg10959651,cg11566244,cg11784243,cg11956442,cg12379764,cg12894711,cg12929486,cg12986110,cg13183651,cg13184225,cg13354988,cg13368983,cg13469425,cg13523713,cg13593090,cg13607226,cg13630239,cg13661350,cg13762704,cg13775629,cg13818430,cg13990351,cg14192029,cg14429526,cg14736911,cg15221579,cg15244290,cg15591803,cg15647617,cg15665376,cg15667493,cg15732149,cg16022279,cg16098332,cg16302655,cg16399664,cg16400320,cg16490209,cg17279458,cg17465336,cg17479956,cg17508302,cg17765387,cg17809365,cg17913306,cg17991206,cg18013336,cg18033671,cg18099096,cg18110333,cg18210365,cg18391203,cg18440523,cg18685455,cg18702104,cg18705301,cg18757828,cg18808777,cg18872420,cg18973101,cg18992848,cg19042435,cg19384241,cg19388776,cg19539986,cg19564512,cg19859270,cg19903196,cg19903927,cg20047055,cg20218571,cg20401567,cg20995835,cg21315874,cg21482265,cg21549285,cg22328208,cg22605641,cg22654677,cg22717478,cg22731440,cg22809683,cg22956635,cg23071186,cg23161492,cg23234602,cg23815491,cg24006662,cg24147838,cg24233211,cg24249248,cg24299847,cg24310667,cg24343310,cg24413068,cg24426391,cg24469729,cg24476939,cg24769381,cg24917065,cg25096107,cg25198316,cg25215230,cg25520068,cg25831233,cg26312951,cg26514552,cg26562263,cg26576978,cg26908356,cg26955290,cg27042294,cg27107292,cg27220934,cg27258561,cg27386326,cg27574817	E003	1.00e+00
2.639	7.24e-03	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K9me3	E004-H3K9me3.broadPeak.gz	cg01309328,cg02042467,cg02355809,cg02478793,cg02658551,cg03009030,cg03120147,cg03335624,cg04033559,cg04225104,cg04244493,cg04768958,cg04951822,cg05043794,cg05304729,cg05740763,cg05812143,cg06121808,cg06293782,cg06377543,cg06484123,cg06937882,cg07307142,cg07318398,cg07549924,cg07569194,cg07576186,cg07774765,cg08033130,cg08479294,cg08580836,cg08655800,cg08766149,cg09478228,cg10959651,cg11008123,cg11940495,cg12379764,cg12986110,cg13318543,cg13607226,cg13762704,cg13823257,cg14228460,cg14736911,cg14790000,cg14913610,cg16098332,cg16399664,cg16533245,cg17279458,cg17326313,cg17607231,cg18013336,cg18685455,cg18702104,cg18872420,cg18992848,cg19903927,cg20047055,cg21315874,cg22472290,cg22513455,cg22605641,cg25096107,cg26427534,cg26514552,cg26562263,cg26908356	E004	1.00e+00
