Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-0.517	7.18e-01	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig.gz	cg01765077,cg02003183,cg02686357,cg02787737,cg03051880,cg03227037,cg03877174,cg05168580,cg05570258,cg07349663,cg07890553,cg08035323,cg08481002,cg08801479,cg09109520,cg09762021,cg09906382,cg11953794,cg13782301,cg15020801,cg16145216,cg16260126,cg17884674,cg19719391,cg20751345,cg20979737,cg21758126,cg22490254,cg22635096,cg27118035	GSM701525	1.00e+00
0.221	4.48e-01	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig.gz	cg00281776,cg01765077,cg02003183,cg02156870,cg02186444,cg03051880,cg03227037,cg03877174,cg03906843,cg04135110,cg05168580,cg05570258,cg06357748,cg06635952,cg07890553,cg08035323,cg08481002,cg08801479,cg09109520,cg09906382,cg09981914,cg11953794,cg13264840,cg13782301,cg14269109,cg15020801,cg16145216,cg17884674,cg19327213,cg19696491,cg19719391,cg19956914,cg20979737,cg21758126,cg22490254,cg22635096,cg23236366	GSM701526	1.00e+00
0.490	3.52e-01	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig.gz	cg00290355,cg01281718,cg01765077,cg02003183,cg02686357,cg02787737,cg03227037,cg03877174,cg04135110,cg05168580,cg05570258,cg06357748,cg06648759,cg07349663,cg07807219,cg07890553,cg08035323,cg08481002,cg08801479,cg09109520,cg09762021,cg09906382,cg10417386,cg10722267,cg13782301,cg14371731,cg16062253,cg16145216,cg17884674,cg19719391,cg19758448,cg20979737,cg21758126,cg22490254,cg23842572,cg24665265,cg26955383,cg27118035	GSM665837	1.00e+00
1.631	7.65e-02	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig.gz	cg00045114,cg00281776,cg00290355,cg01281718,cg01765077,cg01809639,cg02003183,cg02158978,cg02610360,cg02686357,cg02787737,cg03047995,cg03051880,cg03227037,cg03906843,cg04135110,cg05168580,cg05570258,cg06357748,cg06648759,cg07349663,cg07890553,cg08035323,cg08481002,cg08801479,cg08972170,cg09109520,cg09560590,cg09762021,cg09906382,cg09981914,cg10417386,cg11399640,cg12290779,cg12647970,cg13264840,cg13782301,cg14269109,cg14371731,cg15688628,cg16145216,cg16260126,cg17485141,cg17884674,cg19327213,cg19637821,cg19696491,cg19719391,cg19758448,cg19925780,cg20751345,cg20979737,cg22490254,cg23842572,cg24665265,cg25200151,cg27118035	GSM701516	1.00e+00
1.500	9.33e-02	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig.gz	cg00045114,cg01012082,cg01281718,cg01765077,cg02003183,cg02156870,cg02158978,cg02186444,cg02686357,cg02787737,cg03047995,cg03051880,cg03227037,cg03877174,cg04135110,cg05168580,cg05570258,cg05987787,cg06357748,cg06361984,cg07349663,cg07807219,cg07890553,cg08035323,cg08419422,cg08481002,cg08801479,cg09109520,cg09762021,cg09981914,cg11699257,cg11902728,cg12290779,cg12647970,cg13165240,cg13264840,cg13782301,cg14371731,cg15020801,cg15688628,cg16145216,cg16260126,cg17884674,cg18954479,cg19327213,cg19406367,cg19557110,cg19719391,cg19758448,cg20979737,cg21758126,cg22490254,cg24665265,cg25197194,cg25200151,cg26955383,cg27118035	GSM701489	1.00e+00
1.817	5.48e-02	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig.gz	cg00045114,cg00130342,cg00281776,cg00290355,cg01281718,cg01765077,cg02003183,cg02610360,cg02686357,cg02787737,cg03047995,cg03051880,cg03227037,cg03864128,cg03877174,cg05168580,cg05570258,cg06635952,cg07349663,cg07890553,cg08035323,cg08419422,cg08481002,cg08551027,cg08801479,cg09109520,cg09762021,cg09906382,cg09981914,cg11953794,cg13264840,cg13782301,cg14269109,cg14371731,cg15020801,cg15688628,cg16145216,cg16260126,cg17884674,cg19327213,cg19557110,cg19619585,cg19719391,cg20979737,cg21758126,cg22490254,cg24665265,cg25200151,cg26955383,cg27118035	GSM701491	1.00e+00
0.870	2.29e-01	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig.gz	cg01281718,cg01765077,cg02003183,cg02156870,cg02610360,cg02686357,cg02787737,cg03047995,cg03227037,cg03877174,cg04016660,cg05168580,cg05570258,cg06357748,cg07349663,cg07890553,cg08035323,cg08481002,cg08551027,cg08801479,cg09762021,cg09906382,cg10417386,cg10696445,cg10811485,cg13264840,cg13782301,cg14371731,cg15020801,cg15251319,cg15688628,cg16145216,cg16260126,cg16379999,cg17884674,cg19327213,cg19637821,cg19696491,cg19719391,cg19758448,cg20979737,cg22490254,cg24665265,cg27118035	GSM665812	1.00e+00
0.666	2.85e-01	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig.gz	cg01281718,cg01765077,cg01809639,cg02003183,cg02787737,cg03051880,cg03227037,cg03877174,cg05168580,cg05570258,cg05987787,cg06541968,cg06648759,cg07349663,cg07890553,cg08035323,cg08481002,cg08801479,cg09109520,cg09762021,cg09981914,cg10417386,cg11953794,cg13782301,cg14269109,cg14371731,cg15020801,cg15688628,cg16145216,cg17884674,cg19327213,cg19696491,cg19719391,cg19925780,cg20751345,cg20979737,cg21758126,cg22490254,cg24134897,cg24665265,cg25200151,cg27118035	GSM665839	1.00e+00
0.731	2.67e-01	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig.gz	cg00130342,cg00281776,cg01281718,cg01765077,cg02003183,cg02156870,cg02158978,cg02686357,cg02787737,cg03047995,cg03227037,cg03877174,cg04180046,cg05168580,cg05570258,cg05713794,cg05987787,cg06357748,cg06648759,cg07890553,cg08035323,cg08481002,cg08801479,cg09109520,cg09696535,cg09762021,cg09906382,cg09981914,cg10696445,cg11902728,cg12290779,cg13264840,cg13782301,cg14371731,cg15688628,cg16145216,cg16260126,cg17485141,cg17884674,cg19327213,cg19637821,cg19696491,cg19719391,cg19816930,cg20979737,cg21758126,cg22490254,cg22539182,cg22635096,cg24665265,cg25197194,cg25200151,cg27118035	GSM817166	1.00e+00
0.706	2.78e-01	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig.gz	cg01281718,cg01765077,cg02003183,cg02156870,cg02186444,cg02686357,cg02787737,cg03047995,cg03051880,cg03227037,cg03877174,cg04180046,cg05168580,cg05570258,cg05987787,cg06357748,cg07349663,cg07890553,cg08035323,cg08481002,cg08801479,cg09109520,cg09762021,cg09906382,cg10417386,cg10696445,cg11902728,cg11953794,cg13264840,cg13782301,cg14371731,cg15020801,cg15261712,cg16145216,cg16260126,cg17485141,cg17884674,cg19327213,cg19696491,cg19719391,cg19758448,cg20979737,cg22490254,cg22539182,cg23840027,cg24665265,cg26955383,cg27118035	GSM701539	1.00e+00
