Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-1.048	8.36e-01	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg01952989	E029	1.00e+00
-0.779	8.20e-01	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg01952989,cg22548088	E032	1.00e+00
-1.179	8.89e-01	E033 Primary T cells from cord blood	Blood	H3K36me3	E033-H3K36me3.broadPeak.gz	cg01952989	E033	1.00e+00
-0.186	6.36e-01	E034 Primary T cells from peripheral blood	Blood	H3K36me3	E034-H3K36me3.broadPeak.gz	cg01952989,cg22548088,cg25928819	E034	1.00e+00
-1.073	8.55e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K36me3	E046-H3K36me3.broadPeak.gz	cg22548088	E046	1.00e+00
-0.261	6.40e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E050-H3K36me3.broadPeak.gz	cg01952989,cg22548088	E050	1.00e+00
-0.505	7.24e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E051-H3K36me3.broadPeak.gz	cg01952989,cg22548088	E051	1.00e+00
-2.031	1.00e+00	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K36me3	E028-H3K36me3.broadPeak.gz		E028	1.00e+00
-1.155	9.21e-01	E003 H1 Cells	ES Cell	H3K36me3	E003-H3K36me3.broadPeak.gz	cg01952989,cg11078433,cg16661579	E003	1.00e+00
-2.344	1.00e+00	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K36me3	E004-H3K36me3.broadPeak.gz		E004	1.00e+00
0.425	4.04e-01	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	H3K36me3	E005-H3K36me3.broadPeak.gz	cg01952989,cg03432641,cg06459916,cg09062638,cg11078433,cg19714762,cg22548088,cg24737639,cg25585364,cg25861327	E005	1.00e+00
-0.550	7.67e-01	E006 H1 Derived Mesenchymal Stem Cells	ES Cell	H3K36me3	E006-H3K36me3.broadPeak.gz	cg01952989,cg02672368,cg03734035,cg04777683,cg06459916,cg09062638,cg10038542,cg11078433,cg13190531,cg22830707,cg23808931,cg25585364,cg25861327,cg25928819,cg26687565	E006	1.00e+00
-0.733	8.16e-01	E007 H1 Derived Neuronal Progenitor Cultured Cells	ES Cell	H3K36me3	E007-H3K36me3.broadPeak.gz	cg01952989,cg02672368,cg23808931,cg25585364,cg26687565	E007	1.00e+00
-0.437	7.27e-01	E008 H9 Cells	ES Cell	H3K36me3	E008-H3K36me3.broadPeak.gz	cg01952989,cg02376269,cg03432641,cg03734035,cg07147063,cg08130668,cg10038542,cg13190531,cg16661579,cg22548088,cg22830707,cg23890800	E008	1.00e+00
0.538	3.64e-01	E085 Fetal Intestine Small	Feta Intestine Small	H3K36me3	E085-H3K36me3.broadPeak.gz	cg01952989,cg03432641,cg03734035,cg04777683,cg04879876,cg06459916,cg07147063,cg09062638,cg11149743,cg13190531,cg16661579,cg22548088,cg23065793,cg25585364	E085	1.00e+00
-0.084	5.93e-01	E080 Fetal Adrenal Gland	Fetal Adrenal Gland	H3K36me3	E080-H3K36me3.broadPeak.gz	cg01952989,cg02376269,cg22548088	E080	1.00e+00
-2.023	1.00e+00	E081 Fetal Brain Male	Fetal Brain	H3K36me3	E081-H3K36me3.broadPeak.gz		E081	1.00e+00
-2.038	1.00e+00	E082 Fetal Brain Female	Fetal Brain	H3K36me3	E082-H3K36me3.broadPeak.gz		E082	1.00e+00
-1.154	8.94e-01	E083 Fetal Heart	Fetal Heart	H3K36me3	E083-H3K36me3.broadPeak.gz	cg25928819	E083	1.00e+00
-1.422	9.39e-01	E084 Fetal Intestine Large	Fetal Intestine Large	H3K36me3	E084-H3K36me3.broadPeak.gz	cg01952989	E084	1.00e+00
-1.963	1.00e+00	E086 Fetal Kidney	Fetal Kidney	H3K36me3	E086-H3K36me3.broadPeak.gz		E086	1.00e+00
2.184	2.80e-02	E088 Fetal Lung	Fetal Lung	H3K36me3	E088-H3K36me3.broadPeak.gz	cg01952989,cg02376269,cg02672368,cg03432641,cg04777683,cg04879876,cg06459916,cg10038542,cg19714762,cg21490179,cg23808931,cg24737639,cg25585364,cg25861327,cg26687565	E088	1.00e+00
-1.045	8.86e-01	E090 Fetal Muscle Leg	Fetal Muscle Leg	H3K36me3	E090-H3K36me3.broadPeak.gz	cg01952989,cg22548088	E090	1.00e+00
-0.338	6.58e-01	E089 Fetal Muscle Trunk	Fetal Muscle Trunk	H3K36me3	E089-H3K36me3.broadPeak.gz	cg01952989,cg22548088	E089	1.00e+00
-1.214	9.24e-01	E092 Fetal Stomach	Fetal Stomach	H3K36me3	E092-H3K36me3.broadPeak.gz	cg01952989,cg04879876	E092	1.00e+00
-0.685	8.10e-01	E093 Fetal Thymus	Fetal Thymus	H3K36me3	E093-H3K36me3.broadPeak.gz	cg01952989,cg11149743,cg22548088	E093	1.00e+00
-1.693	9.73e-01	E094 Gastric	Gastric	H3K36me3	E094-H3K36me3.broadPeak.gz	cg01952989,cg03734035,cg16661579,cg23890800,cg25585364	E094	1.00e+00
0.593	3.47e-01	E021 iPS DF 6.9 Cells	IPS cell	H3K36me3	E021-H3K36me3.broadPeak.gz	cg01952989,cg06459916,cg09062638,cg10038542,cg10835423,cg11078433,cg19714762,cg21490179,cg22548088,cg22830707,cg23890800	E021	1.00e+00
0.058	5.99e-01	E022 iPS DF 19.11 Cells	IPS cell	H3K36me3	E022-H3K36me3.broadPeak.gz	cg01952989,cg02672368,cg03734035,cg04484842,cg04777683,cg04879876,cg05064665,cg06459916,cg07147063,cg08130668,cg09062638,cg10038542,cg10835423,cg11078433,cg11149743,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg22548088,cg23065793,cg23890800,cg24737639,cg24776326,cg25585364,cg25861327,cg26687565	E022	1.00e+00
-1.193	9.25e-01	E017 IMR90 fetal lung fibroblasts Cell Line	Lung	H3K36me3	E017-H3K36me3.broadPeak.gz	cg01952989,cg04879876	E017	1.00e+00
-1.626	9.73e-01	E097 Ovary	Ovary	H3K36me3	E097-H3K36me3.broadPeak.gz	cg22830707	E097	1.00e+00
-2.070	9.93e-01	E098 Pancreas	Pancreas	H3K36me3	E098-H3K36me3.broadPeak.gz	cg01952989,cg24776326	E098	1.00e+00
-0.420	7.02e-01	E091 Placenta	Placenta	H3K36me3	E091-H3K36me3.broadPeak.gz	cg01952989,cg22548088	E091	1.00e+00
-1.970	1.00e+00	E100 Psoas Muscle	Psoas Muscle	H3K36me3	E100-H3K36me3.broadPeak.gz		E100	1.00e+00
-0.075	6.03e-01	E055 Foreskin Fibroblast Primary Cells skin01	Skin	H3K36me3	E055-H3K36me3.broadPeak.gz	cg01952989,cg02672368,cg03432641,cg04777683,cg04879876,cg05064665,cg07147063,cg11149743,cg13190531,cg19714762,cg19715081,cg22548088,cg22830707,cg23808931,cg23890800,cg24737639,cg25861327,cg25928819	E055	1.00e+00
0.907	2.36e-01	E056 Foreskin Fibroblast Primary Cells skin02	Skin	H3K36me3	E056-H3K36me3.broadPeak.gz	cg01952989,cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04879876,cg05064665,cg07147063,cg08130668,cg09062638,cg10038542,cg11078433,cg13190531,cg19714762,cg19715081,cg21490179,cg22548088,cg22830707,cg23065793,cg23808931,cg23890800,cg24737639,cg25585364,cg25861327,cg26687565	E056	1.00e+00
-0.903	8.64e-01	E057 Foreskin Keratinocyte Primary Cells skin02	Skin	H3K36me3	E057-H3K36me3.broadPeak.gz	cg01952989,cg04879876,cg07147063,cg22548088	E057	1.00e+00
-1.944	9.88e-01	E059 Foreskin Melanocyte Primary Cells skin01	Skin	H3K36me3	E059-H3K36me3.broadPeak.gz	cg01952989,cg03432641,cg08130668,cg09062638,cg19714762,cg21490179,cg22548088,cg22830707	E059	1.00e+00
0.347	4.33e-01	E109 Small Intestine	Small Intestine	H3K36me3	E109-H3K36me3.broadPeak.gz	cg01952989,cg02376269,cg03432641,cg06459916,cg19715081,cg22548088,cg23065793,cg25585364	E109	1.00e+00
