Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-5.852	1.00e+00	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig.gz	cg00381391,cg00764582,cg01191788,cg01437709,cg01976243,cg02436083,cg02543556,cg03492094,cg03653158,cg03666966,cg03935956,cg04217850,cg04308301,cg04385523,cg04404773,cg05480350,cg05613273,cg06019933,cg06483820,cg06608224,cg08288503,cg08423755,cg08439122,cg08969102,cg10704177,cg11442986,cg11799283,cg12383160,cg12614529,cg13135255,cg13726456,cg13732043,cg14131691,cg14321269,cg14697045,cg14931486,cg16122287,cg16145720,cg16160637,cg16270995,cg16438366,cg17116500,cg17519037,cg17558817,cg17718238,cg17939602,cg18161208,cg18783781,cg20182202,cg21142557,cg21575634,cg22668931,cg23149707,cg24028828,cg24368962,cg25475273,cg26396322,cg26461944,cg27481141	GSM701525	1.00e+00
-5.398	1.00e+00	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig.gz	cg00638845,cg00714531,cg01200145,cg02543556,cg02765363,cg03666966,cg03722757,cg04290133,cg04385523,cg04404773,cg04497992,cg04883329,cg04933530,cg05056419,cg05194248,cg05853552,cg05879394,cg05999592,cg06019933,cg06592918,cg06608224,cg06864151,cg07056602,cg07589211,cg08014024,cg08061334,cg08334830,cg08652605,cg09040200,cg09194810,cg09247945,cg10142874,cg10433549,cg11215870,cg11558387,cg11939550,cg13054523,cg13205244,cg13221796,cg13576859,cg13726456,cg13732043,cg14190451,cg14362073,cg15737719,cg16160637,cg16349667,cg16438366,cg16714237,cg17040893,cg17519037,cg17532497,cg17542165,cg18367488,cg18783781,cg18805734,cg19686029,cg19998289,cg20493175,cg20758387,cg21067343,cg21576315,cg22503106,cg23054654,cg24028828,cg24447018,cg25003924,cg25308597,cg25475273,cg26472183,cg26985528,cg27143027,cg27481141	GSM701526	1.00e+00
-5.044	1.00e+00	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig.gz	cg00114012,cg00714531,cg00823480,cg00978517,cg01310029,cg01437709,cg01499988,cg01908419,cg01976243,cg02361196,cg02436083,cg02543556,cg03035271,cg03092343,cg03492094,cg03502211,cg04564998,cg06019933,cg06608224,cg07056602,cg07177867,cg07565042,cg07769280,cg08288503,cg08302053,cg08439122,cg08589455,cg08778580,cg08969102,cg09247945,cg09458420,cg10142874,cg10704177,cg10933988,cg11081261,cg11238327,cg11495812,cg12077460,cg12773397,cg13221796,cg13459606,cg13531735,cg13576217,cg13726456,cg13732043,cg14248318,cg14362073,cg14511746,cg14930775,cg15244874,cg15964898,cg15988632,cg15998596,cg16122287,cg16145720,cg16160637,cg16191278,cg16270995,cg16349667,cg18341600,cg18367488,cg18783781,cg19582046,cg20035380,cg20493175,cg20840540,cg22503106,cg22668931,cg23475294,cg23746329,cg23871276,cg24028828,cg24304533,cg24343524,cg25003924,cg26584983,cg27481141	GSM665837	1.00e+00
-2.056	9.86e-01	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig.gz	cg00114012,cg00286717,cg00381516,cg00638845,cg00714531,cg00764582,cg00766820,cg00823480,cg01000631,cg01051200,cg01191788,cg01310029,cg01437709,cg01482779,cg01627992,cg01978458,cg02068052,cg02142455,cg02290349,cg02361196,cg02402423,cg02436083,cg02447557,cg02543556,cg02930951,cg03035271,cg03092343,cg03210018,cg03653158,cg03695871,cg03722757,cg03812149,cg04217850,cg04308301,cg04404773,cg04806741,cg04883329,cg04933530,cg05042038,cg06019933,cg06566952,cg06608224,cg06755692,cg06996254,cg07056602,cg07177867,cg07769280,cg08288503,cg08348441,cg08439122,cg08679013,cg08820720,cg08884974,cg08922108,cg08969102,cg09040200,cg09247945,cg09444226,cg09458420,cg10054763,cg10105512,cg10142874,cg10590350,cg10650214,cg10704177,cg10933988,cg11238327,cg11442986,cg12077460,cg12383160,cg12492850,cg12561552,cg12605076,cg12614529,cg12773397,cg13077072,cg13135255,cg13221796,cg13279458,cg13459606,cg13531735,cg13726456,cg13732043,cg13792581,cg13947225,cg14131691,cg14140268,cg14248318,cg14362073,cg14511746,cg14930775,cg15123849,cg15988632,cg15998596,cg16122287,cg16145720,cg16160637,cg16270995,cg16349667,cg16438366,cg16549727,cg17030380,cg17116500,cg17519037,cg17718238,cg17934955,cg18161208,cg18254848,cg18368116,cg18783781,cg19247032,cg19375767,cg19582046,cg19791780,cg20182202,cg20493175,cg20758387,cg20885063,cg21142557,cg21575634,cg22503106,cg22668931,cg23149707,cg23196129,cg23205629,cg23434083,cg23475294,cg23871276,cg23875532,cg24028828,cg24113459,cg24304533,cg24323626,cg24343524,cg25003924,cg25308597,cg25475273,cg25493477,cg25602071,cg25738218,cg26024852,cg26197665,cg26461944,cg26472183,cg26529864,cg26787239,cg26955963,cg27046434,cg27143027,cg27481141	GSM701516	1.00e+00
-1.378	9.36e-01	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig.gz	cg00114012,cg00336912,cg00582671,cg00638845,cg00714531,cg00823480,cg01139080,cg01310029,cg01437709,cg01482779,cg01614759,cg01627992,cg01978458,cg02142455,cg02290349,cg02402423,cg02436083,cg02503303,cg02543556,cg02930951,cg03035271,cg03119191,cg03210018,cg03392077,cg03492094,cg03666966,cg03695871,cg03722757,cg03812149,cg04217850,cg04290133,cg04308301,cg04385523,cg04404773,cg04497992,cg04765589,cg04847043,cg04883329,cg04933530,cg05042038,cg05358754,cg05447875,cg05470179,cg05480350,cg05724080,cg06418837,cg06608224,cg06755692,cg06863152,cg06864151,cg06984345,cg07056602,cg07177867,cg07459967,cg08014024,cg08085199,cg08288503,cg08334830,cg08423755,cg08439122,cg08884974,cg08969102,cg09040200,cg09245115,cg09247945,cg09444226,cg09458420,cg09532994,cg10054763,cg10105512,cg10142874,cg10354401,cg10590350,cg10815420,cg11205545,cg11215870,cg11230866,cg11238327,cg11606229,cg12077460,cg12383160,cg12614529,cg13135255,cg13205244,cg13221796,cg13531735,cg13726456,cg13732043,cg13764085,cg14025883,cg14131691,cg14184646,cg14248318,cg14362073,cg14655553,cg14697045,cg14769121,cg14879823,cg14930775,cg15331937,cg15769653,cg15998596,cg16122287,cg16145720,cg16160637,cg16263722,cg16270995,cg16330225,cg16438366,cg16660617,cg17022365,cg17338225,cg17519037,cg17558817,cg17936236,cg18135530,cg18455616,cg18783781,cg19069027,cg19375767,cg19475270,cg20182202,cg20216313,cg20263733,cg20493175,cg20758387,cg20885063,cg20992317,cg21067343,cg21142557,cg21234134,cg21237481,cg21575634,cg21576315,cg21640749,cg21672758,cg22059413,cg22503106,cg22668931,cg22972893,cg23149707,cg23196129,cg23475294,cg23825347,cg23875532,cg24028828,cg24323626,cg24343524,cg24380653,cg24447018,cg24714082,cg25003924,cg25475273,cg25602071,cg25738218,cg26102082,cg26337091,cg26396322,cg26461944,cg26529864,cg26985528,cg27046434,cg27143027,cg27481141	GSM701489	1.00e+00
-4.312	1.00e+00	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig.gz	cg00114012,cg00638845,cg00714531,cg00758214,cg00764582,cg00823480,cg01310029,cg01482779,cg01808470,cg01976243,cg02068052,cg02402423,cg02543556,cg02930951,cg03035271,cg03210018,cg03329755,cg03492094,cg03666966,cg03695871,cg03722757,cg04217850,cg04385523,cg04546473,cg04883329,cg04933530,cg05447875,cg05480350,cg05853552,cg06608224,cg06773230,cg07056602,cg07177867,cg07718085,cg07730263,cg08058756,cg08077807,cg08085199,cg08094347,cg08423755,cg08439122,cg08584457,cg08589455,cg09194810,cg09247945,cg09332506,cg09444226,cg10644885,cg10704177,cg11238327,cg11442986,cg11606229,cg12383160,cg12450789,cg12740725,cg13197551,cg13221796,cg13459606,cg13531735,cg13726456,cg13732043,cg14131691,cg14321269,cg14362073,cg14879823,cg14947564,cg15482717,cg15737719,cg15767361,cg16122287,cg16145720,cg16160637,cg16270995,cg16330225,cg16438366,cg16660617,cg16714237,cg17040893,cg17338225,cg17519037,cg17936236,cg18455616,cg18783781,cg20493175,cg21142557,cg21575634,cg21576315,cg21664942,cg21672758,cg23205629,cg23434083,cg23475294,cg23699170,cg23875532,cg23911543,cg24028828,cg24368962,cg25003924,cg25221180,cg26365969,cg26461944,cg26529864,cg27131881,cg27481141	GSM701491	1.00e+00
-6.651	1.00e+00	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig.gz	cg00114012,cg01437709,cg01614759,cg02402423,cg03492094,cg03695871,cg03722757,cg04100865,cg04217850,cg04236871,cg04308301,cg04377912,cg04997452,cg05447875,cg06608224,cg07056602,cg07565042,cg07718085,cg07908654,cg08077807,cg08439122,cg08969102,cg09031958,cg09597192,cg09863265,cg10704177,cg10828236,cg11238327,cg11770323,cg12402318,cg12614529,cg12645785,cg13459606,cg13531735,cg13726456,cg13732043,cg14012059,cg14025883,cg14108285,cg14131691,cg14511746,cg14655553,cg15123849,cg15331937,cg16160637,cg16270995,cg16349667,cg17040893,cg17519037,cg17558817,cg17939602,cg18455616,cg18783781,cg19375767,cg19582046,cg20182202,cg20493175,cg20885063,cg21234134,cg21237481,cg23434083,cg23475294,cg24028828,cg24541864,cg25003924,cg25475273,cg25602071,cg26461944,cg26472183,cg27143027,cg27481141	GSM665812	1.00e+00
-5.851	1.00e+00	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig.gz	cg00114012,cg00714531,cg00823480,cg00851361,cg01139080,cg01437709,cg02402423,cg02436083,cg02543556,cg02930951,cg03035271,cg03119191,cg03492094,cg03502211,cg04217850,cg04308301,cg04385523,cg04681520,cg04997452,cg05480350,cg06304167,cg06315149,cg06608224,cg07056602,cg07177867,cg08439122,cg08969102,cg09080248,cg09247945,cg09458420,cg09532994,cg10054763,cg10704177,cg11770323,cg12077460,cg12383160,cg12450789,cg12614529,cg12667152,cg13726456,cg13732043,cg13953978,cg14248318,cg15331937,cg16122287,cg16160637,cg16270995,cg16330225,cg16349667,cg16714237,cg17040893,cg17519037,cg17844602,cg17939602,cg18341600,cg18455616,cg18783781,cg19456763,cg19968199,cg19998289,cg20493175,cg20758387,cg20885063,cg21142557,cg21568193,cg22883080,cg23414568,cg23434083,cg23475294,cg23871276,cg23875532,cg24028828,cg24343524,cg24536162,cg25466522,cg25475273,cg26461944,cg26985528,cg27094581,cg27131881,cg27143027,cg27481141	GSM665839	1.00e+00
-1.044	8.78e-01	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig.gz	cg00114012,cg00158128,cg00381391,cg00634542,cg00638845,cg00714531,cg00764582,cg00823480,cg00851361,cg01139080,cg01310029,cg01330991,cg01437709,cg01482779,cg01627992,cg01942646,cg01978458,cg02171825,cg02290349,cg02361196,cg02402423,cg02864713,cg02930951,cg03035271,cg03210018,cg03492094,cg03653158,cg03695871,cg03722757,cg04217850,cg04308301,cg04385523,cg04564998,cg04806741,cg04825341,cg04883329,cg04933530,cg05042038,cg05072637,cg05261121,cg05358754,cg05480350,cg05808227,cg05853552,cg06437892,cg06608224,cg06794913,cg07056602,cg07177867,cg07307484,cg07459967,cg07828169,cg07906050,cg07908654,cg08077807,cg08439122,cg08679013,cg08778580,cg08969102,cg09194810,cg09247945,cg09249800,cg09444226,cg09863265,cg10120159,cg10145411,cg10354401,cg10644885,cg10650214,cg10704177,cg11606229,cg11770323,cg12075669,cg12213680,cg12258670,cg12383160,cg12548730,cg12605076,cg13135255,cg13221796,cg13298043,cg13531735,cg13726456,cg13732043,cg14131691,cg14362073,cg14496081,cg14511746,cg14879823,cg14947564,cg15146567,cg15767361,cg15952483,cg15988632,cg15998596,cg16122287,cg16160637,cg16263722,cg16270995,cg16330225,cg16349667,cg16438366,cg16950658,cg17116500,cg17354333,cg17519037,cg17558817,cg17879351,cg17939602,cg18367488,cg18455616,cg18783781,cg19198938,cg19375767,cg19456763,cg19686029,cg19791780,cg19998289,cg20182202,cg20493175,cg20758387,cg20804243,cg20840540,cg20885063,cg21092930,cg21140167,cg21142557,cg21640749,cg22059413,cg22503106,cg22668931,cg22972893,cg23149707,cg23434083,cg23464586,cg23475294,cg23825347,cg23871276,cg23948955,cg24028828,cg24039962,cg24278615,cg24343524,cg24380653,cg24536162,cg24541864,cg25003924,cg25224369,cg25475273,cg25960268,cg26323242,cg26461944,cg26529864,cg26584983,cg26985528,cg27014783,cg27046434,cg27143027,cg27308490,cg27481141	GSM817166	1.00e+00
-5.800	1.00e+00	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig.gz	cg00114012,cg00714531,cg01139080,cg01191788,cg01437709,cg02212711,cg02402423,cg02543556,cg02930951,cg03278639,cg03329755,cg03492094,cg03666966,cg03695871,cg03722757,cg04217850,cg04290133,cg04497992,cg05300717,cg05480350,cg06608224,cg06794913,cg07056602,cg07453055,cg07718085,cg07908654,cg08439122,cg08679013,cg08900098,cg08922698,cg09194810,cg09247945,cg09249800,cg09458420,cg09532994,cg09684929,cg10433549,cg10590350,cg10704177,cg11238327,cg11606229,cg11619782,cg12077460,cg12213680,cg12614529,cg12667152,cg13459606,cg13726456,cg13732043,cg14025883,cg14329961,cg14362073,cg16122287,cg16160637,cg16270995,cg16349667,cg16438366,cg16714237,cg17040893,cg17354333,cg17519037,cg18161208,cg18783781,cg19791780,cg20493175,cg20758387,cg22069559,cg22668931,cg22883080,cg22972893,cg23149707,cg23871276,cg24028828,cg24113459,cg25003924,cg25308597,cg25738218,cg26102082,cg26461944,cg26472183,cg27094581,cg27131881,cg27143027,cg27481141	GSM701539	1.00e+00
