Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
5.250	7.45e-09	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	cg00123090,cg00158128,cg00286717,cg00336912,cg00359030,cg00381391,cg00381516,cg00634542,cg00638845,cg00673191,cg00714531,cg00758214,cg00823480,cg00851361,cg00961073,cg00990977,cg01086527,cg01116541,cg01137366,cg01139080,cg01310029,cg01437709,cg01613077,cg01614759,cg01745810,cg01901579,cg01908419,cg01976243,cg01978458,cg01979270,cg01998785,cg02068052,cg02170785,cg02202133,cg02212711,cg02233915,cg02332678,cg02402423,cg02420943,cg02436083,cg02447557,cg02503303,cg02543556,cg02683853,cg02765363,cg02930951,cg02985445,cg03119191,cg03189469,cg03210018,cg03278639,cg03369382,cg03492094,cg03502211,cg03651219,cg03653158,cg03695871,cg03722757,cg03757043,cg03812149,cg03935956,cg03983220,cg04385523,cg04399631,cg04459751,cg04587103,cg04650104,cg04806741,cg04883329,cg04933530,cg04997452,cg05045380,cg05056419,cg05184016,cg05194248,cg05300717,cg05316492,cg05380077,cg05447875,cg05480350,cg05543520,cg05724080,cg05786348,cg05853552,cg05999592,cg06070625,cg06223015,cg06304167,cg06475513,cg06528816,cg06566952,cg06608224,cg06794913,cg06984345,cg07056602,cg07066120,cg07177867,cg07299810,cg07453055,cg07459967,cg07718085,cg07730263,cg07827820,cg07908654,cg08014024,cg08058756,cg08061334,cg08077807,cg08288503,cg08334830,cg08423755,cg08439122,cg08538069,cg08553585,cg08584457,cg08778580,cg08820720,cg08884974,cg08922698,cg09031958,cg09080248,cg09194810,cg09247945,cg09332506,cg09335712,cg09339568,cg09458420,cg09532994,cg09597192,cg09778927,cg09980470,cg10100117,cg10113951,cg10120159,cg10194884,cg10220104,cg10354401,cg10433549,cg10590350,cg10644885,cg10897344,cg11238327,cg11296110,cg11442986,cg11495942,cg11606229,cg11939550,cg12060026,cg12075669,cg12077754,cg12154164,cg12172163,cg12213680,cg12402318,cg12492850,cg12561552,cg12629001,cg12667152,cg13051367,cg13073332,cg13077072,cg13123771,cg13197551,cg13205244,cg13221796,cg13279458,cg13298043,cg13299425,cg13353793,cg13531735,cg13562011,cg13576859,cg13726456,cg13732043,cg13806461,cg13863638,cg14118054,cg14131691,cg14140403,cg14190451,cg14321269,cg14362073,cg14496081,cg14617280,cg14655553,cg14769121,cg14849880,cg14879823,cg14991022,cg14999724,cg15123849,cg15146567,cg15244874,cg15279186,cg15331937,cg15344640,cg15434896,cg15579574,cg15881027,cg15964898,cg15998596,cg16064932,cg16147002,cg16160637,cg16182457,cg16270995,cg16330225,cg16349667,cg16508714,cg16677621,cg16714237,cg16950658,cg17030380,cg17040893,cg17062760,cg17074037,cg17334945,cg17338225,cg17354333,cg17384357,cg17459348,cg17519037,cg17718238,cg17936236,cg18182820,cg18190876,cg18337287,cg18455414,cg18455616,cg18655410,cg18783781,cg18805734,cg18830042,cg18991231,cg19002713,cg19260922,cg19296400,cg19375767,cg19434937,cg19456763,cg19475270,cg19582046,cg19686029,cg19696679,cg19791262,cg19791780,cg19851810,cg19998289,cg20182202,cg20216313,cg20493175,cg20758387,cg20818756,cg20831584,cg20840540,cg20885063,cg20992317,cg21067343,cg21234134,cg21237481,cg21259720,cg21306887,cg21505451,cg21640749,cg21672758,cg21931263,cg22027879,cg22069559,cg22146772,cg22418084,cg22503106,cg22508829,cg22797971,cg22816343,cg22883080,cg23003220,cg23054654,cg23149707,cg23205629,cg23260901,cg23414568,cg23475294,cg23855365,cg23875532,cg23911543,cg23990557,cg23993677,cg24014587,cg24028828,cg24058805,cg24106568,cg24254196,cg24278615,cg24380653,cg24712122,cg24714082,cg25003924,cg25087851,cg25221180,cg25348163,cg25466522,cg25475273,cg25602071,cg25738218,cg25852061,cg25877465,cg25960268,cg26024852,cg26058544,cg26102082,cg26245101,cg26252077,cg26472183,cg26569937,cg26749306,cg26817086,cg26955963,cg27046434,cg27094581,cg27131881,cg27143027,cg27308490,cg27335233,cg27481141	E029	1.73e-07
-7.317	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K4me3	E029-H3K4me3.broadPeak.gz	cg00714531,cg00823480,cg01998785,cg02402423,cg02543556,cg03695871,cg03722757,cg05300717,cg06144471,cg06608224,cg12075669,cg13197551,cg13531735,cg13732043,cg14140403,cg14190451,cg14362073,cg14655553,cg16349667,cg17718238,cg17936236,cg18455616,cg20493175,cg21640749,cg22027879,cg22503106,cg25877465,cg26472183,cg27481141	E029	1.00e+00
-8.716	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg00158128,cg00582671,cg00658852,cg00793181,cg01284182,cg03278639,cg04931493,cg05159759,cg05194248,cg06651549,cg06864151,cg09339568,cg10650214,cg11619782,cg12213680,cg12359648,cg13118684,cg14654849,cg15146567,cg15203376,cg16680864,cg17532497,cg17772438,cg17982734,cg18099556,cg18783781,cg21306887,cg21723861,cg21992676,cg23855365,cg25401182,cg25926955,cg26461944,cg26964704	E029	1.00e+00
-6.758	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K27me3	E029-H3K27me3.broadPeak.gz	cg00114012,cg00158128,cg00582671,cg00793181,cg01167694,cg01200145,cg01284182,cg01437709,cg01627992,cg01955639,cg02095988,cg03035271,cg03092343,cg03318414,cg03448301,cg03475216,cg03501393,cg03519593,cg03666966,cg04308301,cg04721651,cg04931493,cg04992471,cg05159759,cg05541460,cg05853552,cg06633463,cg06651549,cg07828169,cg08089777,cg08256839,cg08679013,cg08778580,cg08900098,cg08922698,cg09339568,cg09980470,cg10011040,cg10279452,cg10704177,cg10815420,cg10933988,cg11215870,cg11238327,cg11495812,cg11558387,cg11770323,cg12773397,cg12916632,cg13054523,cg13072730,cg13459606,cg13531735,cg13562011,cg13732043,cg13850063,cg14179258,cg15146567,cg15767361,cg15873326,cg16107105,cg16549727,cg16680864,cg16953142,cg17374802,cg17521120,cg17526357,cg17941143,cg18278420,cg18666454,cg19344749,cg19582046,cg20385913,cg20804243,cg21505451,cg21723861,cg21992676,cg22905973,cg23079735,cg23856600,cg24380653,cg24836822,cg25087851,cg25308597,cg25738218,cg26197665,cg26461944,cg26787239,cg26804299,cg27014783,cg27308490	E029	1.00e+00
11.261	1.20e-29	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg00092426,cg00170714,cg00321711,cg00329570,cg00414077,cg00460843,cg00477633,cg00527937,cg00634542,cg00764582,cg00766820,cg00924612,cg00978517,cg00990977,cg01000631,cg01009225,cg01051098,cg01139080,cg01224965,cg01304182,cg01325448,cg01439230,cg01450133,cg01499988,cg01542143,cg01613077,cg01745810,cg01808470,cg01908419,cg01923915,cg01976243,cg01978458,cg01979270,cg02046836,cg02068052,cg02124524,cg02133716,cg02202133,cg02212711,cg02227075,cg02228403,cg02243624,cg02324015,cg02332678,cg02359181,cg02361196,cg02374401,cg02447557,cg02473287,cg02683853,cg02765363,cg02869730,cg02874537,cg02979987,cg03392077,cg03492094,cg03653158,cg03695871,cg03722757,cg03812149,cg03850588,cg03935956,cg04100865,cg04202435,cg04217850,cg04236871,cg04290133,cg04377912,cg04420917,cg04484304,cg04524109,cg04569594,cg04587103,cg04650104,cg04681520,cg04806741,cg04847043,cg05072637,cg05076510,cg05178561,cg05184016,cg05194248,cg05219423,cg05261121,cg05300717,cg05447875,cg05470179,cg05480350,cg05596757,cg05613273,cg05642098,cg05698970,cg05934594,cg05981968,cg05999592,cg06127160,cg06208130,cg06223015,cg06437892,cg06449385,cg06528816,cg06571036,cg06592575,cg06592918,cg06755692,cg06824199,cg06839111,cg06863152,cg06864151,cg06984345,cg07307484,cg07332540,cg07361747,cg07428892,cg07447194,cg07456972,cg07459967,cg07565042,cg07589211,cg07636225,cg07643489,cg07733260,cg07769280,cg07778428,cg07818422,cg07879720,cg07944332,cg08077807,cg08085199,cg08094347,cg08222787,cg08334830,cg08348441,cg08423755,cg08649376,cg08886771,cg09031958,cg09080248,cg09245115,cg09332506,cg09357175,cg09444226,cg09458420,cg09684929,cg09863265,cg09908050,cg10051213,cg10054763,cg10100117,cg10113951,cg10120159,cg10141168,cg10142874,cg10145411,cg10298741,cg10387956,cg10466699,cg10644885,cg11000869,cg11014921,cg11015284,cg11081261,cg11112605,cg11202380,cg11296110,cg11495942,cg11668148,cg11799283,cg12003079,cg12060026,cg12074090,cg12075669,cg12077754,cg12104982,cg12119581,cg12154164,cg12168006,cg12172163,cg12192145,cg12213680,cg12383160,cg12450789,cg12605076,cg12645785,cg12736613,cg12916632,cg13077072,cg13135255,cg13197551,cg13360526,cg13423371,cg13458609,cg13491003,cg13576217,cg13628444,cg13672080,cg13764085,cg13774539,cg13789639,cg13806461,cg13863638,cg13947225,cg13953978,cg14012059,cg14025883,cg14118054,cg14190451,cg14248318,cg14263230,cg14378743,cg14415107,cg14511746,cg14556243,cg14617280,cg14644626,cg14655553,cg14697045,cg14832684,cg14849880,cg14931486,cg14947564,cg14963970,cg15106081,cg15158069,cg15279186,cg15301710,cg15331937,cg15344640,cg15402265,cg15482717,cg15579574,cg15634144,cg15881027,cg15903936,cg15929700,cg15952483,cg15998761,cg16122287,cg16145720,cg16147002,cg16182457,cg16263722,cg16330225,cg16349667,cg16362140,cg16438366,cg16450797,cg16499536,cg16508714,cg16597993,cg16606719,cg16660617,cg16677621,cg16710124,cg17022365,cg17116500,cg17139328,cg17256681,cg17300669,cg17338225,cg17526357,cg17542165,cg17558547,cg17558817,cg17717565,cg17804141,cg17879351,cg17934955,cg18010432,cg18135530,cg18161208,cg18176312,cg18182820,cg18278420,cg18337287,cg18399629,cg18456722,cg18617819,cg18655410,cg18693924,cg18805734,cg18814289,cg19002713,cg19069027,cg19260922,cg19294517,cg19296400,cg19396390,cg19434937,cg19696679,cg19791780,cg19928703,cg19960458,cg19968199,cg19993461,cg19998289,cg20035380,cg20037145,cg20267283,cg20317437,cg20378916,cg20758387,cg20813763,cg20818756,cg20840540,cg20885063,cg20893283,cg21045547,cg21067343,cg21142557,cg21553305,cg21575634,cg21664942,cg21867373,cg21932513,cg22022320,cg22027879,cg22087490,cg22221575,cg22252112,cg22503106,cg22717723,cg22775585,cg22816343,cg23087931,cg23172995,cg23338316,cg23414568,cg23472776,cg23498922,cg23516680,cg23557612,cg23575099,cg23699170,cg23746329,cg23871276,cg23875532,cg23911543,cg23948955,cg23975326,cg23993677,cg24039962,cg24076840,cg24113459,cg24254196,cg24304533,cg24368962,cg24541864,cg24823679,cg24829718,cg24869851,cg24872571,cg25161908,cg25401182,cg25470919,cg25475273,cg25493477,cg25854298,cg25926955,cg26103369,cg26245101,cg26323242,cg26337091,cg26389822,cg26396322,cg26425190,cg26472183,cg26584983,cg26749306,cg26774971,cg26964704,cg26997652,cg27094581,cg27335233,cg27341747,cg27508623	E029	1.71e-27
2.813	6.72e-04	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	cg00114012,cg00158128,cg00170714,cg00286717,cg00336912,cg00381516,cg00390694,cg00414077,cg00460843,cg00527937,cg00638845,cg00673191,cg00714531,cg00823480,cg01000631,cg01137366,cg01191788,cg01200145,cg01224965,cg01304182,cg01310029,cg01437709,cg01499988,cg01627992,cg01745810,cg01901579,cg01976243,cg01978458,cg01979270,cg01998785,cg02046836,cg02068052,cg02095988,cg02124524,cg02202133,cg02212711,cg02290349,cg02324015,cg02361196,cg02402423,cg02420943,cg02423065,cg02436083,cg02473287,cg02503303,cg02543556,cg03119191,cg03210018,cg03369382,cg03392077,cg03492094,cg03653158,cg03666966,cg03695871,cg03722757,cg03812149,cg03935956,cg03983220,cg04308301,cg04385523,cg04459751,cg04497992,cg04546473,cg04564998,cg04587103,cg04650104,cg04806741,cg04847043,cg04883329,cg04933530,cg05056419,cg05184016,cg05194248,cg05219423,cg05300717,cg05306459,cg05447875,cg05480350,cg05541460,cg05543520,cg05613273,cg05724080,cg05879394,cg05999592,cg06144471,cg06223015,cg06391412,cg06449385,cg06475513,cg06513960,cg06528816,cg06566952,cg06592918,cg06608224,cg06984345,cg07056602,cg07177867,cg07299810,cg07307484,cg07453055,cg07459967,cg07589211,cg07827820,cg07908654,cg08014024,cg08058756,cg08061334,cg08077807,cg08288503,cg08334830,cg08348441,cg08423755,cg08439122,cg08584457,cg08652605,cg08679013,cg08776942,cg08778580,cg08884974,cg08886771,cg08922698,cg08969102,cg09012511,cg09031958,cg09080248,cg09194810,cg09247945,cg09339568,cg09377531,cg09444226,cg09458420,cg09532994,cg09597192,cg09684929,cg09778927,cg10100117,cg10142874,cg10220104,cg10298741,cg10354401,cg10433549,cg10590350,cg10644885,cg10650214,cg10704177,cg10794399,cg10815420,cg10933988,cg11215870,cg11238327,cg11266582,cg11296110,cg11422446,cg11495942,cg11522179,cg11558387,cg11841710,cg11939550,cg12060026,cg12075669,cg12077460,cg12077754,cg12172163,cg12213680,cg12380988,cg12383160,cg12402318,cg12492850,cg12614529,cg12667152,cg13051367,cg13073332,cg13077072,cg13123771,cg13135255,cg13205244,cg13221796,cg13279458,cg13423371,cg13531735,cg13562011,cg13726456,cg13732043,cg13792581,cg13806461,cg13953978,cg14025883,cg14118054,cg14131691,cg14140268,cg14140403,cg14184646,cg14190451,cg14209284,cg14321269,cg14354244,cg14362073,cg14415107,cg14511746,cg14644626,cg14755690,cg14769121,cg14849880,cg14879823,cg14931486,cg14991022,cg14999724,cg15123849,cg15146567,cg15279186,cg15344640,cg15402265,cg15434896,cg15482717,cg15634144,cg15737719,cg15881027,cg15903936,cg15964898,cg15988632,cg15998596,cg15998761,cg16064932,cg16122287,cg16147002,cg16160637,cg16182457,cg16263722,cg16270995,cg16330225,cg16349667,cg16362140,cg16438366,cg16465403,cg16508714,cg16597993,cg16677621,cg16714237,cg16829505,cg16899419,cg17022365,cg17040893,cg17062760,cg17116500,cg17138920,cg17300669,cg17334945,cg17354333,cg17459348,cg17519037,cg17532497,cg17542165,cg17558817,cg17651926,cg17718238,cg17804141,cg17982734,cg18182820,cg18337287,cg18367488,cg18455414,cg18455616,cg18715410,cg18783781,cg18805734,cg18814289,cg18830042,cg19002713,cg19069027,cg19296400,cg19344749,cg19375767,cg19396390,cg19475270,cg19582046,cg19686029,cg19696679,cg19791262,cg19928703,cg19968199,cg19998289,cg20178107,cg20182202,cg20216313,cg20263733,cg20267283,cg20385913,cg20493175,cg20560376,cg20649656,cg20673965,cg20758387,cg20840540,cg20885063,cg20893283,cg21067343,cg21140167,cg21234134,cg21640749,cg21672758,cg21931263,cg22027879,cg22069559,cg22503106,cg22508829,cg22816343,cg22883080,cg23054654,cg23149707,cg23196129,cg23205629,cg23414568,cg23434083,cg23475294,cg23779286,cg23825347,cg23855365,cg23875532,cg23993677,cg24028828,cg24039962,cg24106568,cg24108508,cg24113459,cg24278615,cg24380653,cg24536162,cg24714082,cg25003924,cg25087851,cg25221180,cg25224369,cg25270424,cg25308597,cg25466522,cg25470919,cg25475273,cg25602071,cg25738218,cg25799589,cg25852061,cg25877465,cg25960268,cg26024852,cg26058544,cg26103369,cg26245101,cg26389822,cg26461944,cg26472183,cg26529864,cg26569937,cg26774971,cg27046434,cg27094581,cg27131881,cg27143027,cg27481141	E032	1.14e-02
-3.676	1.00e+00	E032 Primary B cells from peripheral blood	Blood	H3K4me3	E032-H3K4me3.broadPeak.gz	cg00329570,cg00359030,cg00381516,cg00785978,cg00823480,cg01224965,cg01310029,cg01671341,cg01745810,cg01998785,cg02095988,cg02243624,cg02324015,cg02402423,cg02503303,cg02543556,cg03079679,cg03653158,cg03695871,cg03722757,cg03784596,cg03812149,cg04031158,cg04217850,cg04385523,cg04459751,cg04681520,cg04883329,cg05194248,cg05447875,cg05613273,cg05698970,cg05724080,cg05934594,cg06304167,cg06566952,cg06608224,cg06863152,cg07056602,cg07177867,cg07299810,cg08058756,cg08085199,cg08222787,cg08778580,cg08871283,cg08969102,cg09080248,cg09245115,cg09908050,cg10100117,cg10120159,cg10224250,cg10933988,cg11081261,cg11238327,cg12074090,cg12492850,cg12773397,cg13073332,cg13077072,cg13360526,cg13531735,cg13562011,cg13628444,cg13726456,cg13732043,cg13764085,cg13806461,cg13947225,cg14025883,cg14131691,cg14140268,cg14140403,cg14184646,cg14362073,cg14415107,cg14511746,cg14697045,cg14931486,cg15146567,cg15988632,cg16330225,cg16349667,cg16508714,cg16714237,cg17116500,cg17138920,cg17519037,cg17558547,cg17718238,cg17784922,cg18010432,cg18099556,cg18368116,cg18455616,cg18783781,cg20493175,cg20840540,cg20885063,cg21234134,cg22027879,cg22503106,cg23149707,cg23172995,cg23205629,cg23475294,cg23557612,cg23993677,cg24028828,cg24062598,cg25308597,cg25466522,cg25602071,cg26337091,cg26365969,cg26389822,cg26472183,cg27094581,cg27131881,cg27143027,cg27335233,cg27481141	E032	1.00e+00
-6.557	1.00e+00	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg00460843,cg00746666,cg01119571,cg01998785,cg11215870,cg12359648,cg13726456,cg14209284,cg14415107,cg15203376,cg15314908,cg15434896,cg17338225,cg17532497,cg21306887,cg21640749,cg25401182	E032	1.00e+00
-5.053	1.00e+00	E032 Primary B cells from peripheral blood	Blood	H3K27me3	E032-H3K27me3.broadPeak.gz	cg00123090,cg00336912,cg00414077,cg00427854,cg00582671,cg00746666,cg00785978,cg00793181,cg01086527,cg01167694,cg01284182,cg01295798,cg01310029,cg01325448,cg01330991,cg01437709,cg01450133,cg01627992,cg01955639,cg01998785,cg02095988,cg02124524,cg02170785,cg02423065,cg02494549,cg02589986,cg02856510,cg02864713,cg02930951,cg02951831,cg03092343,cg03119191,cg03189469,cg03318414,cg03329755,cg03475216,cg03501393,cg03519593,cg03666966,cg03722757,cg03784596,cg03837359,cg03983220,cg04031158,cg04308301,cg04399631,cg04404773,cg04459751,cg04721651,cg04765589,cg04931493,cg04979283,cg04992471,cg04997452,cg05110389,cg05159759,cg05316492,cg05380077,cg05555563,cg05808227,cg05999592,cg06019933,cg06223015,cg06304167,cg06394964,cg06418837,cg06513960,cg06612119,cg06633463,cg06755692,cg06773230,cg06996254,cg07066120,cg07465458,cg07643489,cg07828169,cg08288503,cg08439122,cg08538069,cg08559734,cg08584457,cg08776942,cg08778580,cg08871283,cg08900098,cg08922108,cg09012511,cg09247945,cg09339568,cg09377531,cg09447105,cg09565310,cg09596645,cg09705784,cg09863265,cg09980470,cg10011040,cg10054763,cg10194884,cg10279452,cg10650214,cg10667267,cg10815420,cg10828236,cg10897344,cg10933988,cg11215870,cg11230866,cg11495812,cg11514604,cg11606229,cg11668148,cg11770323,cg11841710,cg12258670,cg12383160,cg12629001,cg12734151,cg12773397,cg12819873,cg12916632,cg13054523,cg13064897,cg13072730,cg13353793,cg13459606,cg13576859,cg13764085,cg13850063,cg13951007,cg14179258,cg14190451,cg14209284,cg14329961,cg14354244,cg14390854,cg14622604,cg14654849,cg14655553,cg15146567,cg15158069,cg15202169,cg15203376,cg15314908,cg15434896,cg15700636,cg15767361,cg15873326,cg15964898,cg16064932,cg16306670,cg16465403,cg16549727,cg16660617,cg16680864,cg16950658,cg17040893,cg17218818,cg17245251,cg17334945,cg17338225,cg17374802,cg17384357,cg17521120,cg17542165,cg17718238,cg17784922,cg17941143,cg17946525,cg17971251,cg17982734,cg18099556,cg18254848,cg18368116,cg18455414,cg18655410,cg18666454,cg18830042,cg18991231,cg19296400,cg19376906,cg20178107,cg20216313,cg20385913,cg20387860,cg20560376,cg20649656,cg20654602,cg20804243,cg20831584,cg20936755,cg21306887,cg21505451,cg21568193,cg21640749,cg21723861,cg21867373,cg21931263,cg21992676,cg22022320,cg22059413,cg22146772,cg22503106,cg22905973,cg23076894,cg23079735,cg23196129,cg23464586,cg23584308,cg23825347,cg23911543,cg24014587,cg24058805,cg24062598,cg24278615,cg24358891,cg24447018,cg24600621,cg24712122,cg24818699,cg25087851,cg25224369,cg25479097,cg25488567,cg25602071,cg25738218,cg26058544,cg26145152,cg26197665,cg26252077,cg26365969,cg26461944,cg26592446,cg26633168,cg26703587,cg26713832,cg26804299,cg26817086,cg26955963,cg26985528,cg27131881,cg27308490,cg27653134	E032	1.00e+00
10.436	2.56e-31	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg00092426,cg00123090,cg00170714,cg00286717,cg00321711,cg00329570,cg00359030,cg00381516,cg00390694,cg00477633,cg00527937,cg00673191,cg00714531,cg00758214,cg00764582,cg00766820,cg00924612,cg00978517,cg00990977,cg01000631,cg01009225,cg01139080,cg01191788,cg01224965,cg01258949,cg01304182,cg01482779,cg01499988,cg01542143,cg01613077,cg01671341,cg01745810,cg01908419,cg01923915,cg01927901,cg01976243,cg01978458,cg01979270,cg02046836,cg02068052,cg02124524,cg02133716,cg02202133,cg02212711,cg02227075,cg02228403,cg02233915,cg02243624,cg02290349,cg02324015,cg02359181,cg02361196,cg02374401,cg02402423,cg02447557,cg02473287,cg02543556,cg02683853,cg02765363,cg02869730,cg02874537,cg02979987,cg03369382,cg03392077,cg03492094,cg03502211,cg03653158,cg03695871,cg03784596,cg03812149,cg03850588,cg03935956,cg04100865,cg04148640,cg04202435,cg04217850,cg04236871,cg04290133,cg04377912,cg04420917,cg04484304,cg04524109,cg04546473,cg04564998,cg04569594,cg04587103,cg04650104,cg04681520,cg04825341,cg04847043,cg04883329,cg04933530,cg04983687,cg05056419,cg05072637,cg05076510,cg05178561,cg05184016,cg05194248,cg05219423,cg05261121,cg05300717,cg05447875,cg05543520,cg05613273,cg05642098,cg05698970,cg05724080,cg05853552,cg05981968,cg06127160,cg06144471,cg06208130,cg06223015,cg06315149,cg06391412,cg06437892,cg06449385,cg06475513,cg06483820,cg06528816,cg06571036,cg06592575,cg06592918,cg06612119,cg06824199,cg06839111,cg06863152,cg06864151,cg06984345,cg07307484,cg07332540,cg07361747,cg07410597,cg07447194,cg07456972,cg07459967,cg07565042,cg07589211,cg07643489,cg07733260,cg07769280,cg07778428,cg07818422,cg07944332,cg08014024,cg08085199,cg08094347,cg08222787,cg08256839,cg08334830,cg08348441,cg08423755,cg08538069,cg08649376,cg08679013,cg08871283,cg08886771,cg08922108,cg08940169,cg08969102,cg09031958,cg09080248,cg09245115,cg09332506,cg09335712,cg09357175,cg09377531,cg09444226,cg09458420,cg09597192,cg09778927,cg09908050,cg10051213,cg10100117,cg10105512,cg10113951,cg10120159,cg10141168,cg10142874,cg10145411,cg10224250,cg10387956,cg10433549,cg10491532,cg10590350,cg10644885,cg10650214,cg10794399,cg10933988,cg11000869,cg11014921,cg11015284,cg11112605,cg11202380,cg11238327,cg11266582,cg11296110,cg11422446,cg11495942,cg11668148,cg12060026,cg12074090,cg12075669,cg12077754,cg12104982,cg12119581,cg12168006,cg12172163,cg12192145,cg12213680,cg12380988,cg12383160,cg12450789,cg12548730,cg12645785,cg12773397,cg12916632,cg13051367,cg13077072,cg13123771,cg13135255,cg13174688,cg13197551,cg13299425,cg13423371,cg13458609,cg13491003,cg13576217,cg13628444,cg13726456,cg13764085,cg13774539,cg13789639,cg13806461,cg13863638,cg13947225,cg14012059,cg14025883,cg14108285,cg14140268,cg14184646,cg14248318,cg14263230,cg14362073,cg14378743,cg14415107,cg14511746,cg14556243,cg14617280,cg14644626,cg14697045,cg14769121,cg14783123,cg14832684,cg14849880,cg14931486,cg14947564,cg15106081,cg15202169,cg15279186,cg15301710,cg15331937,cg15344640,cg15482717,cg15634144,cg15881027,cg15903936,cg15929700,cg15952483,cg15998596,cg15998761,cg16122287,cg16145720,cg16160637,cg16182457,cg16263722,cg16330225,cg16349667,cg16362140,cg16438366,cg16450797,cg16499536,cg16508714,cg16597993,cg16606719,cg16677621,cg16710124,cg16899419,cg16950658,cg16953142,cg17022365,cg17030380,cg17062760,cg17116500,cg17138920,cg17139328,cg17256681,cg17300669,cg17526357,cg17542165,cg17558547,cg17558817,cg17651926,cg17660709,cg17717565,cg17718238,cg17784922,cg17804141,cg17879351,cg17934955,cg17936236,cg18010432,cg18135530,cg18161208,cg18176312,cg18182820,cg18190876,cg18278420,cg18337287,cg18367488,cg18368116,cg18399629,cg18455616,cg18456722,cg18617819,cg18655410,cg18693924,cg18715410,cg18805734,cg18814289,cg19002713,cg19069027,cg19260922,cg19294517,cg19296400,cg19344749,cg19434937,cg19475270,cg19582046,cg19791262,cg19791780,cg19928703,cg19960458,cg19968199,cg19993461,cg19998289,cg20035380,cg20037145,cg20182202,cg20216313,cg20267283,cg20317437,cg20378916,cg20493175,cg20560376,cg20758387,cg20818756,cg20840540,cg20885063,cg20893283,cg21045547,cg21067343,cg21140167,cg21142557,cg21234134,cg21259720,cg21553305,cg21575634,cg21664942,cg21867373,cg21932513,cg22022320,cg22027879,cg22069559,cg22087490,cg22221575,cg22252112,cg22717723,cg22816343,cg22883080,cg22994495,cg23087931,cg23172995,cg23205629,cg23338316,cg23414568,cg23472776,cg23498922,cg23516680,cg23557612,cg23699170,cg23746329,cg23855365,cg23871276,cg23875532,cg23911543,cg23948955,cg23975326,cg23990557,cg23993677,cg24028828,cg24039962,cg24076840,cg24108508,cg24113459,cg24254196,cg24304533,cg24368962,cg24536162,cg24541864,cg24823679,cg24829718,cg24869851,cg24872571,cg25161908,cg25221180,cg25368824,cg25401182,cg25470919,cg25475273,cg25493477,cg25518040,cg25602071,cg25799589,cg25854298,cg25877465,cg25926955,cg25960268,cg26103369,cg26245101,cg26323242,cg26337091,cg26389822,cg26396322,cg26425190,cg26472183,cg26569937,cg26584983,cg26749306,cg26774971,cg26955963,cg26964704,cg26997652,cg27046434,cg27094581,cg27335233,cg27341747,cg27508623,cg27550672	E032	5.84e-29
