Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
2.870	3.68e-03	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	cg00013899,cg00281776,cg00290355,cg01233571,cg01281718,cg01765077,cg01809639,cg01824412,cg02003183,cg02158978,cg02186444,cg02686357,cg03051880,cg03732020,cg03864128,cg03877174,cg04016660,cg04514392,cg05168580,cg05279866,cg05570258,cg05969150,cg05987787,cg06405563,cg06541968,cg06635952,cg07298772,cg07349663,cg07890553,cg08035323,cg08481002,cg08801479,cg08947774,cg08972170,cg09560590,cg09762021,cg09981914,cg10417386,cg10722267,cg11106264,cg11699257,cg11902728,cg11953794,cg12229367,cg12290779,cg12458003,cg12587087,cg13782301,cg13980609,cg14012925,cg14030402,cg15020801,cg15108699,cg15688628,cg16095551,cg16145216,cg16260126,cg16379999,cg19696491,cg19719391,cg19816930,cg20141108,cg20979737,cg21356710,cg21758126,cg22539182,cg22635096,cg23055276,cg23840027,cg24134897,cg24665265,cg25200151,cg25809905,cg26804423,cg26821542,cg26955383,cg27118035,cg27332104,cg27470978	E029	1.55e-01
-3.003	9.99e-01	E029 Primary monocytes from peripheral blood	Blood	H3K4me3	E029-H3K4me3.broadPeak.gz	cg00281776,cg01765077,cg01809639,cg03864128,cg06405563,cg07890553,cg08801479,cg09981914,cg11953794,cg13782301,cg13980609,cg14371731,cg16145216,cg19956914,cg22635096,cg23055276	E029	1.00e+00
-3.409	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg00281776,cg01435643,cg01824412,cg02156870,cg02158978,cg02686357,cg02787737,cg04180046,cg06405563,cg07178945,cg09906382,cg10441522,cg11902728,cg13264840,cg13782301,cg17485141,cg19816930,cg21356710,cg21758126,cg23855901,cg27118035	E029	1.00e+00
1.958	3.20e-02	E029 Primary monocytes from peripheral blood	Blood	H3K27me3	E029-H3K27me3.broadPeak.gz	cg00130342,cg00834988,cg01050266,cg01560871,cg01824412,cg02030454,cg02156870,cg02158978,cg02610360,cg02686357,cg02787737,cg03227037,cg04135110,cg05168580,cg05194346,cg05529343,cg05570258,cg05713794,cg06405563,cg07178945,cg08419422,cg08530064,cg08551027,cg08947774,cg09109520,cg09560590,cg09906382,cg10441522,cg10619342,cg10811485,cg11054403,cg11106264,cg11902728,cg12647970,cg13264840,cg13641317,cg13782301,cg14269109,cg15068180,cg15417641,cg15688628,cg16145216,cg16942327,cg18394552,cg18642459,cg19325791,cg19406367,cg19696491,cg19736654,cg19758448,cg19816930,cg20141108,cg20751345,cg20979737,cg21127580,cg21356710,cg21681705,cg21758126,cg22490254,cg22495037,cg22539182,cg24665265,cg25197194,cg25491122,cg26371172	E029	7.95e-01
2.001	3.86e-02	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg00202479,cg00210249,cg00281776,cg00826902,cg00992207,cg01012082,cg01809639,cg02112168,cg02890250,cg03047995,cg03732020,cg03801691,cg03877174,cg04016660,cg04180046,cg04445427,cg04815334,cg05304393,cg06357748,cg06361984,cg06635952,cg06724236,cg06819357,cg07349663,cg07723258,cg07807219,cg08473752,cg09929238,cg10696445,cg10722267,cg12290779,cg13165240,cg14030402,cg14977938,cg15020801,cg15108699,cg15143938,cg15251319,cg15963913,cg16379999,cg16649298,cg17485141,cg17884674,cg17953136,cg19557110,cg19619585,cg19956914,cg23055276,cg23236366,cg23661483,cg23729283,cg23842572,cg23855901,cg25469868,cg26728282,cg26821542,cg27118035,cg27470978	E029	9.38e-01
3.020	2.52e-03	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	cg00045114,cg00202479,cg00281776,cg00290355,cg00834988,cg01281718,cg01765077,cg01809639,cg01824412,cg02003183,cg02156870,cg02158978,cg02186444,cg02610360,cg02686357,cg02793162,cg03047995,cg03051880,cg03227037,cg03732020,cg03864128,cg03877174,cg03906843,cg04135110,cg04445427,cg05168580,cg05304393,cg05570258,cg05713794,cg05987787,cg06357748,cg06405563,cg06541968,cg06635952,cg06648759,cg07349663,cg07890553,cg08035323,cg08419422,cg08481002,cg08530064,cg08551027,cg08801479,cg08947774,cg08972170,cg09109520,cg09560590,cg09696535,cg09762021,cg09906382,cg09981914,cg10417386,cg11699257,cg11902728,cg11953794,cg12229367,cg12290779,cg12458003,cg13165240,cg13264840,cg13641317,cg13782301,cg13980609,cg14012925,cg14269109,cg15020801,cg15068180,cg15688628,cg16145216,cg16260126,cg16649298,cg17884674,cg18954479,cg19325791,cg19327213,cg19406367,cg19637821,cg19696491,cg19719391,cg19758448,cg19816930,cg19925780,cg20979737,cg22490254,cg22495037,cg22539182,cg22635096,cg23840027,cg23842572,cg24665265,cg25200151,cg25421530,cg25491122,cg25809905,cg26955383,cg27118035,cg27312979	E032	1.34e-01
-0.795	8.01e-01	E032 Primary B cells from peripheral blood	Blood	H3K4me3	E032-H3K4me3.broadPeak.gz	cg00281776,cg01560871,cg01765077,cg01809639,cg02003183,cg02158978,cg02686357,cg03877174,cg04514392,cg05570258,cg05969150,cg06357748,cg06635952,cg07890553,cg08481002,cg08801479,cg09107710,cg09560590,cg09981914,cg10874644,cg11699257,cg11902728,cg11953794,cg12229367,cg12290779,cg13264840,cg13782301,cg13980609,cg14371731,cg15688628,cg16145216,cg16260126,cg19406367,cg19696491,cg19719391,cg21356710,cg22490254,cg24902206,cg25200151,cg25491122,cg26126879,cg26821542	E032	1.00e+00
-1.182	9.13e-01	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg02156870,cg04514392,cg05529343,cg05969150,cg08947774,cg09906382,cg10368935,cg11902728,cg11953794,cg13782301,cg19816930,cg21758126,cg25491122	E032	1.00e+00
1.368	8.85e-02	E032 Primary B cells from peripheral blood	Blood	H3K27me3	E032-H3K27me3.broadPeak.gz	cg00045114,cg00130342,cg00834988,cg01050266,cg02030454,cg02156870,cg02158978,cg02186444,cg02610360,cg02787737,cg03182584,cg03227037,cg03877174,cg03906843,cg04016660,cg04036920,cg04135110,cg04445427,cg05168580,cg05529343,cg05713794,cg05969150,cg06405563,cg06541968,cg07028929,cg07178945,cg07298772,cg07427642,cg07712198,cg08035323,cg08240778,cg08530064,cg08551027,cg08947774,cg09109520,cg09906382,cg09981914,cg10441522,cg10619342,cg10811485,cg10874644,cg11054403,cg11106264,cg11674448,cg11827925,cg11902728,cg12229367,cg12647970,cg13533424,cg13641317,cg13782301,cg14269109,cg14620184,cg15068180,cg15417641,cg16062253,cg16095551,cg16145216,cg16200531,cg16260126,cg16805291,cg16942327,cg18394552,cg18642459,cg19325791,cg19406367,cg19696491,cg19719391,cg19758448,cg19816930,cg20141108,cg20751345,cg21127580,cg21356710,cg21681705,cg21758126,cg21927365,cg22495037,cg22891595,cg23055276,cg23102129,cg23236366,cg23729283,cg24134897,cg24665265,cg25197194,cg25421530,cg25809905,cg26371172,cg26804423,cg27312979,cg27332104	E032	1.00e+00
1.556	7.29e-02	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg00202479,cg00210249,cg00281776,cg00826902,cg00992207,cg01012082,cg01809639,cg01824412,cg02003183,cg02112168,cg02158978,cg02186444,cg02890250,cg03047995,cg03801691,cg03877174,cg04016660,cg04180046,cg04815334,cg05304393,cg05570258,cg06357748,cg06361984,cg06635952,cg06724236,cg06819357,cg07349663,cg07723258,cg09929238,cg09981914,cg10696445,cg10722267,cg10811485,cg11699257,cg11953794,cg12290779,cg13165240,cg14030402,cg14977938,cg15020801,cg15108699,cg15143938,cg15251319,cg15963913,cg16379999,cg16649298,cg17485141,cg17884674,cg17953136,cg18954479,cg19327213,cg19557110,cg19619585,cg19637821,cg19736654,cg19925780,cg19956914,cg21927365,cg23236366,cg23661483,cg23840027,cg23842572,cg23855901,cg25469868,cg25491122,cg26728282,cg26821542,cg27118035,cg27470978	E032	1.00e+00
