Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
7.954	5.94e-16	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	cg00071950,cg00422488,cg00574412,cg00574958,cg00622166,cg00711496,cg00716257,cg01055562,cg01243823,cg01881899,cg02583484,cg02711608,cg03068497,cg03082813,cg03339609,cg03387723,cg03519879,cg03725309,cg03935116,cg04367503,cg04625615,cg05201185,cg05288253,cg05603985,cg05784862,cg06023661,cg06178669,cg06690548,cg06983052,cg07022048,cg07626482,cg08255475,cg09646173,cg09684846,cg10589813,cg11028923,cg11068337,cg12340144,cg12554573,cg12729894,cg12825509,cg13409704,cg13823169,cg13841979,cg14476101,cg15396367,cg16375541,cg16541026,cg17061862,cg18033416,cg18125510,cg18159646,cg18302606,cg18405341,cg18824549,cg19693031,cg19939077,cg20520115,cg20813374,cg21201109,cg21795255,cg22197830,cg22821355,cg23913963,cg24058132,cg24332710,cg24711224,cg24848615,cg26043149,cg26103104,cg26470501,cg26669717,cg26841068,cg27637303	E029	2.64e-13
5.669	1.13e-06	E029 Primary monocytes from peripheral blood	Blood	H3K4me3	E029-H3K4me3.broadPeak.gz	cg00071950,cg00422488,cg00574412,cg00574958,cg00622166,cg00716257,cg01055562,cg01243823,cg02583484,cg02711608,cg03068497,cg03082813,cg03339609,cg03387723,cg03519879,cg03725309,cg03935116,cg05201185,cg05603985,cg06023661,cg06983052,cg07626482,cg10589813,cg11028923,cg11068337,cg12340144,cg12554573,cg13409704,cg13823169,cg15396367,cg16375541,cg16541026,cg18125510,cg18302606,cg18405341,cg18660898,cg19693031,cg19939077,cg20520115,cg22197830,cg22821355,cg24058132,cg24332710,cg24711224,cg24848615,cg26043149,cg26470501,cg26841068	E029	2.75e-05
-2.543	9.97e-01	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg00071950,cg04367503,cg04463638,cg04625615,cg08257009,cg18033416,cg21626848,cg26103104	E029	1.00e+00
-2.583	9.98e-01	E029 Primary monocytes from peripheral blood	Blood	H3K27me3	E029-H3K27me3.broadPeak.gz	cg00622166,cg04367503,cg04463638,cg04625615,cg09684846,cg12729894,cg13409704,cg13823169,cg14476101,cg18033416,cg18120259,cg21201109,cg21626848,cg23913963,cg26103104	E029	1.00e+00
1.873	5.60e-02	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg00711496,cg00716257,cg01243823,cg02387843,cg02583484,cg03725309,cg03725404,cg05201185,cg05784862,cg06599169,cg09929238,cg10589813,cg12729894,cg12825509,cg13841979,cg18159646,cg18405341,cg18660898,cg18824549,cg19693031,cg20479063,cg21239317,cg22103219,cg24711224,cg26470501	E029	7.52e-01
6.499	1.17e-11	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	cg00071950,cg00422488,cg00574412,cg00574958,cg00622166,cg00716257,cg01055562,cg01243823,cg01881899,cg02583484,cg02711608,cg03068497,cg03082813,cg03339609,cg03387723,cg03519879,cg03725309,cg03935116,cg04367503,cg04625615,cg05201185,cg05288253,cg05603985,cg05784862,cg06023661,cg06178669,cg06599169,cg06690548,cg06983052,cg07626482,cg08255475,cg08257009,cg09684846,cg10589813,cg11028923,cg11068337,cg11376147,cg12340144,cg12554573,cg12729894,cg12825509,cg13409704,cg13823169,cg14476101,cg15396367,cg16375541,cg16541026,cg17061862,cg18033416,cg18125510,cg18159646,cg18302606,cg18405341,cg18660898,cg18824549,cg19693031,cg19939077,cg20520115,cg20813374,cg21239317,cg21626848,cg21795255,cg22103219,cg22197830,cg22821355,cg23913963,cg24058132,cg24332710,cg24711224,cg24848615,cg26043149,cg26103104,cg26470501,cg26669717,cg26841068,cg27637303	E032	8.88e-10
6.458	5.08e-09	E032 Primary B cells from peripheral blood	Blood	H3K4me3	E032-H3K4me3.broadPeak.gz	cg00071950,cg00422488,cg00574412,cg00574958,cg00622166,cg00716257,cg01055562,cg01243823,cg01881899,cg02711608,cg03068497,cg03082813,cg03339609,cg03387723,cg03519879,cg03725309,cg03935116,cg05201185,cg05288253,cg05603985,cg06023661,cg06178669,cg06599169,cg06983052,cg07626482,cg10589813,cg11028923,cg11068337,cg12340144,cg12554573,cg13409704,cg13823169,cg13841979,cg14476101,cg15396367,cg16375541,cg16541026,cg17061862,cg18125510,cg18159646,cg18302606,cg18405341,cg18660898,cg19693031,cg19939077,cg20813374,cg21239317,cg21626848,cg22103219,cg22197830,cg22821355,cg23913963,cg24058132,cg24332710,cg24711224,cg26043149,cg26470501,cg26669717,cg26841068,cg27637303	E032	2.32e-07
-1.870	9.90e-01	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg04367503,cg08257009	E032	1.00e+00
-1.786	9.74e-01	E032 Primary B cells from peripheral blood	Blood	H3K27me3	E032-H3K27me3.broadPeak.gz	cg00071950,cg00622166,cg00711496,cg01055562,cg02387843,cg04367503,cg04463638,cg04625615,cg06690548,cg09646173,cg09684846,cg11376147,cg12340144,cg14348967,cg14476101,cg16375541,cg18033416,cg18120259,cg21201109,cg21626848,cg23913963,cg24848615,cg26103104,cg26841068	E032	1.00e+00
1.798	5.72e-02	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg00711496,cg01243823,cg02583484,cg02711608,cg03519879,cg03725309,cg04625615,cg05201185,cg05288253,cg06599169,cg07626482,cg09929238,cg10589813,cg11028923,cg11068337,cg11376147,cg12729894,cg12825509,cg15396367,cg18159646,cg18302606,cg18405341,cg18660898,cg18824549,cg19693031,cg19939077,cg20479063,cg20520115,cg21239317,cg22103219,cg22821355,cg26470501	E032	7.59e-01
