Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
3.904	8.74e-05	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	cg00106564,cg00256231,cg00281977,cg00308130,cg00435273,cg00607058,cg00699601,cg01003448,cg01052103,cg01354046,cg01516881,cg01609658,cg01808030,cg02147364,cg02157155,cg02299497,cg02743650,cg02746014,cg02750262,cg03395511,cg03582285,cg03847932,cg03997626,cg04241623,cg04299067,cg04385144,cg04554929,cg05141217,cg05406088,cg05505459,cg05662444,cg05729249,cg05841700,cg05919696,cg05926928,cg06176221,cg06419732,cg06478886,cg06522412,cg06602086,cg06724776,cg07014308,cg07096305,cg07482220,cg07638320,cg08103988,cg08291996,cg08422420,cg08481075,cg08551532,cg08763617,cg08802841,cg08838158,cg09092052,cg09314196,cg09592244,cg10185505,cg10187029,cg10239804,cg10576280,cg10727654,cg11076954,cg11102724,cg11335335,cg11594731,cg11787167,cg11949518,cg12258998,cg12658972,cg12717203,cg12794224,cg13126076,cg13918754,cg13924715,cg13967339,cg14298807,cg14436939,cg14508358,cg15022609,cg15154249,cg15365744,cg15469871,cg15618495,cg15782153,cg15919605,cg16053902,cg16340422,cg16677969,cg16681597,cg17220055,cg17279147,cg17349054,cg17509989,cg17537073,cg17862288,cg17932096,cg18200150,cg18322025,cg18397450,cg18402987,cg18405330,cg18428180,cg18797653,cg19097407,cg19815010,cg19985056,cg20064778,cg20130571,cg20293942,cg20611109,cg21544437,cg22055815,cg22905511,cg23577102,cg23615741,cg24334149,cg24467349,cg24506221,cg25731395,cg26000393,cg26010015,cg26011014,cg26052728,cg26114124,cg26579653,cg26647808,cg27010141,cg27187704,cg27205904,cg27312944	E029	5.87e-03
1.045	2.08e-01	E029 Primary monocytes from peripheral blood	Blood	H3K4me3	E029-H3K4me3.broadPeak.gz	cg00281977,cg01003448,cg01052103,cg01516881,cg01609658,cg01808030,cg01864468,cg02147364,cg02299497,cg02743650,cg02746014,cg03395511,cg03847932,cg04385144,cg04554929,cg05662444,cg05729249,cg05841700,cg05926928,cg06176221,cg06478886,cg06522412,cg06602086,cg06758350,cg07096305,cg07482220,cg08291996,cg08422420,cg08802841,cg09039782,cg09092052,cg09592244,cg10187029,cg10576280,cg10727654,cg11949518,cg12258998,cg12658972,cg12717203,cg12794224,cg13498216,cg14508358,cg15022609,cg15469871,cg15782153,cg16681597,cg18200150,cg18268631,cg18322025,cg18402987,cg18428180,cg19097407,cg20064778,cg20293942,cg20596706,cg20611109,cg21544437,cg22055815,cg22905511,cg23577102,cg24334149,cg25079981,cg26000393,cg26010015,cg26011014,cg26052728,cg26114124,cg26579653,cg26647808,cg27205904,cg27312944	E029	1.00e+00
3.168	1.02e-03	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg00256231,cg00281977,cg00308130,cg00607058,cg00873648,cg00937982,cg01003448,cg01214573,cg01516881,cg01609658,cg01795955,cg01874867,cg02197629,cg02202923,cg02352685,cg02743650,cg02744428,cg03395511,cg03486986,cg03582285,cg04131969,cg04241623,cg04385144,cg04806653,cg05197062,cg05579559,cg05649108,cg05841700,cg06419732,cg06478886,cg06539921,cg06602086,cg07199764,cg07219506,cg07318204,cg08103988,cg08291996,cg08422420,cg08481075,cg08551532,cg08642068,cg08818829,cg09092052,cg09314196,cg10619895,cg11335335,cg11524184,cg11787167,cg12717203,cg13022687,cg13808032,cg13918754,cg14011486,cg14261943,cg14298807,cg14508358,cg15648058,cg16340422,cg17349054,cg17537073,cg17655970,cg17888390,cg17932096,cg18322025,cg18405330,cg18505837,cg20053110,cg20064778,cg21544437,cg22509179,cg22826409,cg23577102,cg23615741,cg23957735,cg24334149,cg24467349,cg24608381,cg25026992,cg25079981,cg26011014,cg26725559,cg27010141	E029	5.05e-02
2.691	4.73e-03	E029 Primary monocytes from peripheral blood	Blood	H3K27me3	E029-H3K27me3.broadPeak.gz	cg00256231,cg00281977,cg00308130,cg00607058,cg00873648,cg00898880,cg00937982,cg01003448,cg01043153,cg01065977,cg01214573,cg01354046,cg01609658,cg01795955,cg01874867,cg02202923,cg02229781,cg02299497,cg02743650,cg02750262,cg03461641,cg03486986,cg03582285,cg04241623,cg04385144,cg05197062,cg05406088,cg05473258,cg05505459,cg05649108,cg05662444,cg05841700,cg05972642,cg06150148,cg06419732,cg06478886,cg06522412,cg06602086,cg06618935,cg06675417,cg06850787,cg07014308,cg07310671,cg07318204,cg07524214,cg08103988,cg08422420,cg08481075,cg08551532,cg08838158,cg09398816,cg10576280,cg11335335,cg11594731,cg11787167,cg12180551,cg12621411,cg12794224,cg13598480,cg13918754,cg13924715,cg13935009,cg13967339,cg14011486,cg14261943,cg14298807,cg14457074,cg14508358,cg14554423,cg14752068,cg15458017,cg15618495,cg17537073,cg17655970,cg17886420,cg17888390,cg17932096,cg18397450,cg18405330,cg18428180,cg18505837,cg18797653,cg19214707,cg20053110,cg20064778,cg21260332,cg21544437,cg22444562,cg23577102,cg23615741,cg24157836,cg24334149,cg24467349,cg24608381,cg24666046,cg24675775,cg25026992,cg25046953,cg26011014,cg26370237,cg27597505	E029	1.80e-01
-0.938	8.30e-01	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg00106564,cg00525828,cg01651570,cg01864468,cg01927686,cg02139308,cg02219147,cg04072301,cg04241623,cg06546677,cg07168142,cg07679219,cg10391129,cg10930703,cg11076954,cg11300570,cg13126076,cg14436939,cg14865678,cg15251456,cg15461618,cg15782153,cg15789211,cg16053902,cg16619994,cg16628641,cg17509989,cg18165715,cg19097407,cg19504605,cg20239921,cg20611109,cg22509179,cg25758034,cg26033510	E029	1.00e+00
4.209	1.28e-05	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	cg00106564,cg00256231,cg00281977,cg00308130,cg00435273,cg00607058,cg00699601,cg00937982,cg01003448,cg01052103,cg01065977,cg01427108,cg01516881,cg01609658,cg01808030,cg01864468,cg01874867,cg01927686,cg02147364,cg02157155,cg02202923,cg02299497,cg02743650,cg02746014,cg02750262,cg03395511,cg03582285,cg03847932,cg03940650,cg03997626,cg04072301,cg04241623,cg04299067,cg04385144,cg04554929,cg05141217,cg05197062,cg05406088,cg05505459,cg05662444,cg05729249,cg05841700,cg05919696,cg05926928,cg06176221,cg06419732,cg06478886,cg06522412,cg06602086,cg06618935,cg06675417,cg06724776,cg06758350,cg07014308,cg07096305,cg07168142,cg07219506,cg07318204,cg07482220,cg07638320,cg08103988,cg08291996,cg08422420,cg08481075,cg08551532,cg08802841,cg08838158,cg09092052,cg09314196,cg09592244,cg09787690,cg10185505,cg10187029,cg10239804,cg10576280,cg10619895,cg10727654,cg11076954,cg11102724,cg11335335,cg11594731,cg11787167,cg11949518,cg12258998,cg12319143,cg12621411,cg12658972,cg12717203,cg12794224,cg13126076,cg13595143,cg13598480,cg13918754,cg13935009,cg13967339,cg14011486,cg14298807,cg14508358,cg14752068,cg15022609,cg15154249,cg15461618,cg15469871,cg15618495,cg15782153,cg15919605,cg16340422,cg16619994,cg16677969,cg16681597,cg17220055,cg17279147,cg17349054,cg17509989,cg17537073,cg17862288,cg17888390,cg18165715,cg18200150,cg18268631,cg18322025,cg18397450,cg18402987,cg18405330,cg18428180,cg18505837,cg18797653,cg19097407,cg19985056,cg20053110,cg20064778,cg20293942,cg20596706,cg20611109,cg21544437,cg22055815,cg22905511,cg23577102,cg23615741,cg24334149,cg24467349,cg24506221,cg25046953,cg25731395,cg26000393,cg26010015,cg26011014,cg26052728,cg26114124,cg26579653,cg26647808,cg27010141,cg27187704,cg27205904,cg27312944,cg27597505	E032	2.08e-03
1.904	5.08e-02	E032 Primary B cells from peripheral blood	Blood	H3K4me3	E032-H3K4me3.broadPeak.gz	cg00106564,cg00256231,cg00281977,cg00308130,cg00607058,cg00873648,cg01003448,cg01052103,cg01516881,cg01609658,cg01808030,cg01864468,cg02139308,cg02147364,cg02197629,cg02299497,cg02743650,cg02746014,cg03395511,cg03582285,cg03847932,cg04241623,cg04385144,cg04554929,cg05729249,cg05841700,cg05919696,cg05926928,cg06176221,cg06419732,cg06478886,cg06522412,cg06602086,cg06603680,cg06758350,cg07014308,cg07096305,cg07168142,cg07318204,cg07482220,cg07524214,cg08103988,cg08291996,cg08422420,cg08481075,cg08551532,cg08802841,cg08838158,cg09039782,cg09092052,cg09314196,cg09592244,cg10185505,cg10576280,cg10727654,cg11102724,cg11949518,cg12258998,cg12658972,cg12717203,cg12794224,cg13388618,cg13498216,cg14508358,cg15022609,cg15469871,cg15782153,cg16681597,cg18268631,cg18322025,cg18402987,cg18405330,cg18428180,cg18797653,cg19097407,cg19985056,cg20064778,cg20293942,cg20596706,cg20611109,cg21106508,cg21544437,cg22055815,cg22905511,cg23475858,cg23577102,cg24334149,cg25079981,cg26000393,cg26010015,cg26011014,cg26052728,cg26114124,cg26579653,cg26647808,cg27010141,cg27187704,cg27205904,cg27312944	E032	9.53e-01
-1.725	9.71e-01	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg00873648,cg01874867,cg05579559,cg10619895,cg10829391,cg10930703,cg11949518,cg13924715,cg14556701,cg16340422,cg17349054,cg17655970,cg19815010,cg20293942,cg22444562,cg22826409,cg25026992,cg27010141	E032	1.00e+00
2.247	9.60e-03	E032 Primary B cells from peripheral blood	Blood	H3K27me3	E032-H3K27me3.broadPeak.gz	cg00256231,cg00281977,cg00308130,cg00607058,cg00873648,cg00898880,cg00937982,cg01003448,cg01043153,cg01052103,cg01065977,cg01214573,cg01354046,cg01609658,cg01795955,cg01808030,cg01874867,cg02147364,cg02202923,cg02229781,cg02299497,cg02486009,cg02743650,cg02744428,cg02750262,cg02779288,cg03461641,cg03486986,cg03725686,cg03783060,cg03997626,cg04131969,cg04385144,cg04554929,cg04806653,cg04881961,cg05141217,cg05197062,cg05307214,cg05406088,cg05473258,cg05649108,cg05662444,cg05972642,cg06150148,cg06176221,cg06419732,cg06478886,cg06522412,cg06602086,cg06618935,cg06675417,cg06758350,cg06850787,cg06939248,cg07136909,cg07219506,cg07310671,cg07318204,cg07524214,cg07679219,cg08103988,cg08291996,cg08551532,cg08642068,cg08838158,cg09144455,cg09398816,cg09787690,cg10391129,cg10576280,cg10829391,cg11141652,cg11335335,cg11594731,cg11787167,cg12319143,cg12621411,cg12794224,cg13598480,cg13918754,cg13924715,cg13935009,cg13967339,cg14011486,cg14261943,cg14298807,cg14457074,cg14508358,cg14554423,cg14752068,cg15154249,cg15443223,cg15458017,cg15919605,cg17082037,cg17220055,cg17349054,cg17537073,cg17655970,cg17886420,cg17888390,cg17932096,cg18268631,cg18402987,cg18405330,cg18505837,cg18797653,cg19214707,cg19985056,cg20004147,cg20053110,cg20064778,cg20293942,cg20596706,cg20707527,cg21260332,cg21544437,cg22444562,cg22826409,cg23475858,cg23577102,cg23615741,cg24334149,cg24467349,cg24608381,cg24666046,cg24675775,cg25026992,cg25046953,cg25079981,cg25181043,cg26000393,cg26011014,cg26052728,cg26114124,cg26725559	E032	2.88e-01
-0.587	7.30e-01	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg00106564,cg00525828,cg01052103,cg01927686,cg02139308,cg02219147,cg03940650,cg04072301,cg06603680,cg07014308,cg07096305,cg07168142,cg07638320,cg08103988,cg08763617,cg09092052,cg10185505,cg10239804,cg10391129,cg11076954,cg11300570,cg11949518,cg12180551,cg12869254,cg13126076,cg13388618,cg13595143,cg13924715,cg14436939,cg14865678,cg15251456,cg15365744,cg15461618,cg16053902,cg16619994,cg16628641,cg16914890,cg17509989,cg18165715,cg18200150,cg19097407,cg19504605,cg20053110,cg20611109,cg22509179,cg24519533,cg25758034,cg25929204,cg26033510,cg26370237,cg27205904	E032	1.00e+00
