Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-3.368	1.00e+00	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg00061907,cg00420922,cg00646813,cg01089516,cg01642733,cg01818594,cg01868499,cg04487205,cg04734572,cg04931690,cg04940435,cg05054006,cg05623727,cg05841700,cg06060754,cg06142621,cg07113474,cg07398106,cg07624650,cg08972273,cg10717379,cg11432751,cg12046867,cg13721028,cg14179381,cg14575602,cg16674327,cg16846691,cg17498841,cg17716961,cg18180276,cg19096327,cg19707454,cg19709743,cg22334681,cg23425970,cg23442650,cg23966593,cg24207161,cg24450063,cg24499839,cg25010880,cg27181169,cg27332938	E063	1.00e+00
2.625	6.96e-03	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00043076,cg00044050,cg00053851,cg00062382,cg00204262,cg00258198,cg00292029,cg00299943,cg00334056,cg00379830,cg00422909,cg00472373,cg00901687,cg00944873,cg01000188,cg01030404,cg01560476,cg01615050,cg01641778,cg01745370,cg02176678,cg02196730,cg02206980,cg02259649,cg02492873,cg02673002,cg02701505,cg02754929,cg03021329,cg03192273,cg03305906,cg03417454,cg03458265,cg03680338,cg03847641,cg03907572,cg03999688,cg04282141,cg04335779,cg04415270,cg04478180,cg04545003,cg04614656,cg04723534,cg05047537,cg05067963,cg05205432,cg05292325,cg05508639,cg05578102,cg05702778,cg06088623,cg06242242,cg06422694,cg06459104,cg06600936,cg06775570,cg06795995,cg06917450,cg06969206,cg07034561,cg07042489,cg07218275,cg07461715,cg07547279,cg07673080,cg07679836,cg07728250,cg07774964,cg07791039,cg08347373,cg08370546,cg08382737,cg08399831,cg08466034,cg08497121,cg08710911,cg09136878,cg09284795,cg09592244,cg09712182,cg09821763,cg10064339,cg10193107,cg10230957,cg10414026,cg10414466,cg10563859,cg10807101,cg10807894,cg10833325,cg10992024,cg11417675,cg11541897,cg11655627,cg12061236,cg12175038,cg12381317,cg12405232,cg12832956,cg13185188,cg13432682,cg13593090,cg13639189,cg13670099,cg13897783,cg13906792,cg14004768,cg14159011,cg14172482,cg14240646,cg14242557,cg14468090,cg14516473,cg14695663,cg14836018,cg15145296,cg15790037,cg15927328,cg16427703,cg16606731,cg16618482,cg16949228,cg17519280,cg17717333,cg17884064,cg18035979,cg18088723,cg18675610,cg18825076,cg18856296,cg19182537,cg19225512,cg19336497,cg19505399,cg20201458,cg20302111,cg20503657,cg20559405,cg20813589,cg21136789,cg21139150,cg21252483,cg21766592,cg21832243,cg21926612,cg22055719,cg22409914,cg22508957,cg22875332,cg23139584,cg23173402,cg23283614,cg23489630,cg23695209,cg23758822,cg23982607,cg24334149,cg24426391,cg25263912,cg25534756,cg25660036,cg25817165,cg25969472,cg25993932,cg26192567,cg26689483,cg26765263,cg27129145,cg27360277,cg27373749,cg27540604	E063	3.27e-01
0.370	4.08e-01	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg03387510,cg05434674,cg23371584,cg24917105	E063	1.00e+00
-1.238	9.18e-01	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg00622170,cg00632496,cg00725995,cg01141506,cg01267852,cg01283685,cg01339753,cg01417991,cg02084211,cg02147617,cg02639931,cg02753203,cg03029993,cg03067884,cg03113739,cg03146377,cg03265014,cg03317682,cg03628122,cg03694391,cg03816568,cg04005843,cg04018311,cg04132472,cg04219001,cg04417703,cg04638416,cg04798303,cg04832245,cg05058345,cg05167074,cg05378572,cg05387068,cg05460975,cg05867245,cg06292624,cg06345078,cg06378142,cg06787310,cg06833981,cg06903451,cg06981636,cg06999654,cg07043025,cg07079489,cg07167827,cg07170929,cg07187342,cg07393169,cg07393754,cg07427276,cg07480608,cg07523784,cg07582623,cg07926491,cg07971513,cg08246844,cg08308162,cg08659629,cg08693745,cg08713344,cg08808042,cg08944484,cg08986950,cg09035930,cg09222884,cg09848303,cg10023572,cg10216848,cg10300540,cg10832096,cg10896456,cg11030744,cg11265725,cg11428066,cg11489125,cg11749817,cg11785240,cg12327449,cg12456604,cg12640482,cg12647020,cg12870014,cg12940618,cg12958046,cg13429895,cg14022616,cg14092571,cg14206878,cg14484676,cg14520941,cg14683465,cg15402732,cg15551902,cg15599579,cg15710130,cg16093786,cg16205008,cg16277098,cg16775254,cg16915469,cg16949673,cg17055671,cg17300220,cg17365725,cg17997358,cg18016195,cg18312398,cg18459205,cg18469917,cg19014289,cg19431009,cg19459978,cg19504605,cg19723528,cg20012315,cg20052632,cg20276743,cg20313677,cg20348533,cg20583016,cg20645010,cg20756026,cg21233690,cg21699342,cg22193691,cg22194631,cg22336359,cg22561727,cg23075597,cg23429235,cg23440142,cg23459411,cg23528237,cg23543760,cg23669063,cg24122364,cg24413826,cg24646951,cg25176297,cg25344376,cg25639858,cg25643088,cg26033510,cg26060021,cg26146888,cg26239698,cg26544932,cg27079262,cg27144592,cg27176938,cg27449804,cg27455098	E063	1.00e+00
3.642	3.52e-05	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00062776,cg00117506,cg00211174,cg00230924,cg00261912,cg00262263,cg00295879,cg00354864,cg00453602,cg00456672,cg00545801,cg00618323,cg00676988,cg00864755,cg00874746,cg00885602,cg00907752,cg00919702,cg01067983,cg01074613,cg01119319,cg01248801,cg01358620,cg01363718,cg01367324,cg01387070,cg01393790,cg01427108,cg01553584,cg01712079,cg01763383,cg01837375,cg01851573,cg01936481,cg01946850,cg02290008,cg02394506,cg02452253,cg02464551,cg02486796,cg02527881,cg02555952,cg02560323,cg02784731,cg02893585,cg02915865,cg02978058,cg03033729,cg03249457,cg03292688,cg03293050,cg03314380,cg03347163,cg03354898,cg03408354,cg03447571,cg03467567,cg03559406,cg03714609,cg03904171,cg04039304,cg04046247,cg04056620,cg04073358,cg04076286,cg04078292,cg04381865,cg04542978,cg05110241,cg05111383,cg05327255,cg05388330,cg05986041,cg06048522,cg06162644,cg06193597,cg06207961,cg06240720,cg06597413,cg06643318,cg06854905,cg06923291,cg06937572,cg06942309,cg07025992,cg07099969,cg07228443,cg07287078,cg07319276,cg07479270,cg07505049,cg07570069,cg07583744,cg07733920,cg07739340,cg07835953,cg08075305,cg08113459,cg08121890,cg08122121,cg08166072,cg08240496,cg08242665,cg08246428,cg08408040,cg08471588,cg08477332,cg08511308,cg08701935,cg08795602,cg08846676,cg08860612,cg08861968,cg08920545,cg09018853,cg09075096,cg09134993,cg09247692,cg09293881,cg09327582,cg09349723,cg09704116,cg09764805,cg09840721,cg09911534,cg09918751,cg10019758,cg10051217,cg10217749,cg10579556,cg10724255,cg10994090,cg11009736,cg11034326,cg11103458,cg11156528,cg11227087,cg11288672,cg11295001,cg11381588,cg11461244,cg11504954,cg11519708,cg11531820,cg11879814,cg12077223,cg12128614,cg12186840,cg12392612,cg12409515,cg12449821,cg12515659,cg12556325,cg12657229,cg12882968,cg13007824,cg13018903,cg13202585,cg13205059,cg13452738,cg13538554,cg13559614,cg13617795,cg13674437,cg13699412,cg13802666,cg13804848,cg13832817,cg13855717,cg13920856,cg13937483,cg13980743,cg13989290,cg14026202,cg14112503,cg14180032,cg14398247,cg14414082,cg14507403,cg14562523,cg14588463,cg14667799,cg14742508,cg14787909,cg14827090,cg14884039,cg14940396,cg15179472,cg15195433,cg15287806,cg15391100,cg15757745,cg15818696,cg15829774,cg15919165,cg15962507,cg16016366,cg16127514,cg16313243,cg16346588,cg16373820,cg16410943,cg16547749,cg16596070,cg16747321,cg16795295,cg16870839,cg17207485,cg17228962,cg17474786,cg17519949,cg17640745,cg17665505,cg17751646,cg18060965,cg18366541,cg18401298,cg18586914,cg18605382,cg18716014,cg18740289,cg18796879,cg19082212,cg19313034,cg19487450,cg19494761,cg19508464,cg19573457,cg19743197,cg19976628,cg20026466,cg20167471,cg20260109,cg20399252,cg20497631,cg20510225,cg20559634,cg20627572,cg20898920,cg20983954,cg21000132,cg21101883,cg21275170,cg21406002,cg21770322,cg21865577,cg21936454,cg21978135,cg22006593,cg22116961,cg22154765,cg22195884,cg22232695,cg22278595,cg22336141,cg22530927,cg22594201,cg22906955,cg22931822,cg23135199,cg23230773,cg23387288,cg23567627,cg23714722,cg23715200,cg23718147,cg23719516,cg23771949,cg23822407,cg23902076,cg24013909,cg24150528,cg24179979,cg24303303,cg24643057,cg24726965,cg24768821,cg24786174,cg24885937,cg24977308,cg24984350,cg25246894,cg25299406,cg25379390,cg25484160,cg25570222,cg25570410,cg25699273,cg25793399,cg25854298,cg25972069,cg26014689,cg26165212,cg26277344,cg26336701,cg26417244,cg26611278,cg26655697,cg26681889,cg26708920,cg26809488,cg27079194,cg27201837,cg27209610,cg27215916,cg27450894,cg27466466,cg27493466,cg27555617,cg27577782	E063	3.11e-03
2.103	2.34e-02	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg00103276,cg00412772,cg00483256,cg03216580,cg03617633,cg04332058,cg05182265,cg05269323,cg05599196,cg05628927,cg05868365,cg06254604,cg06319903,cg07189579,cg08049441,cg08148697,cg08161306,cg09754225,cg09796270,cg10033251,cg10988872,cg12101870,cg13837938,cg13982601,cg14598846,cg16317947,cg16976594,cg18512352,cg19856934,cg21588594,cg23710890,cg24266914,cg24699150,cg24807198,cg25738319,cg25830869,cg27012316,cg27116966,cg27366882	E063	9.86e-01
9.309	5.56e-20	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00048149,cg00057667,cg00093057,cg00206463,cg00277334,cg00326788,cg00346898,cg00364704,cg00390215,cg00474218,cg00479501,cg00601157,cg00657389,cg00687962,cg00766382,cg00817464,cg00928191,cg00966388,cg01014787,cg01026233,cg01108642,cg01171429,cg01324539,cg01369914,cg01403005,cg01464515,cg01485708,cg01609658,cg01647834,cg01733572,cg01741372,cg01933774,cg01934777,cg01969012,cg01984146,cg02066981,cg02141393,cg02154914,cg02582028,cg02610851,cg02655711,cg02685365,cg02804067,cg02880444,cg02947253,cg03050188,cg03108237,cg03185552,cg03229158,cg03329597,cg03366951,cg03370451,cg03372526,cg03453179,cg03477993,cg03806695,cg03808017,cg03819983,cg03957495,cg04038397,cg04083966,cg04477510,cg04618327,cg04772795,cg04833713,cg04902443,cg05023826,cg05044213,cg05121110,cg05156456,cg05168133,cg05177932,cg05206802,cg05292605,cg05370838,cg05456810,cg05535202,cg05737778,cg05864683,cg05865280,cg05903274,cg05942817,cg05962755,cg06087988,cg06164804,cg06191042,cg06400590,cg06405219,cg06529643,cg06641522,cg06645081,cg06846640,cg06909274,cg07136909,cg07348845,cg07364631,cg07389228,cg07469467,cg07591866,cg07702439,cg07750604,cg07836921,cg07908924,cg07916784,cg07950857,cg07972762,cg07999547,cg08130307,cg08163163,cg08213375,cg08339898,cg08344080,cg08457029,cg08531940,cg08874645,cg08906930,cg08927844,cg08975641,cg08979494,cg09075484,cg09125924,cg09173681,cg09179589,cg09366624,cg09473249,cg09489639,cg09531659,cg09592903,cg09799186,cg09886786,cg09944012,cg09954392,cg09992948,cg10118595,cg10233674,cg10438391,cg10466124,cg10549753,cg10599446,cg10611692,cg10769442,cg10873538,cg10897311,cg11369927,cg11601663,cg11602361,cg11651266,cg11688093,cg11721950,cg12050358,cg12193298,cg12214765,cg12242038,cg12389669,cg12483005,cg12560076,cg12582695,cg12643970,cg12748985,cg12770644,cg13063264,cg13073564,cg13118835,cg13156085,cg13378649,cg13383678,cg13391479,cg13427897,cg13573388,cg13622587,cg13666471,cg13694664,cg13770235,cg13785068,cg13816228,cg13837721,cg13880583,cg13883027,cg13894848,cg13984289,cg13994823,cg14009912,cg14040696,cg14061069,cg14110355,cg14118280,cg14138287,cg14244842,cg14308648,cg14317533,cg14418922,cg14476852,cg14497143,cg14678088,cg14698405,cg14701959,cg15043341,cg15070536,cg15268471,cg15317982,cg15323541,cg15451537,cg15465615,cg15495949,cg15515461,cg15535573,cg15545247,cg15696309,cg15831967,cg15876825,cg16159152,cg16185781,cg16223899,cg16301894,cg16303742,cg16320185,cg16356956,cg16393899,cg16405432,cg16496269,cg16544318,cg16604233,cg16619994,cg16676373,cg16693012,cg16726577,cg16785938,cg16831933,cg17059388,cg17073306,cg17095910,cg17244218,cg17317834,cg17319307,cg17430681,cg17688768,cg17690034,cg17718095,cg17747518,cg17797106,cg17833958,cg17843510,cg17887794,cg17916960,cg18082583,cg18113151,cg18158658,cg18224419,cg18340013,cg18399056,cg18421367,cg18851133,cg19168482,cg19415736,cg19423996,cg19500155,cg19535840,cg19579005,cg19607371,cg19766460,cg19767048,cg19976997,cg20010264,cg20201929,cg20273704,cg20416874,cg20434272,cg20435097,cg20439393,cg20485607,cg20635144,cg20673407,cg20790161,cg20800892,cg20880067,cg20895237,cg21005828,cg21596469,cg21677940,cg21795156,cg21861901,cg22276401,cg22370094,cg22386492,cg22643110,cg22680931,cg22859267,cg22911054,cg23172293,cg23261809,cg23479189,cg23608075,cg23779514,cg23881458,cg24000536,cg24126361,cg24134472,cg24213184,cg24218626,cg24268161,cg24299229,cg24471576,cg24796450,cg25066655,cg25259712,cg25298410,cg25394960,cg25594106,cg25606969,cg25927778,cg25934064,cg26096415,cg26276556,cg26381678,cg26399995,cg26433333,cg26475774,cg26607553,cg26690318,cg26708214,cg26878626,cg26938255,cg27089226,cg27250486,cg27364652,cg27371329,cg27485845,cg27643470	E063	7.50e-17
-1.684	9.81e-01	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed	cg10252114,cg10420426,cg21315874	E063	1.00e+00
-3.394	1.00e+00	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed	cg01852637,cg04793913,cg11302988,cg14684166,cg18027781,cg20075914,cg26119421	E063	1.00e+00
-0.039	5.72e-01	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg03150042,cg14310674,cg14575169,cg14775994,cg16345566	E063	1.00e+00
