Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-3.940	1.00e+00	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg00076653,cg00237876,cg02438545,cg05823563,cg08865625,cg10045354,cg10301695,cg10910512,cg10965178,cg11146034,cg12417775,cg13867370,cg15016701,cg15892280,cg16047471,cg16545105,cg16723994,cg19374752,cg20988565	E063	1.00e+00
6.168	7.79e-07	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00349404,cg00395063,cg00460983,cg00501876,cg00519063,cg00605777,cg00636737,cg00753287,cg00776080,cg00839844,cg00871371,cg00933182,cg01185080,cg01233392,cg01593673,cg01687189,cg01801603,cg01824466,cg01856529,cg01885635,cg01966117,cg02029665,cg02194684,cg02361903,cg02379533,cg02447879,cg02717339,cg02727079,cg02743070,cg02836478,cg02923856,cg03014427,cg03031932,cg03289906,cg03526142,cg03572680,cg03613618,cg03699074,cg03718845,cg03729092,cg03772384,cg03849731,cg03857553,cg04035392,cg04070601,cg04242898,cg04427651,cg04492228,cg04500377,cg04718050,cg04728789,cg04751761,cg04890480,cg04956471,cg04968127,cg04995717,cg05424060,cg05557932,cg05560472,cg05721476,cg05779272,cg05957504,cg05957749,cg06372654,cg06388350,cg06526741,cg06663317,cg07615364,cg07651914,cg07705835,cg07944862,cg07954706,cg08606497,cg08940075,cg08973950,cg09113070,cg09325164,cg09461545,cg09725874,cg09747445,cg09888330,cg09906145,cg10148841,cg10381440,cg10603592,cg10717869,cg10724867,cg11064966,cg11093760,cg11360546,cg11405200,cg11660018,cg12013713,cg12061917,cg12076102,cg12687767,cg12699156,cg12866859,cg13038618,cg13279476,cg13371740,cg13419986,cg13442969,cg13443911,cg13468041,cg13657200,cg13987674,cg14085840,cg14468090,cg14507146,cg14526039,cg14541011,cg14601444,cg15056348,cg15269394,cg15393490,cg15697019,cg15763258,cg16037711,cg16630369,cg17254383,cg17260706,cg17327331,cg17775079,cg18017908,cg18389639,cg19230867,cg19695041,cg20124610,cg20131596,cg20153322,cg20289911,cg20309640,cg20379593,cg20686828,cg20822990,cg20981219,cg21436544,cg21472642,cg21715751,cg22136098,cg22234419,cg22277154,cg22900075,cg23242489,cg23336702,cg23478124,cg23786209,cg23839159,cg23896514,cg24075175,cg24215776,cg24400630,cg25149218,cg25268718,cg25481160,cg25484139,cg25580581,cg25642234,cg26234543,cg26753608,cg26781524,cg26801613,cg26953469,cg27526649,cg27554551	E063	5.75e-05
3.478	8.62e-03	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg05504759,cg11998307,cg15919066,cg17457912,cg19211880,cg20792833,cg22494725,cg26002437	E063	4.00e-01
-6.660	1.00e+00	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg00607627,cg02597894,cg02870946,cg03430597,cg03724640,cg07990556,cg08643824,cg09263904,cg09728393,cg10681525,cg11414202,cg12374579,cg12716083,cg17652998,cg19998073,cg22510662,cg23722790,cg25580656,cg26426774,cg27646484	E063	1.00e+00
1.257	3.22e-01	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00214171,cg00263619,cg00423486,cg00494183,cg00646731,cg00821310,cg00863378,cg00911776,cg01218206,cg01506917,cg01560422,cg01772439,cg01782486,cg01871427,cg01936839,cg02325250,cg02355304,cg02767093,cg02919122,cg03156170,cg03248483,cg03403093,cg03443360,cg03586240,cg03787711,cg04847110,cg04982488,cg05428706,cg05473987,cg05708512,cg05851887,cg05945608,cg05997793,cg06376402,cg06439889,cg06477069,cg06595162,cg06761203,cg07178877,cg07209244,cg07470570,cg07658646,cg07730360,cg07765674,cg08394896,cg08553950,cg08763102,cg09304397,cg09354263,cg09704401,cg09728487,cg09768617,cg10053779,cg10338112,cg10501360,cg10577534,cg10773745,cg11217654,cg11751117,cg11844856,cg12133962,cg12407070,cg12604858,cg13089335,cg13223043,cg13277254,cg13541073,cg13606889,cg13641082,cg13906362,cg14037728,cg14161821,cg14349078,cg14422782,cg15251319,cg15393221,cg15408889,cg15488143,cg15705813,cg15773539,cg16027267,cg16417374,cg16634404,cg16639915,cg17004733,cg17041511,cg17222434,cg17373759,cg17439800,cg17526175,cg18771737,cg19135406,cg19184688,cg19368031,cg19903805,cg21279874,cg21369812,cg21656246,cg22158648,cg22479161,cg22607339,cg23009067,cg23574443,cg23829395,cg23919844,cg24113496,cg24679348,cg25113462,cg25634032,cg26221111,cg26878947,cg27020362,cg27144670,cg27320518,cg27589594,cg27615095	E063	1.00e+00
1.430	1.45e-01	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg00153395,cg01252023,cg01890836,cg03259212,cg03509898,cg05361273,cg05386769,cg05797770,cg07969918,cg08420066,cg08970648,cg09315264,cg09581649,cg09639152,cg12729894,cg13788891,cg19126615,cg20372666,cg23661483,cg26897909	E063	1.00e+00
23.521	1.71e-76	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00040575,cg00108715,cg00124095,cg00192882,cg00245454,cg00285294,cg00411072,cg00533891,cg00542975,cg00620628,cg00628382,cg00632560,cg01079060,cg01196858,cg01204844,cg01206410,cg01243072,cg01340991,cg01368217,cg01385679,cg01521274,cg01525376,cg01534527,cg01744331,cg01807748,cg01970716,cg02046668,cg02097604,cg02121447,cg02311364,cg02453726,cg02538248,cg02586712,cg02646515,cg02710860,cg02724490,cg02805025,cg02946885,cg02988730,cg03096954,cg03126058,cg03281572,cg03561416,cg03653817,cg03661409,cg03693099,cg03779937,cg03785076,cg03857453,cg03985415,cg04064963,cg04177945,cg04223924,cg04260867,cg04344749,cg04419883,cg04550950,cg04561731,cg04774505,cg04786592,cg04875062,cg05227215,cg05242915,cg05288253,cg05381795,cg05496768,cg05676562,cg05727149,cg05765647,cg05813673,cg05886321,cg05990080,cg06242243,cg06364044,cg06458086,cg06488536,cg06688763,cg06783429,cg06855485,cg06891775,cg07052063,cg07064364,cg07175797,cg07218081,cg07285481,cg07298547,cg07342322,cg07536018,cg07573937,cg07586285,cg07623567,cg07631435,cg07727170,cg07810884,cg07828377,cg07952905,cg08037727,cg08149865,cg08241465,cg08298946,cg08343644,cg08376310,cg08396193,cg08443357,cg08449164,cg08477768,cg08679180,cg08726667,cg08849294,cg09022230,cg09085932,cg09109383,cg09321403,cg09749364,cg09776772,cg09814231,cg09938049,cg10001186,cg10104487,cg10179300,cg10259111,cg10427868,cg10529555,cg10529613,cg10582860,cg10754794,cg10817916,cg10870160,cg10901633,cg10922280,cg11119313,cg11190278,cg11274172,cg11466832,cg11800117,cg11961495,cg12212103,cg12371924,cg12403162,cg12430029,cg12441066,cg12449049,cg12570134,cg12573289,cg12577411,cg12581691,cg12635790,cg12727256,cg12798040,cg12902896,cg12950829,cg13298859,cg13499923,cg13551754,cg13675859,cg13691108,cg13705284,cg13850871,cg13980944,cg13982037,cg14004678,cg14099685,cg14270346,cg14286292,cg14293323,cg14377059,cg14387452,cg14553895,cg14579118,cg14611112,cg14699112,cg14750778,cg14780255,cg14818621,cg14875081,cg14966782,cg14986357,cg15007228,cg15033653,cg15659052,cg15871086,cg15961693,cg16014060,cg16014412,cg16201957,cg16234490,cg16294280,cg16326402,cg16335858,cg16598679,cg16672637,cg16678564,cg17330252,cg17460386,cg17920186,cg18085636,cg18096388,cg18101225,cg18112681,cg18129282,cg18214661,cg18222590,cg18560092,cg18597411,cg18645642,cg18699466,cg18828619,cg18877271,cg18917643,cg19046904,cg19137417,cg19226017,cg19361800,cg19408882,cg19638572,cg19869037,cg20016631,cg20152430,cg20176142,cg20179907,cg20234060,cg20277282,cg20303561,cg20494738,cg20505728,cg20627046,cg20692268,cg20731257,cg21097733,cg21160357,cg21387281,cg21393124,cg21552014,cg21633059,cg21674927,cg21680729,cg21689902,cg21822187,cg21829328,cg21853707,cg22007809,cg22053945,cg22093121,cg22451412,cg22496986,cg22825202,cg22851561,cg22891595,cg22907189,cg22925751,cg22964469,cg22999864,cg23058673,cg23251798,cg23336905,cg23360111,cg23371208,cg23534245,cg23551720,cg23693485,cg23895495,cg23900712,cg23999170,cg24002003,cg24127061,cg24150385,cg24171689,cg24212268,cg24217948,cg24247370,cg24332002,cg24351658,cg24572204,cg24586978,cg24590708,cg24650940,cg25105522,cg25157472,cg25609878,cg25684105,cg25930644,cg25966016,cg26090940,cg26204079,cg26474043,cg26757820,cg26803969,cg26916621,cg27064708,cg27155939,cg27262041,cg27547344,cg27611263	E063	2.21e-73
-2.037	1.00e+00	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed		E063	1.00e+00
-2.981	1.00e+00	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed		E063	1.00e+00
-0.497	7.87e-01	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg01102073,cg04044203,cg19087971	E063	1.00e+00
