Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
1.283	1.30e-01	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig.gz	cg00008629,cg00902153,cg02349578,cg02810967,cg03211864,cg03526142,cg04657325,cg04845871,cg05392764,cg05508862,cg05673882,cg06297145,cg06653796,cg06670742,cg06946543,cg07094298,cg07157107,cg07551060,cg08335767,cg08383315,cg08549335,cg08726900,cg08948841,cg09109520,cg09904264,cg10581754,cg10670310,cg10692140,cg11617147,cg13167816,cg13253439,cg13836518,cg14377791,cg14450238,cg14519664,cg15485700,cg16145216,cg16560711,cg17042996,cg17053845,cg17486314,cg17540765,cg17873919,cg18176887,cg19399220,cg19755108,cg20051772,cg20472746,cg21085462,cg21327581,cg21393163,cg21411075,cg21497218,cg21618017,cg21686890,cg22761205,cg23205886,cg23665802,cg23965590,cg24536818,cg25953130,cg26163153,cg26189283,cg26728709,cg27509347,cg27613174	GSM701525	1.00e+00
0.256	4.34e-01	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig.gz	cg01329690,cg01501009,cg03131366,cg03526142,cg04134748,cg04657325,cg04845871,cg05392764,cg05673882,cg06297145,cg06635952,cg06653796,cg06670742,cg06943835,cg07094298,cg07157107,cg07551060,cg08383315,cg08549335,cg08726900,cg08767044,cg08948841,cg09109520,cg09904264,cg10099827,cg10581754,cg10670310,cg10692140,cg10713715,cg11547696,cg11617147,cg13836518,cg14145338,cg14450238,cg14519664,cg15150970,cg16145216,cg16560711,cg16734795,cg17042996,cg17053845,cg17873919,cg18176887,cg19399220,cg19755108,cg20051772,cg20472746,cg20784591,cg21085462,cg21327581,cg21393163,cg21411075,cg21497218,cg21618017,cg21686890,cg22761205,cg23205886,cg23965590,cg23983449,cg25799109,cg26163153,cg26189283,cg26728709,cg27315333,cg27613174	GSM701526	1.00e+00
1.078	1.76e-01	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig.gz	cg00008629,cg00902153,cg00988037,cg01329690,cg01542019,cg02194129,cg02349578,cg03526142,cg04292359,cg04657325,cg04845871,cg05392764,cg05673882,cg06297145,cg06653796,cg06946543,cg07094298,cg07157107,cg07551060,cg08335767,cg08383315,cg08549335,cg08726900,cg08767044,cg08948841,cg09109520,cg09704401,cg09904264,cg10017105,cg10581754,cg10670310,cg10692140,cg11095027,cg11617147,cg12520319,cg13167816,cg13836518,cg14377791,cg14450238,cg14519664,cg16145216,cg16560711,cg16734795,cg17042996,cg17053845,cg17873919,cg18176887,cg18202127,cg19399220,cg19755108,cg20051772,cg20100049,cg20472746,cg21085462,cg21327581,cg21393163,cg21411075,cg21497218,cg21618017,cg21686890,cg22761205,cg23205886,cg23965590,cg23983449,cg24536818,cg25953130,cg26163153,cg26189283,cg26728709,cg27613174	GSM665837	1.00e+00
1.095	1.66e-01	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig.gz	cg00008629,cg00902153,cg01015663,cg01100175,cg01501009,cg01542019,cg02349578,cg02610360,cg03211864,cg03526142,cg04292359,cg04657325,cg04845871,cg05253759,cg05392764,cg05567236,cg05673882,cg05708512,cg06297145,cg06653796,cg06670742,cg06946543,cg07094298,cg07157107,cg07551060,cg08335767,cg08383315,cg08549335,cg08726900,cg08767044,cg08899895,cg08948841,cg08972170,cg09109520,cg09904264,cg10017105,cg10581754,cg10670310,cg10692140,cg10832476,cg11617147,cg12520319,cg13167816,cg13253439,cg13836518,cg14377791,cg14450238,cg14519664,cg15150970,cg15485700,cg16145216,cg16455894,cg16479633,cg16560711,cg16734795,cg17042996,cg17053845,cg17873919,cg17971600,cg18176887,cg19399220,cg19755108,cg19925780,cg20051772,cg20100049,cg20472746,cg20784591,cg21085462,cg21162029,cg21327581,cg21393163,cg21411075,cg21497218,cg21618017,cg21686890,cg22402398,cg22500518,cg22761205,cg23205886,cg23665802,cg23965590,cg24536818,cg25953130,cg26163153,cg26189283,cg26728709,cg27613174	GSM701516	1.00e+00
1.391	1.06e-01	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig.gz	cg00008629,cg00902153,cg00988037,cg01100175,cg01329690,cg01501009,cg02194129,cg02349578,cg02597894,cg03211864,cg03526142,cg04292359,cg04657325,cg04751761,cg04845871,cg05135521,cg05257275,cg05392764,cg05567236,cg05673882,cg06297145,cg06653796,cg06670742,cg06943835,cg06946543,cg07094298,cg07157107,cg07551060,cg08335767,cg08383315,cg08549335,cg08726900,cg08767044,cg08948841,cg09109520,cg09904264,cg10017105,cg10322443,cg10422233,cg10581754,cg10670310,cg10692140,cg11095027,cg11547696,cg11617147,cg12520319,cg13167816,cg13253439,cg13836518,cg14450238,cg14519664,cg15150970,cg15485700,cg15523958,cg16145216,cg16455894,cg16560711,cg16734795,cg17042996,cg17053845,cg17873919,cg17907003,cg18022012,cg18176887,cg18419358,cg19399220,cg19755108,cg20051772,cg20100049,cg20472746,cg21085462,cg21162029,cg21327581,cg21393163,cg21411075,cg21497218,cg21618017,cg21686890,cg22500518,cg22761205,cg23205886,cg23665802,cg23965590,cg23983449,cg24536818,cg25953130,cg26163153,cg26189283,cg26728709,cg27613174	GSM701489	8.81e-01
1.962	4.11e-02	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig.gz	cg00008629,cg00902153,cg00988037,cg01015663,cg01501009,cg02349578,cg02597894,cg02610360,cg02810967,cg03211864,cg03526142,cg04657325,cg04845871,cg05392764,cg05673882,cg05708512,cg06297145,cg06635952,cg06653796,cg06670742,cg06946543,cg07094298,cg08109625,cg08335767,cg08383315,cg08549335,cg08726900,cg08767044,cg08948841,cg09109520,cg09235539,cg09904264,cg10581754,cg10670310,cg10692140,cg11095027,cg11617147,cg12520319,cg13167816,cg13836518,cg14020176,cg14049470,cg14377791,cg14450238,cg14519664,cg15485700,cg16145216,cg16455894,cg16479633,cg16560711,cg16734795,cg17042996,cg17053845,cg17873919,cg17907003,cg18176887,cg18797823,cg19399220,cg19755108,cg20051772,cg20100049,cg20472746,cg21085462,cg21327581,cg21393163,cg21411075,cg21497218,cg21618017,cg21686890,cg22761205,cg23205886,cg23258188,cg23965590,cg23983449,cg24536818,cg25799109,cg25953130,cg26163153,cg26189283,cg26728709,cg27315333,cg27613174	GSM701491	3.96e-01
1.024	1.91e-01	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig.gz	cg00008629,cg00902153,cg01501009,cg02349578,cg02610360,cg03211864,cg03526142,cg04292359,cg04657325,cg04845871,cg05257275,cg05392764,cg05673882,cg06297145,cg06653796,cg06670742,cg06946543,cg07094298,cg07157107,cg07551060,cg08335767,cg08549335,cg08726900,cg08767044,cg08948841,cg09410512,cg09904264,cg10581754,cg10670310,cg10692140,cg11617147,cg12520319,cg13167816,cg13253439,cg13836518,cg14020176,cg14377791,cg14450238,cg14519664,cg15251319,cg15485700,cg16145216,cg16455894,cg16560711,cg16734795,cg17042996,cg17053845,cg17873919,cg17907003,cg18176887,cg18419358,cg19399220,cg19755108,cg20051772,cg20100049,cg20472746,cg21085462,cg21162029,cg21327581,cg21393163,cg21411075,cg21497218,cg21686890,cg22761205,cg23205886,cg23690893,cg23965590,cg24536818,cg25799109,cg25953130,cg26163153,cg26189283,cg26728709,cg27315333,cg27613174	GSM665812	1.00e+00
2.159	2.59e-02	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig.gz	cg00008629,cg00902153,cg00988037,cg01015663,cg01501009,cg02349578,cg03211864,cg03526142,cg04292359,cg04657325,cg04845871,cg05392764,cg05673882,cg05708512,cg06297145,cg06653796,cg06670742,cg06946543,cg07094298,cg07157107,cg07551060,cg08335767,cg08383315,cg08549335,cg08726900,cg08767044,cg08948841,cg09109520,cg09235539,cg09410512,cg09704401,cg09904264,cg10581754,cg10670310,cg10692140,cg11095027,cg11617147,cg13167816,cg13836518,cg14020176,cg14377791,cg14450238,cg14519664,cg15150970,cg15485700,cg16145216,cg16455894,cg16560711,cg16734795,cg17042996,cg17053845,cg17873919,cg18176887,cg18202127,cg18419358,cg19399220,cg19755108,cg19925780,cg20051772,cg20100049,cg20472746,cg21085462,cg21327581,cg21393163,cg21411075,cg21497218,cg21618017,cg21686890,cg22761205,cg23205886,cg23665802,cg23965590,cg23983449,cg24536818,cg25799109,cg25953130,cg26163153,cg26189283,cg26728709,cg27509347,cg27613174	GSM665839	2.74e-01
1.293	1.28e-01	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig.gz	cg00008629,cg01100175,cg01501009,cg02349578,cg02556393,cg02597894,cg02810967,cg03526142,cg04292359,cg04304450,cg04657325,cg04845871,cg05033439,cg05253759,cg05257275,cg05392764,cg05575921,cg05673882,cg06297145,cg06653796,cg06670742,cg06946543,cg07094298,cg07157107,cg07551060,cg08335767,cg08383315,cg08447934,cg08549335,cg08726900,cg08767044,cg08948841,cg09109520,cg09904264,cg10017105,cg10581754,cg10670310,cg10713715,cg10980948,cg11617147,cg13167816,cg13253439,cg13836518,cg14377791,cg14450238,cg14519664,cg15090440,cg15485700,cg15523958,cg15727507,cg16145216,cg16455894,cg16560711,cg16734795,cg17042996,cg17053845,cg17873919,cg17907003,cg18176887,cg18187029,cg18202127,cg18419358,cg18797823,cg19399220,cg19755108,cg20051772,cg20100049,cg20472746,cg20784591,cg21085462,cg21327581,cg21393163,cg21411075,cg21497218,cg21618017,cg21686890,cg22533317,cg22761205,cg23205886,cg23965590,cg23983449,cg24536818,cg25953130,cg25966599,cg26163153,cg26189283,cg26728709,cg27315333,cg27509347,cg27613174	GSM817166	1.00e+00
2.001	4.27e-02	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig.gz	cg00008629,cg00902153,cg01015663,cg01329690,cg01501009,cg01542019,cg01656168,cg02349578,cg02597894,cg03211864,cg03526142,cg04292359,cg04657325,cg04751761,cg04845871,cg05253759,cg05257275,cg05392764,cg05575921,cg05673882,cg05708512,cg06297145,cg06653796,cg06670742,cg06943835,cg06946543,cg07094298,cg07157107,cg07551060,cg08383315,cg08549335,cg08726900,cg08767044,cg08899895,cg08948841,cg09109520,cg09235539,cg09904264,cg10017105,cg10670310,cg10692140,cg10713715,cg11547696,cg11617147,cg12520319,cg13167816,cg13253439,cg13836518,cg14377791,cg14450238,cg14469684,cg14519664,cg15485700,cg16145216,cg16455894,cg16560711,cg16734795,cg17042996,cg17053845,cg17873919,cg17907003,cg18176887,cg18187029,cg18202127,cg19295068,cg19399220,cg19755108,cg20051772,cg20100049,cg20472746,cg21085462,cg21162029,cg21327581,cg21393163,cg21411075,cg21497218,cg21618017,cg21686890,cg22533317,cg22761205,cg23205886,cg24536818,cg25799109,cg25953130,cg26163153,cg26189283,cg26618703,cg26728709,cg27613174	GSM701539	4.07e-01
