Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
7.093	5.94e-12	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg00027232,cg00259404,cg00357971,cg00483217,cg00578437,cg00638845,cg00813162,cg00852924,cg01201215,cg01204911,cg01205058,cg01514075,cg01582066,cg01893068,cg01910727,cg01991967,cg02102075,cg02137956,cg02178957,cg02402423,cg02408850,cg02459569,cg02659854,cg02847588,cg02947253,cg02974085,cg03022510,cg03113867,cg03152353,cg03321813,cg03529189,cg03663120,cg03676485,cg03919488,cg03919650,cg04057956,cg04067249,cg04075726,cg04204452,cg04523589,cg04657183,cg04903759,cg05206633,cg05209514,cg05246522,cg05261759,cg05296619,cg05380759,cg05523603,cg05875421,cg05986288,cg06333800,cg06419268,cg06496803,cg06974428,cg07081759,cg07272654,cg07377178,cg07456681,cg07472373,cg07527324,cg07651316,cg07809831,cg07824081,cg08393937,cg08442088,cg08491668,cg08782002,cg08830502,cg08840010,cg09255910,cg09306188,cg09395612,cg09424308,cg09470754,cg09667606,cg09668964,cg09849319,cg10045881,cg10092231,cg10097651,cg10264529,cg10342963,cg10511985,cg10575547,cg10675058,cg10718809,cg10755077,cg10818566,cg10876767,cg11046602,cg11153071,cg11276093,cg11554335,cg11588903,cg11690983,cg11931463,cg12147622,cg12167564,cg12349832,cg12743031,cg13222915,cg13241751,cg13464573,cg13666648,cg13692972,cg13831136,cg13876325,cg14012546,cg14016418,cg14086364,cg14109551,cg14378231,cg14499387,cg14525310,cg14619064,cg14674856,cg14781394,cg14852276,cg15042302,cg15070897,cg15349559,cg15382302,cg15407058,cg15418499,cg15458222,cg16101213,cg16204717,cg16267322,cg16296417,cg16565031,cg16638092,cg16651347,cg16951074,cg17173896,cg17218270,cg17886959,cg18332229,cg18455616,cg18599081,cg18854666,cg18981338,cg19081101,cg19215266,cg19268453,cg19311375,cg19420720,cg19445588,cg19546057,cg19733736,cg19904905,cg20063095,cg20472746,cg20519581,cg21049825,cg21187669,cg21221712,cg21346154,cg21370522,cg21678736,cg21882356,cg22328837,cg22396498,cg22755445,cg23207054,cg23275644,cg23327334,cg23358740,cg23514211,cg23536675,cg24139720,cg24182798,cg24279017,cg24517501,cg24751551,cg24847366,cg24902842,cg25004840,cg25305879,cg25318579,cg25587233,cg25705508,cg25727853,cg25757820,cg25900943,cg26118358,cg26196087,cg26298914,cg26419676,cg26446803,cg26470175,cg26501007,cg26546155,cg26608667,cg26689077,cg26837399,cg27128761,cg27178772,cg27345946,cg27640064	E029	9.85e-10
-0.901	8.39e-01	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg00157962,cg00390484,cg00638845,cg00864012,cg01205058,cg01266546,cg01442843,cg01514075,cg01632240,cg01637169,cg01770296,cg01780585,cg01865484,cg01919768,cg01953317,cg01970336,cg02000275,cg02102075,cg02255510,cg02364826,cg02402423,cg02847674,cg02930951,cg02941852,cg02974085,cg03022510,cg03054529,cg03130816,cg03292992,cg03321813,cg03332546,cg03695871,cg03738384,cg04111761,cg04341806,cg04766834,cg04813697,cg04920630,cg04986899,cg05246522,cg05261759,cg05296619,cg05370838,cg05446414,cg05523603,cg05875421,cg05942111,cg06710259,cg06785429,cg06958535,cg06974428,cg07158065,cg07527324,cg07545306,cg07568841,cg07571951,cg07691624,cg08377000,cg08393937,cg08491668,cg08708079,cg09255910,cg09395612,cg09411597,cg09569850,cg09849319,cg10264529,cg10526841,cg10755077,cg10859442,cg10866623,cg11130692,cg11576424,cg11690983,cg11700584,cg11736228,cg11881599,cg11931463,cg12098228,cg12147622,cg12669088,cg12743031,cg13666648,cg13692972,cg13804478,cg13831136,cg13876325,cg14307853,cg14468280,cg14499387,cg14781394,cg14832352,cg15070897,cg15279832,cg15458222,cg16281534,cg16306654,cg16962557,cg17218270,cg17843665,cg17886959,cg18042632,cg18183961,cg18399451,cg18777299,cg18801806,cg19205064,cg19215266,cg19546057,cg19827511,cg20063095,cg20114528,cg20189937,cg20378687,cg20405697,cg20472746,cg21049825,cg21167563,cg21333406,cg21370522,cg21882356,cg22396498,cg22460173,cg22938901,cg22996170,cg23032421,cg23358740,cg23536675,cg24139720,cg24174608,cg24195359,cg24343524,cg24517501,cg25003924,cg25105522,cg25112590,cg25119415,cg25211705,cg25392995,cg25587233,cg25727853,cg25758167,cg26341831,cg26369382,cg26501007,cg26529864,cg26546155,cg26633373,cg26689077,cg26873338,cg27156259,cg27178772,cg27340001,cg27345946,cg27640064	E032	1.00e+00
-0.353	6.63e-01	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg00157962,cg00390484,cg00864012,cg01201215,cg01205058,cg01442843,cg01632240,cg01780585,cg01953317,cg01970336,cg02000275,cg02364826,cg02640489,cg02847674,cg03022510,cg03130816,cg03147185,cg03292992,cg03663120,cg03738384,cg04192168,cg04543901,cg04741118,cg04813697,cg04986899,cg05246522,cg05261759,cg05523603,cg05875421,cg05942111,cg06363865,cg06607384,cg06710259,cg06785429,cg06958535,cg06974428,cg07081759,cg07568841,cg07571951,cg07598021,cg07691624,cg08708079,cg09395612,cg09849319,cg10044470,cg10097651,cg10526841,cg10755077,cg10859442,cg10866623,cg11130692,cg11690983,cg11931463,cg12098228,cg12147622,cg12669088,cg12743031,cg13464573,cg13468144,cg13666648,cg13692972,cg13876325,cg13955347,cg14099540,cg14307853,cg14394837,cg14459059,cg14468280,cg14781394,cg15070897,cg15279832,cg15349559,cg15458222,cg15535471,cg15642209,cg16160637,cg16296417,cg16306654,cg16374333,cg16781287,cg16962557,cg17110052,cg17218270,cg17843665,cg17886959,cg18042632,cg18282388,cg18399451,cg18599081,cg18777299,cg18801806,cg18854666,cg19215266,cg19733736,cg19827511,cg20063095,cg20114528,cg20338754,cg20472746,cg21049825,cg21187669,cg21370522,cg21882356,cg22356061,cg22396498,cg22460173,cg22858210,cg22938901,cg22996170,cg23032421,cg23358740,cg23452957,cg23536675,cg23536830,cg24139720,cg24174608,cg24197477,cg24517501,cg24913825,cg25003924,cg25004840,cg25105522,cg25112590,cg25211705,cg25392995,cg25587233,cg25727853,cg25758167,cg26369382,cg26470175,cg26501007,cg26546155,cg26633373,cg26873338,cg27054084,cg27178772,cg27278668	E033	1.00e+00
2.224	1.51e-02	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg00157962,cg00231361,cg00390484,cg01201215,cg01205058,cg01442843,cg01514075,cg01582066,cg01632240,cg01637169,cg01770296,cg01780585,cg01865484,cg01953317,cg01970336,cg02000275,cg02102075,cg02137956,cg02246992,cg02255510,cg02364826,cg02402423,cg02640489,cg02659854,cg02847674,cg02941852,cg03054529,cg03130816,cg03147185,cg03321813,cg03676485,cg03738384,cg04147969,cg04192168,cg04341806,cg04536704,cg04543901,cg04664309,cg04741118,cg04766834,cg04813697,cg05246522,cg05261759,cg05370838,cg05875421,cg06363865,cg06607384,cg06710259,cg06785429,cg06958535,cg06974428,cg07081759,cg07568841,cg07571951,cg07596065,cg07598021,cg07691624,cg07795928,cg08166362,cg08393937,cg08442088,cg08491668,cg08704934,cg08708079,cg09262197,cg09305161,cg09306188,cg09411597,cg09424308,cg09849319,cg10044470,cg10093679,cg10097651,cg10526841,cg10859442,cg10866623,cg11130692,cg11276172,cg11690983,cg11700584,cg11736228,cg11931463,cg12098228,cg12147622,cg12167564,cg12669088,cg12743031,cg12832565,cg13464573,cg13468144,cg13666648,cg13692972,cg13831136,cg13876325,cg13955347,cg14099540,cg14307853,cg14394837,cg14459059,cg14499387,cg14660446,cg14781394,cg15070897,cg15241074,cg15244874,cg15279832,cg15349559,cg15382302,cg15458222,cg15535471,cg15867698,cg16154857,cg16160637,cg16296417,cg16306654,cg16374333,cg16456087,cg16528585,cg16568360,cg16781287,cg17110052,cg17218270,cg17647904,cg17886959,cg18282388,cg18399451,cg18777299,cg18801806,cg18912470,cg18981338,cg19205064,cg19215266,cg19827511,cg20063095,cg20114528,cg20338754,cg20378687,cg20472746,cg20952652,cg21187669,cg21370522,cg21442881,cg22356061,cg22372849,cg22460173,cg22858210,cg22996170,cg23032421,cg23327334,cg23358740,cg23387863,cg23452957,cg23525708,cg23536675,cg23536830,cg23567690,cg23999170,cg24095374,cg24139720,cg24174608,cg24343524,cg24517501,cg24913825,cg25003924,cg25004840,cg25105522,cg25211705,cg25392995,cg25587233,cg25758167,cg25900943,cg25924746,cg26341831,cg26470175,cg26529864,cg26538164,cg26633373,cg26689077,cg26873338,cg27054084,cg27156259,cg27178772,cg27278668,cg27340001,cg27345946	E034	1.93e-01
2.099	2.18e-02	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg00066351,cg00157962,cg00390484,cg01201215,cg01204911,cg01205058,cg01395261,cg01442843,cg01582066,cg01637169,cg01953317,cg01970336,cg02000275,cg02102075,cg02137956,cg02364826,cg02941852,cg03022510,cg03113867,cg03130816,cg03147185,cg03292992,cg03663120,cg03738384,cg03919650,cg04057956,cg04192168,cg04204452,cg04543901,cg04657183,cg04664309,cg04766834,cg04813697,cg04868238,cg05246522,cg05261759,cg05370838,cg05875421,cg05914150,cg06333800,cg06363865,cg06419268,cg06958535,cg06974428,cg07081759,cg07377178,cg07568841,cg07571951,cg07596065,cg08166362,cg08442088,cg08491668,cg08830502,cg08840010,cg09262197,cg09306188,cg09395612,cg09668964,cg09849319,cg10081994,cg10092231,cg10097651,cg10526841,cg10575547,cg10818566,cg10859442,cg10866623,cg11130692,cg11276172,cg11576424,cg11690983,cg11700584,cg11931463,cg12096759,cg12147622,cg12167564,cg12669088,cg12743031,cg12832565,cg13464573,cg13666648,cg13692972,cg13831136,cg13876325,cg13955347,cg14099540,cg14307853,cg14468280,cg14499387,cg14674856,cg14781394,cg14852276,cg15349559,cg15418499,cg15458222,cg15535471,cg15722952,cg16306654,cg16456087,cg16565031,cg16638092,cg16781287,cg17218270,cg17647904,cg17843665,cg17886959,cg18399451,cg18455616,cg18599081,cg18777299,cg18801806,cg19215266,cg19268453,cg19733736,cg19827511,cg19904905,cg20063095,cg20114528,cg20378687,cg20405697,cg20472746,cg21187669,cg21370522,cg21422623,cg22328837,cg22356061,cg22396498,cg22460173,cg22858210,cg22996170,cg23032421,cg23327334,cg23358740,cg23387863,cg23452957,cg23536675,cg23567690,cg23716690,cg23999170,cg24095374,cg24139720,cg24174608,cg24517501,cg24913825,cg24961970,cg25003924,cg25004840,cg25105522,cg25211705,cg25392995,cg25587233,cg25727853,cg25758167,cg25900943,cg26118358,cg26240939,cg26341831,cg26501007,cg26599989,cg26633373,cg26689077,cg26873338,cg27054084,cg27156259,cg27178772,cg27278668,cg27345946	E046	2.59e-01
-0.464	7.02e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg00036871,cg00157962,cg00427604,cg00638845,cg01093786,cg01201215,cg01632240,cg01656750,cg01780585,cg01865484,cg01953317,cg01970336,cg02137956,cg02459569,cg02736280,cg02757667,cg02806739,cg02847674,cg02974085,cg03020424,cg03054529,cg03292992,cg03321813,cg03529189,cg03676485,cg03919488,cg04057956,cg04192168,cg05155595,cg05246522,cg05261759,cg05380759,cg05474943,cg05720226,cg05875421,cg06151744,cg06455422,cg06710259,cg06768361,cg06974428,cg07527324,cg07568841,cg07571951,cg07596065,cg08086385,cg08393937,cg08447934,cg08473752,cg08708079,cg09306188,cg09598552,cg09667606,cg09849319,cg10020890,cg10044470,cg10081994,cg10097651,cg10183965,cg10526841,cg10668363,cg10733317,cg11690983,cg11931463,cg12098228,cg12167564,cg12349832,cg12669088,cg12743031,cg13077745,cg13185218,cg13380995,cg13464573,cg13666648,cg13692972,cg13876325,cg14203426,cg14307853,cg14499387,cg14525310,cg14781394,cg15418499,cg15488596,cg16077055,cg16296417,cg16303353,cg16505891,cg16568360,cg16638092,cg16664523,cg16781287,cg17041511,cg17218270,cg17230002,cg17784922,cg17886959,cg18282388,cg18399451,cg18599081,cg18777299,cg19215266,cg19232164,cg19311375,cg19696679,cg19733736,cg19861623,cg20472746,cg20936529,cg21049825,cg21104363,cg21346154,cg21370522,cg22328837,cg22356061,cg22396498,cg22460173,cg22484084,cg22864500,cg22925751,cg22996170,cg23032421,cg23327334,cg23358740,cg23415995,cg23452957,cg23465295,cg23536675,cg23567690,cg23716690,cg23728471,cg23803468,cg23999170,cg24095374,cg24139720,cg24200501,cg24279017,cg24517501,cg24913825,cg25003924,cg25027273,cg25105522,cg25211705,cg25381253,cg25463688,cg25587233,cg25718438,cg25727853,cg25758167,cg25791430,cg25900943,cg26118358,cg26234644,cg26369382,cg26426690,cg26538164,cg26851984,cg26873338,cg27128761,cg27144670,cg27178772,cg27278668	E050	1.00e+00
-3.669	1.00e+00	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg00036871,cg00157962,cg00427604,cg01093786,cg01656750,cg01970336,cg02137956,cg02736280,cg02757667,cg02847674,cg03292992,cg03321813,cg03529189,cg04868238,cg05246522,cg05261759,cg05380759,cg05474943,cg05875421,cg06419268,cg06710259,cg06768361,cg06974428,cg07092805,cg07298431,cg07377178,cg07527324,cg07545306,cg07568841,cg07571951,cg07596065,cg07598021,cg08393937,cg08708079,cg09306188,cg09849319,cg10081994,cg10097651,cg10183965,cg10526841,cg10733317,cg10755077,cg10859442,cg11130692,cg11690983,cg11931463,cg12098228,cg12147622,cg12349832,cg12669088,cg13464573,cg13666648,cg13876325,cg14203426,cg14307853,cg14499387,cg14781394,cg16296417,cg16303353,cg16306654,cg16638092,cg17041511,cg17218270,cg18282388,cg18399451,cg18777299,cg19215266,cg19733736,cg19861623,cg20472746,cg20936529,cg21049825,cg21346154,cg21370522,cg21442881,cg22328837,cg22356061,cg22460173,cg22484084,cg22864500,cg22996170,cg23032421,cg23327334,cg23465295,cg23536675,cg23716690,cg23803468,cg23999170,cg24095374,cg24139720,cg24174608,cg24517501,cg24913825,cg25003924,cg25004840,cg25211705,cg25381253,cg25463688,cg25587233,cg25791430,cg26118358,cg26426690,cg27175380,cg27278668	E051	1.00e+00
0.492	3.21e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg00036871,cg00390484,cg00427604,cg00813162,cg00852924,cg00946598,cg00980581,cg01093786,cg01201215,cg01435442,cg01582066,cg01770296,cg01865484,cg01893068,cg01970336,cg02102075,cg02137956,cg02226192,cg02364826,cg02736280,cg02847588,cg02974085,cg03054529,cg03147185,cg03676485,cg03755957,cg03850035,cg03919488,cg03919650,cg03981685,cg04057956,cg04192168,cg04204452,cg04657183,cg05142445,cg05246522,cg05397010,cg05446414,cg05465955,cg05875421,cg05986288,cg06333800,cg06346335,cg06672696,cg06974428,cg07012823,cg07092805,cg07337598,cg07443710,cg07472373,cg07568841,cg07571951,cg07809831,cg07824081,cg08377000,cg08380379,cg08393937,cg08608126,cg08708079,cg08813944,cg09010707,cg09306188,cg09668964,cg10045881,cg10081994,cg10097651,cg10498052,cg10575547,cg10718809,cg10755077,cg10815420,cg10818566,cg11034318,cg11046602,cg11130692,cg11276093,cg11554335,cg11576424,cg11690983,cg11931463,cg12081267,cg12147622,cg12167564,cg12402318,cg12669088,cg12743031,cg12776287,cg13358873,cg13464573,cg13666648,cg13672106,cg13687497,cg13692972,cg13821176,cg13831136,cg13876325,cg13948456,cg14016418,cg14109551,cg14307853,cg14499387,cg14609407,cg14781394,cg14852276,cg14924866,cg15042302,cg15382302,cg15418499,cg15458222,cg16077055,cg16101213,cg16204717,cg16296417,cg16306654,cg16528585,cg16565031,cg16576811,cg16638092,cg16664523,cg16785938,cg17110052,cg17218270,cg17886959,cg18282388,cg18777299,cg18801806,cg18906596,cg18981338,cg19135352,cg19205064,cg19311375,cg19733736,cg19827511,cg19993680,cg20405697,cg20472746,cg21187669,cg21221712,cg21370522,cg21678736,cg21882356,cg22356061,cg22400420,cg22864500,cg22996170,cg23207054,cg23275644,cg23358740,cg23415995,cg23426156,cg23525708,cg23716690,cg23866916,cg24182798,cg24318076,cg24913825,cg25004840,cg25132536,cg25305879,cg25718438,cg25757820,cg25758167,cg25900943,cg26118358,cg26196087,cg26426690,cg26470175,cg26689077,cg26793227,cg26851984,cg26945780,cg27144670,cg27178772,cg27576900	E028	1.00e+00
-3.482	1.00e+00	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg00036871,cg00157962,cg00287477,cg00427604,cg00864012,cg00946598,cg00980581,cg01201215,cg01435442,cg01455178,cg01770296,cg01780585,cg01865484,cg02246992,cg02459569,cg02724461,cg02847674,cg03054529,cg03113867,cg03208489,cg03480346,cg03676485,cg03691530,cg03981685,cg04147969,cg04657183,cg04813697,cg05125809,cg05541460,cg05986288,cg07012823,cg07201450,cg07298431,cg07337598,cg07377178,cg07545306,cg07571951,cg07621169,cg07691624,cg08092318,cg08571821,cg08708079,cg08813944,cg08992499,cg09007354,cg09255910,cg09598552,cg09912552,cg10081994,cg10092231,cg10097651,cg10498052,cg10526841,cg10575547,cg10652637,cg10769201,cg10866623,cg11671363,cg11690983,cg11700584,cg11931463,cg12096759,cg12147622,cg12181028,cg13235761,cg13360526,cg13380995,cg13447033,cg13618969,cg13666648,cg13761421,cg13831136,cg13876325,cg13948456,cg14307853,cg14322298,cg14467794,cg14468280,cg14499387,cg14525310,cg14674856,cg14781394,cg14852276,cg15382302,cg15458222,cg15642209,cg16306654,cg16456087,cg16576811,cg16638092,cg17110052,cg17218270,cg17784922,cg17886959,cg18399451,cg18446472,cg18801806,cg18906596,cg19393677,cg19733736,cg19827511,cg20359565,cg20700740,cg21882356,cg22032626,cg22396498,cg22747501,cg23032421,cg23287243,cg23358740,cg23415995,cg23514211,cg23536830,cg23642826,cg23999170,cg24139720,cg24174608,cg24182798,cg24517501,cg24797501,cg25003924,cg25211705,cg25279613,cg25463688,cg25587233,cg25709050,cg25718438,cg25758167,cg25889918,cg26115667,cg26234644,cg26369382,cg26470175,cg26529864,cg26793227,cg26837399,cg26851984,cg26954197,cg27000590,cg27128761,cg27178772	E003	1.00e+00
1.004	1.50e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg00036871,cg00123090,cg00157962,cg00213281,cg00427604,cg00483217,cg00494183,cg00946598,cg00992055,cg01201215,cg01204911,cg01205058,cg01435442,cg01455178,cg01656750,cg01865484,cg01893068,cg02246992,cg02364826,cg02459569,cg02640489,cg02847674,cg02930951,cg03054529,cg03074946,cg03113867,cg03130816,cg03529189,cg03676485,cg03691530,cg03755957,cg03758697,cg03919488,cg04147969,cg04276938,cg04293770,cg04338074,cg04505750,cg04657183,cg04664309,cg04813697,cg04814352,cg04903759,cg05125809,cg05261759,cg05291773,cg05296619,cg05380759,cg05397010,cg05541460,cg05830425,cg05878073,cg05986288,cg06068801,cg06346335,cg06363865,cg06536806,cg06607384,cg06710259,cg06768361,cg07012823,cg07236691,cg07337598,cg07545306,cg07571951,cg07621169,cg07721901,cg07800658,cg07809831,cg07875068,cg07917644,cg08092318,cg08166362,cg08291506,cg08447934,cg08491668,cg08571821,cg08608126,cg08813944,cg08992499,cg09255910,cg09305161,cg09306188,cg09387914,cg09411597,cg09569850,cg09598552,cg10044470,cg10081994,cg10092231,cg10575547,cg10606176,cg10652637,cg10733317,cg10755077,cg10866623,cg11034318,cg11588903,cg11671363,cg11690983,cg11700584,cg11931463,cg12081267,cg12096759,cg12147622,cg12181028,cg12402318,cg12476579,cg12743031,cg13235761,cg13276570,cg13316148,cg13360526,cg13447033,cg13618969,cg13666648,cg13876325,cg13908074,cg14086364,cg14109551,cg14307853,cg14322298,cg14459059,cg14468280,cg14469436,cg14499387,cg14525310,cg14852276,cg15070897,cg15382302,cg15418499,cg15642209,cg15722952,cg16160637,cg16296417,cg16306654,cg16505891,cg16576811,cg16592897,cg16962557,cg17110052,cg17218270,cg17230002,cg17784922,cg17886959,cg17933300,cg17962756,cg18349241,cg18455616,cg18535456,cg18537383,cg18777299,cg18801806,cg18906596,cg18912470,cg19215266,cg19393677,cg19733736,cg19904905,cg20044443,cg20700740,cg21193744,cg21346154,cg21422623,cg22032626,cg22226398,cg22328837,cg22396498,cg22400420,cg22679740,cg22858210,cg22864500,cg22925751,cg22996170,cg23032421,cg23205629,cg23358740,cg23426156,cg23514211,cg23536675,cg23987137,cg24039962,cg24139720,cg24143196,cg24182798,cg24195359,cg24197477,cg24343524,cg24707200,cg24913825,cg24988345,cg25003924,cg25105522,cg25138553,cg25211705,cg25216039,cg25305879,cg25463688,cg25758167,cg25889918,cg25900943,cg26234644,cg26282731,cg26341831,cg26426690,cg26470175,cg26501007,cg26516974,cg26529864,cg26793227,cg26851984,cg27000590,cg27128761,cg27178772,cg27190014,cg27278668,cg27340001,cg27449258	E004	1.00e+00
