Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
4.584	1.16e-05	HTR8svn	Blastula	DHS	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00310412,cg00501876,cg01692968,cg01901332,cg01970407,cg02013841,cg02121447,cg03227037,cg03707168,cg04325591,cg04517079,cg04551776,cg04885881,cg05575921,cg05673882,cg05875421,cg05886626,cg06235438,cg06635952,cg07178945,cg07251887,cg07339236,cg08035323,cg08709672,cg09022230,cg09338136,cg11660018,cg11902777,cg12075928,cg12547807,cg12919119,cg13039251,cg13184736,cg13985437,cg14210872,cg14254999,cg14753356,cg14818621,cg15554421,cg15963913,cg16047567,cg16296843,cg16417374,cg16983588,cg18900812,cg19325791,cg19344626,cg19572487,cg19719391,cg20059012,cg20543544,cg21747070,cg21913886,cg22891595,cg23090529,cg24134897,cg24556382,cg24665265,cg25648203,cg26337070,cg26361535,cg26889659,cg26954197,cg27241845,cg27537125	GSM816644	2.06e-04
4.017	1.14e-04	Adult_CD4+	Blood	DHS	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00310412,cg00378510,cg00501876,cg00903584,cg01208318,cg01940273,cg01970407,cg02532700,cg03329539,cg03707168,cg04517079,cg04535902,cg04551776,cg04885881,cg04956244,cg05284742,cg05460226,cg05575921,cg05673882,cg05875421,cg06235438,cg06394460,cg07178945,cg08035323,cg08709672,cg09006487,cg09109520,cg09338136,cg09578155,cg09662411,cg10619342,cg10750182,cg11554391,cg11660018,cg11735008,cg11824827,cg11902777,cg12075928,cg12547807,cg12803068,cg12828729,cg12919119,cg13184736,cg13985437,cg14210872,cg14254999,cg14977938,cg15159987,cg15410835,cg15542713,cg15554421,cg15963913,cg16047567,cg16296843,cg16417374,cg16547579,cg16611234,cg16983588,cg18369990,cg18900812,cg19089328,cg19406367,cg19514721,cg19572487,cg19696491,cg20059012,cg20066188,cg20244340,cg20295214,cg20543544,cg21393163,cg21747070,cg21913886,cg23090529,cg23161492,cg24540678,cg24665265,cg24735226,cg24980413,cg25949550,cg26361535,cg26889659,cg26954197,cg27526649,cg27537125	Lookup	1.18e-03
3.706	4.79e-04	CD14+	Blood	DHS	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00310412,cg00378510,cg00501876,cg00871610,cg00903584,cg01207684,cg02013841,cg02532700,cg03227037,cg03707168,cg04551776,cg04956244,cg05284742,cg05673882,cg05824218,cg05875421,cg05886626,cg06394460,cg07339236,cg07986378,cg08035323,cg09006487,cg09578155,cg10750182,cg11902777,cg12075928,cg12547807,cg12803068,cg12919119,cg13038618,cg13985437,cg14210872,cg14254999,cg14316231,cg14580211,cg14753356,cg15542713,cg15554421,cg16047567,cg16547579,cg16611234,cg18826637,cg18900812,cg19406367,cg19572487,cg19719391,cg20059012,cg20066188,cg20244340,cg20295214,cg20543544,cg21393163,cg23161492,cg24090911,cg24134897,cg24540678,cg24556382,cg25648203,cg26271591,cg27526649,cg27537125	Lookup	4.16e-03
3.502	1.03e-03	CD20+	Blood	DHS	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00310412,cg00378510,cg00501876,cg00903584,cg01208318,cg01970407,cg02226079,cg02532700,cg03227037,cg03636183,cg03707168,cg04325591,cg04535902,cg04956244,cg05221370,cg05460226,cg05673882,cg05824218,cg05875421,cg06235438,cg06635952,cg08035323,cg08038054,cg08709672,cg09006487,cg09109520,cg09338136,cg09578155,cg10717312,cg11554391,cg11902777,cg12075928,cg12547807,cg12919119,cg13038618,cg13039251,cg13985437,cg14210872,cg14316231,cg15159987,cg15542713,cg16296843,cg16417374,cg16547579,cg16611234,cg16983588,cg18826637,cg18900812,cg19325791,cg19344626,cg19572487,cg19696491,cg19719391,cg19859270,cg20059012,cg20066188,cg20543544,cg21161138,cg21393163,cg23090529,cg23161492,cg24090911,cg24134897,cg24540678,cg24838345,cg25491122,cg27537125	Lookup	7.85e-03
9.140	1.70e-16	CD34+	Blood	DHS	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00210249,cg00378510,cg00501876,cg00903584,cg00976097,cg01208318,cg01899089,cg01940273,cg02013841,cg02532700,cg03227037,cg03636183,cg03707168,cg04551776,cg04956244,cg05221370,cg05284742,cg05460226,cg05575921,cg05673882,cg05875421,cg05886626,cg06394460,cg06635952,cg06688763,cg07251887,cg07339236,cg07986378,cg08035323,cg08149865,cg09006487,cg09109520,cg09338136,cg10619342,cg10717312,cg10750182,cg11554391,cg11660018,cg11824827,cg11902777,cg12075928,cg12423733,cg12547807,cg12803068,cg12919119,cg13038618,cg13184736,cg13185177,cg13985437,cg14210872,cg14316231,cg14580211,cg14712058,cg14753356,cg14977938,cg15159987,cg15251319,cg15417641,cg15542713,cg15554421,cg15963913,cg16047567,cg16092017,cg16296843,cg16417374,cg16547579,cg16611234,cg16983588,cg17372101,cg18826637,cg18900812,cg19254163,cg19325791,cg19406367,cg19696491,cg19719391,cg19956914,cg20059012,cg20066188,cg20244340,cg20295214,cg20543544,cg21161138,cg21322436,cg21393163,cg22835712,cg22891595,cg23079012,cg23090529,cg23161492,cg24090911,cg24134897,cg24540678,cg24556382,cg24665265,cg24980413,cg25648203,cg25809905,cg26271591,cg26337070,cg26361535,cg26703534,cg26889659,cg27241845,cg27467282,cg27526649,cg27537125,cg27646484	Lookup	1.15e-13
3.353	9.38e-04	CLL	Blood	DHS	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00310412,cg00378510,cg00501876,cg01207684,cg01901332,cg01952185,cg01970407,cg02532700,cg03227037,cg03707168,cg04535902,cg04551776,cg04885881,cg04956244,cg05575921,cg05673882,cg05824218,cg05875421,cg05886626,cg08035323,cg08149865,cg09006487,cg09109520,cg09338136,cg09578155,cg10717312,cg11902777,cg12075928,cg12547807,cg12828729,cg12919119,cg13039251,cg13985437,cg14210872,cg14254999,cg14753356,cg15542713,cg16092017,cg16296843,cg16417374,cg16547579,cg16611234,cg16983588,cg18369990,cg18826637,cg18900812,cg19719391,cg20066188,cg20244340,cg20505728,cg20543544,cg21161138,cg21393163,cg23161492,cg23351584,cg24540678,cg24980413,cg25421530,cg26850624,cg27537125	GSM816664	7.38e-03
3.992	1.65e-04	CMK	Blood	DHS	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00501876,cg00903584,cg00976097,cg01692968,cg01952185,cg02532700,cg03450842,cg03636183,cg03707168,cg04517079,cg04956244,cg05221370,cg05460226,cg05575921,cg05673882,cg05824218,cg05875421,cg05886626,cg06635952,cg07986378,cg08035323,cg08149865,cg09006487,cg11660018,cg11735008,cg11824827,cg11902777,cg12423733,cg12919119,cg13185177,cg13985437,cg14210872,cg14712058,cg15159987,cg15417641,cg15963913,cg16047567,cg16296843,cg16547579,cg17372101,cg18900812,cg19956914,cg20059012,cg21747070,cg23079012,cg23090529,cg23110422,cg23161492,cg24134897,cg24540678,cg25648203,cg25809905,cg26271591,cg26850624,cg26889659,cg27467282	GSM736607	1.62e-03
3.111	2.40e-03	GM06990	Blood	DHS	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	cg00310412,cg00378510,cg00501876,cg00903584,cg01208318,cg01899089,cg01970407,cg02226079,cg02532700,cg03707168,cg04325591,cg04551776,cg04885881,cg04956244,cg05460226,cg05575921,cg05673882,cg05875421,cg05886626,cg08035323,cg10717312,cg10841124,cg11554391,cg11902777,cg12075928,cg12547807,cg12803068,cg13038618,cg13985437,cg14210872,cg14254999,cg14316231,cg15159987,cg15542713,cg16547579,cg16556677,cg16611234,cg16983588,cg18826637,cg18900812,cg19254163,cg19344626,cg19859270,cg20059012,cg20543544,cg21161138,cg21393163,cg21747070,cg23090529,cg24090911,cg24556382,cg27241845,cg27537125	"GSM736558,GSM736635"	1.64e-02
4.995	1.09e-05	GM12864	Blood	DHS	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00310412,cg00501876,cg00903584,cg01899089,cg02013841,cg02226079,cg02532700,cg03227037,cg03707168,cg04325591,cg04535902,cg04551776,cg04885881,cg05221370,cg05460226,cg05673882,cg05875421,cg06635952,cg06819357,cg07285983,cg07986378,cg08035323,cg09109520,cg09338136,cg10717312,cg11554391,cg11902777,cg12075928,cg12547807,cg13038618,cg13184736,cg14210872,cg14254999,cg14712058,cg15159987,cg15542713,cg15554421,cg16296843,cg16547579,cg16556677,cg16611234,cg18826637,cg18900812,cg19572487,cg19696491,cg19859270,cg20059012,cg20244340,cg20543544,cg21393163,cg21747070,cg23090529,cg24090911,cg24540678,cg24556382,cg24980413,cg25421530,cg27537125	GSM736525	2.05e-04
5.554	5.13e-07	GM12865	Blood	DHS	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	cg00295485,cg00378510,cg00501876,cg00871610,cg00903584,cg01208318,cg01899089,cg01970407,cg02013841,cg02226079,cg02532700,cg03227037,cg03707168,cg04325591,cg04551776,cg04885881,cg04956244,cg05221370,cg05460226,cg05575921,cg05673882,cg05875421,cg05886626,cg06635952,cg07285983,cg08035323,cg09338136,cg10717312,cg11554391,cg11902777,cg12075928,cg12547807,cg12803068,cg13038618,cg13039251,cg14210872,cg14254999,cg14316231,cg15159987,cg15542713,cg15554421,cg16296843,cg16547579,cg16556677,cg16611234,cg16983588,cg18826637,cg18900812,cg18956562,cg19344626,cg19572487,cg19859270,cg20059012,cg20543544,cg21161138,cg21393163,cg21747070,cg23090529,cg24090911,cg24134897,cg24540678,cg25421530,cg26271591,cg26889659,cg27537125	"GSM736512,GSM736561"	1.83e-05
