Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
2.485	4.82e-02	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg08035323,cg10601624,cg17061862,cg18120259	E029	2.35e-01
0.675	3.42e-01	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg00574958,cg02711608,cg17061862	E032	1.00e+00
1.062	2.37e-01	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg00574958,cg08035323,cg17061862	E033	1.00e+00
2.601	3.31e-02	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg00574958,cg02711608,cg08035323,cg14476101,cg23999170	E034	1.72e-01
3.049	1.94e-02	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg00574958,cg02711608,cg08035323,cg17061862,cg23999170	E046	1.08e-01
5.157	1.53e-04	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg00533891,cg00574958,cg02711608,cg08035323,cg10601624,cg14476101,cg17061862,cg23999170	E050	3.62e-03
3.775	4.74e-03	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg00574958,cg02711608,cg08035323,cg10601624,cg17061862,cg23999170	E051	3.42e-02
4.430	1.10e-03	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg17061862,cg18120259	E028	1.31e-02
3.247	6.19e-03	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg00533891,cg00574958,cg02711608,cg14476101,cg17061862,cg18120259,cg23999170	E003	4.28e-02
4.010	1.02e-03	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg17061862,cg18120259	E004	1.31e-02
4.759	1.34e-03	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	DHS	E005-DNase.hotspot.fdr0.01.broad.bed.gz	cg00574958,cg02711608,cg06690548,cg10601624,cg14476101,cg17061862	E005	1.42e-02
5.799	2.04e-05	E006 H1 Derived Mesenchymal Stem Cells	ES Cell	DHS	E006-DNase.hotspot.fdr0.01.broad.bed.gz	cg00533891,cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg17061862,cg18120259	E006	1.44e-03
3.618	4.38e-03	E007 H1 Derived Neuronal Progenitor Cultured Cells	ES Cell	DHS	E007-DNase.hotspot.fdr0.01.broad.bed.gz	cg00574958,cg02711608,cg06690548,cg10601624,cg14476101,cg17061862,cg18120259	E007	3.30e-02
3.106	1.02e-02	E008 H9 Cells	ES Cell	DHS	E008-DNase.hotspot.fdr0.01.broad.bed.gz	cg00574958,cg02711608,cg06690548,cg10601624,cg14476101,cg17061862,cg18120259	E008	6.54e-02
4.065	1.89e-03	E085 Fetal Intestine Small	Feta Intestine Small	DHS	E085-DNase.hotspot.fdr0.01.broad.bed.gz	cg00574958,cg02711608,cg10601624,cg14476101,cg17061862,cg18120259,cg19693031	E085	1.66e-02
2.961	1.96e-02	E080 Fetal Adrenal Gland	Fetal Adrenal Gland	DHS	E080-DNase.hotspot.fdr0.01.broad.bed.gz	cg00533891,cg00574958,cg10601624,cg17061862,cg18120259,cg19693031	E080	1.08e-01
1.958	9.12e-02	E081 Fetal Brain Male	Fetal Brain	DHS	E081-DNase.hotspot.fdr0.01.broad.bed.gz	cg00574958,cg14476101,cg17061862,cg18120259	E081	4.32e-01
