Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
5.048	1.35e-06	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	cg00073090,cg00310412,cg00378510,cg00501876,cg00871610,cg00903584,cg01207684,cg01899089,cg02013841,cg02121447,cg02226079,cg02532700,cg03450842,cg03707168,cg04535902,cg04551776,cg05284742,cg05575921,cg05673882,cg05824218,cg05875421,cg05886626,cg06235438,cg06635952,cg07251887,cg07285983,cg07339236,cg07986378,cg08035323,cg08038054,cg09006487,cg09022230,cg09578155,cg10750182,cg11554391,cg11660018,cg11902777,cg12919119,cg13038618,cg13184736,cg13985437,cg14210872,cg14254999,cg14316231,cg14580211,cg14753356,cg15159987,cg15542713,cg15554421,cg16047567,cg16092017,cg16417374,cg16547579,cg16556677,cg16611234,cg16983588,cg18900812,cg19254163,cg19344626,cg19572487,cg19696491,cg19719391,cg20059012,cg20066188,cg20244340,cg20543544,cg21161138,cg21322436,cg21393163,cg21913886,cg23090529,cg23110422,cg23161492,cg23351584,cg24090911,cg24134897,cg24540678,cg24556382,cg24665265,cg24838345,cg25305703,cg25809905,cg25949550,cg26271591,cg26337070,cg26889659,cg27526649,cg27537125,cg27646484	E029	5.92e-05
-0.378	6.68e-01	E029 Primary monocytes from peripheral blood	Blood	H3K4me3	E029-H3K4me3.broadPeak.gz	cg00378510,cg00501876,cg00903584,cg01207684,cg01208318,cg02532700,cg03707168,cg05824218,cg05886626,cg07285983,cg10750182,cg11660018,cg11735008,cg14210872,cg15542713,cg15554421,cg16547579,cg16611234,cg18900812,cg19572487,cg19956914,cg20059012,cg20066188,cg20244340,cg20543544,cg21322436,cg23161492,cg24090911,cg24540678,cg24838345,cg27537125	E029	1.00e+00
-1.174	9.09e-01	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg00310412,cg00976097,cg01208318,cg01940273,cg01970407,cg03329539,cg03636183,cg05575921,cg05886626,cg07178945,cg09578155,cg09662411,cg10717312,cg11554391,cg11824827,cg12803068,cg12828729,cg12919119,cg13184736,cg13985437,cg14712058,cg16092017,cg17024919,cg17372101,cg21747070,cg25648203,cg27241845,cg27526649	E029	1.00e+00
4.971	1.28e-06	E029 Primary monocytes from peripheral blood	Blood	H3K27me3	E029-H3K27me3.broadPeak.gz	cg00310412,cg01208318,cg01899089,cg01940273,cg01952185,cg01970407,cg03227037,cg03329539,cg03340878,cg03636183,cg04325591,cg04535902,cg04551776,cg05575921,cg05886626,cg07178945,cg07339236,cg08038054,cg08149865,cg08709672,cg09109520,cg09338136,cg09578155,cg10619342,cg10717312,cg11554391,cg11557553,cg11660018,cg11735008,cg11902777,cg12423733,cg12828729,cg12919119,cg13184736,cg13185177,cg13985437,cg15159987,cg15410835,cg15417641,cg15542713,cg15693572,cg16092017,cg16296843,cg16417374,cg17024919,cg18369990,cg18582010,cg18900812,cg19254163,cg19325791,cg19406367,cg19514721,cg19696491,cg19859270,cg20244340,cg20295214,cg21161138,cg21322436,cg21747070,cg22835712,cg23090529,cg23161492,cg23351584,cg24090911,cg24665265,cg24838345,cg24980413,cg25491122,cg25648203,cg25949550,cg26337070,cg26703534,cg26850624,cg27241845,cg27467282,cg27526649	E029	5.84e-05
0.046	5.15e-01	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg00202479,cg00210249,cg00295485,cg01901332,cg03707168,cg04885881,cg04956244,cg05460226,cg05824218,cg06235438,cg06394460,cg06635952,cg06819357,cg07251887,cg07807219,cg09006487,cg09022230,cg10750182,cg11824827,cg12803068,cg14580211,cg14712058,cg14977938,cg15251319,cg15963913,cg16417374,cg16503724,cg16556677,cg16983588,cg18956562,cg19089328,cg19572487,cg19956914,cg23110422,cg23842572,cg24556382,cg24838345,cg26271591,cg26361535,cg27646484	E029	1.00e+00
7.144	6.52e-13	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	cg00073090,cg00202479,cg00295485,cg00310412,cg00378510,cg00501876,cg00903584,cg01062937,cg01207684,cg01208318,cg01692968,cg01899089,cg01940273,cg02013841,cg02226079,cg02532700,cg03227037,cg03329539,cg03340878,cg03450842,cg03636183,cg03707168,cg04325591,cg04517079,cg04551776,cg04885881,cg04956244,cg05221370,cg05284742,cg05460226,cg05575921,cg05673882,cg05824218,cg05875421,cg05886626,cg06235438,cg06635952,cg07251887,cg07285983,cg07339236,cg07986378,cg08035323,cg08038054,cg08709672,cg09006487,cg09109520,cg09338136,cg09578155,cg10717312,cg10750182,cg11554391,cg11557553,cg11660018,cg11902777,cg12075928,cg12547807,cg12828729,cg12919119,cg13038618,cg13184736,cg13185177,cg13985437,cg14210872,cg14254999,cg14316231,cg14712058,cg14753356,cg15159987,cg15542713,cg15554421,cg16047567,cg16092017,cg16296843,cg16417374,cg16547579,cg16556677,cg16611234,cg16983588,cg18369990,cg18826637,cg18900812,cg19254163,cg19325791,cg19344626,cg19406367,cg19514721,cg19572487,cg19696491,cg19719391,cg19859270,cg20059012,cg20066188,cg20244340,cg20543544,cg21161138,cg21322436,cg21393163,cg21747070,cg23090529,cg23110422,cg23161492,cg23351584,cg23842572,cg24090911,cg24540678,cg24556382,cg24665265,cg24735226,cg24838345,cg24980413,cg25305703,cg25421530,cg25491122,cg25809905,cg26271591,cg26889659,cg26954197,cg27241845,cg27526649,cg27537125,cg27646484	E032	9.30e-11
-0.053	5.53e-01	E032 Primary B cells from peripheral blood	Blood	H3K4me3	E032-H3K4me3.broadPeak.gz	cg00073090,cg00310412,cg00378510,cg00501876,cg00903584,cg01208318,cg01970407,cg02226079,cg02532700,cg03707168,cg05460226,cg05673882,cg05824218,cg05875421,cg06635952,cg07285983,cg08038054,cg10717312,cg11554391,cg12547807,cg12919119,cg13038618,cg14210872,cg15542713,cg15554421,cg16296843,cg16417374,cg16547579,cg16611234,cg16983588,cg18900812,cg19344626,cg19406367,cg19572487,cg19696491,cg19719391,cg19859270,cg20059012,cg20066188,cg20543544,cg24090911,cg24540678,cg24556382,cg25491122,cg27537125,cg27646484	E032	1.00e+00
-2.742	1.00e+00	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg04325591,cg12919119,cg25491122,cg27241845	E032	1.00e+00
3.500	2.19e-04	E032 Primary B cells from peripheral blood	Blood	H3K27me3	E032-H3K27me3.broadPeak.gz	cg00871610,cg01207684,cg01692968,cg01899089,cg01901332,cg01940273,cg01970407,cg02013841,cg02121447,cg03227037,cg03329539,cg03340878,cg03450842,cg04535902,cg04551776,cg05575921,cg05886626,cg07178945,cg07339236,cg08035323,cg08038054,cg08149865,cg08709672,cg09022230,cg09109520,cg09578155,cg09662411,cg10619342,cg10717312,cg10841124,cg11412468,cg11554391,cg11557553,cg11660018,cg11735008,cg11902777,cg12423733,cg12828729,cg12919119,cg13038618,cg13184736,cg13185177,cg13985437,cg14580211,cg14818621,cg15410835,cg15417641,cg15542713,cg15693572,cg16092017,cg16237191,cg16417374,cg16556677,cg16611234,cg17024919,cg18369990,cg19254163,cg19325791,cg19406367,cg19696491,cg19719391,cg19859270,cg20244340,cg20295214,cg20505728,cg21161138,cg21322436,cg21747070,cg21913886,cg22835712,cg22891595,cg23079012,cg23090529,cg23161492,cg23351584,cg23667432,cg24090911,cg24134897,cg24665265,cg24735226,cg24838345,cg24980413,cg25421530,cg25648203,cg25809905,cg25949550,cg26337070,cg26703534,cg26850624,cg27241845,cg27467282,cg27526649	E032	5.43e-03
-0.021	5.41e-01	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg00202479,cg00210249,cg00295485,cg00310412,cg00378510,cg00501876,cg01208318,cg03340878,cg03707168,cg04517079,cg04673446,cg04885881,cg04956244,cg05284742,cg05460226,cg05673882,cg05824218,cg06235438,cg06394460,cg06635952,cg06819357,cg07251887,cg07986378,cg09006487,cg09256832,cg11557553,cg11824827,cg12075928,cg12803068,cg14316231,cg14712058,cg14977938,cg15251319,cg15963913,cg16503724,cg16556677,cg16983588,cg18956562,cg19089328,cg19956914,cg20505728,cg23161492,cg23842572,cg24556382,cg24838345,cg25491122,cg26271591,cg26361535,cg26889659,cg27537125,cg27646484	E032	1.00e+00
