Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
0.312	4.28e-01	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	cg00563932,cg03230711,cg04216117,cg06192289,cg07136054,cg08244085,cg09627757,cg10486655,cg11799172,cg13069247,cg13096260,cg14057772,cg15088539,cg16145216,cg16151977,cg16786712,cg17453456,cg17714703,cg18866599,cg19060550,cg19448935,cg24547885,cg25106322,cg25413575,cg25566730,cg25991122	E029	1.00e+00
0.405	4.13e-01	E029 Primary monocytes from peripheral blood	Blood	H3K4me3	E029-H3K4me3.broadPeak.gz	cg04216117,cg04704963,cg06192289,cg08244085,cg11799172,cg13069247,cg13096260,cg14057772,cg15088539,cg16145216,cg16684811,cg16786712,cg17714703,cg18866599,cg19448935,cg24547885,cg25566730,cg25991122	E029	1.00e+00
-0.995	8.74e-01	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg03230711,cg06646262,cg06694012,cg09797337,cg09842196,cg11497372,cg11573219,cg14800603,cg15684962,cg16151977,cg26400275	E029	1.00e+00
3.182	2.96e-03	E029 Primary monocytes from peripheral blood	Blood	H3K27me3	E029-H3K27me3.broadPeak.gz	cg00563932,cg01176047,cg02726930,cg02955940,cg03230711,cg04216117,cg05780294,cg07136054,cg08244085,cg08968978,cg09367126,cg09641663,cg09797337,cg10486655,cg11497372,cg11573219,cg11799172,cg13096260,cg15684962,cg16145216,cg16151977,cg16526673,cg16684811,cg17453456,cg18866599,cg19060550,cg19448935,cg20097219,cg22603037,cg25106322,cg25566730	E029	1.00e+00
-1.004	8.61e-01	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg02159643,cg02673453,cg03384419,cg06646262,cg10902667,cg11691341,cg12098228,cg23652987,cg25744682	E029	1.00e+00
1.431	1.12e-01	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	cg02955940,cg03230711,cg03384419,cg04216117,cg05780294,cg06192289,cg07136054,cg08244085,cg09641663,cg09842196,cg10486655,cg10902667,cg11497372,cg11573219,cg11799172,cg12098228,cg13069247,cg13096260,cg14057772,cg15088539,cg15684962,cg16145216,cg16151977,cg16786712,cg17453456,cg17714703,cg18866599,cg19060550,cg19448935,cg20097219,cg24547885,cg25106322,cg25413575,cg25566730,cg25744682,cg25991122	E032	1.00e+00
1.139	1.76e-01	E032 Primary B cells from peripheral blood	Blood	H3K4me3	E032-H3K4me3.broadPeak.gz	cg03230711,cg04704963,cg06192289,cg06694012,cg07136054,cg08244085,cg09641663,cg09842196,cg10902667,cg11497372,cg11799172,cg12098228,cg13069247,cg14057772,cg15088539,cg16145216,cg16684811,cg16786712,cg17714703,cg18866599,cg19448935,cg20653032,cg24547885,cg25106322,cg25566730,cg25991122	E032	1.00e+00
0.943	2.22e-01	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg01176047,cg05892146,cg06694012,cg09797337,cg11497372,cg15684962,cg19060550,cg20653032	E032	1.00e+00
2.776	4.06e-03	E032 Primary B cells from peripheral blood	Blood	H3K27me3	E032-H3K27me3.broadPeak.gz	cg00563932,cg01176047,cg02726930,cg02955940,cg03230711,cg04216117,cg05780294,cg05892146,cg06694012,cg07136054,cg07965335,cg08244085,cg09627757,cg09797337,cg10486655,cg11093760,cg11497372,cg11573219,cg13069247,cg13096260,cg14057772,cg15088539,cg15684962,cg15952370,cg16145216,cg16151977,cg16526673,cg18118535,cg18659450,cg19060550,cg19448935,cg20097219,cg20331322,cg20653032,cg22603037,cg23652987,cg25106322,cg25566730	E032	1.00e+00
-1.415	9.34e-01	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg02159643,cg02673453,cg03384419,cg09641663,cg10902667,cg11093760,cg11691341,cg17714703,cg20097219,cg20911625,cg25744682	E032	1.00e+00
-0.029	5.59e-01	E033 Primary T cells from cord blood	Blood	H3K4me1	E033-H3K4me1.broadPeak.gz	cg02955940,cg04216117,cg06192289,cg07136054,cg08244085,cg12098228,cg14057772,cg15088539,cg16145216,cg16151977,cg16684811,cg17453456,cg17714703,cg19060550,cg19448935,cg24547885,cg25106322,cg25566730,cg25991122	E033	1.00e+00
1.011	2.30e-01	E033 Primary T cells from cord blood	Blood	H3K4me3	E033-H3K4me3.broadPeak.gz	cg02955940,cg04216117,cg04704963,cg06192289,cg07136054,cg08244085,cg09797337,cg11497372,cg11573219,cg11799172,cg12098228,cg13069247,cg13096260,cg14057772,cg15088539,cg15684962,cg16145216,cg16151977,cg16684811,cg16786712,cg17714703,cg18866599,cg19448935,cg24547885,cg25106322,cg25566730,cg25991122	E033	1.00e+00
1.805	7.16e-02	E033 Primary T cells from cord blood	Blood	H3K9me3	E033-H3K9me3.broadPeak.gz	cg05892146,cg06646262,cg11497372,cg22603037	E033	1.00e+00
1.331	1.24e-01	E033 Primary T cells from cord blood	Blood	H3K27me3	E033-H3K27me3.broadPeak.gz	cg01176047,cg02726930,cg03230711,cg08244085,cg09641663,cg09797337,cg11497372,cg11573219,cg13096260,cg15088539,cg15684962,cg15952370,cg16151977,cg17453456,cg18659450,cg18866599,cg19060550,cg20653032,cg22603037,cg25106322	E033	1.00e+00
-0.689	7.77e-01	E033 Primary T cells from cord blood	Blood	H3K36me3	E033-H3K36me3.broadPeak.gz	cg00248521,cg00761700,cg02159643,cg02673453,cg02955940,cg03384419,cg06646262,cg10902667,cg11691341,cg25413575,cg25744682	E033	1.00e+00
0.637	3.32e-01	E034 Primary T cells from peripheral blood	Blood	H3K4me1	E034-H3K4me1.broadPeak.gz	cg00248521,cg00563932,cg02159643,cg02673453,cg02955940,cg03230711,cg03384419,cg04216117,cg04704963,cg05780294,cg06192289,cg07136054,cg08244085,cg09367126,cg10486655,cg11093760,cg11497372,cg11573219,cg11691341,cg11799172,cg12098228,cg13069247,cg13096260,cg14057772,cg15088539,cg15684962,cg16145216,cg16151977,cg16684811,cg16786712,cg17453456,cg17714703,cg18866599,cg19060550,cg19448935,cg20097219,cg25106322,cg25413575,cg25566730,cg25744682,cg25991122	E034	1.00e+00
0.276	4.51e-01	E034 Primary T cells from peripheral blood	Blood	H3K4me3	E034-H3K4me3.broadPeak.gz	cg00563932,cg02726930,cg03230711,cg04704963,cg06192289,cg07136054,cg08244085,cg11497372,cg11573219,cg11799172,cg12098228,cg13069247,cg14057772,cg15088539,cg16145216,cg16786712,cg17714703,cg18866599,cg19448935,cg20331322,cg24547885,cg25106322,cg25566730,cg25991122	E034	1.00e+00
0.357	4.11e-01	E034 Primary T cells from peripheral blood	Blood	H3K9me3	E034-H3K9me3.broadPeak.gz	cg01176047,cg03230711,cg05892146,cg06646262,cg07136054,cg08244085,cg09641663,cg09797337,cg11497372,cg11799172,cg12098228,cg16684811,cg19060550,cg20653032	E034	1.00e+00
0.959	2.02e-01	E034 Primary T cells from peripheral blood	Blood	H3K27me3	E034-H3K27me3.broadPeak.gz	cg00563932,cg00761700,cg02726930,cg03230711,cg04216117,cg05780294,cg06192289,cg06694012,cg07136054,cg07965335,cg08244085,cg08968978,cg09367126,cg09627757,cg09797337,cg10486655,cg11093760,cg11497372,cg11573219,cg11799172,cg12098228,cg13069247,cg13096260,cg14800603,cg15088539,cg15684962,cg16145216,cg16151977,cg16526673,cg16684811,cg16786712,cg17453456,cg18866599,cg19060550,cg19448935,cg20097219,cg20331322,cg23652987,cg25106322,cg25566730,cg25744682,cg25991122	E034	1.00e+00
-1.220	9.02e-01	E034 Primary T cells from peripheral blood	Blood	H3K36me3	E034-H3K36me3.broadPeak.gz	cg02159643,cg02673453,cg03384419,cg06646262,cg11497372,cg11691341,cg12098228,cg16786712,cg17714703,cg20911625,cg25413575,cg25744682	E034	1.00e+00
1.390	1.21e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K4me1	E046-H3K4me1.broadPeak.gz	cg00159953,cg00248521,cg00563932,cg02159643,cg02673453,cg02955940,cg03230711,cg03384419,cg04216117,cg04704963,cg06192289,cg07136054,cg08244085,cg09367126,cg09797337,cg10486655,cg11497372,cg11573219,cg11799172,cg12098228,cg13069247,cg13096260,cg14057772,cg15088539,cg15684962,cg16145216,cg16151977,cg16684811,cg16786712,cg17453456,cg17714703,cg18866599,cg19448935,cg25106322,cg25413575,cg25566730,cg25744682,cg25991122	E046	1.00e+00
0.413	4.04e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K4me3	E046-H3K4me3.broadPeak.gz	cg00563932,cg04704963,cg06192289,cg07136054,cg08244085,cg08968978,cg09641663,cg11799172,cg12098228,cg13069247,cg13096260,cg14057772,cg15088539,cg15684962,cg16145216,cg16684811,cg16786712,cg17714703,cg18866599,cg24547885,cg25566730,cg25991122	E046	1.00e+00
0.982	1.97e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K9me3	E046-H3K9me3.broadPeak.gz	cg00159953,cg01176047,cg06646262,cg06694012,cg07965335,cg08244085,cg09797337,cg11093760,cg11497372,cg12098228,cg14800603,cg15088539,cg15684962,cg16151977,cg16526673,cg18866599,cg19060550,cg19448935,cg25566730,cg25991122	E046	1.00e+00
1.109	1.70e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K27me3	E046-H3K27me3.broadPeak.gz	cg01176047,cg02726930,cg03230711,cg04216117,cg05780294,cg05892146,cg07136054,cg08244085,cg09641663,cg09797337,cg10486655,cg11497372,cg11573219,cg13069247,cg13096260,cg15684962,cg16151977,cg16526673,cg18866599,cg19060550,cg20653032,cg22603037,cg25106322,cg25566730	E046	1.00e+00
-0.750	7.99e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K36me3	E046-H3K36me3.broadPeak.gz	cg02159643,cg02673453,cg03384419,cg06646262,cg11691341,cg12098228,cg17714703,cg19060550,cg25413575,cg25744682	E046	1.00e+00
1.073	1.98e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me1	E050-H3K4me1.broadPeak.gz	cg00563932,cg02726930,cg03230711,cg04216117,cg04704963,cg05780294,cg06192289,cg07136054,cg08244085,cg09367126,cg09797337,cg10486655,cg10902667,cg11093760,cg11497372,cg11573219,cg11799172,cg12098228,cg13069247,cg13096260,cg14057772,cg15088539,cg15684962,cg16145216,cg16151977,cg16684811,cg16786712,cg17453456,cg17714703,cg18659450,cg18866599,cg19060550,cg19448935,cg20097219,cg24547885,cg25106322,cg25413575,cg25566730,cg25991122	E050	1.00e+00
0.665	3.21e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me3	E050-H3K4me3.broadPeak.gz	cg00563932,cg00761700,cg02726930,cg03230711,cg04216117,cg04704963,cg06192289,cg07136054,cg08244085,cg09367126,cg09842196,cg10486655,cg11497372,cg11573219,cg11799172,cg12098228,cg13069247,cg13096260,cg14057772,cg15088539,cg16145216,cg16151977,cg16684811,cg16786712,cg17714703,cg18866599,cg19448935,cg24547885,cg25106322,cg25566730,cg25991122	E050	1.00e+00
0.685	2.86e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E050-H3K9me3.broadPeak.gz	cg00159953,cg00248521,cg01176047,cg03230711,cg06646262,cg06694012,cg08968978,cg09797337,cg09842196,cg11497372,cg14800603,cg22603037,cg23652987	E050	1.00e+00
