Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-1.526	9.81e-01	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg03725309	E063	1.00e+00
4.143	7.23e-04	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00574958,cg01243823,cg02711608,cg04927537,cg07504977,cg08548559,cg09182678,cg09664445,cg10717869,cg10919522,cg12593793,cg13708645,cg14017402,cg14476101,cg17782974,cg17901584,cg19017142,cg21429551,cg22012981,cg26470501	E063	7.72e-02
-0.335	2.58e-01	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg10508317	E063	1.00e+00
-1.393	9.66e-01	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg07573872,cg08857797,cg19750657,cg26651978	E063	1.00e+00
-0.752	8.75e-01	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg01368219,cg07021906,cg07730360,cg11024682,cg14352682,cg22875823,cg23998749	E063	1.00e+00
5.518	7.64e-04	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg01751802,cg04816311,cg16611584,cg18098839,cg24531955,cg24678869,cg26894079	E063	7.95e-02
5.052	2.73e-05	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00108715,cg03078551,cg06192883,cg06500161,cg06690548,cg06876354,cg06946797,cg07037944,cg07814318,cg13274938,cg17501210,cg17641710,cg17738521,cg23172671,cg25392060,cg25649826,cg26361535,cg26403843,cg27243685,cg27470213	E063	4.54e-03
-2.817	1.00e+00	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed		E063	1.00e+00
-2.097	1.00e+00	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed		E063	1.00e+00
-2.840	1.00e+00	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed		E063	1.00e+00
-1.941	1.00e+00	E063 Adipose Nuclei	Adipose	BivFlnk	erc2-chromatin15state-all-files/E063_11_BivFlnk.bed		E063	1.00e+00
-1.902	1.00e+00	E063 Adipose Nuclei	Adipose	EnhBiv	erc2-chromatin15state-all-files/E063_12_EnhBiv.bed		E063	1.00e+00
-1.119	9.35e-01	E063 Adipose Nuclei	Adipose	ReprPC	erc2-chromatin15state-all-files/E063_13_ReprPC.bed	cg04286697,cg24145109	E063	1.00e+00
-0.730	8.64e-01	E063 Adipose Nuclei	Adipose	ReprPCWk	erc2-chromatin15state-all-files/E063_14_ReprPCWk.bed	cg01130991,cg01798813,cg12458003,cg13123009,cg13134297,cg26955383,cg27115863	E063	1.00e+00
-2.933	1.00e+00	E063 Adipose Nuclei	Adipose	Quies	erc2-chromatin15state-all-files/E063_15_Quies.bed	cg01671681,cg03500056,cg10474597,cg13139542	E063	1.00e+00
-1.856	9.92e-01	E080 Fetal Adrenal Gland	Adrenal	TssA	erc2-chromatin15state-all-files/E080_1_TssA.bed	cg03725309	E080	1.00e+00
4.348	7.54e-04	E080 Fetal Adrenal Gland	Adrenal	TssAFlnk	erc2-chromatin15state-all-files/E080_2_TssAFlnk.bed	cg00574958,cg01243823,cg03500056,cg04816311,cg04927537,cg06690548,cg09182678,cg10717869,cg10919522,cg17782974,cg17901584,cg21429551,cg26470501	E080	7.89e-02
-3.138	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	TxFlnk	erc2-chromatin15state-all-files/E080_3_TxFlnk.bed		E080	1.00e+00
0.351	5.06e-01	E080 Fetal Adrenal Gland	Adrenal	Tx	erc2-chromatin15state-all-files/E080_4_Tx.bed	cg01751802,cg07021906,cg07573872,cg07730360,cg11024682,cg18098839,cg24531955,cg24678869,cg26651978	E080	1.00e+00
-0.621	8.35e-01	E080 Fetal Adrenal Gland	Adrenal	TxWk	erc2-chromatin15state-all-files/E080_5_TxWk.bed	cg01798813,cg10474597,cg13274938,cg19750657,cg23998749	E080	1.00e+00
3.825	5.52e-03	E080 Fetal Adrenal Gland	Adrenal	EnhG	erc2-chromatin15state-all-files/E080_6_EnhG.bed	cg00108715,cg08857797,cg09664445,cg14352682,cg16611584,cg17641710,cg26361535,cg27470213	E080	4.01e-01
5.200	5.05e-05	E080 Fetal Adrenal Gland	Adrenal	Enh	erc2-chromatin15state-all-files/E080_7_Enh.bed	cg01130991,cg06500161,cg06876354,cg06946797,cg07037944,cg07504977,cg08548559,cg12593793,cg14017402,cg17738521,cg19017142,cg22012981,cg22875823,cg23172671,cg25649826,cg26403843,cg26894079,cg27115863,cg27243685	E080	7.83e-03
-2.463	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	ZNF-Rpts	erc2-chromatin15state-all-files/E080_8_ZNF-Rpts.bed		E080	1.00e+00
-1.900	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	Het	erc2-chromatin15state-all-files/E080_9_Het.bed		E080	1.00e+00
-2.250	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	TssBiv	erc2-chromatin15state-all-files/E080_10_TssBiv.bed		E080	1.00e+00
-0.427	7.21e-01	E080 Fetal Adrenal Gland	Adrenal	BivFlnk	erc2-chromatin15state-all-files/E080_11_BivFlnk.bed	cg10508317,cg13708645	E080	1.00e+00
1.309	1.83e-01	E080 Fetal Adrenal Gland	Adrenal	EnhBiv	erc2-chromatin15state-all-files/E080_12_EnhBiv.bed	cg02711608,cg03078551,cg04286697,cg06192883,cg14476101,cg25392060	E080	1.00e+00
-2.250	9.98e-01	E080 Fetal Adrenal Gland	Adrenal	ReprPC	erc2-chromatin15state-all-files/E080_13_ReprPC.bed	cg12458003,cg13123009,cg13134297,cg24145109	E080	1.00e+00
-2.630	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	ReprPCWk	erc2-chromatin15state-all-files/E080_14_ReprPCWk.bed	cg07814318	E080	1.00e+00
-1.313	9.58e-01	E080 Fetal Adrenal Gland	Adrenal	Quies	erc2-chromatin15state-all-files/E080_15_Quies.bed	cg01368219,cg01671681,cg13139542,cg17501210,cg26955383	E080	1.00e+00
-2.006	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	TssA	erc2-chromatin15state-all-files/E029_1_TssA.bed		E029	1.00e+00
2.796	2.14e-02	E029 Primary monocytes from peripheral blood	Blood	TssAFlnk	erc2-chromatin15state-all-files/E029_2_TssAFlnk.bed	cg00574958,cg02711608,cg03725309,cg07504977,cg08548559,cg09182678,cg13708645,cg17782974,cg19017142,cg21429551,cg26470501	E029	1.00e+00
-4.406	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	TxFlnk	erc2-chromatin15state-all-files/E029_3_TxFlnk.bed		E029	1.00e+00
-1.448	9.70e-01	E029 Primary monocytes from peripheral blood	Blood	Tx	erc2-chromatin15state-all-files/E029_4_Tx.bed	cg07573872,cg08857797,cg18098839,cg19750657	E029	1.00e+00
-0.654	8.40e-01	E029 Primary monocytes from peripheral blood	Blood	TxWk	erc2-chromatin15state-all-files/E029_5_TxWk.bed	cg00108715,cg06876354,cg07730360,cg22012981,cg26361535	E029	1.00e+00
1.869	9.70e-02	E029 Primary monocytes from peripheral blood	Blood	EnhG	erc2-chromatin15state-all-files/E029_6_EnhG.bed	cg16611584,cg17641710,cg24531955	E029	1.00e+00
9.983	9.00e-14	E029 Primary monocytes from peripheral blood	Blood	Enh	erc2-chromatin15state-all-files/E029_7_Enh.bed	cg01243823,cg01368219,cg01798813,cg04816311,cg04927537,cg06192883,cg06500161,cg06690548,cg06946797,cg07021906,cg07037944,cg07814318,cg09664445,cg10919522,cg11024682,cg12458003,cg13274938,cg14017402,cg14352682,cg17501210,cg17738521,cg23172671,cg23998749,cg24678869,cg25392060,cg25649826,cg26403843,cg26894079,cg26955383,cg27115863,cg27243685	E029	3.48e-10
