Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
2.985	1.88e-03	HTR8svn	Blastula	DHS	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00273658,cg00780501,cg00795535,cg00893849,cg01247459,cg01248878,cg01418188,cg01469583,cg02305757,cg02342367,cg02432022,cg02441833,cg02835421,cg02844688,cg03392077,cg04084348,cg04099543,cg04161328,cg04497992,cg04701118,cg04765471,cg04920032,cg04924375,cg04954249,cg05209272,cg05219896,cg05516004,cg05642098,cg06052655,cg06085527,cg07432111,cg07519863,cg07638500,cg07786412,cg08408668,cg08589455,cg09277749,cg09584899,cg09668022,cg09849688,cg10704177,cg11199798,cg11751434,cg11807649,cg12182708,cg12190341,cg12258670,cg12315900,cg12967579,cg12985905,cg13117318,cg13617202,cg13792581,cg13905385,cg14009632,cg14060758,cg14131038,cg14169284,cg14242936,cg14287557,cg14613901,cg14934396,cg15030712,cg15186355,cg15338967,cg15442959,cg15535138,cg16032884,cg16257804,cg16381477,cg16572910,cg16660617,cg16672147,cg16775629,cg16863862,cg17430986,cg17679548,cg17753773,cg18118893,cg18731680,cg19459094,cg19980260,cg20133890,cg20626587,cg20833901,cg20999663,cg21130221,cg21145387,cg21156580,cg21166775,cg21450154,cg21953058,cg22503106,cg23299484,cg23428738,cg23575688,cg23720822,cg23771052,cg23856600,cg23938511,cg24099727,cg24238409,cg24372191,cg24374476,cg24376793,cg24407546,cg24442367,cg24517604,cg24598141,cg24936095,cg25642315,cg25715278,cg26025224,cg26069291,cg26350671,cg26382374,cg26667462,cg26996616,cg27341747	GSM816644	1.72e-02
0.374	3.72e-01	Adult_CD4+	Blood	DHS	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00005461,cg00136106,cg00795535,cg00921350,cg01614759,cg02190078,cg02305757,cg02342367,cg02441833,cg02543556,cg02835421,cg03489907,cg03634089,cg03881379,cg04099543,cg04316096,cg04395593,cg04701118,cg04804748,cg04992150,cg05122026,cg05186879,cg05219896,cg05516004,cg05567377,cg05873271,cg05918326,cg06169291,cg06181069,cg06289919,cg06449385,cg06734380,cg06850285,cg07137115,cg07432111,cg07479786,cg07616376,cg07638500,cg07786412,cg07908654,cg08028384,cg08105265,cg08177041,cg08408668,cg08470588,cg08589455,cg08794018,cg09098714,cg09194810,cg09241885,cg09468422,cg09584899,cg09668022,cg09698506,cg09763039,cg09849688,cg10966235,cg11112605,cg11625476,cg11715991,cg11751434,cg11968273,cg12165656,cg12190341,cg12315900,cg12828656,cg12856590,cg12967579,cg12985905,cg13054523,cg13117318,cg13346427,cg13617202,cg14009632,cg14131038,cg14242936,cg14287557,cg14306688,cg14613901,cg15022400,cg15034807,cg15357334,cg15535138,cg15677434,cg16064932,cg16257804,cg16863862,cg17120616,cg17430986,cg17753773,cg17786894,cg18410271,cg18787963,cg19032328,cg19254378,cg19296671,cg19322743,cg20133890,cg20337696,cg20626587,cg20845336,cg20893838,cg20999663,cg21124310,cg21145387,cg21664942,cg22150440,cg22331200,cg22406869,cg23057699,cg23299484,cg23386939,cg23575688,cg23635560,cg23720822,cg23771052,cg24099727,cg24315421,cg24317972,cg24374476,cg24395217,cg25567227,cg26025224,cg26069291,cg26272008,cg26311703,cg26350671,cg26964704,cg26996616,cg27195131,cg27347104	Lookup	1.00e+00
15.981	6.97e-52	CD14+	Blood	DHS	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	cg00005461,cg00127788,cg00336912,cg00344572,cg00448525,cg00663686,cg00780501,cg00795535,cg00849335,cg00893849,cg00921350,cg01014987,cg01247459,cg01248878,cg01418188,cg01469583,cg01541570,cg01887834,cg02024241,cg02041484,cg02147126,cg02190078,cg02240622,cg02305757,cg02414559,cg02432022,cg02441833,cg02455383,cg02961280,cg03116466,cg03234093,cg03634089,cg03822873,cg03881379,cg04046364,cg04052546,cg04084348,cg04099543,cg04161328,cg04353863,cg04395593,cg04662947,cg04765471,cg04804748,cg04814136,cg04954249,cg04992150,cg05150185,cg05209272,cg05567377,cg05676915,cg05820066,cg05873271,cg05918326,cg05920921,cg06052655,cg06169291,cg06181069,cg06289919,cg06445384,cg06569561,cg06734380,cg06850285,cg07014573,cg07532960,cg07611887,cg07616376,cg07638500,cg07952576,cg08091497,cg08177041,cg08408668,cg08427005,cg08470588,cg08621659,cg08790890,cg08794018,cg08884974,cg09001777,cg09098714,cg09194810,cg09277749,cg09584899,cg09668022,cg09763039,cg09912228,cg10194884,cg10487714,cg10741887,cg10966235,cg11175241,cg11199798,cg11554295,cg11715991,cg11751434,cg11759930,cg11807649,cg11902347,cg11966720,cg12040931,cg12165656,cg12182708,cg12190341,cg12315900,cg12402318,cg12828656,cg12967579,cg12985905,cg12997777,cg13054523,cg13117318,cg13197551,cg13250178,cg13254847,cg13410614,cg13638867,cg13728275,cg13905385,cg14009632,cg14060758,cg14131038,cg14242936,cg14261336,cg14282386,cg14287557,cg14306688,cg14352263,cg14613901,cg14919455,cg15022400,cg15030712,cg15053869,cg15072057,cg15074047,cg15123849,cg15157945,cg15186355,cg15338098,cg15357334,cg15535138,cg15677434,cg15818306,cg15931859,cg16064932,cg16171189,cg16257804,cg16381477,cg16572910,cg16617564,cg16660617,cg16775629,cg16834953,cg16863862,cg16872030,cg16945415,cg16948651,cg17120616,cg17141163,cg17430986,cg17679548,cg17786894,cg17991808,cg18118893,cg18401534,cg18410271,cg18481322,cg18498503,cg18731680,cg18787963,cg18976159,cg19114543,cg19284277,cg19459094,cg19579160,cg19785826,cg19967449,cg19980260,cg20090759,cg20133890,cg20350272,cg20626587,cg20712856,cg20833901,cg20875821,cg20893838,cg20999663,cg21061310,cg21124310,cg21130221,cg21145387,cg21166775,cg21211039,cg21279677,cg21450154,cg21810778,cg21876760,cg22123711,cg22331200,cg22406869,cg22503106,cg22748479,cg22788906,cg22940815,cg22948672,cg23057699,cg23091723,cg23215701,cg23299484,cg23386939,cg23428738,cg23499392,cg23511239,cg23522962,cg23575688,cg23720822,cg23771052,cg24099727,cg24211388,cg24238409,cg24279017,cg24315421,cg24374476,cg24395217,cg24407546,cg24699150,cg24936095,cg25322146,cg25465557,cg25466522,cg25887955,cg26025224,cg26311703,cg26350671,cg26529864,cg26667462,cg26744554,cg26819611,cg26873486,cg26978762,cg26996616,cg27195131,cg27316598,cg27347104,cg27543741	Lookup	1.57e-49
2.565	6.46e-03	CD20+	Blood	DHS	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	cg00448525,cg00663686,cg00795535,cg01171954,cg01248878,cg01887834,cg01953813,cg02190078,cg02240622,cg02305757,cg02543556,cg02835421,cg03554335,cg03666966,cg04046364,cg04099543,cg04804748,cg04920032,cg04954249,cg05122026,cg05186879,cg05516004,cg05567377,cg05724080,cg05820066,cg05873271,cg05918326,cg06169291,cg06445384,cg06569561,cg06734380,cg07014573,cg07177867,cg07638500,cg07786412,cg08091497,cg08177041,cg08408668,cg08794018,cg09249800,cg09584899,cg09639771,cg09668022,cg09698506,cg10704177,cg11751434,cg11807649,cg11966720,cg12182708,cg12190341,cg12315900,cg12967579,cg13117318,cg13254847,cg13638867,cg14009632,cg14131038,cg14242936,cg14260530,cg14261336,cg14306688,cg14613901,cg15022400,cg15535138,cg15677434,cg15737719,cg15818306,cg16064932,cg16257804,cg16263722,cg16572910,cg16775629,cg16834953,cg17116500,cg17430986,cg17577640,cg18042586,cg18401534,cg18410271,cg18731680,cg19284277,cg19296671,cg19459094,cg19579160,cg19785826,cg20133890,cg20337696,cg20893838,cg20999663,cg21166775,cg21279677,cg21450154,cg21810778,cg22123711,cg22503106,cg23057699,cg23215701,cg23299484,cg23428738,cg23511239,cg23635560,cg23720822,cg24211388,cg24238409,cg24279017,cg24315421,cg24374476,cg24407546,cg24684972,cg25117333,cg25466522,cg25567227,cg26025224,cg26272008,cg26311703,cg26472183,cg26529864,cg26569937,cg26744554,cg26802802,cg26996616,cg27109461	Lookup	5.27e-02
16.341	7.24e-56	CD34+	Blood	DHS	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	cg00005461,cg00127788,cg00136106,cg00344572,cg00448525,cg00663686,cg00717259,cg00780501,cg00795535,cg00847453,cg00893849,cg00921350,cg01014987,cg01248878,cg01469583,cg01499988,cg01541570,cg01611175,cg01614759,cg01887834,cg01953813,cg02006119,cg02024241,cg02147126,cg02240622,cg02305757,cg02441833,cg02455383,cg02480174,cg02543556,cg02589986,cg02835421,cg02961280,cg02974089,cg03116466,cg03125875,cg03326609,cg03337482,cg03381616,cg03554335,cg03634089,cg03666966,cg03881379,cg03914277,cg04084348,cg04099543,cg04316096,cg04349839,cg04395593,cg04497992,cg04765471,cg04804748,cg04814136,cg04920032,cg04924375,cg04954249,cg05122026,cg05186879,cg05209272,cg05499338,cg05567377,cg05699320,cg05820066,cg05853552,cg05873271,cg05918326,cg05958985,cg05962003,cg06005163,cg06085527,cg06169291,cg06181069,cg06289919,cg06445384,cg06569561,cg06592575,cg06850285,cg06984345,cg07014573,cg07137115,cg07177867,cg07432111,cg07519863,cg07532960,cg07611887,cg07616376,cg07638500,cg07786412,cg07828833,cg07908654,cg08028384,cg08091497,cg08177041,cg08408668,cg08621659,cg08790890,cg08794018,cg09098714,cg09113950,cg09194810,cg09584899,cg09589331,cg09639771,cg09668022,cg09698506,cg09763039,cg10011040,cg10132304,cg10180919,cg10487714,cg10704177,cg11098795,cg11148876,cg11175241,cg11554295,cg11715991,cg11751434,cg11759930,cg11807649,cg11942358,cg11966720,cg12040931,cg12077754,cg12165656,cg12182708,cg12190341,cg12227660,cg12315900,cg12402318,cg12784307,cg12828656,cg12856590,cg12967579,cg12985905,cg12997777,cg12998731,cg13047724,cg13054523,cg13117318,cg13120180,cg13250178,cg13254847,cg13578165,cg13638867,cg13672080,cg14009632,cg14031473,cg14060758,cg14131038,cg14242936,cg14260530,cg14261336,cg14282386,cg14287557,cg14306688,cg14569513,cg14613901,cg14934396,cg15022400,cg15030712,cg15074047,cg15123849,cg15157945,cg15338967,cg15442959,cg15535138,cg15677434,cg15818306,cg15834151,cg15931859,cg16032884,cg16171189,cg16257804,cg16299559,cg16464329,cg16545105,cg16572910,cg16660617,cg16775629,cg16834953,cg16945415,cg17051407,cg17245251,cg17430986,cg17546493,cg17679548,cg17746899,cg17753773,cg17786894,cg17820448,cg17936236,cg17946525,cg17991808,cg18042586,cg18401534,cg18410271,cg18521725,cg18581916,cg18731680,cg18787963,cg18976159,cg19284277,cg19296671,cg19322743,cg19459094,cg19579160,cg19785826,cg19967449,cg19980260,cg20133890,cg20337696,cg20350272,cg20378408,cg20626587,cg20675152,cg20712856,cg20833901,cg20893838,cg20999663,cg21061310,cg21130221,cg21156580,cg21166775,cg21211039,cg21450154,cg21810778,cg21876760,cg22066020,cg22123711,cg22406869,cg22748479,cg22940815,cg22948672,cg22954819,cg23057699,cg23215701,cg23218859,cg23299484,cg23386939,cg23499392,cg23511239,cg23575688,cg23635560,cg23689722,cg23720822,cg23933458,cg24099727,cg24171689,cg24211388,cg24279017,cg24315421,cg24374476,cg24407546,cg24442367,cg24517604,cg24598141,cg24684972,cg24936095,cg25136646,cg25228737,cg25348163,cg25465557,cg25466522,cg25567227,cg25642315,cg25887955,cg26025224,cg26311703,cg26350671,cg26667462,cg26744554,cg26802802,cg26819611,cg26873486,cg26978762,cg26996616,cg27109461,cg27316598,cg27341747,cg27347104,cg27623075,cg27646484	Lookup	2.45e-53
1.263	1.10e-01	CLL	Blood	DHS	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00344572,cg00448525,cg00795535,cg01469583,cg01887834,cg01955639,cg02305757,cg02455383,cg02835421,cg04084348,cg04099543,cg04161328,cg04395593,cg04497992,cg04814136,cg04992150,cg05219896,cg05516004,cg05567377,cg05820066,cg05873271,cg06169291,cg06445384,cg06569561,cg06850285,cg07432111,cg07456972,cg07638500,cg08091497,cg08408668,cg08794018,cg09098714,cg09194810,cg09241885,cg09584899,cg09668022,cg09698506,cg09763039,cg09912228,cg10704177,cg10741887,cg11112605,cg11715991,cg11751434,cg11807649,cg12182708,cg12190341,cg12315900,cg13117318,cg13197551,cg13254847,cg13617202,cg14009632,cg15022400,cg15535138,cg15677434,cg16064932,cg16257804,cg16263722,cg16572910,cg16834953,cg16863862,cg17105176,cg18401534,cg18410271,cg18787963,cg19254378,cg19785826,cg19791728,cg19967449,cg19980260,cg20133890,cg20626587,cg20833901,cg20999663,cg21145387,cg21166775,cg22331200,cg22747707,cg23215701,cg23299484,cg23386939,cg23575688,cg23635560,cg23689722,cg24211388,cg24315421,cg24374476,cg24598141,cg25567227,cg25715278,cg26025224,cg26311703,cg26350671,cg26382374,cg26802802,cg26996616,cg27347104	GSM816664	6.93e-01
14.414	1.94e-38	CMK	Blood	DHS	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	cg00127788,cg00136106,cg00344572,cg00448525,cg00477633,cg00663686,cg00717259,cg00780501,cg00795535,cg00893849,cg00921350,cg01014987,cg01247459,cg01248878,cg01499988,cg02024241,cg02190078,cg02240622,cg02305757,cg02441833,cg02455383,cg02480174,cg02543556,cg02589986,cg02835421,cg02961280,cg02974089,cg03125875,cg03554335,cg03634089,cg03666966,cg03881379,cg03914277,cg04046364,cg04099543,cg04304036,cg04316096,cg04395593,cg04497992,cg04765471,cg04920032,cg04924375,cg04954249,cg05122026,cg05186879,cg05232481,cg05499338,cg05516004,cg05567377,cg05699320,cg05820066,cg05873271,cg05958985,cg06085527,cg06127160,cg06181069,cg06592575,cg06646410,cg07014573,cg07519863,cg07532960,cg07616376,cg07636225,cg07638500,cg07786412,cg07828833,cg07834490,cg07908654,cg07970948,cg08028384,cg08408668,cg08427005,cg08621659,cg08790890,cg08794018,cg09194810,cg09241885,cg09249800,cg09639771,cg09668022,cg09763039,cg09912228,cg10113951,cg10741887,cg11175241,cg11715991,cg11751434,cg11807649,cg11942358,cg12040931,cg12077754,cg12165656,cg12784307,cg12967579,cg12985905,cg13117318,cg13120180,cg13197551,cg13250178,cg13254847,cg13578165,cg13617202,cg13672080,cg13792581,cg13947225,cg14242936,cg14287557,cg14613901,cg14919455,cg14934396,cg15022400,cg15074047,cg15106081,cg15123849,cg15157945,cg15338098,cg15442959,cg15535138,cg15737719,cg15791719,cg16064932,cg16257804,cg16263722,cg16299559,cg16464329,cg16572910,cg16617564,cg16660617,cg16775629,cg16945415,cg17245251,cg17430986,cg17746899,cg17820448,cg17936236,cg17946525,cg17988187,cg18410271,cg18731680,cg19210893,cg19284277,cg19322743,cg19459094,cg19579160,cg20090759,cg20133890,cg20337696,cg20350272,cg20626587,cg20675152,cg20833901,cg20893838,cg20999663,cg21045547,cg21061310,cg21167563,cg21211039,cg21450154,cg21810778,cg22066020,cg22123711,cg22406869,cg22503106,cg22747707,cg22748479,cg22948672,cg23215701,cg23218859,cg23299484,cg23499392,cg23635560,cg23856600,cg23933458,cg24099727,cg24211388,cg24315421,cg24374476,cg24407546,cg24442367,cg24684972,cg24699150,cg24936095,cg25117333,cg25136646,cg25228737,cg25466522,cg25567227,cg25642315,cg25887955,cg26025224,cg26311703,cg26350671,cg26382374,cg26529864,cg26802802,cg26819611,cg26873486,cg26996616,cg27195131	GSM736607	2.19e-36
-0.286	6.39e-01	GM06990	Blood	DHS	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	cg00663686,cg00795535,cg01014987,cg01887834,cg02305757,cg02455383,cg02543556,cg02835421,cg04099543,cg04804748,cg04954249,cg04992150,cg05567377,cg05820066,cg05918326,cg06289919,cg06569561,cg07538578,cg07638500,cg07786412,cg08091497,cg08177041,cg08408668,cg08621659,cg08794018,cg09098714,cg09241885,cg09668022,cg09698506,cg11098795,cg11751434,cg11807649,cg11968273,cg12315900,cg12828656,cg12967579,cg12985905,cg13117318,cg14613901,cg15022400,cg15338098,cg15535138,cg16064932,cg16257804,cg16775629,cg16834953,cg17991808,cg18401534,cg18410271,cg18976159,cg19459094,cg20090759,cg20133890,cg20350272,cg20626587,cg20999663,cg21045547,cg22503106,cg22940815,cg23057699,cg23299484,cg23511239,cg23635560,cg23720822,cg24099727,cg24374476,cg24407546,cg26311703,cg26472183,cg26569937,cg26802802,cg26996616,cg27195131	"GSM736558,GSM736635"	1.00e+00
2.525	6.24e-03	GM12864	Blood	DHS	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	cg00005461,cg00663686,cg00795535,cg00893849,cg00921350,cg01248878,cg01469583,cg01887834,cg01953813,cg02041484,cg02305757,cg02441833,cg02543556,cg03116466,cg03666966,cg03914277,cg04052546,cg04084348,cg04765471,cg04804748,cg04954249,cg04992150,cg05186879,cg05567377,cg05699320,cg06445384,cg06569561,cg07616376,cg07638500,cg07952576,cg08091497,cg08177041,cg08621659,cg08794018,cg09098714,cg09113950,cg09241885,cg09277749,cg09668022,cg09698506,cg10336036,cg10966235,cg11098795,cg11751434,cg11807649,cg12315900,cg12828656,cg12967579,cg13117318,cg13410614,cg14060758,cg14613901,cg14934396,cg15022400,cg15338098,cg15535138,cg16257804,cg16464329,cg16775629,cg16834953,cg16863862,cg17141163,cg17430986,cg17477733,cg17991808,cg17998403,cg18042586,cg18498503,cg18731680,cg18976159,cg19284277,cg19322743,cg20350272,cg20893838,cg20999663,cg21061310,cg21145387,cg21167563,cg21810778,cg22940815,cg23057699,cg23091723,cg23215701,cg23299484,cg23499392,cg23511239,cg23575688,cg23720822,cg24099727,cg24171689,cg24372191,cg24374476,cg24395217,cg24684972,cg25117333,cg26025224,cg26069291,cg26272008,cg26311703,cg26382374,cg26529864,cg26744554,cg26802802,cg26964704,cg26996616,cg27195131	GSM736525	5.14e-02
2.472	7.10e-03	GM12865	Blood	DHS	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	cg00795535,cg00893849,cg00921350,cg01014987,cg01248878,cg01887834,cg02190078,cg02305757,cg02342367,cg02441833,cg02543556,cg03234093,cg03381616,cg03666966,cg03914277,cg04084348,cg04099543,cg04765471,cg04804748,cg04954249,cg04992150,cg05122026,cg05567377,cg05873271,cg06169291,cg06569561,cg07137115,cg07616376,cg07638500,cg07786412,cg08091497,cg08177041,cg08408668,cg08621659,cg08794018,cg09098714,cg09113950,cg09241885,cg09584899,cg09668022,cg09698506,cg10487714,cg11098795,cg11751434,cg11807649,cg12315900,cg12402318,cg12828656,cg12967579,cg12985905,cg13117318,cg13410614,cg13617202,cg14131038,cg14282386,cg14321269,cg14613901,cg15022400,cg15157945,cg15535138,cg15818306,cg16257804,cg16464329,cg16660617,cg16775629,cg16834953,cg16863862,cg17105176,cg17120616,cg17141163,cg17430986,cg18401534,cg18410271,cg18498503,cg18731680,cg18976159,cg19284277,cg19296671,cg19579160,cg19785826,cg20133890,cg20626587,cg20675152,cg20999663,cg21124310,cg21450154,cg21810778,cg22940815,cg23057699,cg23091723,cg23299484,cg23386939,cg23499392,cg23511239,cg23575688,cg23720822,cg24238409,cg24374476,cg24395217,cg24407546,cg24684972,cg25642315,cg26025224,cg26311703,cg26529864,cg26667462,cg26744554,cg26802802,cg26964704,cg26996616,cg27623075	"GSM736512,GSM736561"	5.65e-02
