Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-0.376	7.03e-01	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg03299066,cg04815626,cg16273766,cg26184812	E063	1.00e+00
2.148	4.56e-02	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg02738868,cg03032247,cg04155830,cg04367699,cg04525491,cg04873548,cg05255305,cg14603358,cg16188532,cg17279912,cg21760990,cg22511904	E063	1.00e+00
-5.101	1.00e+00	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed		E063	1.00e+00
-1.453	9.61e-01	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg15500907	E063	1.00e+00
-1.953	9.95e-01	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg06216309	E063	1.00e+00
-2.176	1.00e+00	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed		E063	1.00e+00
0.772	2.91e-01	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg02296708,cg03111156,cg12304215,cg14518545,cg17128892,cg26427270	E063	1.00e+00
-0.332	1.94e-01	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed	cg02575448	E063	1.00e+00
-2.387	1.00e+00	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed		E063	1.00e+00
-2.743	1.00e+00	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed		E063	1.00e+00
-0.907	8.00e-01	E063 Adipose Nuclei	Adipose	BivFlnk	erc2-chromatin15state-all-files/E063_11_BivFlnk.bed	cg03935432	E063	1.00e+00
2.983	2.60e-02	E063 Adipose Nuclei	Adipose	EnhBiv	erc2-chromatin15state-all-files/E063_12_EnhBiv.bed	cg04852443,cg15928188,cg20264068,cg22058099	E063	1.00e+00
