Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
0.385	3.88e-01	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg00902153,cg01015663,cg01329690,cg01501009,cg02349578,cg04292359,cg04657325,cg04845871,cg05392764,cg05508862,cg05673882,cg06670742,cg07029024,cg07094298,cg07157107,cg07551060,cg08549335,cg08726900,cg08767044,cg09235539,cg09410512,cg09435170,cg09904264,cg10692140,cg11547696,cg12520319,cg13836518,cg14049470,cg14450238,cg16145216,cg16560711,cg16734795,cg17042996,cg17053845,cg17873919,cg17907003,cg18176887,cg19075787,cg19399220,cg19755108,cg20051772,cg20472746,cg21085462,cg21327581,cg21393163,cg21411075,cg21497218,cg21618017,cg21686890,cg23965590,cg25799109,cg25953130,cg27613174	E029	1.00e+00
0.035	5.16e-01	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg00008629,cg01329690,cg01501009,cg02349578,cg04292359,cg04657325,cg04845871,cg05257275,cg05392764,cg05567236,cg05673882,cg06297145,cg06635952,cg06653796,cg06670742,cg07094298,cg07157107,cg08383315,cg08549335,cg08726900,cg08767044,cg09109520,cg09904264,cg10017105,cg10322443,cg10581754,cg10670310,cg11547696,cg11617147,cg12520319,cg13253439,cg14145338,cg14450238,cg14519664,cg15150970,cg15523958,cg16145216,cg16560711,cg16734795,cg17042996,cg17053845,cg17873919,cg18176887,cg19399220,cg19755108,cg20051772,cg20100049,cg20472746,cg21085462,cg21162029,cg21327581,cg21393163,cg21411075,cg21497218,cg21618017,cg21686890,cg23205886,cg23965590,cg23983449,cg25799109,cg26094004,cg26163153,cg26189283,cg26728709,cg27315333,cg27509347,cg27613174	E032	1.00e+00
0.797	2.51e-01	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg00008629,cg01329690,cg01501009,cg02349578,cg03131366,cg03526142,cg04657325,cg04845871,cg05392764,cg05673882,cg06297145,cg06635952,cg06653796,cg06670742,cg06946543,cg07094298,cg07157107,cg07551060,cg08383315,cg08549335,cg08726900,cg08767044,cg09109520,cg09904264,cg10581754,cg10670310,cg10692140,cg11617147,cg12520319,cg13167816,cg13253439,cg13836518,cg14145338,cg14450238,cg14519664,cg15150970,cg16145216,cg16560711,cg16734795,cg17042996,cg17053845,cg17873919,cg18176887,cg19399220,cg19755108,cg20051772,cg20100049,cg20472746,cg21085462,cg21327581,cg21393163,cg21411075,cg21497218,cg21618017,cg21686890,cg22761205,cg23205886,cg23965590,cg25799109,cg25953130,cg26163153,cg26189283,cg26728709	E033	1.00e+00
1.064	1.87e-01	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg00008629,cg00902153,cg01100175,cg01501009,cg01542019,cg02349578,cg02610360,cg02810967,cg03211864,cg03526142,cg04292359,cg04657325,cg04845871,cg05392764,cg05673882,cg05708512,cg06297145,cg06653796,cg06670742,cg06946543,cg07094298,cg07157107,cg07551060,cg08335767,cg08383315,cg08549335,cg08726900,cg08767044,cg08948841,cg09109520,cg09904264,cg10017105,cg10581754,cg10670310,cg10692140,cg11617147,cg12520319,cg13167816,cg13253439,cg13836518,cg14377791,cg14450238,cg14519664,cg15485700,cg16145216,cg16455894,cg16560711,cg16734795,cg17042996,cg17053845,cg17873919,cg18176887,cg19399220,cg19755108,cg20051772,cg20100049,cg20472746,cg21085462,cg21327581,cg21393163,cg21411075,cg21497218,cg21618017,cg21686890,cg22761205,cg23965590,cg23983449,cg24536818,cg25953130,cg26189283,cg26728709,cg27613174	E034	1.00e+00
1.733	6.27e-02	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg00008629,cg00902153,cg01501009,cg01542019,cg02349578,cg02597894,cg03211864,cg03526142,cg04242728,cg04657325,cg04845871,cg05392764,cg05673882,cg05708512,cg06297145,cg06635952,cg06653796,cg06670742,cg07094298,cg07551060,cg08335767,cg08549335,cg08726900,cg08767044,cg08899895,cg08937102,cg09410512,cg09904264,cg10581754,cg10670310,cg10692140,cg11095027,cg11547696,cg11617147,cg12520319,cg13836518,cg14049470,cg14450238,cg14519664,cg15485700,cg16145216,cg16455894,cg16560711,cg16734795,cg17042996,cg17053845,cg17873919,cg17907003,cg18176887,cg19399220,cg19755108,cg20051772,cg20472746,cg20784591,cg21085462,cg21162029,cg21327581,cg21393163,cg21411075,cg21497218,cg21618017,cg21686890,cg23690893,cg23965590,cg23983449,cg25799109,cg25953130,cg26189283,cg26728709,cg27613174	E046	5.48e-01
7.254	1.48e-10	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg00008629,cg01015663,cg01101873,cg01126699,cg01329690,cg01501009,cg01542019,cg01656168,cg01939453,cg02194129,cg02349578,cg02556393,cg02597894,cg02610360,cg02816816,cg03131366,cg03211864,cg04134748,cg04657325,cg04768697,cg04845871,cg04983687,cg05253759,cg05376219,cg05392764,cg05508862,cg05575921,cg05673882,cg05708512,cg06297145,cg06635952,cg06653796,cg06670742,cg07029024,cg07056299,cg07094298,cg07157107,cg07518532,cg07551060,cg07660627,cg08335767,cg08383315,cg08447934,cg08549335,cg08726900,cg08843623,cg08881614,cg08899895,cg08922729,cg08972170,cg09109520,cg09235539,cg09904264,cg10099827,cg10493186,cg10581754,cg10692140,cg11547696,cg12076102,cg12520319,cg13167816,cg13189097,cg13253439,cg13836518,cg14049470,cg14145338,cg14450238,cg14519664,cg15090440,cg15338967,cg15540623,cg15953602,cg16145216,cg16348158,cg16545743,cg16560711,cg16734795,cg16834726,cg17042996,cg17053845,cg17540765,cg17870792,cg17873919,cg17907003,cg18176887,cg18419358,cg19075787,cg19399220,cg19755108,cg19925780,cg20051772,cg20472746,cg21085462,cg21162029,cg21327581,cg21393163,cg21411075,cg21497218,cg21566642,cg21618017,cg21686890,cg22122862,cg22389950,cg22761205,cg23258188,cg23505644,cg23661483,cg23690893,cg23965590,cg24536818,cg24988625,cg25580656,cg25799109,cg25921609,cg25953130,cg26728709,cg27315333	E050	2.45e-08
3.336	2.00e-03	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg00008629,cg01100175,cg01329690,cg01501009,cg01656168,cg01939453,cg02194129,cg02349578,cg02597894,cg02610360,cg03131366,cg04134748,cg04657325,cg04768697,cg04845871,cg04983687,cg05253759,cg05376219,cg05392764,cg05567236,cg05575921,cg05673882,cg05708512,cg06297145,cg06653796,cg07094298,cg07518532,cg07551060,cg08383315,cg08549335,cg08899895,cg08948841,cg08972170,cg09109520,cg09235539,cg09904264,cg10017105,cg11617147,cg12076102,cg13836518,cg14049470,cg14145338,cg14450238,cg14519664,cg15540623,cg15953602,cg16145216,cg16348158,cg16560711,cg16734795,cg16834726,cg17042996,cg17053845,cg17870792,cg17873919,cg18176887,cg18419358,cg19075787,cg19399220,cg19755108,cg19925780,cg20051772,cg20472746,cg21085462,cg21162029,cg21327581,cg21411075,cg21497218,cg21618017,cg21686890,cg22389950,cg22761205,cg23258188,cg23661483,cg23690893,cg23965590,cg24536818,cg25580656,cg25799109,cg25921609,cg26094004,cg26728709,cg27315333,cg27613174	E051	4.15e-02
3.338	1.74e-03	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg00008629,cg00902153,cg00962903,cg01015663,cg01329690,cg01542019,cg01556552,cg01656168,cg01939453,cg02317313,cg02349578,cg02556393,cg02597894,cg03057083,cg03744763,cg04292359,cg04657325,cg05392764,cg05508862,cg05673882,cg06297145,cg06635952,cg06670742,cg07029024,cg07094298,cg07157107,cg07551060,cg07891911,cg08335767,cg08383315,cg08549335,cg08922729,cg08937102,cg08948841,cg09235539,cg09410512,cg09435170,cg09904264,cg10295552,cg10322443,cg10581754,cg10692140,cg11617147,cg11965976,cg12520319,cg13167816,cg13253439,cg13836518,cg14049470,cg14450238,cg14519664,cg15338967,cg15485700,cg15523958,cg15953602,cg16455894,cg16560711,cg17042996,cg17053845,cg17486314,cg17870792,cg17873919,cg17907003,cg18176887,cg18202127,cg18419358,cg18597188,cg18797823,cg19399220,cg19755108,cg19925780,cg20051772,cg20472746,cg21085462,cg21411075,cg21497218,cg21618017,cg21686890,cg23205886,cg23965590,cg24988625,cg25799109,cg25953130,cg27613174	E028	4.12e-02
-0.450	6.87e-01	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg00687135,cg01101873,cg01501009,cg01656168,cg01939453,cg02317313,cg02349578,cg02556393,cg02816816,cg03057083,cg04134748,cg04292359,cg04537738,cg04768697,cg04845871,cg05376219,cg05392764,cg05708512,cg06297145,cg06670742,cg06946543,cg07029024,cg07186154,cg07357081,cg07551060,cg08288703,cg08383315,cg08549335,cg08654655,cg08922729,cg09109520,cg09235539,cg09904264,cg10186366,cg10322443,cg10581754,cg11617147,cg11965976,cg12126344,cg13405783,cg13526915,cg13566648,cg14049470,cg14450238,cg14519664,cg15150970,cg15523958,cg15953602,cg16145216,cg16560711,cg17042996,cg17053845,cg17870792,cg17873919,cg17934871,cg17971600,cg18022012,cg18176887,cg18202127,cg18797823,cg19399220,cg19755108,cg20051772,cg20309640,cg21085462,cg21327581,cg21411075,cg21497218,cg21566642,cg21686890,cg22122862,cg22389950,cg22639011,cg23205886,cg23983449,cg24988625,cg26163153,cg26189283,cg26693467,cg27315333	E003	1.00e+00
0.819	2.40e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg00008629,cg00687135,cg00902153,cg01015663,cg01100175,cg01101873,cg01126699,cg01501009,cg01939453,cg02317313,cg02349578,cg02556393,cg03057083,cg04292359,cg04537738,cg04657325,cg04768697,cg05392764,cg05508862,cg05673882,cg06297145,cg06635952,cg06670742,cg06946543,cg07029024,cg07157107,cg07551060,cg08383315,cg08447934,cg08549335,cg08654655,cg08922729,cg08972170,cg09109520,cg09235539,cg09410512,cg09904264,cg10322443,cg10581754,cg11617147,cg11965976,cg12076102,cg13253439,cg13458609,cg13526915,cg13566648,cg14049470,cg14450238,cg14519664,cg15150970,cg15338967,cg15485700,cg15523958,cg15953602,cg16145216,cg16560711,cg17042996,cg17053845,cg17486314,cg17870792,cg17873919,cg18176887,cg18187029,cg18202127,cg18797823,cg19399220,cg19755108,cg19925780,cg20309640,cg21085462,cg21162029,cg21327581,cg21411075,cg21497218,cg21566642,cg21618017,cg21686890,cg22010052,cg22122862,cg22389950,cg23205886,cg23983449,cg24988625,cg26693467,cg26728709,cg27315333	E004	1.00e+00
