Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-1.544	9.53e-01	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg02919082,cg03546163,cg04361678,cg07721756,cg14426688,cg18030306,cg19707454,cg20400045,cg22083892,cg23403192,cg27605677	E063	1.00e+00
-0.572	7.40e-01	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00789427,cg01132696,cg01201279,cg02290262,cg02498886,cg03418002,cg03465320,cg04204465,cg04790775,cg06636551,cg07322196,cg07569918,cg07861448,cg07959070,cg08382737,cg09417038,cg10548102,cg12228627,cg12439472,cg16354404,cg16810724,cg16836311,cg19097407,cg19927678,cg20518446,cg21004565,cg21887193,cg22108311,cg23220897,cg23730027,cg24012708,cg26413855,cg26585354,cg26624021	E063	1.00e+00
0.356	3.02e-01	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg11047325,cg20187011	E063	1.00e+00
-2.166	9.86e-01	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg00305108,cg00949332,cg00989806,cg01899759,cg03538296,cg06113552,cg06449191,cg06726406,cg07033722,cg07125981,cg07149033,cg07910010,cg08279189,cg08482536,cg09694051,cg09743906,cg10028625,cg10379517,cg11182146,cg12168509,cg12578084,cg13468144,cg14634918,cg14864966,cg16695102,cg17301248,cg17385708,cg17638213,cg18157364,cg18677212,cg19023589,cg19055828,cg19689387,cg20022454,cg20773479,cg20877250,cg20965748,cg21232401,cg22062450,cg22190299,cg23372523,cg23445957,cg25069157,cg26033510,cg26934362,cg27611767	E063	1.00e+00
1.412	8.72e-02	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00020172,cg01521397,cg01609691,cg01878805,cg01898560,cg02243157,cg02302574,cg02485174,cg02567750,cg02942158,cg03090145,cg03262473,cg03279442,cg03511624,cg03580065,cg03955252,cg04664516,cg04675844,cg04781916,cg05442797,cg05537706,cg05956380,cg06331585,cg06360841,cg06394653,cg06441457,cg07372938,cg07787637,cg07935482,cg08042254,cg08736630,cg08998950,cg09342997,cg09610020,cg09659072,cg10006828,cg10703154,cg10834070,cg11216153,cg11557478,cg11965692,cg12008478,cg12329916,cg12650153,cg13256716,cg13338814,cg13441156,cg13682317,cg13691353,cg14154784,cg14339738,cg14730017,cg14966648,cg15044453,cg15263617,cg15884546,cg15955909,cg15980656,cg16021939,cg16041412,cg16280551,cg16846991,cg17090611,cg17714232,cg17884069,cg18893685,cg18958185,cg18961703,cg19039140,cg19787543,cg20385971,cg20732787,cg20810558,cg21603178,cg21769463,cg21814550,cg21829166,cg21854538,cg21860329,cg22253960,cg22697477,cg22846250,cg23195763,cg23512567,cg23625388,cg23745290,cg23965049,cg24333621,cg24496021,cg24527044,cg25040934,cg25104558,cg25757820,cg26173962,cg26300092	E063	1.00e+00
3.631	1.31e-03	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg02111865,cg03445932,cg04259027,cg04283041,cg04489053,cg04553038,cg05000446,cg06411521,cg08122070,cg10934870,cg11167160,cg13917614,cg14931884,cg16152137,cg17970043,cg18537222,cg18926797,cg22749642,cg25053141,cg26006714,cg27083089	E063	1.55e-01
7.814	6.30e-13	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00112952,cg00789535,cg00817464,cg00923880,cg00928596,cg01093851,cg01229787,cg01239499,cg01384410,cg01399826,cg01571974,cg01741372,cg01893721,cg01990863,cg02109585,cg02190353,cg02353916,cg02662417,cg02712700,cg02761839,cg02833739,cg02874930,cg03964681,cg03974400,cg04051206,cg04107129,cg04403684,cg04736673,cg04864877,cg05059108,cg05141485,cg05196796,cg05636896,cg05750782,cg05890727,cg05986449,cg06203243,cg06418013,cg06570358,cg06645335,cg06815311,cg07305485,cg07349477,cg07397757,cg07464716,cg07564261,cg07704771,cg08298852,cg08853920,cg08859787,cg09166556,cg09245350,cg09366951,cg09467433,cg10056106,cg10277044,cg10283362,cg10997258,cg11260662,cg11340328,cg12013451,cg12172984,cg12621411,cg12866960,cg12992827,cg13051245,cg13448633,cg13846195,cg13962111,cg14061069,cg14155265,cg14209730,cg14509133,cg14690837,cg14856222,cg15137734,cg15233651,cg15276228,cg15612945,cg15725873,cg16125725,cg16733809,cg17520907,cg17828921,cg18263335,cg18848366,cg19197556,cg19237150,cg19429405,cg19743666,cg19803593,cg19806151,cg20130571,cg20363450,cg20588986,cg20698781,cg21250898,cg21941547,cg22443212,cg22774340,cg22990971,cg23097878,cg24265600,cg24312537,cg24343007,cg24392753,cg24833027,cg24880665,cg25084479,cg25407979,cg25430089,cg25569341,cg25634041,cg25705167,cg26010015,cg26521143,cg26816476,cg26849382,cg27256074	E063	1.14e-09
-1.898	1.00e+00	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed		E063	1.00e+00
-1.408	9.59e-01	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed	cg07863268,cg17941843,cg19070118	E063	1.00e+00
-0.853	7.41e-01	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg17566325	E063	1.00e+00
-0.484	7.34e-01	E063 Adipose Nuclei	Adipose	BivFlnk	erc2-chromatin15state-all-files/E063_11_BivFlnk.bed	cg03181300,cg05062694,cg05194426,cg08230059	E063	1.00e+00
0.160	4.93e-01	E063 Adipose Nuclei	Adipose	EnhBiv	erc2-chromatin15state-all-files/E063_12_EnhBiv.bed	cg06501832,cg07382347,cg13622450,cg14764203,cg26083180,cg27272679	E063	1.00e+00
-2.943	1.00e+00	E063 Adipose Nuclei	Adipose	ReprPC	erc2-chromatin15state-all-files/E063_13_ReprPC.bed	cg01895398,cg07347128,cg10507445,cg11839596,cg12451061,cg15981071,cg17857094,cg21950155	E063	1.00e+00
-3.377	1.00e+00	E063 Adipose Nuclei	Adipose	ReprPCWk	erc2-chromatin15state-all-files/E063_14_ReprPCWk.bed	cg00033450,cg01054652,cg01761703,cg02352685,cg02453013,cg02630646,cg02636380,cg02720155,cg02763933,cg03211711,cg03272903,cg03359067,cg03428193,cg04739200,cg05187965,cg05206633,cg05247190,cg05373962,cg05500904,cg06496041,cg06845829,cg08247564,cg08815306,cg09147516,cg11123440,cg12770425,cg12918445,cg14068721,cg14121816,cg14286363,cg14614789,cg15131258,cg16059161,cg16397001,cg16473184,cg17107388,cg18029737,cg19142181,cg19555973,cg20073962,cg20708537,cg22117893,cg22238209,cg22481695,cg23969005,cg25279747	E063	1.00e+00
