Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-2.893	9.99e-01	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00042341,cg00155063,cg00294572,cg00490406,cg00553833,cg00994306,cg01005439,cg01056242,cg01066357,cg01128480,cg01228636,cg01421342,cg01436608,cg01448098,cg01488378,cg01556017,cg01703736,cg01752462,cg01885635,cg01943874,cg02012731,cg02248037,cg02294649,cg02346997,cg02420010,cg02595823,cg02734661,cg02835848,cg02855983,cg02905198,cg02909793,cg03069736,cg03215868,cg03247567,cg03416085,cg03594515,cg03615207,cg03724882,cg03852670,cg03940966,cg04077199,cg04156607,cg04200938,cg04346572,cg04482948,cg04754076,cg04835995,cg04872610,cg05064078,cg05117638,cg05350268,cg05507490,cg05708550,cg05734973,cg05921579,cg06186150,cg06205432,cg06261066,cg06382303,cg06456717,cg06618866,cg07264522,cg07328635,cg07483408,cg07789559,cg07911953,cg08198711,cg08276739,cg08284371,cg08738600,cg08860546,cg09221932,cg09225388,cg09555544,cg09631472,cg09657173,cg09723088,cg09746279,cg09850442,cg09915500,cg09983051,cg10347335,cg10506212,cg11081580,cg11145632,cg11342453,cg11839355,cg12080254,cg12189835,cg12225854,cg12293340,cg12441928,cg12547085,cg12593223,cg12807794,cg12880200,cg12892303,cg13047892,cg13244998,cg13355424,cg13411823,cg13424302,cg13443893,cg13680016,cg13694400,cg13706066,cg13988440,cg14237158,cg14337134,cg14428252,cg14703061,cg14892538,cg14984781,cg15001131,cg15174393,cg15225325,cg15258847,cg15313320,cg15338327,cg15369512,cg15387132,cg15428653,cg15601164,cg16151494,cg16496269,cg16549694,cg16573136,cg16603012,cg16800028,cg16827475,cg16868895,cg17516160,cg17517453,cg17517865,cg17735531,cg17809377,cg17852791,cg17935811,cg18278694,cg18527899,cg18629615,cg18755616,cg18859174,cg18963307,cg19123882,cg19151378,cg19248982,cg19255783,cg19398115,cg19434183,cg19795980,cg20174696,cg20510745,cg20617957,cg20653009,cg20665774,cg20702056,cg20754634,cg20771870,cg20803910,cg20870512,cg21302194,cg21418052,cg21557180,cg21718660,cg21743597,cg22014878,cg22292478,cg22311458,cg22475693,cg22665696,cg22774088,cg22964346,cg22970435,cg23116115,cg23411735,cg23462772,cg23509272,cg23619399,cg23735003,cg24360617,cg24506767,cg24697184,cg24798603,cg24900869,cg24968283,cg25253815,cg25792593,cg26446009,cg26474124,cg26484631,cg26643142,cg26908328,cg26940518,cg27072893,cg27234090,cg27304020,cg27306802,cg27492467,cg27526549,cg27539247	NA	1.00e+00
-5.379	1.00e+00	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg00294572,cg00461753,cg00490406,cg00839132,cg00959749,cg01066357,cg01228636,cg01556017,cg01752462,cg01943874,cg02248037,cg02595823,cg03247567,cg03615207,cg03724882,cg03940966,cg04077199,cg04346572,cg04482948,cg04754076,cg04835995,cg04872610,cg05117638,cg05350268,cg05708550,cg05921579,cg06261066,cg06382303,cg07264522,cg07372596,cg07789559,cg07911953,cg08024887,cg08284371,cg08738600,cg08860546,cg09379755,cg09535119,cg09555544,cg09631472,cg09656931,cg09746279,cg09850442,cg09921610,cg10144493,cg10506212,cg10674293,cg11145632,cg11342453,cg11632238,cg12593223,cg12880200,cg12892303,cg13443893,cg13680016,cg13801271,cg14237158,cg14337134,cg14892538,cg15258847,cg15313320,cg15387132,cg15428653,cg16496269,cg16549694,cg16573136,cg16868895,cg17516160,cg17852791,cg18108695,cg18527899,cg18568843,cg18963307,cg19151378,cg19255783,cg19398115,cg19776793,cg20754634,cg20771870,cg22292478,cg22311458,cg22475693,cg22774088,cg22922242,cg23411735,cg24307601,cg24798603,cg24968283,cg26434988,cg27072893,cg27526549,cg27539247	NA	1.00e+00
-5.212	1.00e+00	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg00155063,cg00294572,cg00461753,cg00839132,cg00959749,cg01066357,cg01128480,cg01228636,cg01488378,cg01885635,cg02248037,cg02324432,cg02734661,cg03215868,cg03247567,cg03615207,cg03724882,cg03940966,cg04482948,cg04754076,cg04872610,cg05350268,cg05708550,cg05734973,cg05921579,cg06186150,cg07264522,cg07789559,cg07900197,cg08024887,cg08738600,cg08860546,cg09555544,cg09631472,cg09657173,cg09746279,cg09850442,cg10506212,cg10674293,cg11145632,cg11839355,cg12080254,cg12441928,cg12593223,cg12880200,cg13182713,cg13443893,cg13680016,cg13694400,cg14237158,cg14337134,cg14892538,cg15174393,cg15258847,cg15313320,cg16549694,cg16868895,cg17516160,cg17517453,cg17735531,cg18527899,cg18568843,cg18629615,cg18963307,cg19151378,cg19248982,cg19398115,cg20754634,cg20771870,cg20803910,cg21557180,cg21745287,cg22292478,cg22311458,cg22475693,cg22922242,cg23462772,cg23509272,cg24798603,cg26474124,cg26908328,cg27539247	NA	1.00e+00
-5.084	1.00e+00	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00155063,cg00294572,cg00490406,cg00839132,cg00959749,cg01066357,cg01171360,cg01228636,cg01488378,cg01556017,cg01943874,cg02248037,cg02415231,cg02734661,cg02905198,cg03215868,cg03247567,cg03487276,cg03527086,cg03615207,cg03724882,cg03940966,cg04482948,cg04754076,cg04835995,cg04872610,cg05350268,cg05708550,cg05734973,cg05921579,cg06186150,cg06998765,cg07264522,cg07328635,cg07789559,cg08024174,cg08024887,cg08198711,cg08284371,cg08550242,cg08738600,cg08860546,cg09221932,cg09379755,cg09555544,cg09631472,cg09657173,cg09723088,cg09746279,cg09841704,cg09850442,cg10105237,cg10506212,cg10674293,cg11145632,cg11342453,cg11632238,cg11839355,cg12293340,cg12441928,cg12593223,cg12880200,cg13182713,cg13411823,cg13443893,cg13680016,cg14187242,cg14237158,cg14337134,cg14383586,cg14892538,cg15093194,cg15118447,cg15174393,cg15313320,cg15428653,cg16393873,cg16868895,cg17516160,cg17517453,cg18100746,cg18527899,cg18629615,cg18785414,cg18963307,cg19151378,cg20114528,cg20754634,cg20771870,cg21418052,cg21557180,cg21745287,cg22292478,cg22311458,cg22475693,cg23411735,cg23509272,cg24506767,cg24798603,cg24834740,cg24900869,cg26434988,cg26474124,cg27072893,cg27539247	NA	1.00e+00
-4.596	1.00e+00	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00042341,cg00155063,cg00294572,cg00490406,cg00817502,cg00899350,cg01005439,cg01023203,cg01066357,cg01171360,cg01228636,cg01422243,cg01488378,cg01556017,cg01752462,cg01885635,cg01943874,cg02248037,cg02304751,cg02324432,cg02415231,cg02479211,cg02734661,cg03215868,cg03247567,cg03527086,cg03594515,cg03615207,cg03724882,cg03940966,cg04064028,cg04077199,cg04482948,cg04548463,cg04754076,cg04835995,cg04872610,cg05064078,cg05117638,cg05350268,cg05708550,cg05921579,cg06186150,cg06382303,cg06456717,cg06779253,cg06998765,cg07264522,cg07328635,cg07729875,cg07911953,cg08024174,cg08198711,cg08550242,cg08738600,cg08860546,cg09221932,cg09379755,cg09535119,cg09555544,cg09631472,cg09657173,cg09723088,cg09746279,cg09850442,cg09921610,cg10016175,cg10062049,cg10144493,cg10506212,cg10686550,cg11145632,cg11342453,cg11632238,cg12080254,cg12189835,cg12293340,cg12441928,cg12547085,cg12593223,cg12788108,cg12880200,cg13182713,cg13289561,cg13443893,cg13680016,cg13706066,cg13801271,cg13988440,cg14014731,cg14237158,cg14337134,cg14428252,cg15001131,cg15093194,cg15258847,cg15305511,cg15313320,cg15338449,cg15369512,cg15428653,cg15601452,cg16496269,cg16549694,cg16573136,cg16726039,cg16868895,cg17087669,cg17516160,cg17517453,cg17735531,cg17852791,cg18108695,cg18527899,cg18568843,cg18629615,cg18963307,cg19042459,cg19123882,cg19151378,cg19248982,cg19255783,cg19398115,cg19776793,cg19795980,cg20114528,cg20396436,cg20617957,cg20665774,cg20754634,cg20771870,cg20803910,cg20944315,cg21557180,cg21718660,cg21745287,cg22292478,cg22311458,cg22475693,cg22922242,cg23116115,cg23411735,cg23509272,cg23523755,cg23526087,cg23735003,cg24506767,cg24798603,cg24834740,cg24968283,cg26474124,cg26908328,cg27072893,cg27234090,cg27406919,cg27492467,cg27526549,cg27539247	NA	1.00e+00
-3.743	1.00e+00	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00042341,cg00155063,cg00294572,cg00461753,cg00490406,cg00839132,cg01005439,cg01066357,cg01171360,cg01228636,cg01422243,cg01488378,cg01556017,cg01627594,cg01752462,cg01885635,cg01943874,cg02012731,cg02200373,cg02248037,cg03069736,cg03247567,cg03407228,cg03487276,cg03594515,cg03615207,cg03724882,cg04077199,cg04482948,cg04835995,cg04872610,cg05064078,cg05117638,cg05350268,cg05434363,cg05708550,cg05734973,cg05921579,cg06186150,cg06261066,cg06456717,cg06688014,cg06779253,cg06992147,cg07264522,cg07328635,cg07529657,cg07729875,cg07789559,cg07900197,cg07911953,cg08024174,cg08024887,cg08198711,cg08284371,cg08515841,cg08738600,cg08860546,cg09221932,cg09535119,cg09631472,cg09723088,cg09850442,cg10016175,cg10039988,cg10105237,cg10506212,cg10674293,cg11145632,cg11342453,cg11632238,cg11839355,cg12080254,cg12189835,cg12441928,cg12513481,cg12547085,cg12593223,cg12788108,cg12880200,cg13443893,cg13680016,cg13706066,cg14014731,cg14237158,cg14337134,cg14428252,cg14769703,cg14892538,cg15001131,cg15093194,cg15174393,cg15258847,cg15313320,cg15338449,cg15387132,cg15428653,cg16151494,cg16352527,cg16496269,cg16549694,cg16573136,cg16868895,cg17516160,cg17517453,cg17735531,cg17852791,cg17855595,cg18077304,cg18100746,cg18108695,cg18527899,cg18568843,cg18629615,cg18963307,cg19123882,cg19149132,cg19151378,cg19248982,cg19255783,cg19284211,cg19398115,cg19434183,cg20114528,cg20174696,cg20617957,cg20665774,cg20754634,cg20771870,cg20803910,cg20944315,cg21418052,cg21477176,cg21557180,cg21745287,cg21864942,cg21903684,cg22014878,cg22064451,cg22292478,cg22311458,cg22475693,cg22488278,cg22586996,cg22774088,cg22834096,cg22839866,cg22922242,cg22964346,cg23411735,cg23462772,cg23509272,cg23735003,cg24360617,cg24506767,cg24532083,cg24798603,cg24834740,cg24968283,cg26434988,cg26474124,cg26484631,cg26643142,cg26908328,cg26940518,cg27072893,cg27539247	NA	1.00e+00
-3.541	1.00e+00	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00042341,cg00294572,cg00461753,cg00490406,cg01005439,cg01066357,cg01171360,cg01228636,cg01488378,cg01556017,cg01703736,cg01885635,cg02248037,cg02711163,cg02734661,cg02905198,cg03069736,cg03215868,cg03247567,cg03594515,cg03615207,cg03940966,cg04077199,cg04482948,cg04754076,cg04835995,cg05117638,cg05350268,cg05708550,cg05734973,cg05921579,cg06148685,cg06186150,cg06382303,cg07900197,cg08024887,cg08198711,cg08860546,cg09221932,cg09555544,cg09631472,cg09657173,cg09723088,cg09746279,cg10506212,cg11145632,cg11839355,cg12441928,cg12458003,cg12593223,cg12788108,cg12880200,cg13182713,cg13424302,cg13443893,cg13680016,cg13694400,cg13801271,cg14892538,cg15001131,cg15174393,cg15225325,cg15258847,cg15320001,cg15387132,cg16352527,cg16549694,cg16868895,cg17516160,cg18000886,cg18527899,cg18568843,cg18629615,cg18785414,cg18963307,cg19123882,cg19151378,cg19248982,cg19255783,cg19434183,cg19795980,cg20256009,cg20617957,cg20653009,cg20754634,cg20803910,cg21557180,cg22292478,cg22475693,cg23328404,cg23347094,cg23411735,cg23462772,cg23735003,cg24360617,cg24798603,cg24900869,cg25792593,cg26434988,cg26474124,cg26484631,cg26908328,cg26940518,cg27304020,cg27526549	NA	1.00e+00
-5.194	1.00e+00	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg01066357,cg01228636,cg01488378,cg01556017,cg01703736,cg01752462,cg01837533,cg01885635,cg01943874,cg02248037,cg02905198,cg03247567,cg03615207,cg03940966,cg04077199,cg04754076,cg04835995,cg05708550,cg06261066,cg06382303,cg07147383,cg07789559,cg08024887,cg08198711,cg08276739,cg08738600,cg08860546,cg09221932,cg09631472,cg09657173,cg09723088,cg09746279,cg09850442,cg09915500,cg10401362,cg10506212,cg12080254,cg12225854,cg12441928,cg12593223,cg12807794,cg12892303,cg13289561,cg13443893,cg13680016,cg14237158,cg14428252,cg14535068,cg14703061,cg15258847,cg15338327,cg15387132,cg15601164,cg16549694,cg16800028,cg16868895,cg17516160,cg17517453,cg18527899,cg18629615,cg18963307,cg19123882,cg19151378,cg19248982,cg19398115,cg19434183,cg20174696,cg20702056,cg20754634,cg20771870,cg21418052,cg21557180,cg22014878,cg22311458,cg22475693,cg23411735,cg23462772,cg23509272,cg24360617,cg24798603,cg24968283,cg26078793,cg26434988,cg26474124,cg26908328,cg26940518,cg27304020,cg27526549,cg27539247	NA	1.00e+00
-4.382	1.00e+00	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00042341,cg00294572,cg00461753,cg00490406,cg01066357,cg01171360,cg01228636,cg01488378,cg01556017,cg01752462,cg01885635,cg01943874,cg02200373,cg02248037,cg02595823,cg02711163,cg02734661,cg02835848,cg02905198,cg03069736,cg03215868,cg03247567,cg03418659,cg03594515,cg03615207,cg03940966,cg04077199,cg04657294,cg04754076,cg04835995,cg04872610,cg05117638,cg05350268,cg05708550,cg05921579,cg06148685,cg06261066,cg06382303,cg06688014,cg07328635,cg07900197,cg08024887,cg08198711,cg08276739,cg08284371,cg08738600,cg08860546,cg09221932,cg09535119,cg09555544,cg09631472,cg09657173,cg09723088,cg09746279,cg09850442,cg10113212,cg10347335,cg10506212,cg11145632,cg11839355,cg12080254,cg12293340,cg12441928,cg12458003,cg12593223,cg12788108,cg12880200,cg13182713,cg13289561,cg13424302,cg13443893,cg13680016,cg13706066,cg13801271,cg14237158,cg14428252,cg14892538,cg15001131,cg15174393,cg15225325,cg15258847,cg15313320,cg15320001,cg15369512,cg15387132,cg15428653,cg16151494,cg16352527,cg16549694,cg16603012,cg16800028,cg16868895,cg17087669,cg17516160,cg17517453,cg17809377,cg17935811,cg18108695,cg18527899,cg18568843,cg18963307,cg19123882,cg19151378,cg19248982,cg19255783,cg19398115,cg19434183,cg19500607,cg20256009,cg20510745,cg20617957,cg20653009,cg20665774,cg20702056,cg20754634,cg20771870,cg20803910,cg21418052,cg21557180,cg21917084,cg22014878,cg22292478,cg22311458,cg22475693,cg22774088,cg22922242,cg22970435,cg23116115,cg23328404,cg23347094,cg23411735,cg23462772,cg23523755,cg24360617,cg24506767,cg24798603,cg24900869,cg25792593,cg26060489,cg26474124,cg26484631,cg26940518,cg27304020,cg27526549,cg27539247	NA	1.00e+00
-3.742	1.00e+00	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00042341,cg00294572,cg00461753,cg00490406,cg01005439,cg01066357,cg01171360,cg01228636,cg01488378,cg01556017,cg01627594,cg01703736,cg01752462,cg01885635,cg01943874,cg02248037,cg02595823,cg02711163,cg02734661,cg02905198,cg03069736,cg03215868,cg03247567,cg03418659,cg03594515,cg03615207,cg03940966,cg04064028,cg04077199,cg04482948,cg04754076,cg04835995,cg04872610,cg05064078,cg05117638,cg05350268,cg05708550,cg05734973,cg05921579,cg06148685,cg06186150,cg06382303,cg07185695,cg07328635,cg07900197,cg08024887,cg08198711,cg08284371,cg08515841,cg08860546,cg09221932,cg09535119,cg09555544,cg09631472,cg09657173,cg09723088,cg09746279,cg10113212,cg10506212,cg11145632,cg12080254,cg12441928,cg12593223,cg12880200,cg13424302,cg13443893,cg13680016,cg13694400,cg13706066,cg13726843,cg14237158,cg14428252,cg14707231,cg14892538,cg15001131,cg15093194,cg15174393,cg15225325,cg15258847,cg15313320,cg15320001,cg15338449,cg15369512,cg15387132,cg15428653,cg16151494,cg16352527,cg16549694,cg16603012,cg16800028,cg16868895,cg17516160,cg17517453,cg17809377,cg18527899,cg18568843,cg18963307,cg19123882,cg19151378,cg19248982,cg19255783,cg19398115,cg19434183,cg19795980,cg20256009,cg20617957,cg20653009,cg20702056,cg20754634,cg20803910,cg21418052,cg21745287,cg21917084,cg22292478,cg22311458,cg22839866,cg22922242,cg22964346,cg22970435,cg23116115,cg23347094,cg23411735,cg23462772,cg23523755,cg23735003,cg24360617,cg24421668,cg24506767,cg24798603,cg24900869,cg25792593,cg26060489,cg26078793,cg26434988,cg26474124,cg26484631,cg26908328,cg26940518,cg27072893,cg27304020,cg27526549,cg27539247	NA	1.00e+00
