Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
3.432	7.18e-04	HTR8svn	Blastula	DHS	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00310412,cg00501876,cg01097768,cg01442064,cg01692968,cg01901332,cg03109660,cg03707168,cg03999941,cg04039799,cg04359840,cg04517079,cg04551776,cg04885881,cg05194346,cg05575921,cg05673882,cg05875421,cg06635952,cg07090714,cg07178945,cg07251887,cg07339236,cg08035323,cg08709672,cg09022230,cg09338136,cg10691866,cg11660018,cg11902777,cg12075928,cg12147622,cg12547807,cg13039251,cg13184736,cg13916835,cg14753356,cg15554421,cg16047567,cg16178855,cg19325791,cg19427338,cg19572487,cg19719391,cg19838043,cg20059928,cg20543544,cg22499893,cg23090529,cg24134897,cg24556382,cg24688690,cg24996979,cg25648203,cg26337070,cg26361535,cg27241845,cg27332104,cg27537125	GSM816644	5.99e-03
3.698	1.62e-04	Adult_CD4+	Blood	DHS	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00310412,cg00336149,cg00501876,cg01097768,cg01208318,cg01442064,cg01447828,cg01731783,cg01940273,cg02657160,cg03109660,cg03329539,cg03707168,cg03999941,cg04039799,cg04180046,cg04359840,cg04517079,cg04535902,cg04551776,cg04885881,cg04956244,cg05194346,cg05284742,cg05460226,cg05570258,cg05575921,cg05673882,cg05875421,cg05957567,cg06338710,cg07090714,cg07178945,cg07180646,cg07465627,cg08035323,cg08709672,cg08940075,cg09109520,cg09197783,cg09338136,cg09578155,cg10520740,cg10581837,cg10691866,cg10750182,cg11554391,cg11660018,cg11824827,cg11902777,cg12075928,cg12147622,cg12547807,cg12828729,cg13184736,cg13525276,cg14977938,cg15159987,cg15474579,cg15542713,cg15554421,cg15806304,cg16047567,cg16547579,cg16611234,cg16646054,cg18369990,cg19427338,cg19572487,cg19696491,cg19838043,cg20244340,cg20295214,cg20543544,cg21121843,cg21393163,cg22499893,cg23090529,cg23161492,cg24540678,cg24688690,cg24996979,cg25949550,cg26361535,cg27537125	Lookup	1.61e-03
4.424	2.74e-05	CD14+	Blood	DHS	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00310412,cg00501876,cg00871610,cg01207684,cg01442064,cg02583484,cg03109660,cg03358636,cg03707168,cg04180046,cg04359840,cg04551776,cg04956244,cg05284742,cg05673882,cg05875421,cg07090714,cg07180646,cg07339236,cg07381806,cg07986378,cg08035323,cg08472795,cg09578155,cg10062919,cg10420527,cg10678215,cg10750182,cg11902777,cg12075928,cg12147622,cg12547807,cg13038618,cg13525276,cg13916835,cg14120703,cg14316231,cg14580211,cg14753356,cg15474579,cg15542713,cg15554421,cg16047567,cg16547579,cg16611234,cg17907003,cg18642234,cg19572487,cg19719391,cg20059928,cg20244340,cg20295214,cg20543544,cg21121843,cg21393163,cg22499893,cg23161492,cg24090911,cg24134897,cg24540678,cg24556382,cg24996979,cg25648203,cg26271591,cg27405731,cg27537125	Lookup	3.79e-04
3.480	6.87e-04	CD20+	Blood	DHS	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00310412,cg00501876,cg01208318,cg02743070,cg03109660,cg03636183,cg03707168,cg04359840,cg04535902,cg04716530,cg04956244,cg05221370,cg05460226,cg05570258,cg05655806,cg05673882,cg05875421,cg05957567,cg06595162,cg06635952,cg07090714,cg07381806,cg08035323,cg08709672,cg08940075,cg08972170,cg09109520,cg09338136,cg09578155,cg10062919,cg10420527,cg10581837,cg10678215,cg10717312,cg11554391,cg11902777,cg12075928,cg12147622,cg12547807,cg13038618,cg13039251,cg13525276,cg14316231,cg15159987,cg15474579,cg15482893,cg15542713,cg16547579,cg16611234,cg16646054,cg16937168,cg18642234,cg19325791,cg19572487,cg19696491,cg19719391,cg19859270,cg20059928,cg20543544,cg21393163,cg22499893,cg23090529,cg23161492,cg24090911,cg24134897,cg24540678,cg24838345,cg27537125	Lookup	5.81e-03
10.108	2.86e-20	CD34+	Blood	DHS	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00336149,cg00501876,cg01097768,cg01208318,cg01442064,cg01447828,cg01899089,cg01940273,cg02743070,cg03109660,cg03358636,cg03636183,cg03707168,cg04039799,cg04180046,cg04551776,cg04956244,cg05194346,cg05221370,cg05284742,cg05304393,cg05460226,cg05570258,cg05575921,cg05673882,cg05875421,cg05957567,cg05969150,cg06595162,cg06635952,cg06672250,cg07090714,cg07180646,cg07251887,cg07339236,cg07381806,cg07465627,cg07986378,cg08035323,cg08940075,cg08972170,cg09109520,cg09197783,cg09338136,cg10062919,cg10420527,cg10581837,cg10717312,cg10750182,cg11554391,cg11660018,cg11824827,cg11902777,cg12075928,cg12147622,cg12547807,cg13038618,cg13184736,cg13185177,cg13525276,cg13641317,cg14120703,cg14316231,cg14580211,cg14712058,cg14753356,cg14977938,cg15159987,cg15474579,cg15482893,cg15542713,cg15554421,cg16047567,cg16219322,cg16547579,cg16611234,cg16646054,cg16744741,cg17372101,cg17907003,cg18642234,cg19254163,cg19325791,cg19427338,cg19696491,cg19719391,cg19838043,cg19956914,cg20059928,cg20244340,cg20295214,cg20543544,cg21121843,cg21322436,cg21393163,cg22499893,cg23079012,cg23090529,cg23161492,cg24090911,cg24134897,cg24540678,cg24556382,cg24688690,cg24996979,cg25648203,cg25809905,cg26271591,cg26337070,cg26361535,cg26703534,cg27241845,cg27332104,cg27405731,cg27537125	Lookup	1.93e-17
2.658	7.35e-03	CLL	Blood	DHS	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00310412,cg00501876,cg01207684,cg01731783,cg01901332,cg01952185,cg03109660,cg03707168,cg04535902,cg04551776,cg04885881,cg04956244,cg05194346,cg05575921,cg05673882,cg05875421,cg05957567,cg06672250,cg07180646,cg07381806,cg08035323,cg09109520,cg09338136,cg09578155,cg10420527,cg10678215,cg10717312,cg11902777,cg12075928,cg12147622,cg12547807,cg12828729,cg13039251,cg13525276,cg13641317,cg14753356,cg15212295,cg15542713,cg16219322,cg16547579,cg16611234,cg16937168,cg18369990,cg18642234,cg19719391,cg20059928,cg20244340,cg20543544,cg21121843,cg21393163,cg21733098,cg22499893,cg23161492,cg23351584,cg24540678,cg27537125	GSM816664	5.07e-02
4.228	4.13e-05	CMK	Blood	DHS	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00336149,cg00501876,cg01692968,cg01731783,cg01952185,cg02583484,cg03358636,cg03440944,cg03636183,cg03707168,cg03999941,cg04517079,cg04573702,cg04956244,cg05221370,cg05304393,cg05460226,cg05575921,cg05673882,cg05875421,cg05957567,cg06635952,cg06672250,cg07090714,cg07381806,cg07986378,cg08035323,cg10062919,cg10420527,cg11660018,cg11824827,cg11902777,cg12147622,cg13185177,cg13916835,cg14120703,cg14712058,cg15159987,cg16047567,cg16547579,cg16744741,cg17372101,cg18642234,cg19838043,cg19956914,cg20059928,cg22499893,cg22851561,cg23079012,cg23090529,cg23110422,cg23161492,cg24134897,cg24540678,cg24996979,cg25648203,cg25809905,cg26271591,cg27405731	GSM736607	5.10e-04
3.662	3.56e-04	GM06990	Blood	DHS	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	cg00310412,cg00501876,cg01208318,cg01442064,cg01899089,cg02657160,cg03109660,cg03707168,cg03999941,cg04180046,cg04551776,cg04885881,cg04956244,cg05460226,cg05570258,cg05575921,cg05673882,cg05875421,cg05957567,cg07090714,cg08035323,cg08472795,cg10062919,cg10420527,cg10581837,cg10717312,cg11554391,cg11902777,cg12075928,cg12147622,cg12547807,cg13038618,cg13525276,cg14316231,cg15159987,cg15212295,cg15542713,cg16547579,cg16556677,cg16611234,cg16646054,cg18642234,cg19254163,cg19427338,cg19859270,cg20059928,cg20543544,cg21121843,cg21393163,cg22499893,cg23090529,cg24090911,cg24556382,cg24688690,cg24996979,cg27241845,cg27537125	"GSM736558,GSM736635"	3.29e-03
5.758	7.51e-08	GM12864	Blood	DHS	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00310412,cg00501876,cg01097768,cg01442064,cg01899089,cg02583484,cg03109660,cg03358636,cg03707168,cg03999941,cg04535902,cg04551776,cg04885881,cg05221370,cg05460226,cg05673882,cg05875421,cg05957567,cg06595162,cg06635952,cg06819357,cg07090714,cg07381806,cg07986378,cg08035323,cg09109520,cg09338136,cg10420527,cg10581837,cg10691866,cg10717312,cg11554391,cg11902777,cg12075928,cg12147622,cg12547807,cg13038618,cg13184736,cg13525276,cg14712058,cg15159987,cg15474579,cg15542713,cg15554421,cg16547579,cg16556677,cg16611234,cg19427338,cg19572487,cg19696491,cg19859270,cg20059928,cg20244340,cg20543544,cg21121843,cg21393163,cg22499893,cg22851561,cg23090529,cg24090911,cg24540678,cg24556382,cg24688690,cg24996979,cg27537125	GSM736525	4.62e-06
5.093	1.11e-06	GM12865	Blood	DHS	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	cg00295485,cg00501876,cg00871610,cg01097768,cg01208318,cg01899089,cg03109660,cg03358636,cg03707168,cg03999941,cg04551776,cg04885881,cg04956244,cg05221370,cg05460226,cg05570258,cg05575921,cg05673882,cg05875421,cg05957567,cg06635952,cg06972908,cg07090714,cg07381806,cg08035323,cg09197783,cg09338136,cg10420527,cg10678215,cg10717312,cg11554391,cg11902777,cg12075928,cg12147622,cg12547807,cg13038618,cg13039251,cg13525276,cg14316231,cg15159987,cg15212295,cg15474579,cg15542713,cg15554421,cg16547579,cg16556677,cg16611234,cg17907003,cg19427338,cg19572487,cg19859270,cg20059928,cg20543544,cg21121843,cg21393163,cg22499893,cg22851561,cg23090529,cg24090911,cg24134897,cg24540678,cg24688690,cg24996979,cg26271591,cg27537125	"GSM736512,GSM736561"	3.95e-05
