Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
6.072	4.13e-09	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	cg00073090,cg00310412,cg00501876,cg00871610,cg01207684,cg01442064,cg01447828,cg01731783,cg01899089,cg02583484,cg02657160,cg02743070,cg03109660,cg03358636,cg03440944,cg03707168,cg04359840,cg04535902,cg04551776,cg04716530,cg05284742,cg05570258,cg05575921,cg05673882,cg05875421,cg05969150,cg06635952,cg06972908,cg07090714,cg07180646,cg07251887,cg07339236,cg07381806,cg07986378,cg08035323,cg08972170,cg09022230,cg09578155,cg10062919,cg10420527,cg10581837,cg10750182,cg11554391,cg11660018,cg11902777,cg12147622,cg13038618,cg13184736,cg13525276,cg13916835,cg13937905,cg14120703,cg14316231,cg14580211,cg14753356,cg15159987,cg15474579,cg15542713,cg15554421,cg15806304,cg16047567,cg16116321,cg16547579,cg16556677,cg16611234,cg16646054,cg17907003,cg19254163,cg19572487,cg19696491,cg19719391,cg20244340,cg20469744,cg20543544,cg21121843,cg21322436,cg21393163,cg22499893,cg22851561,cg23090529,cg23110422,cg23161492,cg23351584,cg24090911,cg24134897,cg24540678,cg24556382,cg24838345,cg24996979,cg25305703,cg25809905,cg25949550,cg26271591,cg26337070,cg27332104,cg27405731,cg27537125	E029	3.43e-08
7.375	1.19e-13	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	cg00073090,cg00202479,cg00295485,cg00310412,cg00501876,cg01062937,cg01207684,cg01208318,cg01442064,cg01447828,cg01692968,cg01731783,cg01899089,cg01940273,cg02583484,cg02657160,cg03109660,cg03329539,cg03340878,cg03358636,cg03440944,cg03636183,cg03707168,cg03999941,cg04359840,cg04517079,cg04551776,cg04716530,cg04885881,cg04956244,cg05221370,cg05284742,cg05304393,cg05460226,cg05570258,cg05575921,cg05655806,cg05673882,cg05875421,cg05957567,cg06595162,cg06635952,cg06972908,cg07090714,cg07180646,cg07251887,cg07339236,cg07381806,cg07986378,cg08035323,cg08472795,cg08709672,cg08940075,cg08972170,cg09109520,cg09338136,cg09578155,cg10062919,cg10420527,cg10520740,cg10581837,cg10678215,cg10717312,cg10750182,cg11554391,cg11660018,cg11902777,cg12075928,cg12147622,cg12547807,cg12828729,cg13038618,cg13184736,cg13185177,cg13525276,cg13641317,cg13937905,cg14120703,cg14316231,cg14712058,cg14753356,cg15159987,cg15474579,cg15482893,cg15542713,cg15554421,cg16047567,cg16116321,cg16178855,cg16219322,cg16547579,cg16556677,cg16611234,cg16646054,cg18369990,cg18642234,cg19254163,cg19325791,cg19572487,cg19696491,cg19719391,cg19859270,cg20059928,cg20244340,cg20543544,cg21121843,cg21322436,cg21393163,cg22499893,cg22851561,cg23090529,cg23110422,cg23161492,cg23351584,cg24090911,cg24540678,cg24556382,cg24838345,cg24996979,cg25305703,cg25809905,cg26271591,cg27241845,cg27537125	E032	1.80e-12
6.693	2.42e-10	E033 Primary T cells from cord blood	Blood	H3K4me1	E033-H3K4me1.broadPeak.gz	cg00073090,cg00295485,cg00310412,cg00501876,cg01062937,cg01272202,cg01692968,cg01731783,cg01899089,cg01940273,cg02451831,cg02583484,cg02657160,cg03109660,cg03440944,cg03707168,cg03999941,cg04359840,cg04551776,cg04716530,cg05221370,cg05284742,cg05460226,cg05570258,cg05575921,cg05655806,cg05875421,cg06338710,cg06635952,cg06672250,cg06972908,cg07090714,cg07180646,cg07381806,cg07465627,cg07986378,cg08972170,cg09338136,cg10062919,cg10581837,cg10717312,cg10750182,cg11554391,cg11824827,cg11902777,cg12075928,cg12147622,cg12547807,cg13038618,cg13185177,cg13525276,cg13641317,cg13937905,cg14316231,cg14580211,cg15474579,cg15482893,cg15542713,cg15554421,cg15806304,cg16047567,cg16503724,cg16547579,cg16611234,cg16646054,cg17907003,cg18369990,cg18642234,cg19254163,cg19325791,cg19572487,cg19719391,cg19798735,cg21121843,cg21393163,cg22499893,cg22851561,cg23090529,cg23161492,cg23351584,cg24090911,cg24540678,cg24688690,cg24996979,cg25212025,cg25949550,cg26271591,cg26361535,cg27537125	E033	2.51e-09
5.090	1.74e-08	E034 Primary T cells from peripheral blood	Blood	H3K4me1	E034-H3K4me1.broadPeak.gz	cg00073090,cg00202479,cg00295485,cg00310412,cg00501876,cg01062937,cg01097768,cg01207684,cg01208318,cg01272202,cg01442064,cg01447828,cg01731783,cg01899089,cg01901332,cg01940273,cg02583484,cg02657160,cg02743070,cg03109660,cg03329539,cg03440944,cg03707168,cg03999941,cg04039799,cg04359840,cg04517079,cg04535902,cg04551776,cg04573702,cg04716530,cg04885881,cg04956244,cg05284742,cg05304393,cg05460226,cg05570258,cg05575921,cg05655806,cg05673882,cg05875421,cg05957567,cg06338710,cg06595162,cg06635952,cg06672250,cg06819357,cg06972908,cg07090714,cg07180646,cg07339236,cg07381806,cg07465627,cg08035323,cg08472795,cg09022230,cg09109520,cg09338136,cg10062919,cg10581837,cg10678215,cg10717312,cg10750182,cg11554391,cg11660018,cg11824827,cg11902777,cg12075928,cg12147622,cg12547807,cg12828729,cg13038618,cg13039251,cg13184736,cg13185177,cg13525276,cg13641317,cg13916835,cg13937905,cg14120703,cg14316231,cg14580211,cg14712058,cg14753356,cg15159987,cg15212295,cg15474579,cg15482893,cg15542713,cg15554421,cg15806304,cg16047567,cg16219322,cg16503724,cg16547579,cg16556677,cg16611234,cg16646054,cg16744741,cg16937168,cg17907003,cg18369990,cg18642234,cg19254163,cg19325791,cg19572487,cg19696491,cg19719391,cg19838043,cg20244340,cg20543544,cg21121843,cg21322436,cg21393163,cg21473814,cg22499893,cg22851561,cg23090529,cg23110422,cg23161492,cg23351584,cg24023489,cg24134897,cg24540678,cg24556382,cg24688690,cg24996979,cg25648203,cg25809905,cg25949550,cg26271591,cg26361535,cg27405731,cg27537125	E034	1.15e-07
8.819	1.27e-20	E046 Primary Natural Killer cells from peripheral 	Blood	H3K4me1	E046-H3K4me1.broadPeak.gz	cg00073090,cg00202479,cg00295485,cg00310412,cg00501876,cg01062937,cg01207684,cg01208318,cg01272202,cg01442064,cg01447828,cg01692968,cg01731783,cg01901332,cg01940273,cg02451831,cg02583484,cg02657160,cg02743070,cg03109660,cg03329539,cg03358636,cg03440944,cg03636183,cg03707168,cg03999941,cg04039799,cg04359840,cg04517079,cg04535902,cg04551776,cg04716530,cg04885881,cg04956244,cg05194346,cg05284742,cg05304393,cg05460226,cg05570258,cg05575921,cg05655806,cg05673882,cg05875421,cg05957567,cg05969150,cg06338710,cg06595162,cg06635952,cg06672250,cg06819357,cg06972908,cg07090714,cg07180646,cg07251887,cg07339236,cg07381806,cg07465627,cg07986378,cg08035323,cg08709672,cg09109520,cg09338136,cg09578155,cg10062919,cg10420527,cg10581837,cg10678215,cg10717312,cg10750182,cg11554391,cg11660018,cg11824827,cg11902777,cg12075928,cg12147622,cg12547807,cg12828729,cg12856965,cg13038618,cg13039251,cg13184736,cg13185177,cg13525276,cg13641317,cg13916835,cg13937905,cg14120703,cg14316231,cg14580211,cg14712058,cg14753356,cg15159987,cg15212295,cg15474579,cg15482893,cg15542713,cg15554421,cg16047567,cg16116321,cg16178855,cg16219322,cg16503724,cg16547579,cg16556677,cg16611234,cg16646054,cg16937168,cg17907003,cg18642234,cg19254163,cg19325791,cg19427338,cg19572487,cg19696491,cg19719391,cg19838043,cg20059928,cg20244340,cg20469744,cg20543544,cg21121843,cg21322436,cg21393163,cg21473814,cg22499893,cg22851561,cg23079012,cg23090529,cg23161492,cg23351584,cg24023489,cg24134897,cg24540678,cg24556382,cg24688690,cg24838345,cg24996979,cg25809905,cg26271591,cg26337070,cg26361535,cg27537125	E046	5.25e-19
12.430	2.09e-41	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me1	E050-H3K4me1.broadPeak.gz	cg00073090,cg00202479,cg00295485,cg00310412,cg00336149,cg00501876,cg00871610,cg01062937,cg01207684,cg01208318,cg01442064,cg01447828,cg01692968,cg01731783,cg01899089,cg01901332,cg01940273,cg01952185,cg02451831,cg02583484,cg02657160,cg02743070,cg03109660,cg03329539,cg03340878,cg03358636,cg03440944,cg03636183,cg03707168,cg03999941,cg04039799,cg04180046,cg04359840,cg04517079,cg04535902,cg04551776,cg04716530,cg04885881,cg04956244,cg05194346,cg05284742,cg05304393,cg05460226,cg05570258,cg05575921,cg05655806,cg05673882,cg05875421,cg05957567,cg05969150,cg06595162,cg06635952,cg06672250,cg06819357,cg07090714,cg07178945,cg07180646,cg07251887,cg07339236,cg07381806,cg07465627,cg07986378,cg08035323,cg08472795,cg08709672,cg08940075,cg08972170,cg09022230,cg09109520,cg09197783,cg09338136,cg09578155,cg10062919,cg10420527,cg10520740,cg10581837,cg10678215,cg10691866,cg10717312,cg10750182,cg11412468,cg11554391,cg11660018,cg11824827,cg11902777,cg12075928,cg12147622,cg12547807,cg12828729,cg12856965,cg13038618,cg13039251,cg13184736,cg13185177,cg13525276,cg13641317,cg13916835,cg13937905,cg14120703,cg14316231,cg14580211,cg14712058,cg14753356,cg14977938,cg15159987,cg15474579,cg15482893,cg15542713,cg15554421,cg15693572,cg15806304,cg16047567,cg16116321,cg16178855,cg16219322,cg16503724,cg16547579,cg16556677,cg16611234,cg16646054,cg16744741,cg16937168,cg17372101,cg17907003,cg18369990,cg18642234,cg19254163,cg19325791,cg19427338,cg19572487,cg19696491,cg19719391,cg19838043,cg19956914,cg20059928,cg20244340,cg20295214,cg20469744,cg20543544,cg21121843,cg21322436,cg21393163,cg21473814,cg22499893,cg22851561,cg23079012,cg23090529,cg23110422,cg23161492,cg23351584,cg24090911,cg24134897,cg24540678,cg24556382,cg24688690,cg24838345,cg24996979,cg25212025,cg25305703,cg25809905,cg25949550,cg26271591,cg26337070,cg26361535,cg26703534,cg27241845,cg27332104,cg27405731,cg27537125	E050	1.73e-39
14.945	3.43e-53	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me1	E051-H3K4me1.broadPeak.gz	cg00073090,cg00202479,cg00295485,cg00310412,cg00336149,cg00501876,cg00871610,cg01062937,cg01097768,cg01207684,cg01208318,cg01442064,cg01447828,cg01692968,cg01731783,cg01899089,cg01901332,cg01940273,cg01952185,cg02451831,cg02583484,cg02657160,cg02743070,cg03109660,cg03329539,cg03340878,cg03358636,cg03440944,cg03636183,cg03707168,cg03999941,cg04039799,cg04180046,cg04359840,cg04517079,cg04535902,cg04551776,cg04716530,cg04956244,cg05194346,cg05221370,cg05284742,cg05304393,cg05460226,cg05570258,cg05575921,cg05655806,cg05673882,cg05875421,cg05957567,cg05969150,cg06338710,cg06595162,cg06635952,cg06672250,cg06819357,cg07090714,cg07178945,cg07180646,cg07251887,cg07339236,cg07381806,cg07465627,cg07986378,cg08035323,cg08472795,cg08709672,cg08940075,cg08972170,cg09022230,cg09109520,cg09197783,cg09338136,cg09578155,cg10062919,cg10420527,cg10520740,cg10581837,cg10678215,cg10717312,cg10750182,cg11412468,cg11554391,cg11660018,cg11824827,cg11902777,cg12075928,cg12147622,cg12547807,cg12828729,cg12856965,cg13038618,cg13039251,cg13184736,cg13185177,cg13525276,cg13641317,cg13916835,cg13937905,cg14120703,cg14316231,cg14580211,cg14712058,cg14753356,cg14977938,cg15159987,cg15212295,cg15474579,cg15482893,cg15542713,cg15554421,cg15693572,cg15806304,cg16047567,cg16116321,cg16178855,cg16219322,cg16503724,cg16547579,cg16556677,cg16611234,cg16646054,cg16744741,cg16937168,cg17372101,cg17907003,cg18369990,cg18642234,cg19254163,cg19325791,cg19427338,cg19572487,cg19696491,cg19719391,cg19838043,cg19956914,cg20059928,cg20244340,cg20295214,cg20469744,cg20543544,cg21121843,cg21322436,cg21393163,cg21473814,cg22499893,cg22851561,cg23079012,cg23090529,cg23110422,cg23161492,cg23351584,cg24090911,cg24134897,cg24540678,cg24556382,cg24688690,cg24838345,cg24996979,cg25212025,cg25305703,cg25648203,cg25809905,cg25949550,cg26271591,cg26337070,cg26361535,cg26703534,cg27241845,cg27332104,cg27405731,cg27537125	E051	5.70e-51
5.347	1.33e-08	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K4me1	E028-H3K4me1.broadPeak.gz	cg00073090,cg00202479,cg00310412,cg00501876,cg01097768,cg01207684,cg01272202,cg01447828,cg01692968,cg01731783,cg01901332,cg01940273,cg02583484,cg02657160,cg02743070,cg03109660,cg03329539,cg03440944,cg03707168,cg03999941,cg04039799,cg04180046,cg04359840,cg04517079,cg04535902,cg04551776,cg04885881,cg05194346,cg05284742,cg05304393,cg05655806,cg05673882,cg05875421,cg05957567,cg05969150,cg06595162,cg06635952,cg07090714,cg07178945,cg07180646,cg07251887,cg07339236,cg07381806,cg07986378,cg08035323,cg08709672,cg08940075,cg09022230,cg09109520,cg09338136,cg10062919,cg10420527,cg10581837,cg10691866,cg10717312,cg10750182,cg11554391,cg11660018,cg11824827,cg11902777,cg12075928,cg12147622,cg12547807,cg12828729,cg13039251,cg13184736,cg13525276,cg13916835,cg13937905,cg14316231,cg14580211,cg14712058,cg14753356,cg14977938,cg15159987,cg15474579,cg15542713,cg15806304,cg16047567,cg16178855,cg16547579,cg16556677,cg16611234,cg16646054,cg16744741,cg17907003,cg18642234,cg19325791,cg19572487,cg19719391,cg19798735,cg19859270,cg19956914,cg20059928,cg20244340,cg20469744,cg20543544,cg21121843,cg21322436,cg21393163,cg21473814,cg22499893,cg22851561,cg23079012,cg23090529,cg23110422,cg23161492,cg24090911,cg24134897,cg24540678,cg24556382,cg24838345,cg24996979,cg25212025,cg25305703,cg25949550,cg26271591,cg26337070,cg26361535,cg27241845,cg27332104,cg27537125	E028	9.20e-08
4.809	3.26e-07	E003 H1 Cells	ES Cell	H3K4me1	E003-H3K4me1.broadPeak.gz	cg00073090,cg00295485,cg00310412,cg00501876,cg00512459,cg01442064,cg01447828,cg01692968,cg01731783,cg01901332,cg01940273,cg01952185,cg02583484,cg02657160,cg02743070,cg03109660,cg03329539,cg03358636,cg03636183,cg03999941,cg04039799,cg04180046,cg04359840,cg04517079,cg04535902,cg04551776,cg04573702,cg04716530,cg04956244,cg05194346,cg05284742,cg05460226,cg05575921,cg05875421,cg05957567,cg05969150,cg06338710,cg06635952,cg06672250,cg07090714,cg07178945,cg07180646,cg07251887,cg07339236,cg07381806,cg07465627,cg08035323,cg08709672,cg08940075,cg08972170,cg09109520,cg09338136,cg09578155,cg10062919,cg10520740,cg10691866,cg10717312,cg11207515,cg11412468,cg11660018,cg11902777,cg12075928,cg12147622,cg12547807,cg12828729,cg13038618,cg13039251,cg13184736,cg13641317,cg13916835,cg13937905,cg14580211,cg15212295,cg15474579,cg15542713,cg15554421,cg15693572,cg15806304,cg16047567,cg16178855,cg16219322,cg16503724,cg16547579,cg16556677,cg16646054,cg18642234,cg19325791,cg19427338,cg19572487,cg19696491,cg19719391,cg20059928,cg20244340,cg20543544,cg21322436,cg21393163,cg21473814,cg22499893,cg22851561,cg23079012,cg23090529,cg23110422,cg23161492,cg23351584,cg23667432,cg24090911,cg24134897,cg24540678,cg24556382,cg24688690,cg24996979,cg25809905,cg25949550,cg26337070,cg26361535,cg27241845,cg27405731,cg27537125	E003	1.59e-06
5.763	4.03e-08	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K4me1	E004-H3K4me1.broadPeak.gz	cg00073090,cg00295485,cg00310412,cg00501876,cg00512459,cg01447828,cg01692968,cg01901332,cg01952185,cg02657160,cg02743070,cg03109660,cg03440944,cg03707168,cg04359840,cg04535902,cg05194346,cg05221370,cg05284742,cg05460226,cg05570258,cg05673882,cg06635952,cg07090714,cg07178945,cg07339236,cg07465627,cg07986378,cg08940075,cg08972170,cg09022230,cg10062919,cg11412468,cg11660018,cg12075928,cg12147622,cg12547807,cg12828729,cg13039251,cg13525276,cg13916835,cg14316231,cg14580211,cg14753356,cg15474579,cg15542713,cg15554421,cg15806304,cg16178855,cg16556677,cg16611234,cg16646054,cg17372101,cg17907003,cg18642234,cg19572487,cg19696491,cg19719391,cg19798735,cg19859270,cg20059928,cg20543544,cg21322436,cg22499893,cg22851561,cg23090529,cg23110422,cg23161492,cg23351584,cg24090911,cg24540678,cg24556382,cg24688690,cg24996979,cg25212025,cg25949550,cg26271591,cg26337070,cg27405731,cg27537125	E004	2.39e-07
