Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
1.844	4.52e-02	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig.gz	cg00022866,cg00045753,cg00058708,cg00240767,cg00250711,cg00334056,cg00446925,cg00631329,cg00733150,cg00805867,cg00817464,cg00893242,cg01108370,cg01190171,cg01378222,cg01678292,cg01697794,cg01732984,cg01745370,cg01770232,cg02053920,cg02114728,cg02412616,cg02556345,cg02732067,cg02841227,cg02909257,cg03224418,cg03264133,cg03289416,cg03808351,cg03987842,cg04173714,cg04458368,cg04607235,cg04657044,cg05140650,cg05801989,cg05840412,cg06035815,cg06253072,cg06366107,cg06474225,cg06530960,cg06635797,cg06793505,cg06826457,cg07356549,cg07441462,cg07452164,cg07645296,cg07716032,cg07807470,cg07884168,cg07983955,cg08005692,cg08086652,cg08312369,cg08347373,cg08841829,cg09134682,cg09326440,cg09419670,cg09484019,cg09626299,cg09754948,cg09915099,cg10183150,cg10241462,cg10298567,cg10653465,cg10962762,cg11465213,cg11569329,cg11731221,cg11753765,cg13127741,cg13313047,cg13318129,cg13344095,cg13367647,cg13374432,cg13578134,cg13609457,cg13729891,cg13863668,cg13866577,cg14069412,cg14310975,cg14823076,cg14853772,cg14921437,cg15105969,cg15146515,cg15911859,cg16060189,cg16264966,cg16450200,cg17030679,cg17265693,cg17342283,cg17475857,cg17554194,cg17589175,cg17765885,cg17908947,cg18180155,cg18334211,cg18461635,cg19799702,cg19863426,cg19875578,cg20592836,cg20737812,cg20814349,cg20856330,cg20985980,cg21300072,cg21589273,cg22157087,cg23166590,cg23691642,cg23744638,cg23762465,cg23886495,cg24900563,cg25044876,cg26188818,cg26339924,cg27204993,cg27326026,cg27386529	GSM701525	3.99e-01
1.924	3.33e-02	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig.gz	cg00022866,cg00045753,cg00058708,cg00250711,cg00446925,cg00631329,cg00713066,cg00733150,cg00805867,cg00852675,cg00893242,cg01108370,cg01132579,cg01190171,cg01203766,cg01678292,cg01697794,cg01770232,cg02053920,cg02114728,cg02156692,cg02527881,cg02732067,cg02841227,cg02936049,cg03084158,cg03224418,cg03289416,cg03808351,cg04173714,cg04270652,cg04607235,cg04657044,cg04964333,cg05180856,cg05490983,cg05801989,cg06035815,cg06211459,cg06253072,cg06366107,cg06530960,cg06653140,cg06826457,cg07110854,cg07349136,cg07441462,cg07452164,cg07645296,cg07983955,cg07991586,cg08005692,cg08312369,cg08403419,cg08525922,cg08586669,cg09134682,cg09188763,cg09191750,cg09322534,cg09326440,cg09419670,cg09626299,cg09754948,cg09915099,cg10121429,cg10241462,cg10298567,cg10378804,cg10415685,cg10473907,cg10494282,cg10653465,cg10962762,cg11465213,cg11753765,cg11876048,cg12640482,cg12685753,cg12738981,cg13127741,cg13344095,cg13367647,cg13609457,cg13729891,cg13863668,cg14310975,cg14689537,cg14823076,cg14853772,cg14921437,cg15035590,cg15105969,cg15146515,cg15273468,cg15911859,cg16009970,cg16060189,cg16264966,cg16450200,cg16586182,cg17030679,cg17247190,cg17265693,cg17342283,cg17475857,cg17554194,cg17589175,cg17663418,cg17908947,cg18180155,cg18183774,cg18334211,cg18399427,cg18631330,cg19799702,cg19875578,cg20068274,cg20592836,cg20814349,cg20962215,cg20985980,cg21235334,cg21300072,cg21438252,cg21589273,cg21717724,cg21864959,cg22025263,cg22157087,cg22278106,cg22735105,cg23691642,cg23744638,cg23762465,cg23886495,cg25457927,cg26188818,cg26339924,cg26456563,cg26690915,cg26899598,cg27326026,cg27386529	GSM701526	3.19e-01
1.759	4.92e-02	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig.gz	cg00022866,cg00045753,cg00058708,cg00106609,cg00250711,cg00334056,cg00446925,cg00571021,cg00631329,cg00733150,cg00805867,cg00817464,cg00893242,cg01108370,cg01190171,cg01203766,cg01697794,cg01732984,cg01745370,cg01770232,cg02114728,cg02527881,cg02556345,cg02732067,cg02841227,cg03224418,cg03289416,cg03316587,cg03653399,cg03808351,cg03935444,cg03987842,cg04173714,cg04607235,cg04627110,cg04657044,cg05801989,cg05840412,cg06035815,cg06211459,cg06253072,cg06366107,cg06530960,cg06635797,cg06793505,cg06826457,cg07077476,cg07414487,cg07441462,cg07452164,cg07645296,cg07807470,cg07884168,cg07910680,cg07983955,cg08005692,cg08312369,cg08586669,cg08650961,cg08841829,cg09134682,cg09188763,cg09326440,cg09419670,cg09626299,cg09754948,cg09915099,cg10121429,cg10241462,cg10494282,cg10653465,cg10962762,cg11465213,cg11731221,cg11753765,cg11801110,cg12057242,cg12685753,cg12738981,cg13127741,cg13318129,cg13344095,cg13367647,cg13374432,cg13578134,cg13609457,cg13729891,cg13863668,cg13866577,cg14069412,cg14255062,cg14310975,cg14853772,cg14921437,cg15029032,cg15105969,cg15146515,cg15273468,cg16009970,cg16060189,cg16264966,cg16450200,cg16586182,cg17030679,cg17247190,cg17265693,cg17329534,cg17342283,cg17475857,cg17554194,cg17589175,cg17765885,cg17908947,cg18180155,cg18334211,cg18461635,cg18875496,cg19159011,cg19799702,cg19863426,cg19875578,cg20068274,cg20592836,cg20814349,cg20856330,cg20985980,cg21300072,cg21438252,cg21589273,cg21717724,cg22157087,cg22278106,cg23166590,cg23483894,cg23691642,cg23744638,cg23886495,cg24900563,cg26188818,cg26339924,cg27204993,cg27386529	GSM665837	4.23e-01
3.088	1.25e-03	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig.gz	cg00022866,cg00045753,cg00058708,cg00106609,cg00240767,cg00250711,cg00277334,cg00310728,cg00334056,cg00425431,cg00446925,cg00631329,cg00655913,cg00692279,cg00733150,cg00805867,cg00893242,cg01108370,cg01187464,cg01190171,cg01203766,cg01697794,cg01732984,cg01745370,cg01770232,cg02030452,cg02114728,cg02156692,cg02197387,cg02226672,cg02246992,cg02527881,cg02556345,cg02732067,cg02841227,cg02909257,cg03127558,cg03224418,cg03264133,cg03289416,cg03316587,cg03555881,cg03613822,cg03653399,cg03669282,cg03808351,cg03987842,cg04173714,cg04405704,cg04607235,cg04657044,cg04964333,cg05180856,cg05490983,cg05801989,cg05840412,cg06035815,cg06211459,cg06253072,cg06366107,cg06512918,cg06530960,cg06635797,cg06751366,cg06793505,cg06826457,cg07033395,cg07077476,cg07078329,cg07235057,cg07416916,cg07441462,cg07452164,cg07645296,cg07716032,cg07807470,cg07884168,cg07910680,cg07983955,cg08005692,cg08312369,cg08507178,cg08525922,cg08586669,cg08841829,cg09134682,cg09188763,cg09191750,cg09247692,cg09326440,cg09419670,cg09444226,cg09484019,cg09626299,cg09754948,cg09915099,cg10121429,cg10183150,cg10241462,cg10415685,cg10422047,cg10473907,cg10494282,cg10653465,cg10962762,cg11216632,cg11465213,cg11569329,cg11731221,cg11753765,cg11801110,cg12640482,cg12685753,cg12738981,cg12743398,cg13127741,cg13318129,cg13344095,cg13367647,cg13374432,cg13557534,cg13578134,cg13609457,cg13729891,cg13863668,cg13866577,cg14069412,cg14186779,cg14218447,cg14255062,cg14310975,cg14343414,cg14418922,cg14689537,cg14823076,cg14853772,cg14921437,cg15029032,cg15105969,cg15146515,cg15273468,cg15911859,cg16009970,cg16060189,cg16264966,cg16450200,cg16586182,cg17030679,cg17247190,cg17265693,cg17342283,cg17475857,cg17554194,cg17589175,cg17765885,cg17908947,cg18032705,cg18180155,cg18183774,cg18334211,cg18461635,cg18612461,cg19159011,cg19799702,cg19863426,cg19875578,cg20068274,cg20592836,cg20737812,cg20814349,cg20856330,cg20962215,cg20985980,cg20992439,cg21235334,cg21300072,cg21438252,cg21589273,cg21717724,cg22157087,cg22278106,cg23691642,cg23744638,cg23886495,cg24134292,cg24221648,cg24900563,cg25337691,cg26188818,cg26339924,cg26456563,cg26690915,cg26757229,cg26899598,cg27204993,cg27326026,cg27386529	GSM701516	2.24e-02
3.534	2.30e-04	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig.gz	cg00004421,cg00022866,cg00045753,cg00058708,cg00106609,cg00240767,cg00250711,cg00277334,cg00310728,cg00334056,cg00425431,cg00446925,cg00628211,cg00631329,cg00632560,cg00692279,cg00733150,cg00805867,cg00817464,cg00893242,cg01108370,cg01190171,cg01203766,cg01378222,cg01697794,cg01732984,cg01745370,cg01770232,cg02114728,cg02156692,cg02197387,cg02226672,cg02246992,cg02527881,cg02556345,cg02732067,cg02841227,cg02909257,cg03224418,cg03289416,cg03303475,cg03555881,cg03613822,cg03669282,cg03808351,cg03887787,cg03987842,cg04173714,cg04405704,cg04607235,cg04657044,cg04770705,cg04964333,cg05008570,cg05140650,cg05180856,cg05801989,cg05840412,cg05888643,cg06035815,cg06211459,cg06253072,cg06366107,cg06474225,cg06530960,cg06635797,cg06793505,cg06826457,cg07033395,cg07077476,cg07078329,cg07178896,cg07416916,cg07441462,cg07452164,cg07645296,cg07716032,cg07807470,cg07884168,cg07910680,cg07983955,cg08005692,cg08086652,cg08312369,cg08403419,cg08586669,cg08672140,cg08772003,cg08841829,cg08946713,cg09134682,cg09188763,cg09191750,cg09322534,cg09326440,cg09419670,cg09444226,cg09484019,cg09626299,cg09754948,cg09915099,cg10121429,cg10183150,cg10241462,cg10378804,cg10473907,cg10494282,cg10653465,cg10794439,cg10833066,cg11465213,cg11731221,cg11753765,cg11801110,cg12057242,cg12640482,cg12685753,cg12738981,cg13127741,cg13318129,cg13344095,cg13367647,cg13374432,cg13557534,cg13578134,cg13609457,cg13729891,cg13863668,cg13866577,cg14069412,cg14186779,cg14218447,cg14255062,cg14310975,cg14689537,cg14823076,cg14853772,cg14921437,cg15029032,cg15035590,cg15105969,cg15146515,cg15696309,cg15866977,cg16009970,cg16060189,cg16264966,cg16450200,cg16586182,cg17030679,cg17247190,cg17265693,cg17329534,cg17342283,cg17475857,cg17554194,cg17589175,cg17765885,cg17908947,cg18180155,cg18183774,cg18334211,cg18461635,cg18612461,cg19159011,cg19349920,cg19799702,cg19863426,cg19875578,cg20246851,cg20592836,cg20737812,cg20814349,cg20856330,cg20962215,cg20985980,cg21235334,cg21300072,cg21438252,cg21589273,cg21717724,cg21864959,cg22278106,cg23691642,cg23744638,cg23762465,cg23829395,cg23833425,cg23886495,cg24032393,cg24051786,cg24900563,cg25143771,cg25240254,cg25321556,cg26188818,cg26339924,cg26690915,cg26757229,cg26841013,cg26899598,cg27204993,cg27326026,cg27347003,cg27386529	GSM701489	6.96e-03
2.289	1.19e-02	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig.gz	cg00022866,cg00045753,cg00058708,cg00240767,cg00250711,cg00310728,cg00334056,cg00425431,cg00446925,cg00631329,cg00655913,cg00733150,cg00805867,cg00852675,cg00893242,cg01108370,cg01158161,cg01190171,cg01203766,cg01697794,cg01732984,cg01745370,cg01770232,cg02114728,cg02246992,cg02516189,cg02527881,cg02556345,cg02732067,cg02841227,cg02909257,cg03224418,cg03264133,cg03289416,cg03315344,cg03316587,cg03555881,cg03808351,cg03887787,cg04173714,cg04340435,cg04405704,cg04607235,cg04657044,cg04964333,cg05140650,cg05490983,cg05801989,cg06035815,cg06211459,cg06253072,cg06474225,cg06512918,cg06530960,cg06635797,cg06793505,cg06826457,cg07077476,cg07414487,cg07416916,cg07441462,cg07452164,cg07645296,cg07807470,cg07866632,cg07884168,cg07983955,cg08005692,cg08312369,cg08586669,cg08672140,cg08841829,cg09134682,cg09188763,cg09191750,cg09326440,cg09419670,cg09444226,cg09484019,cg09626299,cg09754948,cg09915099,cg09936400,cg10121429,cg10183150,cg10241462,cg10298567,cg10422047,cg10473907,cg10494282,cg10653465,cg10962762,cg11216632,cg11465213,cg11731221,cg11753765,cg12685753,cg12738981,cg13127741,cg13318129,cg13344095,cg13367647,cg13374432,cg13578134,cg13609457,cg13729891,cg13863668,cg13866577,cg14069412,cg14255062,cg14310975,cg14689537,cg14823076,cg14853772,cg14921437,cg15105969,cg15146515,cg15273468,cg16009970,cg16060189,cg16264966,cg16450200,cg16586182,cg17030679,cg17247190,cg17265693,cg17342283,cg17475857,cg17554194,cg17589175,cg17765885,cg17908947,cg18180155,cg18183774,cg18334211,cg18461635,cg19159011,cg19799702,cg19863426,cg19875578,cg19925755,cg20592836,cg20737812,cg20814349,cg20962215,cg20985980,cg21235334,cg21300072,cg21438252,cg21589273,cg21717724,cg22157087,cg22278106,cg23691642,cg23744638,cg23762465,cg23886495,cg24900563,cg26188818,cg26339924,cg26757229,cg26899598,cg27204993,cg27326026,cg27386529	GSM701491	1.33e-01
2.715	5.47e-03	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig.gz	cg00022866,cg00045753,cg00058708,cg00106609,cg00310728,cg00334056,cg00425431,cg00446925,cg00631329,cg00632560,cg00655913,cg00733150,cg00805867,cg00817464,cg00893242,cg01108370,cg01190171,cg01203766,cg01378222,cg01697794,cg01732984,cg01745370,cg01770232,cg02114728,cg02156692,cg02162745,cg02197387,cg02246992,cg02527881,cg02585563,cg02732067,cg02841227,cg02909257,cg03224418,cg03289416,cg03315344,cg03669282,cg03808351,cg03887787,cg03922381,cg03987842,cg04173714,cg04340435,cg04405704,cg04607235,cg04657044,cg04964333,cg05140650,cg05801989,cg06035815,cg06211459,cg06253072,cg06366107,cg06474225,cg06530960,cg06635797,cg06793505,cg06826457,cg07077476,cg07078329,cg07441462,cg07452164,cg07645296,cg07716032,cg07807470,cg07884168,cg07983955,cg08005692,cg08086652,cg08312369,cg08586669,cg08650961,cg08841829,cg09134682,cg09188763,cg09326440,cg09419670,cg09626299,cg09754948,cg09915099,cg10121429,cg10183150,cg10241462,cg10494282,cg10653465,cg10962762,cg11465213,cg11569329,cg11731221,cg11753765,cg11801110,cg12640482,cg12685753,cg12738981,cg13127741,cg13318129,cg13344095,cg13367647,cg13374432,cg13474789,cg13578134,cg13609457,cg13729891,cg13863668,cg13866577,cg14069412,cg14255062,cg14310975,cg14689537,cg14823076,cg14853772,cg14921437,cg15105969,cg15146515,cg15273468,cg15866977,cg15911859,cg16060189,cg16264966,cg16322478,cg16327482,cg16450200,cg16586182,cg17030679,cg17247190,cg17329534,cg17342283,cg17475857,cg17554194,cg17589175,cg17765885,cg17908947,cg18180155,cg18188326,cg18334211,cg18461635,cg19159011,cg19863426,cg19875578,cg20592836,cg20737812,cg20814349,cg20962215,cg20985980,cg21300072,cg21438252,cg21589273,cg22278106,cg23691642,cg23744638,cg23762465,cg23833425,cg23886495,cg24221648,cg24900563,cg25023600,cg26188818,cg26339924,cg26690915,cg26757229,cg26899598,cg27204993,cg27326026,cg27386529	GSM665812	7.03e-02
1.550	7.28e-02	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig.gz	cg00022866,cg00045753,cg00058708,cg00240767,cg00250711,cg00334056,cg00425431,cg00446925,cg00631329,cg00663519,cg00733150,cg00805867,cg00817464,cg00893242,cg01108370,cg01190171,cg01670430,cg01678292,cg01697794,cg01732984,cg01745370,cg01770232,cg02114728,cg02246992,cg02516189,cg02527881,cg02556345,cg02732067,cg02841227,cg02909257,cg03224418,cg03289416,cg03808351,cg03987842,cg04173714,cg04340435,cg04384208,cg04405704,cg04607235,cg04657044,cg05140650,cg05801989,cg05840412,cg06035815,cg06211459,cg06253072,cg06366107,cg06474225,cg06530960,cg06635797,cg06826457,cg06891043,cg07033395,cg07077476,cg07441462,cg07452164,cg07645296,cg07807470,cg07884168,cg07983955,cg08005692,cg08086652,cg08312369,cg08672140,cg09134682,cg09188763,cg09326440,cg09419670,cg09626299,cg09754948,cg09915099,cg10121429,cg10241462,cg10298567,cg10494282,cg10653465,cg10833066,cg11465213,cg11569329,cg11731221,cg11753765,cg12685753,cg12738981,cg12743398,cg13127741,cg13318129,cg13344095,cg13367647,cg13374432,cg13609457,cg13729891,cg13863668,cg13866577,cg14069412,cg14255062,cg14310975,cg14823076,cg14853772,cg14921437,cg15105969,cg15146515,cg15273468,cg16009970,cg16060189,cg16264966,cg16327482,cg16450200,cg16586182,cg17030679,cg17247190,cg17265693,cg17329534,cg17342283,cg17475857,cg17554194,cg17589175,cg17765885,cg17908947,cg18180155,cg18183774,cg18334211,cg18461635,cg18875496,cg19159011,cg19799702,cg19863426,cg19875578,cg20592836,cg20737812,cg20814349,cg20962215,cg20985980,cg21300072,cg21438252,cg21589273,cg22157087,cg22278106,cg23691642,cg23744638,cg23762465,cg23829395,cg23886495,cg24900563,cg26188818,cg26339924,cg26663590,cg26690915,cg26899598,cg27204993,cg27326026,cg27386529	GSM665839	5.70e-01
3.678	1.85e-04	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig.gz	cg00022866,cg00045753,cg00058708,cg00106609,cg00137918,cg00240767,cg00250711,cg00277334,cg00310728,cg00334056,cg00446925,cg00571021,cg00631329,cg00655913,cg00692279,cg00733150,cg00805867,cg00817464,cg00852675,cg00893242,cg01108370,cg01190171,cg01203766,cg01697794,cg01732984,cg01745370,cg01770232,cg02053920,cg02114728,cg02156692,cg02197387,cg02246992,cg02527881,cg02556345,cg02732067,cg02841227,cg02909257,cg03162506,cg03224418,cg03264133,cg03289416,cg03555881,cg03669282,cg03719642,cg03808351,cg03887787,cg04173714,cg04340435,cg04412755,cg04607235,cg04657044,cg04770705,cg04964333,cg05140650,cg05180856,cg05490983,cg05508639,cg05801989,cg05840412,cg05926586,cg05986168,cg06035815,cg06106103,cg06211459,cg06218344,cg06253072,cg06366107,cg06512918,cg06530960,cg06635797,cg06793505,cg06826457,cg06891043,cg07077476,cg07235057,cg07414487,cg07441462,cg07452164,cg07645296,cg07716032,cg07807470,cg07884168,cg07910680,cg07983955,cg08005692,cg08086652,cg08312369,cg08586669,cg08841829,cg09134682,cg09188763,cg09230376,cg09326440,cg09419670,cg09444226,cg09484019,cg09626299,cg09754948,cg09761705,cg09769104,cg09915099,cg10121429,cg10183150,cg10241462,cg10422047,cg10473907,cg10494282,cg10653465,cg10902667,cg10962762,cg11308649,cg11731221,cg11753765,cg11801110,cg12685753,cg13084335,cg13127741,cg13318129,cg13344095,cg13367647,cg13374432,cg13578134,cg13609457,cg13644811,cg13729891,cg13741927,cg13863668,cg13866577,cg14069412,cg14218447,cg14255062,cg14310975,cg14418922,cg14689537,cg14823076,cg14853772,cg14921437,cg15105969,cg15146515,cg15273468,cg15543736,cg15665967,cg15866977,cg15911859,cg16060189,cg16264966,cg16327482,cg16450200,cg16586182,cg17030679,cg17247190,cg17265693,cg17329534,cg17342283,cg17475857,cg17554194,cg17589175,cg17765885,cg17862558,cg17908947,cg18180155,cg18183774,cg18334211,cg18461635,cg18612461,cg19159011,cg19799702,cg19863426,cg19875578,cg19945060,cg20068274,cg20592836,cg20737812,cg20814349,cg20856330,cg20962215,cg20985980,cg21235334,cg21300072,cg21438252,cg21589273,cg22016859,cg22278106,cg22735105,cg23691642,cg23744638,cg23762465,cg23886495,cg24105269,cg24134292,cg24221648,cg24900563,cg25143771,cg25321556,cg26188818,cg26339924,cg26456563,cg26690915,cg26899598,cg27204993,cg27326026,cg27386529	GSM817166	5.90e-03
2.925	2.43e-03	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig.gz	cg00022866,cg00045753,cg00058708,cg00250711,cg00446925,cg00631329,cg00655913,cg00663519,cg00733150,cg00805867,cg00852675,cg00893242,cg01108370,cg01190171,cg01203766,cg01670430,cg01697794,cg01732984,cg01745370,cg01770232,cg02114728,cg02156692,cg02516189,cg02527881,cg02556345,cg02732067,cg02841227,cg02909257,cg03127558,cg03224418,cg03264133,cg03289416,cg03315344,cg03316587,cg03578430,cg03639919,cg03808351,cg03922381,cg03987842,cg04173714,cg04607235,cg04657044,cg04964333,cg05140650,cg05180856,cg05508639,cg05801989,cg06035815,cg06211459,cg06253072,cg06366107,cg06474225,cg06530960,cg06635797,cg06793505,cg06826457,cg06891043,cg07077476,cg07441462,cg07452164,cg07718650,cg07807470,cg07884168,cg07983955,cg08005692,cg08086652,cg08312369,cg08586669,cg08672140,cg08841829,cg08849294,cg08946713,cg09134682,cg09188763,cg09326440,cg09419670,cg09484019,cg09626299,cg09754948,cg09915099,cg10121429,cg10183150,cg10241462,cg10298567,cg10422047,cg10494282,cg10653465,cg10684794,cg10962762,cg11216632,cg11465213,cg11731221,cg11801110,cg12241963,cg12685753,cg12738981,cg13127741,cg13318129,cg13344095,cg13367647,cg13374432,cg13578134,cg13609457,cg13729891,cg13863668,cg13866577,cg14069412,cg14076923,cg14218447,cg14310975,cg14343414,cg14689537,cg14823076,cg14853772,cg14921437,cg15029032,cg15105969,cg15146515,cg15665967,cg15673069,cg15866977,cg15911859,cg16009970,cg16060189,cg16264966,cg16327482,cg16450200,cg16586182,cg17030679,cg17247190,cg17265693,cg17342283,cg17475857,cg17554194,cg17589175,cg17652424,cg17908947,cg18032705,cg18180155,cg18183774,cg18334211,cg18461635,cg18612461,cg18875496,cg19799702,cg19863426,cg19875578,cg20592836,cg20737812,cg20814349,cg20856330,cg20985980,cg21235334,cg21300072,cg21589273,cg21717724,cg21864959,cg22170801,cg23259375,cg23691642,cg23744638,cg23762465,cg23886495,cg24032393,cg24648384,cg24900563,cg25240254,cg26188818,cg26339924,cg26456563,cg26690915,cg26841013,cg26899598,cg27204993,cg27326026,cg27386529	GSM701539	3.69e-02
