Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-0.980	8.56e-01	E029 Primary monocytes from peripheral blood	Blood	H3K27me3	E029-H3K27me3.broadPeak.gz	cg00090674,cg00140786,cg00375025,cg00571021,cg00583046,cg00598758,cg00632560,cg00655913,cg00663519,cg00692279,cg01213447,cg01430970,cg01770232,cg01922684,cg02156692,cg02412616,cg02527881,cg02870820,cg02909257,cg02936049,cg02991924,cg03224418,cg03267220,cg03295107,cg03555881,cg03587241,cg03665785,cg03669282,cg03887787,cg04123498,cg04412755,cg04458368,cg04627110,cg04964333,cg05140650,cg05343808,cg05434312,cg05490983,cg05508639,cg05926586,cg06106103,cg06512918,cg06570843,cg06891043,cg06951352,cg07110854,cg07218647,cg07250222,cg07349136,cg07414487,cg07686394,cg07751196,cg07910680,cg07991586,cg08086652,cg08650961,cg08772003,cg08841829,cg08849294,cg09188763,cg09191750,cg09322534,cg09399716,cg09490523,cg09612099,cg09886946,cg09936400,cg10269561,cg10415685,cg10422047,cg10684794,cg11308649,cg11696388,cg11731221,cg11876048,cg11953668,cg12101479,cg12120741,cg12241963,cg12271415,cg12685753,cg13084335,cg13563132,cg13864473,cg14218447,cg14251267,cg14343414,cg14853772,cg14921437,cg15146515,cg15273468,cg15448385,cg15471073,cg16009970,cg16309325,cg16362592,cg17116091,cg17265693,cg17663418,cg17765885,cg17908947,cg18064631,cg18612461,cg18631330,cg19471911,cg19799702,cg19863426,cg20737812,cg21235334,cg21589273,cg22132982,cg22587600,cg23378074,cg23483894,cg24000693,cg24032393,cg24051234,cg24134292,cg24182584,cg24221648,cg25143771,cg25240254,cg25337691,cg25423576,cg25462858,cg25542438,cg26188818,cg26456563,cg26690915,cg26841013,cg27326026,cg27619646,cg27656973	E029	1.00e+00
-0.893	8.57e-01	E032 Primary B cells from peripheral blood	Blood	H3K27me3	E032-H3K27me3.broadPeak.gz	cg00058708,cg00250711,cg00277334,cg00375025,cg00425431,cg00571021,cg00583046,cg00598758,cg00632560,cg00655913,cg00689835,cg00692279,cg00713066,cg01213447,cg01732984,cg02030452,cg02197387,cg02226672,cg02412616,cg02516189,cg02527881,cg02870820,cg02909257,cg02936049,cg02991924,cg03017264,cg03095982,cg03127558,cg03162506,cg03264133,cg03295107,cg03315344,cg03555881,cg03587241,cg03613822,cg03665785,cg03669282,cg03922381,cg04270652,cg04384208,cg04412755,cg04458368,cg04627110,cg04964333,cg05140650,cg05343808,cg05434312,cg05490983,cg05840412,cg05907821,cg05926586,cg05986168,cg06106103,cg06211459,cg06218344,cg06474225,cg06512918,cg06556290,cg06723057,cg06751366,cg06824795,cg06891043,cg06894585,cg06951352,cg07110854,cg07250222,cg07349136,cg07356549,cg07414487,cg07686394,cg07751196,cg07906116,cg07910680,cg07991586,cg08168585,cg08347373,cg08586669,cg08772003,cg09009770,cg09032499,cg09188763,cg09191750,cg09322534,cg09381022,cg09399716,cg09490523,cg09552240,cg09612099,cg09769104,cg09886946,cg09936400,cg10269561,cg10298567,cg10378804,cg10415685,cg10422047,cg10431340,cg10962762,cg11308649,cg11569329,cg11696388,cg11731221,cg11876048,cg11953668,cg12120741,cg12241963,cg12271415,cg12685753,cg12743398,cg13084335,cg13313047,cg13563132,cg13609457,cg13864473,cg13996003,cg14010513,cg14343414,cg14389884,cg14418922,cg14609104,cg15146515,cg15448385,cg15471073,cg15543736,cg15552206,cg15911859,cg16001150,cg16009970,cg16309325,cg16322478,cg16362592,cg16399300,cg16760587,cg17030679,cg17116091,cg17247190,cg17265693,cg17342283,cg17765885,cg17908947,cg18064631,cg18180155,cg18399427,cg18405544,cg18612461,cg18631330,cg18875496,cg19183252,cg19471911,cg19799702,cg19863426,cg19891440,cg19945060,cg20231299,cg20737812,cg20765441,cg20992439,cg21123740,cg21235334,cg21408624,cg21627181,cg21934230,cg22142142,cg22255690,cg22587600,cg22735105,cg23166590,cg23341612,cg23378074,cg23691642,cg23744638,cg23829395,cg24032393,cg24051234,cg24105269,cg24134292,cg24182584,cg24221648,cg24855818,cg24900563,cg25143771,cg25240254,cg25321556,cg25337691,cg25423576,cg25462858,cg25542438,cg26456563,cg26640927,cg26690915,cg26841013,cg27023235,cg27326026,cg27619646,cg27656973	E032	1.00e+00
-2.780	9.99e-01	E033 Primary T cells from cord blood	Blood	H3K27me3	E033-H3K27me3.broadPeak.gz	cg00058708,cg00140786,cg00375025,cg00583046,cg00598758,cg00655913,cg00713066,cg01213447,cg01430970,cg02162745,cg02412616,cg02516189,cg02527881,cg02936049,cg02991924,cg03017264,cg03555881,cg03587241,cg03665785,cg03935444,cg04384208,cg04627110,cg05140650,cg05434312,cg05926586,cg06106103,cg06474225,cg06751366,cg06824795,cg06891043,cg07218647,cg07250222,cg07686394,cg07751196,cg08772003,cg09188763,cg09191750,cg09318731,cg09322534,cg09490523,cg09612099,cg09886946,cg10269561,cg10415685,cg10431340,cg10833066,cg11308649,cg11696388,cg12120741,cg12685753,cg13084335,cg13609457,cg13864473,cg14689537,cg14987431,cg15146515,cg15866977,cg16009970,cg16362592,cg16760587,cg17265693,cg17663418,cg17765885,cg18064631,cg18188326,cg18612461,cg19471911,cg20814349,cg22132982,cg23378074,cg23691642,cg23744638,cg24051234,cg24221648,cg24900563,cg25143771,cg25337691,cg25423576,cg25542438,cg26456563,cg26690915,cg26841013,cg27326026,cg27619646,cg27656973	E033	1.00e+00
-0.056	5.57e-01	E034 Primary T cells from peripheral blood	Blood	H3K27me3	E034-H3K27me3.broadPeak.gz	cg00022866,cg00058708,cg00106609,cg00140786,cg00250711,cg00277334,cg00310728,cg00375025,cg00571021,cg00583046,cg00598758,cg00655913,cg00692279,cg00713066,cg00767977,cg00893242,cg01108370,cg01203286,cg01203766,cg01378222,cg01430970,cg01548456,cg01678292,cg01697794,cg01716084,cg01732984,cg01745370,cg01770232,cg02030452,cg02053920,cg02156692,cg02162745,cg02197387,cg02226672,cg02395127,cg02412616,cg02516189,cg02527881,cg02585563,cg02870820,cg02909257,cg02936049,cg02991924,cg03017264,cg03095982,cg03127558,cg03264133,cg03267220,cg03289416,cg03295107,cg03303475,cg03310087,cg03315344,cg03479204,cg03555881,cg03578430,cg03587241,cg03613822,cg03639919,cg03665785,cg03669282,cg03935444,cg04188764,cg04270652,cg04384208,cg04412755,cg04458368,cg04627110,cg04849508,cg04870949,cg04964333,cg05140650,cg05180856,cg05246315,cg05343808,cg05392527,cg05434312,cg05454957,cg05490983,cg05508639,cg05706437,cg05840412,cg05867245,cg05888643,cg05907821,cg05926586,cg05959834,cg05986168,cg06106103,cg06218344,cg06249953,cg06366107,cg06474225,cg06512918,cg06723057,cg06751366,cg06824795,cg06891043,cg06951352,cg07110854,cg07218647,cg07235057,cg07250222,cg07278158,cg07349136,cg07356549,cg07414487,cg07441462,cg07686394,cg07718650,cg07751196,cg07906116,cg07910680,cg07991586,cg08005692,cg08168585,cg08347373,cg08403419,cg08629176,cg08672140,cg08772003,cg08841829,cg08849294,cg09009770,cg09032499,cg09188763,cg09191750,cg09230376,cg09247692,cg09318731,cg09322534,cg09326440,cg09397246,cg09399716,cg09419670,cg09484019,cg09490523,cg09523339,cg09552240,cg09769104,cg09886946,cg09936400,cg10061770,cg10241462,cg10269561,cg10378804,cg10415685,cg10422047,cg10431340,cg10684794,cg10794439,cg10833066,cg10962762,cg11308649,cg11696388,cg11716267,cg11731221,cg11953668,cg12101479,cg12120741,cg12148515,cg12241963,cg12271415,cg12281527,cg12459514,cg12685753,cg12743398,cg13084335,cg13367647,cg13563132,cg13578134,cg13614741,cg13758724,cg13864473,cg13983903,cg14010513,cg14186779,cg14218447,cg14251267,cg14343414,cg14350257,cg14418922,cg14689537,cg14758967,cg14838248,cg14853772,cg14921437,cg14987431,cg15146515,cg15273468,cg15448385,cg15471073,cg15543736,cg15552206,cg15866977,cg15911859,cg16009970,cg16095411,cg16309325,cg16327482,cg16362592,cg16450200,cg16546681,cg16760587,cg16967434,cg17265693,cg17475857,cg17554194,cg17765885,cg17908947,cg18064631,cg18180155,cg18399427,cg18461635,cg18612461,cg18631330,cg19183252,cg19349920,cg19799702,cg19945060,cg20068274,cg20231299,cg20246851,cg20378921,cg20592836,cg20737812,cg20814349,cg20962215,cg20992439,cg21104546,cg21235334,cg21549415,cg21717724,cg21864959,cg21934230,cg22132982,cg22142142,cg22170801,cg22278106,cg22587600,cg22735105,cg23166590,cg23259375,cg23341612,cg23378074,cg23691642,cg23744638,cg23762465,cg23886495,cg24032393,cg24051234,cg24105269,cg24134292,cg24182584,cg24221648,cg24855818,cg24900563,cg25143771,cg25240254,cg25321556,cg25337691,cg25423576,cg25457927,cg25462858,cg25542438,cg26188818,cg26318627,cg26456563,cg26623554,cg26658897,cg26663590,cg26690915,cg26841013,cg26899598,cg27056475,cg27204993,cg27326026,cg27619646,cg27656973	E034	1.00e+00
-1.113	8.95e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K27me3	E046-H3K27me3.broadPeak.gz	cg00058708,cg00140786,cg00250711,cg00375025,cg00583046,cg00598758,cg00655913,cg00689835,cg00692279,cg01203766,cg01213447,cg01770232,cg01922684,cg02030452,cg02156692,cg02412616,cg02516189,cg02527881,cg02870820,cg02909257,cg02936049,cg02991924,cg03003256,cg03017264,cg03295107,cg03555881,cg03587241,cg03613822,cg03665785,cg03669282,cg03935444,cg04412755,cg04458368,cg04627110,cg04964333,cg05140650,cg05343808,cg05434312,cg05490983,cg05907821,cg06106103,cg06474225,cg06512918,cg06570843,cg06751366,cg06824795,cg06891043,cg06951352,cg07218647,cg07235057,cg07250222,cg07349136,cg07686394,cg07751196,cg07910680,cg07991586,cg08347373,cg08772003,cg08841829,cg08849294,cg09032499,cg09188763,cg09191750,cg09322534,cg09399716,cg09490523,cg09552240,cg09886946,cg09936400,cg10415685,cg10422047,cg10962762,cg11696388,cg11731221,cg11953668,cg12120741,cg12241963,cg12271415,cg12685753,cg13084335,cg13563132,cg13609457,cg13864473,cg14343414,cg14389884,cg14689537,cg14987431,cg15146515,cg15231989,cg15273468,cg15448385,cg15471073,cg15552206,cg15866977,cg15911859,cg16009970,cg16362592,cg16399300,cg16760587,cg17247190,cg17265693,cg17765885,cg18064631,cg18180155,cg18188326,cg18405544,cg18612461,cg18631330,cg19471911,cg19799702,cg20231299,cg20737812,cg20765441,cg21235334,cg21627181,cg22132982,cg22157087,cg22587600,cg23378074,cg24000693,cg24051234,cg24134292,cg24221648,cg24855818,cg25143771,cg25240254,cg25337691,cg25423576,cg25462858,cg25542438,cg26456563,cg26690915,cg26841013,cg27326026,cg27619646,cg27656973	E046	1.00e+00
-4.089	1.00e+00	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K27me3	E050-H3K27me3.broadPeak.gz	cg00375025,cg00571021,cg00583046,cg00598758,cg00655913,cg00692279,cg00713066,cg01213447,cg01430970,cg02162745,cg02412616,cg02870820,cg02909257,cg02917128,cg02991924,cg03264133,cg03267220,cg03555881,cg03665785,cg03669282,cg03922381,cg04123498,cg04384208,cg04412755,cg04458368,cg04627110,cg04964333,cg05140650,cg05434312,cg05490983,cg05508639,cg05706437,cg05840412,cg05926586,cg06106103,cg06474225,cg06556290,cg06570843,cg06723057,cg06891043,cg07110854,cg07218647,cg07250222,cg07349136,cg07437919,cg07686394,cg07751196,cg07991586,cg08394070,cg08772003,cg09009770,cg09032499,cg09188763,cg09191750,cg09322534,cg09399716,cg09490523,cg09612099,cg09761705,cg09886946,cg09936400,cg10121429,cg10269561,cg10415685,cg10422047,cg10431340,cg10684794,cg11308649,cg11696388,cg11731221,cg12101479,cg12120741,cg12148515,cg12271415,cg12685753,cg13084335,cg13563132,cg13864473,cg15155199,cg15471073,cg15866977,cg15911859,cg16001150,cg16009970,cg16362592,cg16399300,cg17265693,cg17663418,cg17765885,cg17908947,cg18064631,cg18180155,cg18399427,cg18405544,cg18612461,cg18631330,cg19183252,cg19471911,cg19863426,cg19891440,cg19945060,cg20737812,cg20765441,cg20814349,cg21627181,cg22132982,cg22255690,cg22587600,cg23378074,cg23744638,cg24000693,cg24032393,cg24051234,cg24134292,cg24221648,cg24900563,cg25143771,cg25240254,cg25337691,cg25423576,cg25462858,cg25542438,cg26456563,cg26658897,cg26690915,cg26841013,cg27204993,cg27326026,cg27619646,cg27656973	E050	1.00e+00
-3.605	1.00e+00	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K27me3	E051-H3K27me3.broadPeak.gz	cg00375025,cg00571021,cg00598758,cg00655913,cg00692279,cg01213447,cg02162745,cg02412616,cg02870820,cg02909257,cg02991924,cg03267220,cg03295107,cg03555881,cg03665785,cg03669282,cg03922381,cg04384208,cg04412755,cg04458368,cg04627110,cg04964333,cg05140650,cg05434312,cg05490983,cg05508639,cg05926586,cg06106103,cg06474225,cg07110854,cg07218647,cg07250222,cg07349136,cg07686394,cg07751196,cg07910680,cg08772003,cg09009770,cg09032499,cg09188763,cg09191750,cg09322534,cg09490523,cg09612099,cg09886946,cg09936400,cg10415685,cg11308649,cg11696388,cg11731221,cg12101479,cg12120741,cg12271415,cg12685753,cg13084335,cg13563132,cg13864473,cg15471073,cg15866977,cg16001150,cg16009970,cg16362592,cg17265693,cg17765885,cg18064631,cg18612461,cg18631330,cg19183252,cg19471911,cg20737812,cg20814349,cg22132982,cg22255690,cg23378074,cg23744638,cg24000693,cg24032393,cg24051234,cg24134292,cg24221648,cg25143771,cg25240254,cg25337691,cg25423576,cg25462858,cg25542438,cg26456563,cg26690915,cg26841013,cg27204993,cg27326026,cg27619646,cg27656973	E051	1.00e+00
0.827	1.97e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K27me3	E028-H3K27me3.broadPeak.gz	cg00022866,cg00058708,cg00106609,cg00140786,cg00310728,cg00375025,cg00446925,cg00571021,cg00598758,cg00655913,cg00692279,cg00713066,cg00733150,cg00767977,cg00805867,cg01108112,cg01203286,cg01430970,cg01548456,cg01678292,cg01716084,cg01745370,cg02030452,cg02114728,cg02156692,cg02226672,cg02395127,cg02412616,cg02516189,cg02527881,cg02585563,cg02870820,cg02909257,cg02991924,cg03017264,cg03127558,cg03224418,cg03264133,cg03267220,cg03295107,cg03479204,cg03555881,cg03587241,cg03639919,cg03653399,cg03669282,cg03808351,cg03887787,cg03983715,cg04340435,cg04412755,cg04458368,cg04770705,cg04849508,cg04870949,cg05008570,cg05180856,cg05246315,cg05392527,cg05434312,cg05454957,cg05490983,cg05508639,cg05636603,cg05706437,cg05867245,cg05926586,cg05986168,cg06069407,cg06106103,cg06218344,cg06371489,cg06512918,cg06530960,cg06751366,cg06793505,cg06891043,cg06951352,cg07056794,cg07077476,cg07110854,cg07218647,cg07235057,cg07250222,cg07349136,cg07437919,cg07441462,cg07716032,cg07718650,cg07751196,cg07906116,cg07910680,cg07991586,cg08086652,cg08133476,cg08312369,cg08347373,cg08507178,cg08586669,cg08772003,cg08841829,cg08849294,cg08946713,cg09009770,cg09032499,cg09134682,cg09188763,cg09191750,cg09247692,cg09397246,cg09399716,cg09419670,cg09484019,cg09523339,cg09754948,cg09886946,cg10183150,cg10269561,cg10415685,cg10422047,cg10431340,cg10494282,cg10684794,cg10794439,cg10962762,cg11696388,cg11716267,cg11731221,cg11801110,cg11953668,cg12120741,cg12271415,cg12281527,cg12399411,cg12459514,cg12685753,cg13084335,cg13137809,cg13474789,cg13614741,cg13729891,cg13741927,cg13758724,cg13864473,cg14010513,cg14218447,cg14251267,cg14350257,cg14609104,cg14689537,cg14838248,cg14921437,cg14987431,cg15155199,cg15231989,cg15273468,cg15448385,cg15471073,cg15543736,cg15552206,cg15673069,cg15866977,cg15911859,cg16009970,cg16309325,cg16362592,cg16399300,cg16760587,cg16797473,cg16967434,cg17265693,cg17554194,cg17589175,cg18032705,cg18064631,cg18180155,cg18188326,cg18399427,cg18612461,cg18631330,cg18783886,cg19159011,cg19183252,cg19349920,cg19502841,cg19799702,cg19801560,cg19945060,cg20068274,cg20287434,cg20592836,cg20765441,cg20985980,cg20992439,cg21104546,cg21235334,cg21408624,cg21549415,cg21627181,cg21864959,cg21934230,cg22016859,cg22170801,cg22581629,cg22587600,cg22735105,cg22923006,cg23160428,cg23166590,cg23762465,cg24000693,cg24032393,cg24051234,cg24105269,cg24134292,cg24182584,cg24221648,cg24484539,cg24855818,cg25044876,cg25143771,cg25240254,cg25321556,cg25337691,cg25423576,cg25457927,cg26318627,cg26339924,cg26456563,cg26489497,cg26623554,cg26688816,cg26690915,cg26841013,cg26899598,cg27023235,cg27326026,cg27347003,cg27386529,cg27619646,cg27656973	E028	1.00e+00
0.400	3.50e-01	E003 H1 Cells	ES Cell	H3K27me3	E003-H3K27me3.broadPeak.gz	cg00058708,cg00137918,cg00140786,cg00277334,cg00310728,cg00375025,cg00425431,cg00583046,cg00598758,cg00628211,cg00631329,cg00632560,cg00655913,cg00688979,cg00692279,cg00713066,cg01108112,cg01187464,cg01213447,cg01378222,cg01430970,cg01548456,cg01732984,cg01770232,cg02053920,cg02114728,cg02162745,cg02412616,cg02527881,cg02917128,cg02991924,cg03017264,cg03084158,cg03095982,cg03212674,cg03224418,cg03267220,cg03315344,cg03316587,cg03555881,cg03578430,cg03587241,cg03613822,cg03665785,cg03669282,cg03808351,cg03887787,cg04270652,cg04405704,cg04412755,cg04458368,cg04607235,cg04657044,cg04870949,cg04964333,cg05140650,cg05149537,cg05180856,cg05246315,cg05434312,cg05454957,cg05490983,cg05907821,cg05926586,cg05986168,cg06106103,cg06211459,cg06366107,cg06474225,cg06512918,cg06556290,cg06726893,cg06751366,cg06793505,cg06824795,cg06826457,cg06891043,cg06951352,cg07077476,cg07218647,cg07304760,cg07349136,cg07356549,cg07414487,cg07416916,cg07452164,cg07686394,cg07716032,cg07751196,cg07866632,cg07906116,cg07910680,cg07983955,cg07991586,cg08086652,cg08347373,cg08650961,cg08724371,cg08772003,cg08841829,cg09188763,cg09191750,cg09318731,cg09326440,cg09399716,cg09484019,cg09626299,cg09754948,cg09761705,cg09769104,cg09886946,cg09936400,cg10183150,cg10298567,cg10415685,cg10422047,cg10431340,cg10684794,cg10833066,cg10902667,cg10962762,cg11716267,cg11731221,cg11753765,cg11801110,cg11953668,cg12120741,cg12148515,cg12241963,cg12271415,cg12685753,cg12743398,cg13313047,cg13367647,cg13474789,cg13523449,cg13557534,cg13563132,cg13614741,cg13644811,cg13864473,cg13983903,cg14100946,cg14218447,cg14251267,cg14689537,cg14838248,cg14853772,cg14987431,cg15231989,cg15273468,cg15448385,cg15471073,cg15673069,cg15866977,cg15911859,cg16009970,cg16264966,cg16362592,cg17030679,cg17265693,cg17342283,cg17554194,cg17652424,cg17663418,cg17765885,cg17908947,cg18064631,cg18180155,cg18334211,cg18612461,cg18631330,cg18875496,cg19159011,cg19349920,cg19945060,cg20231299,cg20246851,cg20378921,cg20737812,cg20856330,cg21235334,cg21549415,cg21864959,cg21934230,cg22016859,cg22132982,cg22142142,cg22278106,cg22581629,cg23160428,cg23259375,cg23378074,cg23483894,cg23691642,cg23744638,cg24032393,cg24051234,cg24051786,cg24134292,cg24182584,cg24221648,cg24484539,cg24900563,cg25143771,cg25240254,cg25321556,cg25337691,cg25423576,cg25457927,cg25462858,cg25542438,cg25764217,cg26188818,cg26318627,cg26456563,cg26663590,cg26690915,cg26841013,cg27326026,cg27656973	E003	1.00e+00
-1.875	9.86e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K27me3	E004-H3K27me3.broadPeak.gz	cg00022866,cg00310728,cg00425431,cg00598758,cg00631329,cg00632560,cg00655913,cg00692279,cg00713066,cg00813135,cg01108370,cg01203286,cg01213447,cg01358620,cg01430970,cg02412616,cg02556345,cg02936049,cg02991924,cg03003256,cg03017264,cg03033629,cg03084158,cg03224418,cg03316587,cg03479204,cg03555881,cg03587241,cg03887787,cg04173714,cg04412755,cg04657044,cg05140650,cg05246315,cg05434312,cg05926586,cg06067477,cg06106103,cg06201763,cg06253072,cg06474225,cg06726893,cg06793505,cg06826457,cg06891043,cg07178896,cg07218647,cg07349136,cg07356549,cg07416916,cg07452164,cg07686394,cg07751196,cg07764829,cg07906116,cg07910680,cg07991586,cg08347373,cg08724371,cg08841829,cg09032499,cg09188763,cg09191750,cg09399716,cg09444226,cg09484019,cg09490523,cg09552240,cg09626299,cg09769104,cg09886946,cg09915099,cg09936400,cg10415685,cg10473907,cg10737412,cg10898776,cg11465213,cg11696388,cg11731221,cg11753765,cg11953668,cg12241963,cg12640482,cg12685753,cg12743398,cg13084335,cg13127741,cg13609457,cg13864473,cg13983903,cg14100946,cg14418922,cg14689537,cg14987431,cg15035590,cg15092420,cg15273468,cg15340431,cg15448385,cg15471073,cg15696309,cg15866977,cg15911859,cg16009970,cg16362592,cg16399300,cg16760587,cg17030679,cg17554194,cg17765885,cg17908947,cg18064631,cg18180155,cg18183774,cg18188326,cg18334211,cg18405544,cg18612461,cg18631330,cg19159011,cg19183252,cg21438252,cg21589273,cg21934230,cg22016859,cg22132982,cg22142142,cg22157087,cg23259375,cg23691642,cg23744638,cg24051234,cg24051786,cg24221648,cg25240254,cg25321556,cg25337691,cg25423576,cg25462858,cg26658897,cg26690915,cg26841013,cg27326026,cg27656973	E004	1.00e+00
